BLE Address: 842B55B99BD400
"time	ax	ay	az	gx	gy	gz	mx	my	mz"

"03/06/2025 11:24:13.432	1.005524	-0.237412	0.238876	-15.085	1.4	-16.625	-0.6045	-1.0965	-0.3075"
"03/06/2025 11:24:13.452	0.997472	-0.227652	0.216184	-16.38	2.415	-11.235	-0.5895	-1.0995	-0.303"
"03/06/2025 11:24:13.472	0.994544	-0.22082	0.208376	-16.135	2.765	-5.04	-0.6075	-1.104	-0.3135"
"03/06/2025 11:24:13.492	0.995764	-0.220576	0.212768	-16.135	3.15	0.805	-0.6075	-1.11	-0.324"
"03/06/2025 11:24:13.512	0.983564	-0.231068	0.204716	-17.15	3.29	8.435	-0.609	-1.104	-0.3255"
"03/06/2025 11:24:13.532	0.981612	-0.219356	0.197884	-15.4	2.345	12.18	-0.609	-1.104	-0.3255"
"03/06/2025 11:24:13.552	0.979416	-0.214476	0.193736	-12.985	1.435	14.35	-0.591	-1.095	-0.324"
"03/06/2025 11:24:13.572	0.972828	-0.213988	0.19032	-9.835	0.105	15.435	-0.603	-1.0995	-0.33"
"03/06/2025 11:24:13.592	0.958432	-0.203008	0.19642	-6.265	-1.575	15.505	-0.6105	-1.092	-0.351"
"03/06/2025 11:24:13.612	0.9455	-0.196664	0.194712	-2.835	-3.255	14.7	-0.609	-1.0995	-0.3345"
"03/06/2025 11:24:13.632	0.939156	-0.189588	0.19276	0.595	-5.18	13.23	-0.6045	-1.0845	-0.327"
"03/06/2025 11:24:13.652	0.939644	-0.18056	0.19398	4.27	-6.685	11.375	-0.621	-1.08	-0.336"
"03/06/2025 11:24:13.672	0.946232	-0.178608	0.195932	7.7	-7.7	9.065	-0.6165	-1.074	-0.333"
"03/06/2025 11:24:13.692	0.959164	-0.186172	0.213012	10.885	-8.26	7.07	-0.621	-1.0845	-0.3285"
"03/06/2025 11:24:13.712	0.970876	-0.186416	0.219356	14.28	-8.085	4.97	-0.6105	-1.0785	-0.318"
"03/06/2025 11:24:13.732	0.97356	-0.175436	0.22692	16.66	-7.595	3.255	-0.615	-1.068	-0.3225"
"03/06/2025 11:24:13.752	0.979416	-0.171288	0.233508	17.395	-7.35	1.925	-0.6165	-1.08	-0.327"
"03/06/2025 11:24:13.772	0.97722	-0.172264	0.239364	17.85	-6.93	1.19	-0.6135	-1.074	-0.327"
"03/06/2025 11:24:13.792	0.974536	-0.16226	0.242536	18.935	-7.07	0.35	-0.6105	-1.0845	-0.3285"
"03/06/2025 11:24:13.812	0.980636	-0.154208	0.249856	17.99	-7.035	0.49	-0.5955	-1.074	-0.3315"
"03/06/2025 11:24:13.832	0.969412	-0.166652	0.251808	15.925	-6.405	0.665	-0.6015	-1.062	-0.324"
"03/06/2025 11:24:13.852	0.970388	-0.1647	0.254248	14.385	-5.215	0.035	-0.6015	-1.062	-0.324"
"03/06/2025 11:24:13.872	0.970388	-0.159576	0.255712	13.125	-3.185	-0.525	-0.615	-1.0665	-0.351"
"03/06/2025 11:24:13.892	0.976	-0.16836	0.24766	12.005	-1.925	-1.05	-0.597	-1.0545	-0.3375"
"03/06/2025 11:24:13.912	0.984052	-0.166652	0.244488	11.025	-1.05	-1.295	-0.597	-1.0755	-0.3375"
"03/06/2025 11:24:13.932	0.981124	-0.166652	0.235948	10.395	0.56	-1.68	-0.5925	-1.074	-0.3495"
"03/06/2025 11:24:13.952	0.978196	-0.164456	0.232288	9.94	1.96	-2.52	-0.591	-1.068	-0.3375"
"03/06/2025 11:24:13.972	0.971852	-0.158112	0.225944	8.645	2.73	-2.1	-0.5925	-1.0635	-0.3465"
"03/06/2025 11:24:13.992	0.968924	-0.161772	0.221552	6.09	3.5	-1.365	-0.6045	-1.0755	-0.357"
"03/06/2025 11:24:14.012	0.973316	-0.172752	0.213744	3.955	4.13	-0.945	-0.5985	-1.065	-0.3375"
"03/06/2025 11:24:14.032	0.986736	-0.172996	0.211792	3.22	4.375	-0.525	-0.6015	-1.0695	-0.3375"
"03/06/2025 11:24:14.052	0.985028	-0.171044	0.208132	2.415	4.375	0.14	-0.6075	-1.086	-0.3495"
"03/06/2025 11:24:14.072	0.979416	-0.169824	0.202276	1.785	4.2	0.385	-0.6075	-1.086	-0.3495"
"03/06/2025 11:24:14.092	0.969412	-0.161528	0.195932	0.91	3.955	0.42	-0.5955	-1.083	-0.336"
"03/06/2025 11:24:14.112	0.970388	-0.158356	0.196908	-0.14	3.22	0.665	-0.603	-1.0725	-0.3375"
"03/06/2025 11:24:14.132	0.962824	-0.161284	0.1891	-0.525	2.765	0.805	-0.6105	-1.0785	-0.333"
"03/06/2025 11:24:14.152	0.969656	-0.15616	0.18788	0.035	2.345	0.35	-0.6105	-1.0845	-0.3345"
"03/06/2025 11:24:14.172	0.964044	-0.159088	0.191784	1.715	1.19	-0.595	-0.6075	-1.0905	-0.3345"
"03/06/2025 11:24:14.192	0.963068	-0.161772	0.19398	2.065	-0.735	-0.56	-0.615	-1.0845	-0.3345"
"03/06/2025 11:24:14.212	0.97356	-0.171044	0.197152	0.7	-2.205	-1.155	-0.5985	-1.0875	-0.3165"
"03/06/2025 11:24:14.232	0.970632	-0.167384	0.200812	2.24	-3.255	-2.555	-0.609	-1.0905	-0.327"
"03/06/2025 11:24:14.252	0.961848	-0.155916	0.19642	5.215	-3.605	-2.835	-0.6135	-1.08	-0.333"
