BLE Address: 842B55B99BD400
time	ax	ay	az	gx	gy	gz	mx	my	mz

06/19/2025 13:44:34.157	0.886452	0.265716	-0.00244	5.565	-13.79	21.315	-0.7185	-1.257	0.0375
06/19/2025 13:44:34.177	0.914512	0.284748	0.001708	1.96	-18.235	26.495	-0.714	-1.254	0.0525
06/19/2025 13:44:34.197	0.933788	0.300364	0.002196	-3.885	-21.175	31.36	-0.7185	-1.254	0.0525
06/19/2025 13:44:34.217	0.955992	0.294996	0.003172	-10.08	-23.835	35.56	-0.7215	-1.2375	0.0645
06/19/2025 13:44:34.237	0.949648	0.276208	-0.007564	-14.28	-24.535	37.555	-0.717	-1.221	0.0675
06/19/2025 13:44:34.257	0.932324	0.259616	-0.019276	-14.245	-24.185	37.24	-0.7215	-1.2075	0.072
06/19/2025 13:44:34.277	0.926956	0.238876	-0.028304	-10.15	-23.905	35.105	-0.7035	-1.1955	0.057
06/19/2025 13:44:34.297	0.928176	0.240584	-0.02318	-3.885	-23.555	32.76	-0.687	-1.173	0.066
06/19/2025 13:44:34.317	0.925248	0.258152	-0.017324	1.19	-22.26	30.905	-0.681	-1.1685	0.096
06/19/2025 13:44:34.337	0.951356	0.272792	-0.011224	1.82	-22.365	30.765	-0.6675	-1.1595	0.0855
06/19/2025 13:44:34.357	0.96746	0.281576	-0.010736	-1.015	-21.805	31.605	-0.642	-1.155	0.0795
06/19/2025 13:44:34.377	0.977708	0.268644	-0.015372	-4.13	-20.65	32.375	-0.6405	-1.11	0.093
06/19/2025 13:44:34.397	0.965508	0.244	-0.033916	-4.305	-19.005	31.43	-0.627	-1.089	0.1005
06/19/2025 13:44:34.417	0.927932	0.198616	-0.055876	3.745	-16.45	26.425	-0.627	-1.089	0.1005
06/19/2025 13:44:34.437	0.898164	0.212768	-0.056364	10.36	-16.275	22.925	-0.6045	-1.0635	0.096
06/19/2025 13:44:34.457	0.93574	0.234728	-0.048312	13.265	-18.62	21.07	-0.5745	-1.0485	0.0915
06/19/2025 13:44:34.477	0.952088	0.247172	-0.027816	13.685	-18.27	20.86	-0.57	-1.0485	0.108
06/19/2025 13:44:34.497	0.971364	0.256688	-0.032208	6.86	-20.44	22.4	-0.555	-1.0455	0.093
06/19/2025 13:44:34.517	0.952088	0.242292	-0.042944	-0.77	-20.265	23.555	-0.555	-1.0455	0.1125
06/19/2025 13:44:34.537	0.925492	0.207644	-0.059292	-6.195	-19.775	23.03	-0.549	-1.0455	0.1035
06/19/2025 13:44:34.557	0.900848	0.192516	-0.07564	-6.58	-19.285	20.37	-0.528	-1.026	0.1155
06/19/2025 13:44:34.577	0.897188	0.171288	-0.07905599	-4.375	-19.775	16.8	-0.543	-1.0155	0.093
06/19/2025 13:44:34.597	0.89304	0.159576	-0.07442	1.225	-18.41	12.915	-0.54	-1.02	0.111
06/19/2025 13:44:34.617	0.953796	0.188856	-0.05856	4.375	-21.35	11.06	-0.5235	-1.0065	0.093
06/19/2025 13:44:34.637	0.969412	0.20008	-0.063196	2.45	-19.46	10.255	-0.5055	-1.0185	0.1185
06/19/2025 13:44:34.657	0.972584	0.178364	-0.0854	-0.875	-15.96	9.415	-0.51	-1.032	0.099
06/19/2025 13:44:34.677	0.978684	0.156648	-0.115656	-3.255	-12.915	8.575	-0.4995	-1.0425	0.111
06/19/2025 13:44:34.697	0.982832	0.122732	-0.12932	0.49	-7.91	6.615	-0.4995	-1.0425	0.111
06/19/2025 13:44:34.717	0.96136	0.103212	-0.138592	8.365	-4.76	4.06	-0.507	-1.038	0.099
06/19/2025 13:44:34.737	0.984052	0.10614	-0.141276	16.765	-5.74	2.31	-0.51	-1.0215	0.096
06/19/2025 13:44:34.757	0.998936	0.112728	-0.145668	23.065	-5.67	0.56	-0.498	-1.0185	0.0915
06/19/2025 13:44:34.777	1.01138	0.108092	-0.147864	26.425	-5.67	-0.805	-0.5055	-1.017	0.1065
06/19/2025 13:44:34.797	1.015772	0.112972	-0.159088	27.02	-5.81	-1.575	-0.4815	-1.017	0.102
06/19/2025 13:44:34.817	1.017724	0.1037	-0.160796	25.62	-6.16	-1.61	-0.4845	-1.017	0.108
06/19/2025 13:44:34.837	1.020896	0.103456	-0.163236	22.435	-6.86	-1.05	-0.5025	-1.014	0.12
06/19/2025 13:44:34.857	1.027972	0.094916	-0.157136	18.62	-7.91	0.14	-0.5025	-1.017	0.111
06/19/2025 13:44:34.877	1.01138	0.08418	-0.161772	15.47	-7.35	1.365	-0.4965	-1.005	0.123
06/19/2025 13:44:34.897	0.99186	0.07905599	-0.164456	12.845	-7	2.52	-0.498	-0.993	0.108
06/19/2025 13:44:34.917	1.01016	0.074664	-0.160552	9.765	-7.84	4.62	-0.492	-0.9975	0.1065
06/19/2025 13:44:34.937	1.012844	0.074908	-0.155428	7.245	-7.945	6.65	-0.48	-0.996	0.1065
06/19/2025 13:44:34.957	0.989908	0.081496	-0.155672	5.04	-6.265	8.82	-0.48	-0.996	0.1065
06/19/2025 13:44:34.977	0.971608	0.049532	-0.162504	3.465	-5.53	9.8	-0.48	-0.996	0.1065
06/19/2025 13:44:34.997	0.954284	0.051972	-0.166896	4.235	-5.81	10.43	-0.519	-1.0185	0.1275
06/19/2025 13:44:35.017	0.956968	0.056608	-0.152256	4.865	-5.775	11.305	-0.531	-1.026	0.1155
06/19/2025 13:44:35.037	0.96258	0.062952	-0.156892	4.935	-6.125	12.04	-0.54	-1.0305	0.1245
06/19/2025 13:44:35.057	0.951356	0.055876	-0.163968	6.02	-4.06	11.97	-0.5445	-1.0275	0.1155
06/19/2025 13:44:35.077	0.950136	0.02684	-0.173484	7.07	-3.5	12.46	-0.5595	-1.0335	0.1245
06/19/2025 13:44:35.097	0.960872	0.037332	-0.183488	9.8	-3.325	12.915	-0.5625	-1.053	0.1365
06/19/2025 13:44:35.117	0.966728	0.039528	-0.183244	12.565	-2.835	13.3	-0.591	-1.0665	0.144
06/19/2025 13:44:35.137	0.968436	0.038308	-0.187392	15.47	-2.52	13.825	-0.6015	-1.0665	0.141
06/19/2025 13:44:35.157	0.974292	0.040748	-0.183	17.08	-2.695	14.56	-0.6165	-1.071	0.147
