BLE Address: 2D2CD1AEC8C600
time	ax	ay	az	gx	gy	gz	mx	my	mz

06/12/2025 11:48:57.257	0.9455	0.34282	0.13176	-2.205	-2.03	1.96	-20.238	-38.3025	-4.308
06/12/2025 11:48:57.277	0.945012	0.337452	0.13054	-2.03	-1.89	2.065	-19.8525	-38.226	-4.392
06/12/2025 11:48:57.297	0.935008	0.35014	0.134688	-1.61	-1.4	1.89	-19.9215	-38.9535	-3.897
06/12/2025 11:48:57.317	0.938424	0.3538	0.133224	-1.645	-1.33	1.54	-20.2305	-38.6925	-4.5345
06/12/2025 11:48:57.337	0.944768	0.350628	0.126636	-1.925	-1.295	1.19	-20.076	-38.865	-4.1355
06/12/2025 11:48:57.357	0.942328	0.351116	0.126636	-2.485	-1.435	0.805	-20.382	-39.108	-3.81
06/12/2025 11:48:57.377	0.937692	0.349164	0.125904	-3.08	-1.54	0.455	-20.307	-38.8635	-4.0545
06/12/2025 11:48:57.397	0.942328	0.345504	0.122	-3.5	-1.575	0.14	-20.226	-39.015	-4.3665
06/12/2025 11:48:57.417	0.945012	0.343552	0.11956	-3.255	-1.435	-0.21	-20.1435	-39.5025	-4.038
06/12/2025 11:48:57.437	0.9455	0.348188	0.11834	-3.01	-1.085	-0.245	-20.6865	-39.255	-4.041
06/12/2025 11:48:57.457	0.951112	0.335256	0.121024	-3.255	-0.7	-0.175	-20.4525	-39.4095	-4.3545
06/12/2025 11:48:57.477	0.94794	0.329156	0.116876	-3.08	-0.77	-0.175	-20.913	-39.4815	-4.35
06/12/2025 11:48:57.497	0.95038	0.329888	0.121512	-2.1	-0.805	-0.21	-20.295	-39.654	-4.1895
06/12/2025 11:48:57.517	0.949648	0.33062	0.124928	-2.345	-0.945	0.105	-20.295	-39.654	-4.1895
06/12/2025 11:48:57.537	0.94794	0.327692	0.125904	-2.905	-1.295	0.28	-21.0615	-39.876	-4.338
06/12/2025 11:48:57.557	0.945256	0.320616	0.124928	-2.835	-1.26	0.14	-20.685	-39.333	-4.119
06/12/2025 11:48:57.577	0.94428	0.3233	0.116876	-2.275	-0.735	-0.245	-21.0645	-39.7215	-4.1835
06/12/2025 11:48:57.597	0.946964	0.323788	0.115412	-1.75	-0.105	-0.455	-20.985	-39.9645	-4.098
06/12/2025 11:48:57.617	0.95892	0.323788	0.113948	-1.05	0.42	-0.56	-21.06	-40.035	-4.3335
06/12/2025 11:48:57.637	0.96258	0.325008	0.11102	0.035	1.155	-0.595	-20.52	-40.0455	-4.257
06/12/2025 11:48:57.657	0.96136	0.323056	0.110044	0.945	1.54	-0.595	-21.1335	-40.2795	-4.089
06/12/2025 11:48:57.677	0.95404	0.321836	0.109556	2.135	1.82	-0.875	-21.138	-40.0425	-4.017
06/12/2025 11:48:57.697	0.956724	0.316956	0.105164	3.885	2.03	-1.365	-21.75	-40.4355	-3.843
06/12/2025 11:48:57.717	0.952332	0.321836	0.102724	4.935	1.96	-1.645	-21.3615	-40.509	-4.239
06/12/2025 11:48:57.737	0.95282	0.325252	0.106384	5.355	1.925	-1.26	-21.291	-40.0365	-4.173
06/12/2025 11:48:57.757	0.951356	0.324032	0.108824	5.425	1.75	-0.455	-21.444	-40.0275	-4.41
06/12/2025 11:48:57.777	0.947208	0.318176	0.113948	5.845	1.4	0.385	-21.0585	-40.0335	-4.4115
