time,ax,ay,az,gx,gy,gz,mx,my,mz,Label
07/10/2025 15:54:44.307,0.981612,-0.119804,-0.010248,-20.02,2.625,5.075,-0.459,-0.7545,-0.5085,0
07/10/2025 15:54:44.327,0.98332,-0.129808,-0.00488,-21.035,2.24,4.865,-0.465,-0.756,-0.51,0
07/10/2025 15:54:44.347,0.965508,-0.122244,-0.003904,-20.965,2.205,4.235,-0.4665,-0.7485,-0.5145,0
07/10/2025 15:54:44.367,0.964288,-0.139812,-0.004148,-20.16,1.575,3.325,-0.4665,-0.744,-0.528,0
07/10/2025 15:54:44.387,0.967216,-0.155916,-0.000732,-19.145,1.26,2.1,-0.4665,-0.744,-0.528,0
07/10/2025 15:54:44.407,0.967704,-0.161284,0.000244,-17.325,0.91,1.365,-0.468,-0.741,-0.5205,0
07/10/2025 15:54:44.427,0.981612,-0.162748,-0.00976,-16.59,0.7,0.805,-0.459,-0.729,-0.516,0
07/10/2025 15:54:44.447,0.99674,-0.165188,-0.00732,-17.64,0.21,0.455,-0.4665,-0.7335,-0.519,0
07/10/2025 15:54:44.467,0.993812,-0.195444,-0.009028,-18.305,0.35,0.42,-0.4785,-0.732,-0.519,0
07/10/2025 15:54:44.487,0.984052,-0.216428,-0.0061,-15.925,-0.14,0.7,-0.4725,-0.732,-0.5235,0
07/10/2025 15:54:44.507,0.969168,-0.213988,-0.00488,-12.46,-0.525,1.295,-0.4665,-0.7215,-0.528,0
07/10/2025 15:54:44.527,0.967216,-0.202032,-0.004148,-11.06,-1.12,2.345,-0.4785,-0.729,-0.528,0
07/10/2025 15:54:44.547,0.977952,-0.221796,-0.00244,-11.34,-1.54,3.185,-0.4725,-0.7275,-0.5205,0
07/10/2025 15:54:44.567,0.9943,-0.221552,0.002196,-10.535,-1.785,4.305,-0.4755,-0.726,-0.519,0
07/10/2025 15:54:44.587,0.987468,-0.20008,0.009028,-9.415,-1.12,5.32,-0.4755,-0.7095,-0.531,0
07/10/2025 15:54:44.607,0.994544,-0.20496,0.002928,-9.24,-1.155,5.845,-0.4875,-0.714,-0.5325,0
07/10/2025 15:54:44.627,1.008208,-0.21106,0.01098,-8.785,-1.435,6.055,-0.4755,-0.7095,-0.534,0
07/10/2025 15:54:44.647,0.99796,-0.2013,0.014396,-7.385,-0.665,6.125,-0.48,-0.717,-0.537,0
07/10/2025 15:54:44.667,0.98942,-0.205204,0.00854,-6.615,-0.35,6.195,-0.48,-0.717,-0.537,0
07/10/2025 15:54:44.687,0.981368,-0.186172,0.013664,-5.635,-0.175,6.685,-0.4815,-0.708,-0.534,0
07/10/2025 15:54:44.707,0.977708,-0.187392,0.005124,-6.23,0.315,6.825,-0.477,-0.7035,-0.5415,0
