BLE Address: 5971E122EFC00
time	ax	ay	az	gx	gy	gz	mx	my	mz

04/03/2025 15:04:25.791	0.935008	0.149328	0.303292	-1.61	-0.84	-2.52	-0.4365	-0.945	-0.234
04/03/2025 15:04:25.811	0.935984	0.13908	0.299144	-2.03	-1.015	-2.485	-0.4185	-0.9495	-0.2235
04/03/2025 15:04:25.831	0.933788	0.135664	0.295484	-1.575	-0.84	-2.345	-0.423	-0.9435	-0.2235
04/03/2025 15:04:25.851	0.923296	0.136152	0.296216	-0.98	-0.56	-2.03	-0.4275	-0.957	-0.228
04/03/2025 15:04:25.871	0.93452	0.138104	0.299144	-0.455	-0.49	-1.68	-0.408	-0.966	-0.231
04/03/2025 15:04:25.891	0.934032	0.134444	0.299632	0.105	0.07	-1.33	-0.423	-0.963	-0.228
04/03/2025 15:04:25.911	0.936716	0.133956	0.299388	0.63	0.84	-1.015	-0.423	-0.954	-0.222
04/03/2025 15:04:25.931	0.933788	0.139568	0.29768	0.77	1.225	-0.98	-0.402	-0.9705	-0.234
04/03/2025 15:04:25.951	0.931348	0.142008	0.29768	0.595	1.295	-0.875	-0.402	-0.9705	-0.234
04/03/2025 15:04:25.971	0.932812	0.141276	0.296216	0.525	1.4	-0.665	-0.4215	-0.9705	-0.234
04/03/2025 15:04:25.991	0.93452	0.143716	0.294752	0.63	1.26	-0.455	-0.4065	-0.954	-0.2505
04/03/2025 15:04:26.011	0.941596	0.142984	0.298412	0.735	0.91	0	-0.411	-0.951	-0.234
04/03/2025 15:04:26.031	0.94184	0.144448	0.293044	0.91	1.015	0.28	-0.4155	-0.9585	-0.237
04/03/2025 15:04:26.051	0.933544	0.151524	0.298168	0.805	0.77	0.35	-0.417	-0.9705	-0.234
04/03/2025 15:04:26.071	0.931836	0.152744	0.298168	0.455	0.42	0.35	-0.435	-0.972	-0.2205
04/03/2025 15:04:26.091	0.93452	0.15128	0.293776	-0.035	0.175	0.14	-0.453	-0.981	-0.24
04/03/2025 15:04:26.111	0.934032	0.146888	0.295728	-0.525	-0.175	-0.035	-0.4605	-0.981	-0.24
04/03/2025 15:04:26.131	0.923784	0.14762	0.299632	-0.63	-0.35	0	-0.4875	-1.023	-0.2295
04/03/2025 15:04:26.151	0.928664	0.151768	0.299632	-0.7	-0.35	0.105	-0.5115	-1.0095	-0.237
04/03/2025 15:04:26.171	0.935008	0.149572	0.30256	-0.63	-0.385	0.175	-0.5145	-1.0185	-0.2415
04/03/2025 15:04:26.191	0.932568	0.14762	0.298168	-0.245	-0.21	0.245	-0.5205	-1.017	-0.246
04/03/2025 15:04:26.211	0.934276	0.153232	0.301828	0.315	-0.035	0.105	-0.5235	-1.017	-0.249
04/03/2025 15:04:26.231	0.933544	0.156892	0.306464	0.35	-0.455	-0.035	-0.5355	-1.026	-0.2415
04/03/2025 15:04:26.251	0.94306	0.155184	0.30866	0.035	-0.56	-0.175	-0.546	-1.0095	-0.2535
04/03/2025 15:04:26.271	0.926468	0.150792	0.304756	-0.84	-0.455	-0.42	-0.528	-1.0005	-0.255
04/03/2025 15:04:26.291	0.926956	0.152012	0.30378	-2.135	-0.735	-0.63	-0.531	-1.002	-0.258
04/03/2025 15:04:26.311	0.929396	0.144448	0.305732	-3.395	-0.735	-0.42	-0.5355	-1.011	-0.249
04/03/2025 15:04:26.331	0.925248	0.139812	0.309392	-3.045	-0.42	-0.28	-0.5355	-1.011	-0.249
04/03/2025 15:04:26.351	0.942328	0.137616	0.301828	-1.785	0.105	-0.07	-0.5355	-1.005	-0.2475
04/03/2025 15:04:26.371	0.93452	0.144448	0.301828	-0.105	1.26	-0.21	-0.546	-1.002	-0.246
04/03/2025 15:04:26.391	0.931348	0.140544	0.299632	1.015	1.33	0.21	-0.5355	-1.008	-0.261
04/03/2025 15:04:26.411	0.93208	0.152012	0.293532	1.925	1.26	0.35	-0.537	-1.014	-0.255
