BLE Address: F9662E9B9EF00
time	ax	ay	az	gx	gy	gz	mx	my	mz	

04/18/2025 10:36:18.091	0.909144	-0.535336	0.329644	0.525	-0.07	2.17	-0.3975	-0.861	-0.516
04/18/2025 10:36:18.111	0.908168	-0.529236	0.33062	0.7	-0.035	1.855	-0.3885	-0.861	-0.51
04/18/2025 10:36:18.131	0.908412	-0.5368	0.3294	0.945	0.035	1.61	-0.3885	-0.861	-0.51
04/18/2025 10:36:18.151	0.909388	-0.535336	0.329644	1.505	-0.035	1.435	-0.3945	-0.8595	-0.498
04/18/2025 10:36:18.171	0.91622	-0.528504	0.32452	1.715	-0.105	1.295	-0.3945	-0.8595	-0.498	
04/18/2025 10:36:18.191	0.90524	-0.530212	0.324764	1.295	0	0.98	-0.402	-0.8685	-0.495
04/18/2025 10:36:18.211	0.909144	-0.529724	0.327692	1.26	0.105	0.84	-0.399	-0.8685	-0.486
04/18/2025 10:36:18.231	0.905972	-0.538264	0.321104	1.19	0.105	0.595	-0.3945	-0.87	-0.4815
04/18/2025 10:36:18.251	0.903532	-0.53558	0.320372	1.295	-0.07	0.42	-0.3915	-0.867	-0.486
04/18/2025 10:36:18.271	0.903532	-0.537776	0.316956	1.155	-0.105	0.21	-0.3945	-0.8685	-0.4935
04/18/2025 10:36:18.291	0.905484	-0.532408	0.322568	0.945	-0.14	-0.035	-0.393	-0.8685	-0.4815
04/18/2025 10:36:18.311	0.90646	-0.529968	0.317932	0.63	-0.14	-0.175	-0.393	-0.8625	-0.4905
04/18/2025 10:36:18.331	0.91012	-0.536312	0.318664	0.49	-0.21	-0.28	-0.39	-0.87	-0.4845
04/18/2025 10:36:18.351	0.90524	-0.540704	0.325008	0.595	-0.21	-0.315	-0.381	-0.873	-0.489
04/18/2025 10:36:18.371	0.905972	-0.54046	0.3233	0.84	-0.35	-0.28	-0.381	-0.873	-0.489
04/18/2025 10:36:18.391	0.908656	-0.54168	0.3233	1.085	-0.315	-0.42	-0.3945	-0.8655	-0.4815
04/18/2025 10:36:18.411	0.910364	-0.537044	0.322568	0.945	-0.315	-0.42	-0.3825	-0.8745	-0.492
04/18/2025 10:36:18.431	0.904996	-0.540948	0.320128	0.385	-0.245	-0.315	-0.3795	-0.8685	-0.492
04/18/2025 10:36:18.451	0.904508	-0.537044	0.32086	0.035	-0.175	-0.105	-0.387	-0.855	-0.498
04/18/2025 10:36:18.471	0.90036	-0.542412	0.319152	-0.07	-0.14	0.14	-0.381	-0.8625	-0.507
04/18/2025 10:36:18.491	0.898896	-0.535336	0.3172	-0.035	-0.175	0.21	-0.387	-0.861	-0.507
04/18/2025 10:36:18.511	0.9028	-0.540704	0.32208	-0.21	-0.385	0.105	-0.39	-0.8535	-0.504
04/18/2025 10:36:18.531	0.909876	-0.544608	0.31842	0.42	-0.7	-0.28	-0.39	-0.858	-0.504
04/18/2025 10:36:18.551	0.915488	-0.547536	0.327204	1.54	-1.225	-0.595	-0.39	-0.8595	-0.4935
04/18/2025 10:36:18.571	0.913048	-0.545096	0.326716	1.61	-1.015	-0.455	-0.39	-0.8595	-0.4935
04/18/2025 10:36:18.591	0.909144	-0.537776	0.322324	0.805	-0.665	-0.14	-0.384	-0.8685	-0.4905
04/18/2025 10:36:18.611	0.907924	-0.542168	0.327204	-0.14	-0.35	0.385	-0.396	-0.8625	-0.498
04/18/2025 10:36:18.631	0.90646	-0.547536	0.324276	-0.56	0	0.63	-0.3915	-0.8745	-0.4995
04/18/2025 10:36:18.651	0.907924	-0.539728	0.32086	-0.455	0.07	0.77	-0.405	-0.8835	-0.501
04/18/2025 10:36:18.671	0.911828	-0.538752	0.322812	-0.385	0.105	0.525	-0.4035	-0.879	-0.4995
04/18/2025 10:36:18.691	0.89792	-0.53558	0.3233	-0.07	0.175	0.105	-0.39	-0.8715	-0.4995
04/18/2025 10:36:18.711	0.898652	-0.533384	0.321592	0.035	0.07	-0.245	-0.3945	-0.8805	-0.5205
04/18/2025 10:36:18.731	0.901092	-0.536068	0.311344	0	-0.07	-0.385	-0.3885	-0.885	-0.516
04/18/2025 10:36:18.751	0.904264	-0.541436	0.315492	0.105	0	-0.455	-0.3915	-0.8775	-0.5085
04/18/2025 10:36:18.771	0.908168	-0.541192	0.31354	0.07	-0.14	-0.385	-0.399	-0.8865	-0.519
04/18/2025 10:36:18.791	0.910364	-0.548756	0.317688	-0.175	-0.315	-0.385	-0.399	-0.8865	-0.519
04/18/2025 10:36:18.811	0.905728	-0.54778	0.319396	0.035	-0.56	-0.14	-0.393	-0.876	-0.5295
04/18/2025 10:36:18.831	0.904752	-0.5429	0.315736	0.385	-0.805	0.035	-0.3795	-0.882	-0.5385
04/18/2025 10:36:18.851	0.903044	-0.54168	0.3111	0.21	-0.945	0.245	-0.396	-0.864	-0.525
04/18/2025 10:36:18.871	0.903532	-0.540948	0.310124	-0.035	-0.91	0.315	-0.3915	-0.8745	-0.5235
04/18/2025 10:36:18.891	0.9028	-0.539728	0.316224	-0.49	-0.805	0.315	-0.4005	-0.876	-0.531
04/18/2025 10:36:18.911	0.904508	-0.54534	0.317932	-1.12	-0.665	0.105	-0.4065	-0.8625	-0.522
04/18/2025 10:36:18.931	0.902068	-0.54534	0.314272	-1.33	-0.63	-0.14	-0.402	-0.864	-0.5175
04/18/2025 10:36:18.951	0.908412	-0.546804	0.315492	-1.12	-0.735	-0.21	-0.4005	-0.873	-0.516
04/18/2025 10:36:18.971	0.903044	-0.540216	0.318176	-0.91	-0.84	-0.07	-0.4005	-0.873	-0.5085
04/18/2025 10:36:18.991	0.912072	-0.544364	0.315736	-1.295	-0.945	0.035	-0.408	-0.8805	-0.5115
04/18/2025 10:36:19.011	0.904996	-0.544608	0.317932	-1.47	-0.805	0.105	-0.4035	-0.87	-0.5055
04/18/2025 10:36:19.031	0.903044	-0.541192	0.315004	-1.575	-0.7	0.105	-0.399	-0.879	-0.507
04/18/2025 10:36:19.051	0.909876	-0.545584	0.316468	-1.68	-0.7	0.07	-0.399	-0.873	-0.507
04/18/2025 10:36:19.071	0.905728	-0.55022	0.325008	-1.785	-0.665	0.035	-0.405	-0.8655	-0.5295
04/18/2025 10:36:19.091	0.90402	-0.548024	0.322812	-1.435	-0.455	-0.07	-0.393	-0.87	-0.5055
04/18/2025 10:36:19.111	0.909388	-0.549732	0.320372	-1.75	-0.385	-0.175	-0.4035	-0.8805	-0.5025
04/18/2025 10:36:19.131	0.899872	-0.550952	0.318176	-2.24	-0.315	-0.07	-0.4035	-0.8805	-0.5025
04/18/2025 10:36:19.151	0.905484	-0.545828	0.32208	-2.415	-0.105	0.105	-0.399	-0.873	-0.51
04/18/2025 10:36:19.171	0.910852	-0.549976	0.324764	-2.59	0.07	0.315	-0.3945	-0.87	-0.513
04/18/2025 10:36:19.191	0.907192	-0.552904	0.325984	-2.345	0	0.315	-0.405	-0.8715	-0.507
04/18/2025 10:36:19.211	0.913048	-0.55022	0.325496	-1.575	0.105	0.28	-0.4005	-0.867	-0.5055
04/18/2025 10:36:19.231	0.904264	-0.545828	0.322812	-1.365	0.175	0.105	-0.3945	-0.861	-0.498
04/18/2025 10:36:19.251	0.911828	-0.543144	0.325252	-1.68	0.35	0.035	-0.3855	-0.867	-0.4815
04/18/2025 10:36:19.271	0.913048	-0.547292	0.324032	-2.205	0.525	0	-0.396	-0.87	-0.4935
04/18/2025 10:36:19.291	0.909632	-0.542412	0.32086	-1.68	0.49	0.245	-0.3975	-0.8745	-0.4845
04/18/2025 10:36:19.311	0.905728	-0.54046	0.322324	-1.295	0.49	0.14	-0.396	-0.864	-0.4875
04/18/2025 10:36:19.331	0.91256	-0.544364	0.321104	-0.91	0.385	-0.175	-0.402	-0.861	-0.48
04/18/2025 10:36:19.351	0.909632	-0.543388	0.325496	-0.175	0.42	-0.805	-0.402	-0.861	-0.48
04/18/2025 10:36:19.371	0.916708	-0.54656	0.329156	0.07	0.525	-1.155	-0.402	-0.861	-0.48
04/18/2025 10:36:19.391	0.91256	-0.538996	0.327204	0.42	0.665	-1.295	-0.3915	-0.873	-0.486
04/18/2025 10:36:19.411	0.914756	-0.542168	0.323056	0.35	0.735	-1.295	-0.393	-0.8745	-0.486
04/18/2025 10:36:19.431	0.912804	-0.544364	0.322324	0.315	0.875	-1.085	-0.384	-0.87	-0.486
04/18/2025 10:36:19.451	0.909876	-0.53924	0.331352	0.28	1.085	-0.805	-0.3915	-0.87	-0.492
04/18/2025 10:36:19.471	0.90158	-0.539484	0.320616	-0.385	1.225	-0.7	-0.3885	-0.867	-0.501
04/18/2025 10:36:19.491	0.901824	-0.540216	0.32086	-0.245	1.19	-1.015	-0.39	-0.8715	-0.5025
04/18/2025 10:36:19.511	0.904264	-0.543876	0.320128	0.42	1.085	-1.54	-0.3825	-0.87	-0.498
04/18/2025 10:36:19.531	0.90646	-0.536068	0.3172	1.085	0.84	-2.03	-0.3885	-0.8655	-0.501
04/18/2025 10:36:19.551	0.901824	-0.544364	0.3172	1.19	0.665	-2.415	-0.3885	-0.8655	-0.501
04/18/2025 10:36:19.571	0.908168	-0.54534	0.319884	1.505	0.525	-2.45	-0.3885	-0.8655	-0.501
04/18/2025 10:36:19.591	0.911584	-0.55144	0.320128	1.575	0.455	-2.1	-0.393	-0.864	-0.501
04/18/2025 10:36:19.611	0.915	-0.544852	0.3172	1.645	0.385	-1.715	-0.396	-0.8625	-0.4935
04/18/2025 10:36:19.631	0.907924	-0.543632	0.320372	1.365	0.455	-1.435	-0.3885	-0.8625	-0.4935
04/18/2025 10:36:19.651	0.905728	-0.539728	0.320616	0.91	0.42	-1.19	-0.3945	-0.87	-0.4995
04/18/2025 10:36:19.671	0.90524	-0.539728	0.324276	0.805	0.525	-1.015	-0.3915	-0.8685	-0.4995
04/18/2025 10:36:19.691	0.904752	-0.5429	0.318176	0.98	0.35	-0.98	-0.402	-0.8715	-0.483
04/18/2025 10:36:19.711	0.900116	-0.546316	0.320372	1.295	0.14	-0.945	-0.3975	-0.876	-0.4995
04/18/2025 10:36:19.731	0.90158	-0.54046	0.322568	1.785	0.07	-0.7	-0.3945	-0.876	-0.51
04/18/2025 10:36:19.751	0.900604	-0.53436	0.324764	1.68	0.14	-0.595	-0.3855	-0.882	-0.5025
04/18/2025 10:36:19.771	0.907192	-0.543144	0.321836	1.015	0.035	-0.35	-0.3855	-0.882	-0.5025
04/18/2025 10:36:19.791	0.90402	-0.544364	0.323544	1.05	-0.035	-0.105	-0.3945	-0.882	-0.516
04/18/2025 10:36:19.811	0.907924	-0.545584	0.3233	1.75	-0.105	0	-0.396	-0.879	-0.522
04/18/2025 10:36:19.831	0.90768	-0.53558	0.323056	2.03	-0.245	0.07	-0.3825	-0.8775	-0.528
04/18/2025 10:36:19.851	0.9028	-0.535092	0.326472	1.925	-0.28	0.21	-0.3885	-0.8715	-0.5445
04/18/2025 10:36:19.871	0.906216	-0.537288	0.330376	1.68	-0.105	0.245	-0.39	-0.8745	-0.534
04/18/2025 10:36:19.891	0.902556	-0.534848	0.328912	1.505	0.035	0.49	-0.3855	-0.8715	-0.531
04/18/2025 10:36:19.911	0.89792	-0.535336	0.330864	1.295	0.14	0.525	-0.384	-0.8715	-0.5295
04/18/2025 10:36:19.931	0.897432	-0.543632	0.328668	1.33	0.07	0.665	-0.3975	-0.879	-0.5385
04/18/2025 10:36:19.951	0.90158	-0.541192	0.332816	1.995	0.035	0.7	-0.3885	-0.876	-0.5235
04/18/2025 10:36:19.971	0.900848	-0.532408	0.334036	2.135	0.07	0.63	-0.4005	-0.8685	-0.519
04/18/2025 10:36:19.991	0.908168	-0.534604	0.325008	1.96	0.105	0.665	-0.4035	-0.87	-0.5235
04/18/2025 10:36:20.011	0.910852	-0.54168	0.329644	2.17	0.14	0.77	-0.4005	-0.8715	-0.513
04/18/2025 10:36:20.031	0.907192	-0.539728	0.328668	2.205	0.245	0.77	-0.4065	-0.8805	-0.5085
04/18/2025 10:36:20.051	0.913292	-0.536312	0.329644	1.785	0.595	0.98	-0.405	-0.8775	-0.51
04/18/2025 10:36:20.071	0.909876	-0.53924	0.324276	1.435	0.735	1.295	-0.4005	-0.879	-0.507
04/18/2025 10:36:20.091	0.897432	-0.537776	0.320128	1.365	0.805	1.505	-0.3975	-0.876	-0.513
04/18/2025 10:36:20.111	0.898896	-0.531432	0.318176	1.505	0.63	1.715	-0.3975	-0.876	-0.513
04/18/2025 10:36:20.131	0.899628	-0.534116	0.323056	1.47	0.385	1.365	-0.4035	-0.858	-0.5145
04/18/2025 10:36:20.151	0.90524	-0.536068	0.317932	2.52	-0.28	0.35	-0.3945	-0.876	-0.51
04/18/2025 10:36:20.171	0.907192	-0.543876	0.32086	3.43	-0.665	-0.035	-0.3945	-0.876	-0.5025
04/18/2025 10:36:20.191	0.91256	-0.544608	0.32574	3.71	-0.77	-0.035	-0.3915	-0.87	-0.522
04/18/2025 10:36:20.211	0.912804	-0.541192	0.327204	2.8	-0.665	0.245	-0.3975	-0.8745	-0.51
