BLE Address: F9662E9B9EF00
time	ax	ay	az	gx	gy	gz	mx	my	mz

05/08/2025 14:38:11.680	1.006256	0.00854	-0.03416	-0.385	0.525	-0.28	-0.357	-0.9555	-0.5715
05/08/2025 14:38:11.700	1.008696	0.001708	-0.03538	-1.505	0.105	0.07	-0.357	-0.951	-0.576
05/08/2025 14:38:11.720	1.009916	-0.005124	-0.037576	-0.035	0.805	-0.315	-0.3555	-0.951	-0.573
05/08/2025 14:38:11.740	1.008208	0.014396	-0.0366	1.225	0.805	-0.315	-0.342	-0.9495	-0.573
05/08/2025 14:38:11.760	1.003328	0.0183	-0.04026	-0.35	0.385	0.49	-0.342	-0.948	-0.576	
05/08/2025 14:38:11.780	1.006744	0.000488	-0.041724	-2.065	-0.28	1.12	-0.3315	-0.9465	-0.579
05/08/2025 14:38:11.800	1.008208	0.013664	-0.038308	1.085	-0.805	0.175	-0.3315	-0.9465	-0.579
05/08/2025 14:38:11.820	1.00894	0.030744	-0.03416	1.96	-0.595	-0.07	-0.3315	-0.9465	-0.579
05/08/2025 14:38:11.840	1.003816	0.01342	-0.038308	0.28	-0.525	-0.245	-0.303	-0.9465	-0.5685
05/08/2025 14:38:11.860	1.007964	0.011468	-0.039772	-0.245	-0.875	0.035	-0.309	-0.942	-0.5685
05/08/2025 14:38:11.880	1.005036	0.01952	-0.033428	0.455	-0.77	0.42	-0.3105	-0.936	-0.5445
05/08/2025 14:38:11.900	1.00772	0.020252	-0.032696	-0.595	-1.085	0.735	-0.315	-0.9405	-0.546
05/08/2025 14:38:11.920	1.006988	0.01586	-0.041724	-0.42	-1.12	0.455	-0.312	-0.9495	-0.5295
05/08/2025 14:38:11.940	1.006256	0.017324	-0.039528	-0.35	-1.225	0.14	-0.3135	-0.9465	-0.54
05/08/2025 14:38:11.960	1.00284	0.020984	-0.027328	0.035	-0.56	0.315	-0.3165	-0.9405	-0.519
05/08/2025 14:38:11.980	1.005036	0.018056	-0.038064	-0.77	-1.015	0.28	-0.3135	-0.9285	-0.516
05/08/2025 14:38:12.000	1.007476	0.015372	-0.038064	-0.595	-0.875	-0.385	-0.3225	-0.9405	-0.519
05/08/2025 14:38:12.020	1.01016	0.019764	-0.038552	0.595	-0.455	-1.12	-0.33	-0.945	-0.513
05/08/2025 14:38:12.040	1.010404	0.021472	-0.043432	0.665	-0.665	-1.575	-0.321	-0.9375	-0.528
05/08/2025 14:38:12.060	1.003328	0.014152	-0.037088	0.35	-1.225	-1.225	-0.321	-0.936	-0.513
05/08/2025 14:38:12.080	1.006988	0.012688	-0.0427	-0.595	-1.855	-0.14	-0.324	-0.936	-0.5265
05/08/2025 14:38:12.100	0.99796	0.01708	-0.036112	-0.875	-1.785	0.07	-0.3285	-0.942	-0.5265
05/08/2025 14:38:12.120	1.003084	0.013664	-0.038552	-0.49	-1.61	-0.84	-0.327	-0.9315	-0.528
05/08/2025 14:38:12.140	1.002596	0.017812	-0.039772	0.21	-1.295	-1.75	-0.33	-0.9345	-0.5295
05/08/2025 14:38:12.160	1.005036	0.005368	-0.03416	0.49	-0.7	-1.715	-0.324	-0.9405	-0.5235
05/08/2025 14:38:12.180	1.015528	0.009516	-0.031232	-1.085	-1.155	-0.7	-0.3225	-0.942	-0.5295
05/08/2025 14:38:12.200	1.005768	0.000732	-0.03172	-1.61	-0.35	0.105	-0.3345	-0.9375	-0.5355
05/08/2025 14:38:12.220	1.009672	0.00366	-0.03538	-0.28	-0.49	-0.63	-0.3315	-0.9465	-0.5265
05/08/2025 14:38:12.240	1.007476	0.0183	-0.03416	1.365	-0.07	-0.91	-0.342	-0.948	-0.522
