BLE Address: 2D2CD1AEC8C600
time	ax	ay	az	gx	gy	gz	mx	my	mz	

05/15/2025 11:05:15.362	0.963312	-0.265472	0.109556	-1.12	0.245	1.015	-0.582	-1.236	-0.8055
05/15/2025 11:05:15.382	0.961848	-0.2684	0.111264	-0.56	0.245	0.805	-0.5985	-1.2435	-0.789
05/15/2025 11:05:15.402	0.95526	-0.262544	0.109312	-0.21	0.07	0.455	-0.5745	-1.236	-0.81
05/15/2025 11:05:15.422	0.951844	-0.268156	0.106872	-0.385	0	0.315	-0.5715	-1.242	-0.7845
05/15/2025 11:05:15.442	0.952088	-0.263276	0.10858	-0.91	0.07	0.455	-0.582	-1.2435	-0.789	
05/15/2025 11:05:15.462	0.955748	-0.268888	0.107848	-1.295	0.175	0.7	-0.6015	-1.2405	-0.7845
05/15/2025 11:05:15.482	0.959164	-0.266936	0.105408	-1.61	0.315	0.98	-0.5895	-1.224	-0.8025
05/15/2025 11:05:15.502	0.964532	-0.264984	0.107604	-1.61	0.35	1.05	-0.6075	-1.2345	-0.8055
05/15/2025 11:05:15.522	0.958432	-0.265472	0.107604	-1.82	0.385	1.085	-0.6	-1.23	-0.8055
05/15/2025 11:05:15.542	0.959408	-0.26596	0.107848	-1.82	0.175	0.91	-0.5865	-1.2405	-0.798
05/15/2025 11:05:15.562	0.956724	-0.26474	0.104188	-1.82	-0.035	0.77	-0.597	-1.2375	-0.7815
05/15/2025 11:05:15.582	0.958188	-0.266204	0.105408	-1.645	-0.21	0.7	-0.5895	-1.2435	-0.792
05/15/2025 11:05:15.602	0.95526	-0.271572	0.107116	-1.435	-0.35	0.63	-0.5865	-1.2405	-0.792
05/15/2025 11:05:15.622	0.961116	-0.269376	0.108092	-0.665	-0.56	0.49	-0.591	-1.233	-0.7875
05/15/2025 11:05:15.642	0.960628	-0.272792	0.108336	-0.455	-0.56	0.42	-0.594	-1.2135	-0.792
05/15/2025 11:05:15.662	0.957212	-0.27694	0.108824	0.105	-0.84	0.28	-0.594	-1.2135	-0.792
05/15/2025 11:05:15.682	0.960872	-0.270108	0.112484	0.56	-1.015	0.105	-0.597	-1.236	-0.792
05/15/2025 11:05:15.702	0.961848	-0.269376	0.116876	0.385	-0.84	0.035	-0.591	-1.2375	-0.789
05/15/2025 11:05:15.722	0.964288	-0.265228	0.107604	0.21	-0.665	0.035	-0.6	-1.2345	-0.792
05/15/2025 11:05:15.742	0.96868	-0.269132	0.113948	-0.105	-0.35	0	-0.594	-1.227	-0.7875
05/15/2025 11:05:15.762	0.964288	-0.264984	0.109556	-0.42	-0.14	0.07	-0.6045	-1.248	-0.7965
05/15/2025 11:05:15.782	0.964776	-0.266448	0.108092	-0.665	0.035	0.035	-0.5895	-1.2375	-0.795
05/15/2025 11:05:15.802	0.960872	-0.26474	0.10736	-0.56	0.14	-0.035	-0.591	-1.236	-0.789
05/15/2025 11:05:15.822	0.961604	-0.266936	0.109556	-0.63	0.07	-0.14	-0.5925	-1.227	-0.7995
05/15/2025 11:05:15.842	0.964288	-0.268156	0.108336	-0.77	0.14	-0.21	-0.5865	-1.245	-0.81
05/15/2025 11:05:15.862	0.965508	-0.265228	0.105164	-0.84	0.21	-0.315	-0.6015	-1.251	-0.7815
05/15/2025 11:05:15.882	0.96258	-0.273524	0.109068	-0.98	0.35	-0.35	-0.5895	-1.23	-0.795
05/15/2025 11:05:15.902	0.959164	-0.26962	0.10736	-0.84	0.315	-0.385	-0.594	-1.233	-0.792
05/15/2025 11:05:15.922	0.966484	-0.271084	0.106872	-0.56	0.28	-0.455	-0.5895	-1.2465	-0.789
05/15/2025 11:05:15.942	0.96624	-0.273036	0.110776	-0.49	0.28	-0.49	-0.591	-1.233	-0.798
05/15/2025 11:05:15.962	0.962336	-0.27206	0.107604	-0.42	0.315	-0.42	-0.591	-1.2375	-0.789
05/15/2025 11:05:15.982	0.959408	-0.271816	0.112484	0.035	0.35	-0.28	-0.591	-1.2375	-0.789
05/15/2025 11:05:16.002	0.9577	-0.264496	0.111752	-0.07	0.385	-0.175	-0.591	-1.2375	-0.789
05/15/2025 11:05:16.022	0.960872	-0.266204	0.104676	-0.35	0.385	-0.105	-0.591	-1.2375	-0.792
05/15/2025 11:05:16.042	0.953308	-0.261568	0.10858	-0.595	0.49	-0.07	-0.5985	-1.2405	-0.798
05/15/2025 11:05:16.062	0.95282	-0.262056	0.108092	-1.085	0.455	-0.14	-0.594	-1.233	-0.795
05/15/2025 11:05:16.082	0.9577	-0.263764	0.108092	-1.295	0.28	-0.21	-0.594	-1.2225	-0.801
05/15/2025 11:05:16.102	0.957456	-0.275476	0.104432	-1.225	0.105	-0.385	-0.612	-1.2315	-0.795
05/15/2025 11:05:16.122	0.965264	-0.273036	0.10492	-0.735	0.035	-0.56	-0.597	-1.224	-0.795
05/15/2025 11:05:16.142	0.964776	-0.273524	0.109312	-0.14	0.07	-0.735	-0.591	-1.2405	-0.798
05/15/2025 11:05:16.162	0.96258	-0.277184	0.108336	0.49	0.105	-0.77	-0.576	-1.2495	-0.795
05/15/2025 11:05:16.182	0.962336	-0.276696	0.112972	0.98	-0.07	-0.7	-0.606	-1.248	-0.795
05/15/2025 11:05:16.202	0.95404	-0.277184	0.117852	1.505	-0.245	-0.385	-0.579	-1.233	-0.7815
05/15/2025 11:05:16.222	0.950136	-0.2684	0.11468	1.505	-0.35	-0.035	-0.6075	-1.2375	-0.789
05/15/2025 11:05:16.242	0.955504	-0.269132	0.112484	1.435	-0.385	0.315	-0.5835	-1.233	-0.7815
05/15/2025 11:05:16.262	0.963068	-0.269132	0.111264	1.645	-0.175	0.525	-0.6075	-1.2375	-0.789
05/15/2025 11:05:16.282	0.967216	-0.271328	0.109556	1.855	0.07	0.385	-0.594	-1.2345	-0.8055
05/15/2025 11:05:16.302	0.963556	-0.266692	0.109556	2.03	-0.035	0.35	-0.594	-1.2345	-0.8055
05/15/2025 11:05:16.322	0.962336	-0.248392	0.10614	1.995	-0.035	-0.245	-0.609	-1.2345	-0.792
05/15/2025 11:05:16.342	0.956236	-0.258396	0.104676	1.225	-0.175	-0.49	-0.597	-1.233	-0.792
05/15/2025 11:05:16.362	0.961848	-0.263032	0.101992	1.26	-0.525	-0.42	-0.6015	-1.2375	-0.789
05/15/2025 11:05:16.382	0.96136	-0.26474	0.108336	1.47	-0.525	-0.105	-0.6045	-1.2405	-0.7815
05/15/2025 11:05:16.402	0.959408	-0.266936	0.109068	1.435	-0.49	-0.105	-0.597	-1.233	-0.792
05/15/2025 11:05:16.422	0.9638	-0.260592	0.109068	1.505	-0.455	-0.105	-0.6075	-1.2405	-0.774
05/15/2025 11:05:16.442	0.96014	-0.260836	0.109312	1.295	-0.42	-0.21	-0.6015	-1.2465	-0.786
05/15/2025 11:05:16.462	0.961848	-0.266692	0.108824	1.26	-0.49	-0.28	-0.597	-1.2405	-0.789
05/15/2025 11:05:16.482	0.959652	-0.266936	0.106872	1.33	-0.35	-0.245	-0.5985	-1.251	-0.792
05/15/2025 11:05:16.502	0.961848	-0.270596	0.1159	1.435	-0.315	-0.14	-0.5985	-1.2405	-0.7875
05/15/2025 11:05:16.522	0.964288	-0.258884	0.111752	1.47	-0.385	0.035	-0.6225	-1.2435	-0.7815
05/15/2025 11:05:16.542	0.962336	-0.265716	0.110776	1.19	-0.315	0.14	-0.609	-1.2465	-0.7785
05/15/2025 11:05:16.562	0.958676	-0.271084	0.1037	1.225	-0.28	0.175	-0.6045	-1.2345	-0.795
05/15/2025 11:05:16.582	0.963068	-0.256932	0.111508	1.68	-0.49	0.175	-0.609	-1.2405	-0.7785
05/15/2025 11:05:16.602	0.961116	-0.255712	0.105408	0.98	0	0	-0.5985	-1.251	-0.795
05/15/2025 11:05:16.622	0.96624	-0.264008	0.115412	1.26	-0.7	-0.315	-0.5985	-1.251	-0.795
05/15/2025 11:05:16.642	0.956724	-0.258152	0.108336	0.84	-0.21	-0.35	-0.615	-1.2435	-0.7815
05/15/2025 11:05:16.662	0.96014	-0.264252	0.109068	0.595	-0.28	-0.245	-0.597	-1.2375	-0.795
05/15/2025 11:05:16.682	0.956724	-0.256688	0.106628	0.805	-0.105	-0.175	-0.609	-1.224	-0.792
05/15/2025 11:05:16.702	0.964288	-0.260104	0.108336	0.28	-0.385	-0.245	-0.6045	-1.2465	-0.7815
05/15/2025 11:05:16.722	0.9577	-0.264252	0.10736	0.245	-0.315	-0.42	-0.609	-1.245	-0.786
05/15/2025 11:05:16.742	0.961604	-0.254004	0.10736	0.385	-0.595	-0.595	-0.612	-1.245	-0.7965
05/15/2025 11:05:16.762	0.963068	-0.264008	0.114436	-0.14	-0.42	-0.805	-0.6165	-1.254	-0.7965
05/15/2025 11:05:16.782	0.963556	-0.262056	0.109556	-0.595	-0.315	-0.98	-0.5985	-1.2405	-0.7875
05/15/2025 11:05:16.802	0.969412	-0.2623	0.113216	-0.735	-0.245	-0.84	-0.609	-1.2435	-0.7845
05/15/2025 11:05:16.822	0.964776	-0.268888	0.111264	-0.315	-0.14	-0.7	-0.6045	-1.2375	-0.792
05/15/2025 11:05:16.842	0.964532	-0.264008	0.110532	-0.14	-0.175	-0.525	-0.615	-1.2405	-0.795
05/15/2025 11:05:16.862	0.962092	-0.263764	0.115412	-0.49	0	-0.385	-0.612	-1.248	-0.7965
05/15/2025 11:05:16.882	0.963068	-0.257908	0.112972	-0.49	-0.105	-0.455	-0.609	-1.2435	-0.7965
05/15/2025 11:05:16.902	0.960628	-0.260836	0.114192	-0.455	-0.035	-0.525	-0.6075	-1.2345	-0.789
05/15/2025 11:05:16.922	0.96624	-0.258396	0.104188	-0.56	0.07	-0.63	-0.612	-1.2375	-0.789
05/15/2025 11:05:16.942	0.95892	-0.259372	0.108092	-0.35	0.105	-0.7	-0.612	-1.2375	-0.789
05/15/2025 11:05:16.962	0.95282	-0.260836	0.107116	-0.315	-0.035	-0.77	-0.6165	-1.242	-0.795
05/15/2025 11:05:16.982	0.957456	-0.264252	0.103456	-0.14	-0.175	-0.945	-0.609	-1.248	-0.8025
05/15/2025 11:05:17.002	0.959652	-0.266204	0.107604	0.35	-0.49	-1.05	-0.6165	-1.242	-0.81
05/15/2025 11:05:17.022	0.965508	-0.26718	0.105408	0.385	-0.525	-1.12	-0.615	-1.2375	-0.81
05/15/2025 11:05:17.042	0.97112	-0.271816	0.107848	0.385	-0.315	-1.085	-0.6195	-1.239	-0.8175
05/15/2025 11:05:17.062	0.97234	-0.277184	0.109312	0.735	-0.105	-0.805	-0.6195	-1.2405	-0.795
05/15/2025 11:05:17.082	0.968924	-0.274256	0.110776	1.47	-0.28	-0.42	-0.6045	-1.251	-0.8025
05/15/2025 11:05:17.102	0.963068	-0.266692	0.11468	1.75	-0.245	0.035	-0.6045	-1.2375	-0.8055
