BLE Address: 842B55B99BD400
time	ax	ay	az	gx	gy	gz	mx	my	mz	

05/22/2025 13:39:50.313	0.897676	-0.459208	0.051728	0.665	0.035	-1.995	-1.1085	-1.461	-1.2495
05/22/2025 13:39:50.333	0.892308	-0.452864	0.053436	1.645	-0.14	-2.275	-1.086	-1.458	-1.2195
05/22/2025 13:39:50.353	0.897676	-0.450424	0.054412	2.73	-0.91	-2.31	-1.074	-1.4805	-1.203
05/22/2025 13:39:50.373	0.897432	-0.445544	0.058072	3.605	-1.645	-2.345	-1.0965	-1.485	-1.2345
05/22/2025 13:39:50.393	0.899384	-0.466284	0.052948	3.815	-2.205	-2.38	-1.089	-1.485	-1.2345	
05/22/2025 13:39:50.413	0.896212	-0.460672	0.046604	5.425	-2.835	-2.975	-1.1085	-1.461	-1.2315
05/22/2025 13:39:50.433	0.899628	-0.465064	0.050508	7.175	-3.15	-3.465	-1.089	-1.4625	-1.2345
05/22/2025 13:39:50.453	0.89792	-0.476044	0.050996	8.68	-3.605	-4.62	-1.074	-1.473	-1.218
05/22/2025 13:39:50.473	0.89792	-0.46726	0.048068	10.57	-4.095	-5.74	-1.0785	-1.458	-1.23
05/22/2025 13:39:50.493	0.89182	-0.479704	0.037088	14.385	-4.13	-7.14	-1.086	-1.473	-1.26
05/22/2025 13:39:50.513	0.899628	-0.482388	0.041236	20.58	-3.78	-7.875	-1.035	-1.485	-1.2705
05/22/2025 13:39:50.533	0.900848	-0.4819	0.055876	27.195	-2.94	-8.75	-1.071	-1.5105	-1.275
05/22/2025 13:39:50.553	0.904264	-0.464332	0.049044	35.63	-2.415	-9.8	-1.065	-1.5105	-1.2975
05/22/2025 13:39:50.573	0.917928	-0.453596	0.069784	44.065	-1.82	-10.395	-1.0785	-1.533	-1.263
05/22/2025 13:39:50.593	0.92598	-0.403332	0.083692	49.14	-2.73	-11.025	-1.089	-1.533	-1.272
05/22/2025 13:39:50.613	0.915244	-0.377468	0.101016	48.09	-3.5	-8.855	-1.0485	-1.557	-1.278
05/22/2025 13:39:50.633	0.918904	-0.381616	0.100528	41.545	-4.585	-7.07	-1.056	-1.56	-1.3005
05/22/2025 13:39:50.653	0.9333	-0.382592	0.108824	30.73	-6.3	-5.565	-1.062	-1.5945	-1.2855
05/22/2025 13:39:50.673	0.916952	-0.388936	0.101504	15.33	-8.155	-3.15	-1.092	-1.608	-1.2855
05/22/2025 13:39:50.693	0.930372	-0.398696	0.08662	6.79	-10.01	-3.045	-1.0845	-1.605	-1.2825
05/22/2025 13:39:50.713	0.90158	-0.417484	0.072712	3.43	-9.065	-2.765	-1.0995	-1.623	-1.2975
05/22/2025 13:39:50.733	0.911828	-0.404064	0.06466	4.445	-8.855	-3.22	-1.107	-1.6125	-1.2795
05/22/2025 13:39:50.753	0.91744	-0.4148	0.05978	6.405	-7.385	-3.01	-1.1205	-1.605	-1.257
05/22/2025 13:39:50.773	0.925492	-0.420168	0.07442	10.71	-5.46	-2.555	-1.1025	-1.605	-1.2645
05/22/2025 13:39:50.793	0.930128	-0.37942	0.082716	12.425	-4.095	-2.415	-1.0875	-1.6095	-1.2675
05/22/2025 13:39:50.813	0.92232	-0.39894	0.084912	8.295	-2.17	-1.365	-1.086	-1.635	-1.2255
05/22/2025 13:39:50.833	0.906216	-0.41846	0.064416	6.58	2.1	-1.82	-1.11	-1.59	-1.233
05/22/2025 13:39:50.853	0.900848	-0.4209	0.055632	12.39	4.165	-6.93	-1.098	-1.6125	-1.248
05/22/2025 13:39:50.873	0.913048	-0.428952	0.0366	23.765	2.66	-11.375	-1.1235	-1.6275	-1.242
05/22/2025 13:39:50.893	0.918416	-0.414556	0.038308	39.935	2.205	-13.23	-1.1025	-1.62	-1.248
05/22/2025 13:39:50.913	0.925492	-0.397232	0.061976	57.47	2.59	-14.63	-1.101	-1.665	-1.2675
05/22/2025 13:39:50.933	0.933544	-0.400404	0.06954	72.24	3.01	-15.47	-1.0785	-1.674	-1.2405
05/22/2025 13:39:50.953	0.942084	-0.328424	0.11224	86.17	4.585	-15.47	-1.0785	-1.674	-1.2405
05/22/2025 13:39:50.973	0.938424	-0.317932	0.119316	90.93	4.235	-13.37	-1.086	-1.674	-1.2255
05/22/2025 13:39:50.993	0.94916	-0.352824	0.152744	91.21	6.37	-11.41	-1.074	-1.704	-1.224
05/22/2025 13:39:51.013	0.95282	-0.312076	0.210816	92.33	11.13	-11.515	-1.0845	-1.7115	-1.2015
05/22/2025 13:39:51.033	0.947452	-0.296948	0.228628	83.51	11.165	-7.98	-1.0725	-1.7265	-1.2015
05/22/2025 13:39:51.053	0.926712	-0.295484	0.246684	66.85	7.56	-4.76	-1.068	-1.7565	-1.1895
05/22/2025 13:39:51.073	0.9333	-0.311344	0.232044	48.405	2.835	-4.445	-1.0905	-1.7565	-1.179
05/22/2025 13:39:51.093	0.928908	-0.363316	0.213256	42.91	2.8	-4.9	-1.071	-1.746	-1.179
05/22/2025 13:39:51.113	0.938912	-0.332572	0.216428	50.4	3.325	-6.65	-1.0755	-1.746	-1.2015
05/22/2025 13:39:51.133	0.935008	-0.302072	0.21228	52.605	3.185	-5.285	-1.068	-1.761	-1.1775
05/22/2025 13:39:51.153	0.931104	-0.278892	0.225944	43.47	1.155	-3.885	-1.0965	-1.776	-1.1445
05/22/2025 13:39:51.173	0.924516	-0.323544	0.220088	30.765	-0.35	-3.045	-1.0815	-1.7715	-1.152
05/22/2025 13:39:51.193	0.936472	-0.327936	0.229604	29.785	-0.175	-3.29	-1.0665	-1.776	-1.1325
05/22/2025 13:39:51.213	0.937204	-0.266692	0.254736	27.405	1.89	-3.78	-1.0665	-1.776	-1.1325
05/22/2025 13:39:51.233	0.915732	-0.263764	0.25498	17.255	0.63	-3.43	-1.0665	-1.776	-1.1325
05/22/2025 13:39:51.253	0.919392	-0.27206	0.247904	2.275	-1.82	-3.08	-1.083	-1.7805	-1.0905
05/22/2025 13:39:51.273	0.92964	-0.29036	0.237412	-9.52	-4.34	-3.325	-1.0605	-1.7925	-1.0785
05/22/2025 13:39:51.293	0.939156	-0.2806	0.241072	-16.73	-4.97	-2.765	-1.056	-1.7955	-1.0635
05/22/2025 13:39:51.313	0.939156	-0.2745	0.236192	-27.685	-6.055	-1.33	-1.0965	-1.788	-1.0575
05/22/2025 13:39:51.333	0.939156	-0.244488	0.227896	-40.215	-6.755	0.7	-1.0815	-1.788	-1.0425
05/22/2025 13:39:51.353	0.931836	-0.244976	0.228628	-58.17	-6.09	3.29	-1.092	-1.7685	-1.0995
05/22/2025 13:39:51.373	0.942816	-0.255712	0.228628	-81.69	-6.405	7.245	-1.0695	-1.761	-1.098
05/22/2025 13:39:51.393	0.9333	-0.292312	0.191052	-104.895	-5.95	11.06	-1.074	-1.7505	-1.11
05/22/2025 13:39:51.413	0.936472	-0.30378	0.1708	-114.38	-4.76	11.62	-1.0635	-1.746	-1.1325
05/22/2025 13:39:51.433	0.938668	-0.328424	0.152256	-118.825	-3.78	11.97	-1.089	-1.731	-1.134
05/22/2025 13:39:51.453	0.930616	-0.349652	0.1525	-119.945	-0.98	12.04	-1.0605	-1.719	-1.137
05/22/2025 13:39:51.473	0.927444	-0.389668	0.125904	-112.7	2.45	10.885	-1.0725	-1.662	-1.1595
05/22/2025 13:39:51.493	0.930616	-0.390888	0.086132	-102.48	4.2	10.185	-1.0725	-1.662	-1.1595
05/22/2025 13:39:51.513	0.928664	-0.39528	0.09857599	-91.595	5.985	9.66	-1.0605	-1.6065	-1.194
05/22/2025 13:39:51.533	0.942328	-0.388936	0.10858	-87.57	6.685	9.52	-1.0785	-1.587	-1.206
05/22/2025 13:39:51.553	0.926956	-0.411384	0.088816	-84.21	6.685	9.31	-1.0605	-1.587	-1.2135
05/22/2025 13:39:51.573	0.930372	-0.44286	0.082716	-74.27	6.23	8.26	-1.095	-1.56	-1.2105
05/22/2025 13:39:51.593	0.923052	-0.45384	0.068564	-60.76	5.985	7.56	-1.08	-1.5495	-1.2105
05/22/2025 13:39:51.613	0.923052	-0.43676	0.0732	-48.405	5.565	6.825	-1.11	-1.548	-1.2345
05/22/2025 13:39:51.633	0.915244	-0.446764	0.072956	-38.36	4.585	5.565	-1.0875	-1.5225	-1.215
05/22/2025 13:39:51.653	0.912316	-0.448716	0.051728	-27.16	3.5	3.78	-1.0875	-1.5225	-1.215
05/22/2025 13:39:51.673	0.911584	-0.470676	0.03782	-11.06	2.17	1.855	-1.0815	-1.5105	-1.2255
05/22/2025 13:39:51.693	0.91378	-0.445788	0.034892	8.12	1.68	-0.21	-1.0815	-1.53	-1.2375
05/22/2025 13:39:51.713	0.909144	-0.502884	0.019032	28.805	0.455	-1.89	-1.0695	-1.5195	-1.2225
05/22/2025 13:39:51.733	0.90646	-0.526064	0.007076	60.48	-1.085	-4.83	-1.077	-1.515	-1.2105
05/22/2025 13:39:51.753	0.910608	-0.453596	0.019276	112	-3.5	-8.54	-1.065	-1.5345	-1.2255
05/22/2025 13:39:51.773	0.919636	-0.378688	0.058316	127.855	-5.355	-9.275	-1.065	-1.5645	-1.233
05/22/2025 13:39:51.793	0.929396	-0.31476	0.09272	127.785	-7.07	-8.995	-1.053	-1.614	-1.2315
05/22/2025 13:39:51.813	0.928908	-0.268156	0.133956	113.75	-8.68	-7.315	-1.068	-1.6545	-1.2285
05/22/2025 13:39:51.833	0.931836	-0.251076	0.157624	87.045	-9.415	-5.005	-1.053	-1.6395	-1.224
05/22/2025 13:39:51.853	0.925004	-0.255712	0.163724	55.265	-8.68	-2.24	-1.074	-1.689	-1.236
05/22/2025 13:39:51.873	0.9272	-0.264496	0.157624	26.565	-7.42	0.63	-1.092	-1.7025	-1.236
05/22/2025 13:39:51.893	0.935252	-0.287188	0.148108	1.925	-6.685	2.03	-1.0845	-1.7265	-1.236
05/22/2025 13:39:51.913	0.9455	-0.36356	0.13786	-11.9	-5.88	1.715	-1.0815	-1.692	-1.239
05/22/2025 13:39:51.933	0.94794	-0.379908	0.134444	-11.76	-4.865	0.77	-1.089	-1.6995	-1.248
05/22/2025 13:39:51.953	0.941596	-0.376736	0.151768	-6.055	-6.195	1.26	-1.0965	-1.695	-1.2585
05/22/2025 13:39:51.973	0.933056	-0.357216	0.156892	-1.26	-5.81	1.61	-1.107	-1.7145	-1.236
05/22/2025 13:39:51.993	0.928908	-0.368684	0.157624	0.28	-6.545	2.8	-1.1205	-1.6875	-1.2705
05/22/2025 13:39:52.013	0.943792	-0.352824	0.164944	0.315	-10.605	4.865	-1.107	-1.7145	-1.233
05/22/2025 13:39:52.033	0.931104	-0.400648	0.157868	-0.84	-9.555	5.355	-1.107	-1.7145	-1.233
05/22/2025 13:39:52.053	0.928176	-0.409432	0.144692	-0.21	-8.47	5.11	-1.107	-1.71	-1.236
05/22/2025 13:39:52.073	0.914512	-0.366244	0.147376	3.22	-5.6	4.69	-1.107	-1.6995	-1.2255
05/22/2025 13:39:52.093	0.9272	-0.361608	0.178852	4.515	-3.535	4.585	-1.107	-1.7145	-1.2255
05/22/2025 13:39:52.113	0.937692	-0.36478	0.164944	1.645	-1.295	4.41	-1.11	-1.6875	-1.206
05/22/2025 13:39:52.133	0.922808	-0.40016	0.14152	-1.785	0.455	2.8	-1.0845	-1.692	-1.1835
05/22/2025 13:39:52.153	0.924272	-0.401624	0.152256	0.245	0.805	2.485	-1.122	-1.665	-1.203
05/22/2025 13:39:52.173	0.926468	-0.386252	0.138348	2.135	-0.595	1.225	-1.122	-1.68	-1.203
05/22/2025 13:39:52.193	0.923784	-0.395524	0.126636	2.03	-2.205	1.61	-1.1145	-1.6995	-1.2105
05/22/2025 13:39:52.213	0.92598	-0.38796	0.116632	2.24	-2.275	2.695	-1.107	-1.7115	-1.203
05/22/2025 13:39:52.233	0.924272	-0.377956	0.116144	2.415	-1.225	3.64	-1.1025	-1.665	-1.191
