subject,file,precision,recall,f1,accuracy
sub12,Device2_sub12_annotated,0.0,0.0,0.0,0.8834080717488789
sub13,Device2_sub13_annotated,0.0,0.0,0.0,0.7564935064935064
sub14,Device2_sub14_annotated,0.0,0.0,0.0,0.8537549407114624
sub16,Device2_sub16_annotated,0.0,0.0,0.0,0.7582781456953642
sub17,Device2_sub17_annotated,0.05714285714285714,0.019417475728155338,0.028985507246376812,0.7184873949579832
sub1,Device2_sub1_annotated,0.0,0.0,0.0,0.6313559322033898
sub2,Device2_sub2_annotated,0.0,0.0,0.0,0.4014084507042254
sub3,Device2_sub3_annotated,0.061224489795918366,0.11538461538461539,0.08,0.8470066518847007
sub4,Device2_sub4_annotated,0.0,0.0,0.0,0.8137535816618912
sub5,Device2_sub5_annotated,0.0125,0.1111111111111111,0.02247191011235955,0.583732057416268
sub6,Device2_sub6_annotated,0.0,0.0,0.0,0.9195402298850575
sub7,Device2_sub7_annotated,0.012658227848101266,0.08333333333333333,0.02197802197802198,0.6821428571428572
sub8,Device2_sub8_annotated,0.0,0.0,0.0,0.9668508287292817
sub9,Device2_sub9_annotated,0.0,0.0,0.0,0.7567567567567568
