subject,activity,wrist,precision,recall,f1,accuracy
Sub12,sub12,left,1.0,1.0,1.0,1.0
Sub13,sub13,left,1.0,1.0,1.0,1.0
Sub14,sub14,left,1.0,1.0,1.0,1.0
Sub16,sub16,left,0.4583333333333333,0.5789473684210527,0.5116279069767442,0.932258064516129
Sub17,sub17,left,1.0,1.0,1.0,1.0
Sub1,sub1,left,1.0,1.0,1.0,1.0
Sub2,sub2,left,1.0,1.0,1.0,1.0
Sub3,sub3,left,0.0,0.0,0.0,0.934640522875817
Sub4,sub4,left,1.0,1.0,1.0,1.0
Sub5,sub5,left,1.0,1.0,1.0,1.0
Sub6,sub6,left,0.4444444444444444,0.5925925925925926,0.5079365079365079,0.8847583643122676
Sub7,sub7,left,0.45454545454545453,0.16129032258064516,0.23809523809523808,0.8888888888888888
Sub8,sub8,left,1.0,1.0,1.0,1.0
Sub9,sub9,left,1.0,1.0,1.0,1.0
