yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-11	16:32:06.210	0.21	-0.21	-0.63	-0.049532	0.702964	0.718336	0.483	1.14	-0.228	0	50	731	1
2026-02-11	16:32:06.230	-0.175	-0.28	-0.77	-0.051728	0.698084	0.720288	0.477	1.1445	-0.228	0	50	731	1
2026-02-11	16:32:06.250	-0.105	-0.315	-0.77	-0.052704	0.698084	0.715408	0.4815	1.1535	-0.228	0	50	731	1
2026-02-11	16:32:06.270	0	-0.245	-0.7	-0.051972	0.69906	0.716872	0.4845	1.1385	-0.2265	0	50	731	1
2026-02-11	16:32:06.290	0	-0.28	-0.7	-0.051728	0.701012	0.71614	0.48	1.1355	-0.234	0	50	731	1
2026-02-11	16:32:06.310	-0.21	-0.35	-0.7	-0.048556	0.695644	0.711504	0.477	1.1355	-0.231	0	50	731	1
2026-02-11	16:32:06.330	0	-0.315	-0.595	-0.05002	0.699548	0.718824	0.4755	1.1355	-0.2295	0	50	731	1
2026-02-11	16:32:06.350	-0.035	-0.28	-0.56	-0.053924	0.704672	0.720532	0.4845	1.1445	-0.2265	0	50	731	1
2026-02-11	16:32:06.370	-0.105	-0.14	-0.56	-0.053192	0.702964	0.7137	0.4725	1.137	-0.228	0	50	731	1
2026-02-11	16:32:06.390	-0.315	-0.21	-0.665	-0.047336	0.698572	0.71248	0.48	1.137	-0.228	0	50	731	1
2026-02-11	16:32:06.410	-0.35	-0.245	-0.63	-0.047824	0.696132	0.715896	0.483	1.1385	-0.2265	0	44	731	1
2026-02-11	16:32:06.430	-0.175	-0.315	-0.56	-0.055144	0.702476	0.71858	0.4815	1.1355	-0.234	0	44	731	1
2026-02-11	16:32:06.450	-0.14	-0.28	-0.56	-0.052216	0.696864	0.715896	0.4785	1.1385	-0.2295	0	44	731	1
2026-02-11	16:32:06.470	0.49	-0.14	-0.455	-0.047336	0.692228	0.715408	0.489	1.1385	-0.2295	0	44	731	1
2026-02-11	16:32:06.490	0.525	-0.07	-0.21	-0.047824	0.705892	0.718092	0.489	1.1385	-0.2295	0	44	731	1
2026-02-11	16:32:06.510	0.245	-0.105	-0.28	-0.054412	0.711504	0.720044	0.48	1.1325	-0.234	0	44	731	1
2026-02-11	16:32:06.530	0.175	-0.21	-0.455	-0.0549	0.690276	0.70882	0.477	1.1415	-0.2265	0	44	731	1
