yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-11	16:32:06.210	-3.29	2.485	-2.03	-0.193004	-0.184464	0.960872	-1.113	0.6615	0.0525	0	81	992	1
2026-02-11	16:32:06.230	3.43	2.45	0.49	-0.21106	-0.08784	0.982344	-1.113	0.6615	0.0525	0	81	992	1
2026-02-11	16:32:06.250	-0.525	0.875	0.98	-0.20008	-0.099552	1.002596	-1.11	0.6615	0.051	0	81	992	1
2026-02-11	16:32:06.270	-4.62	0.385	2.205	-0.201788	-0.134444	0.97234	-1.113	0.6645	0.0525	0	81	992	1
2026-02-11	16:32:06.290	-3.185	-0.7	2.835	-0.201544	-0.19276	0.950624	-1.1145	0.669	0.0525	0	81	992	1
2026-02-11	16:32:06.310	4.795	-1.295	3.43	-0.203252	-0.196908	0.964288	-1.1145	0.6705	0.0525	0	81	992	1
2026-02-11	16:32:06.330	10.29	-2.765	4.305	-0.204472	-0.174216	0.970388	-1.119	0.669	0.0555	0	81	992	1
2026-02-11	16:32:06.350	13.51	-4.725	4.935	-0.209352	-0.15006	0.974048	-1.116	0.6645	0.048	0	81	992	1
2026-02-11	16:32:06.370	16.73	-5.81	4.165	-0.209108	-0.121512	0.954284	-1.107	0.6645	0.0525	0	81	992	1
2026-02-11	16:32:06.390	16.765	-4.41	1.085	-0.197152	-0.053192	1.064084	-1.1055	0.6675	0.0555	0	81	992	1
2026-02-11	16:32:06.410	-1.33	-0.105	-1.225	-0.195932	-0.068076	1.024312	-1.1055	0.6615	0.0555	0	71	994	1
2026-02-11	16:32:06.430	-11.165	1.54	-2.415	-0.20008	-0.111752	0.937936	-1.104	0.6645	0.0585	0	71	994	1
2026-02-11	16:32:06.450	-9.31	2.485	-4.2	-0.194468	-0.130052	0.985272	-1.104	0.6585	0.0585	0	71	994	1
2026-02-11	16:32:06.470	-11.27	3.675	-4.83	-0.201544	-0.098332	0.982588	-1.1025	0.6645	0.0525	0	71	994	1
2026-02-11	16:32:06.490	-13.895	3.29	-4.9	-0.199104	-0.142984	0.968436	-1.104	0.666	0.0555	0	71	994	1
2026-02-11	16:32:06.510	-9.975	1.505	-2.94	-0.199104	-0.1952	0.953796	-1.104	0.666	0.0555	0	71	994	1
2026-02-11	16:32:06.530	-2.275	1.33	-0.7	-0.197884	-0.185684	0.950624	-1.1055	0.663	0.0525	0	71	994	1
2026-02-11	16:32:06.550	3.955	1.89	-0.035	-0.20252	-0.147376	0.979904	-1.107	0.66	0.048	0	71	994	1
2026-02-11	16:32:06.570	4.585	1.715	-0.245	-0.213256	-0.099552	0.9882	-1.104	0.6645	0.0495	0	71	994	1
2026-02-11	16:32:06.590	1.33	1.12	-0.7	-0.209596	-0.122732	0.980392	-1.1055	0.663	0.048	0	71	994	1
2026-02-11	16:32:06.610	-0.63	1.015	-1.295	-0.204716	-0.131272	0.978196	-1.107	0.6555	0.0465	0	65	995	1
2026-02-11	16:32:06.630	-1.155	1.225	-2.03	-0.205204	-0.139812	0.97844	-1.1055	0.6555	0.0495	0	65	995	1
2026-02-11	16:32:06.650	-1.925	1.785	-2.555	-0.209352	-0.119804	0.983076	-1.098	0.6585	0.048	0	65	995	1
2026-02-11	16:32:06.670	-4.025	1.645	-2.59	-0.205204	-0.13176	0.980148	-1.104	0.663	0.054	0	65	995	1
2026-02-11	16:32:06.690	-5.11	0.805	-1.96	-0.21106	-0.143228	0.970876	-1.107	0.6585	0.0555	0	65	995	1
2026-02-11	16:32:06.710	-4.095	-0.28	-0.945	-0.20984	-0.167384	0.964288	-1.1025	0.663	0.051	0	65	995	1
