yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-11	16:32:06.210	1.26	-0.525	0.245	0.060512	0.02318	1.0126	0.2895	0.318	0.423	0	31	1035	1
2026-02-11	16:32:06.230	1.26	-0.525	0.245	0.056364	0.023912	1.01016	0.291	0.3165	0.426	0	31	1035	1
2026-02-11	16:32:06.250	1.26	-0.525	0.28	0.06222	0.022692	1.013088	0.2895	0.3165	0.426	0	31	1035	1
2026-02-11	16:32:06.270	1.295	-0.56	0.28	0.05978	0.02684	1.01504	0.2955	0.3195	0.426	0	31	1035	1
2026-02-11	16:32:06.290	1.295	-0.525	0.28	0.061	0.022936	1.010404	0.2985	0.318	0.429	0	31	1035	1
2026-02-11	16:32:06.310	1.26	-0.525	0.245	0.060024	0.022448	1.008452	0.2925	0.315	0.4215	0	31	1035	1
2026-02-11	16:32:06.330	1.26	-0.56	0.28	0.058072	0.026108	1.013088	0.288	0.3135	0.417	0	31	1035	1
2026-02-11	16:32:06.350	1.26	-0.56	0.28	0.05734	0.026352	1.016016	0.288	0.321	0.42	0	31	1035	1
2026-02-11	16:32:06.370	1.26	-0.525	0.28	0.061976	0.023912	1.01382	0.288	0.3195	0.417	0	31	1035	1
2026-02-11	16:32:06.390	1.26	-0.525	0.245	0.059536	0.025864	1.01748	0.288	0.315	0.4125	0	31	1035	1
2026-02-11	16:32:06.410	1.295	-0.56	0.28	0.060756	0.025864	1.01504	0.288	0.3135	0.4185	0	28	1035	1
2026-02-11	16:32:06.430	1.225	-0.525	0.28	0.062464	0.02318	1.013088	0.291	0.315	0.42	0	28	1035	1
2026-02-11	16:32:06.450	1.26	-0.56	0.21	0.06588	0.024888	1.010892	0.2955	0.3225	0.4185	0	28	1035	1
2026-02-11	16:32:06.470	1.225	-0.595	0.245	0.05978	0.026352	1.013088	0.2985	0.3255	0.4215	0	28	1035	1
2026-02-11	16:32:06.490	1.26	-0.595	0.245	0.060512	0.026596	1.020896	0.2985	0.3255	0.4215	0	28	1035	1
2026-02-11	16:32:06.510	1.26	-0.63	0.245	0.061	0.025864	1.010648	0.2985	0.3255	0.4215	0	28	1035	1
2026-02-11	16:32:06.530	1.26	-0.595	0.28	0.06222	0.025864	1.012844	0.2865	0.312	0.423	0	28	1035	1
2026-02-11	16:32:06.550	1.26	-0.56	0.245	0.058316	0.022204	1.014308	0.294	0.3195	0.4125	0	28	1035	1
2026-02-11	16:32:06.570	1.19	-0.56	0.245	0.061	0.023912	1.011868	0.291	0.3225	0.4215	0	28	1035	1
2026-02-11	16:32:06.590	1.225	-0.525	0.245	0.061	0.022936	1.01138	0.294	0.3225	0.4215	0	28	1035	1
2026-02-11	16:32:06.610	1.26	-0.56	0.245	0.060512	0.026596	1.014552	0.288	0.3255	0.4215	0	24	1036	1
2026-02-11	16:32:06.630	1.26	-0.56	0.245	0.062708	0.022204	1.012112	0.288	0.3165	0.4185	0	24	1036	1
2026-02-11	16:32:06.650	1.26	-0.595	0.245	0.058072	0.022936	1.015284	0.288	0.321	0.4215	0	24	1036	1
2026-02-11	16:32:06.670	1.26	-0.56	0.21	0.061732	0.028304	1.0126	0.2895	0.309	0.42	0	24	1036	1
2026-02-11	16:32:06.690	1.26	-0.56	0.245	0.059536	0.023668	1.014552	0.297	0.3195	0.4215	0	24	1036	1
2026-02-11	16:32:06.710	1.26	-0.56	0.28	0.061	0.02684	1.011624	0.288	0.3195	0.42	0	24	1036	1
2026-02-11	16:32:06.730	1.26	-0.49	0.245	0.060512	0.02562	1.0126	0.291	0.3225	0.4215	0	24	1036	1
2026-02-11	16:32:06.750	1.225	-0.525	0.28	0.061488	0.026352	1.01016	0.285	0.3195	0.4155	0	24	1036	1
2026-02-11	16:32:06.770	1.225	-0.56	0.245	0.057584	0.027816	1.013088	0.291	0.318	0.4245	0	24	1036	1
2026-02-11	16:32:06.790	1.295	-0.595	0.21	0.062708	0.024156	1.01504	0.2955	0.318	0.4125	0	24	1036	1
2026-02-11	16:32:06.810	1.295	-0.63	0.245	0.05856	0.027328	1.01138	0.2895	0.318	0.429	0	21	1036	1
2026-02-11	16:32:06.830	1.26	-0.56	0.245	0.061244	0.025864	1.01138	0.2955	0.321	0.435	0	21	1036	1
2026-02-11	16:32:06.850	1.295	-0.56	0.245	0.061244	0.026596	1.013576	0.291	0.3255	0.42	0	21	1036	1
2026-02-11	16:32:06.870	1.295	-0.56	0.28	0.060268	0.022448	1.01382	0.288	0.318	0.417	0	21	1036	1
2026-02-11	16:32:06.890	1.295	-0.56	0.245	0.060024	0.024888	1.014796	0.2955	0.315	0.42	0	21	1036	1
2026-02-11	16:32:06.910	1.26	-0.56	0.245	0.061488	0.024644	1.01504	0.2865	0.318	0.4125	0	21	1036	1
2026-02-11	16:32:06.930	1.26	-0.63	0.245	0.055876	0.02196	1.010892	0.294	0.3225	0.4215	0	21	1036	1
2026-02-11	16:32:06.950	1.26	-0.595	0.28	0.061732	0.026596	1.014064	0.2925	0.312	0.426	0	21	1036	1
2026-02-11	16:32:06.970	1.26	-0.595	0.21	0.063928	0.024156	1.014552	0.294	0.3255	0.417	0	21	1036	1
2026-02-11	16:32:06.990	1.26	-0.595	0.245	0.060756	0.024888	1.0126	0.2895	0.321	0.423	0	21	1036	1
2026-02-11	16:32:13.010	1.26	-0.56	0.28	0.058804	0.022448	1.014308	0.2895	0.318	0.417	0	14	31	2
2026-02-11	16:32:13.030	1.26	-0.56	0.245	0.06222	0.025864	1.010892	0.294	0.3165	0.414	0	14	31	2
2026-02-11	16:32:13.050	1.225	-0.595	0.245	0.058804	0.021228	1.013576	0.2925	0.3195	0.42	0	14	31	2
2026-02-11	16:32:13.070	1.225	-0.595	0.245	0.059048	0.026108	1.01504	0.2925	0.321	0.4215	0	14	31	2
2026-02-11	16:32:13.090	1.225	-0.56	0.245	0.061244	0.026352	1.010404	0.2955	0.321	0.4155	0	14	31	2
2026-02-11	16:32:13.110	1.225	-0.56	0.245	0.059048	0.025864	1.012844	0.2955	0.3195	0.417	0	14	31	2
2026-02-11	16:32:13.130	1.225	-0.595	0.245	0.060756	0.029768	1.01016	0.297	0.3165	0.42	0	14	31	2
2026-02-11	16:32:13.150	1.295	-0.595	0.245	0.059048	0.020008	1.013088	0.291	0.3195	0.4155	0	14	31	2
2026-02-11	16:32:13.170	10.57	-9.205	4.76	0.058316	0.026596	1.010648	0.294	0.3195	0.417	0	14	31	2
2026-02-11	16:32:13.190	2.065	-1.4	0.805	0.060268	0.020008	1.011136	0.2985	0.33	0.435	0	14	31	2
2026-02-11	16:32:13.210	1.19	-0.525	0.28	0.057828	0.020496	1.0065	0.3	0.327	0.4395	0	97	194	2
2026-02-11	16:32:13.230	1.26	-0.525	0.245	0.060512	0.021228	1.013576	0.3	0.33	0.4515	0	97	194	2
2026-02-11	16:32:13.250	1.19	-0.525	0.21	0.060512	0.023912	1.014308	0.3015	0.33	0.447	0	97	194	2
2026-02-11	16:32:13.270	1.19	-0.525	0.21	0.061488	0.02196	1.01016	0.3075	0.3255	0.4425	0	97	194	2
2026-02-11	16:32:13.290	1.225	-0.49	0.21	0.061244	0.022448	1.01016	0.3	0.3225	0.4425	0	97	194	2
2026-02-11	16:32:13.310	1.225	-0.525	0.245	0.058316	0.018788	1.013088	0.303	0.318	0.438	0	97	194	2
2026-02-11	16:32:13.330	1.225	-0.49	0.21	0.059292	0.023912	1.008452	0.3015	0.321	0.4455	0	97	194	2
2026-02-11	16:32:13.350	1.19	-0.525	0.21	0.061732	0.023424	1.01382	0.297	0.3195	0.453	0	97	194	2
2026-02-11	16:32:13.370	1.225	-0.56	0.245	0.05856	0.02196	1.010892	0.3045	0.327	0.444	0	97	194	2
2026-02-11	16:32:13.390	1.26	-0.56	0.245	0.058804	0.023912	1.010892	0.306	0.321	0.456	0	97	194	2
2026-02-11	16:32:13.410	1.26	-0.56	0.245	0.063196	0.022936	1.011868	0.2985	0.3165	0.45	0	221	420	3
2026-02-11	16:32:13.430	1.26	-0.56	0.245	0.060512	0.022692	1.010892	0.3075	0.3195	0.4455	0	221	420	3
2026-02-11	16:32:13.450	1.26	-0.56	0.245	0.058316	0.02806	1.011868	0.306	0.3225	0.4515	0	221	420	3
2026-02-11	16:32:13.470	1.26	-0.595	0.245	0.061	0.02196	1.012112	0.2955	0.324	0.45	0	221	420	3
2026-02-11	16:32:13.490	1.4	-1.015	0.21	0.049288	0.0183	0.96258	0.3	0.321	0.4395	0	221	420	3
2026-02-11	16:32:13.510	1.12	-0.07	0.28	0.06344	0.021228	1.035536	0.309	0.3315	0.441	0	221	420	3
2026-02-11	16:32:13.530	1.33	-1.26	0.21	0.067588	0.022692	1.009184	0.3015	0.315	0.447	0	221	420	3
2026-02-11	16:32:13.550	1.225	-0.21	0.245	0.058804	0.023668	1.011136	0.2955	0.318	0.4455	0	221	420	3
2026-02-11	16:32:13.570	1.295	-0.77	0.21	0.059048	0.01952	1.006988	0.306	0.315	0.444	0	221	420	3
2026-02-11	16:32:13.590	1.26	-0.525	0.28	0.058072	0.023424	1.017968	0.3015	0.321	0.453	0	221	420	3
2026-02-11	16:32:13.610	1.26	-0.735	0.245	0.05734	0.024888	1.012356	0.3075	0.3255	0.4485	0	313	586	1
2026-02-11	16:32:13.630	1.295	-0.595	0.245	0.061244	0.02318	1.0126	0.3105	0.324	0.45	0	313	586	1
