yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-11	16:32:06.210	-0.385	0.14	-0.49	0.023912	-0.008784	1.006988	-0.5385	-1.3785	-2.7765	0	36	1029	1
2026-02-11	16:32:06.230	-0.42	0.105	-0.525	0.026108	-0.009272	1.011868	-0.5415	-1.377	-2.778	0	36	1029	1
2026-02-11	16:32:06.250	-0.455	0.28	-0.525	0.024156	-0.010004	1.003816	-0.5445	-1.374	-2.778	0	36	1029	1
2026-02-11	16:32:06.270	-0.315	0.07	-0.525	0.027084	-0.010492	1.007232	-0.5415	-1.3785	-2.7795	0	36	1029	1
2026-02-11	16:32:06.290	-0.315	0	-0.56	0.0244	-0.008052	1.004304	-0.537	-1.377	-2.7765	0	36	1029	1
2026-02-11	16:32:06.310	-0.28	-0.035	-0.525	0.028304	-0.007564	1.00894	-0.5325	-1.3725	-2.7705	0	36	1029	1
2026-02-11	16:32:06.330	-0.28	0	-0.56	0.026352	-0.008784	1.006988	-0.5355	-1.3695	-2.7675	0	36	1029	1
2026-02-11	16:32:06.350	-0.28	-0.035	-0.56	0.02684	-0.005856	1.009184	-0.5355	-1.371	-2.766	0	36	1029	1
2026-02-11	16:32:06.370	-0.35	0.035	-0.56	0.02928	-0.011712	1.01626	-0.531	-1.3755	-2.766	0	36	1029	1
2026-02-11	16:32:06.390	-0.42	0.63	-0.56	0.025864	-0.00976	0.998692	-0.5295	-1.374	-2.7675	0	36	1029	1
2026-02-11	16:32:06.410	-0.28	0.105	-0.525	0.024156	-0.014396	1.006744	-0.531	-1.3755	-2.7705	0	31	1030	1
2026-02-11	16:32:06.430	-0.175	-0.28	-0.525	0.022936	-0.010492	1.013332	-0.5355	-1.38	-2.7735	0	31	1030	1
2026-02-11	16:32:06.450	-0.455	0.14	-0.49	0.02806	-0.005856	1.000644	-0.5355	-1.38	-2.7735	0	31	1030	1
2026-02-11	16:32:06.470	-0.28	0.035	-0.49	0.0305	-0.0122	1.007476	-0.5355	-1.3725	-2.7675	0	31	1030	1
2026-02-11	16:32:06.490	-0.385	0	-0.49	0.02806	-0.007076	1.010648	-0.54	-1.377	-2.7645	0	31	1030	1
2026-02-11	16:32:06.510	-0.455	0	-0.525	0.027084	-0.00854	1.004304	-0.537	-1.3755	-2.7645	0	31	1030	1
2026-02-11	16:32:06.530	-0.35	0	-0.525	0.024888	-0.01098	1.008452	-0.5325	-1.3725	-2.7705	0	31	1030	1
2026-02-11	16:32:06.550	-0.315	0.14	-0.56	0.028304	-0.010736	1.009672	-0.5265	-1.377	-2.7735	0	31	1030	1
2026-02-11	16:32:06.570	-0.42	0.105	-0.56	0.027328	-0.007808	1.004792	-0.5235	-1.371	-2.7735	0	31	1030	1
2026-02-11	16:32:06.590	-0.315	0.035	-0.56	0.026352	-0.011224	1.006256	-0.528	-1.3755	-2.7735	0	31	1030	1
2026-02-11	16:32:06.610	-0.315	0.07	-0.525	0.027084	-0.010492	1.008452	-0.5265	-1.377	-2.7705	0	27	1030	1
2026-02-11	16:32:06.630	-0.35	0.105	-0.525	0.02684	-0.007808	1.006256	-0.534	-1.3725	-2.772	0	27	1030	1
2026-02-11	16:32:06.650	-0.42	0.105	-0.49	0.025864	-0.006832	1.006744	-0.5325	-1.377	-2.769	0	27	1030	1
2026-02-11	16:32:06.670	-0.35	0.035	-0.49	0.0244	-0.010492	1.00772	-0.531	-1.3755	-2.7675	0	27	1030	1
2026-02-11	16:32:06.690	-0.35	0	-0.525	0.028792	-0.011224	1.00772	-0.531	-1.374	-2.766	0	27	1030	1
2026-02-11	16:32:06.710	-0.385	0.035	-0.525	0.025132	-0.010492	1.008452	-0.5325	-1.3785	-2.763	0	27	1030	1
2026-02-11	16:32:06.730	-0.315	0.07	-0.525	0.022936	-0.009272	1.006744	-0.537	-1.377	-2.763	0	27	1030	1
2026-02-11	16:32:06.750	-0.315	0.07	-0.525	0.0244	-0.008052	1.008696	-0.546	-1.377	-2.7675	0	27	1030	1
2026-02-11	16:32:06.770	-0.35	0	-0.56	0.025132	-0.010736	1.007476	-0.5415	-1.377	-2.769	0	27	1030	1
2026-02-11	16:32:06.790	-0.35	0.07	-0.49	0.0244	-0.010004	1.007964	-0.5325	-1.383	-2.7675	0	27	1030	1
2026-02-11	16:32:06.810	-0.35	0.105	-0.56	0.022936	-0.009516	1.007476	-0.537	-1.3725	-2.772	0	24	1030	1
2026-02-11	16:32:06.830	-0.315	0.035	-0.525	0.024644	-0.009516	1.00772	-0.54	-1.3725	-2.7675	0	24	1030	1
2026-02-11	16:32:06.850	-0.315	0.035	-0.49	0.026108	-0.010736	1.007232	-0.534	-1.3815	-2.781	0	24	1030	1
2026-02-11	16:32:06.870	-0.35	-0.035	-0.525	0.022448	-0.011956	1.005036	-0.5325	-1.3815	-2.766	0	24	1030	1
2026-02-11	16:32:06.890	-0.35	0.105	-0.525	0.02928	-0.011712	1.007476	-0.531	-1.3665	-2.769	0	24	1030	1
2026-02-11	16:32:06.910	-0.385	0.035	-0.56	0.025864	-0.008784	1.009184	-0.54	-1.383	-2.769	0	24	1030	1
2026-02-11	16:32:06.930	-0.385	0.07	-0.525	0.02684	-0.006832	1.004548	-0.537	-1.371	-2.769	0	24	1030	1
2026-02-11	16:32:06.950	-0.385	0.035	-0.525	0.025864	-0.010492	1.0065	-0.537	-1.3725	-2.7735	0	24	1030	1
2026-02-11	16:32:06.970	-0.315	0.07	-0.56	0.025864	-0.009272	1.007964	-0.5325	-1.3785	-2.7675	0	24	1030	1
2026-02-11	16:32:06.990	-0.315	0.035	-0.525	0.025132	-0.00976	1.009916	-0.5325	-1.3785	-2.7675	0	24	1030	1
2026-02-11	16:32:07.010	-0.315	0.07	-0.49	0.027816	-0.010248	1.0065	-0.537	-1.374	-2.769	0	21	1030	1
2026-02-11	16:32:07.030	-0.35	0.07	-0.525	0.029768	-0.00976	1.006012	-0.54	-1.371	-2.7705	0	21	1030	1
2026-02-11	16:32:07.050	-0.28	0.035	-0.525	0.027328	-0.013664	1.007476	-0.537	-1.374	-2.769	0	21	1030	1
2026-02-11	16:32:07.070	-0.28	-0.07	-0.525	0.027328	-0.008784	1.005768	-0.5355	-1.3755	-2.7705	0	21	1030	1
2026-02-11	16:32:07.090	-0.28	-0.07	-0.525	0.025864	-0.010004	1.007476	-0.537	-1.3725	-2.7705	0	21	1030	1
2026-02-11	16:32:07.110	-0.245	0	-0.525	0.024644	-0.008296	1.006988	-0.537	-1.374	-2.769	0	21	1030	1
2026-02-11	16:32:07.130	-0.14	-0.105	-0.49	0.02928	-0.011468	1.004304	-0.5355	-1.377	-2.769	0	21	1030	1
2026-02-11	16:32:07.150	-0.105	-0.21	-0.49	0.025376	-0.008784	1.00894	-0.5355	-1.377	-2.769	0	21	1030	1
2026-02-11	16:32:07.170	-0.14	-0.28	-0.49	0.049044	-0.010004	1.049932	-0.5385	-1.3755	-2.775	0	21	1030	1
2026-02-11	16:32:07.190	-0.21	-0.07	-0.49	0.011224	-0.010248	1.00528	-0.534	-1.377	-2.7705	0	21	1030	1
2026-02-11	16:32:05.210	-0.315	0.035	-0.525	0.026596	-0.011224	1.010892	-0.5265	-1.3755	-2.769	0	75	1024	1
