yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-11	16:32:06.210	-0.14	-0.28	-0.105	-0.012444	0.022692	1.013332	-0.8655	5.388	-5.0445	0	41	1032	1
2026-02-11	16:32:06.230	-0.105	-0.245	-0.105	-0.011956	0.024644	1.011136	-0.8655	5.3895	-5.0475	0	41	1032	1
2026-02-11	16:32:06.250	-0.21	-0.315	-0.07	-0.00732	0.020252	1.013332	-0.8625	5.391	-5.049	0	41	1032	1
2026-02-11	16:32:06.270	-0.035	-0.175	-0.105	-0.008296	0.02318	1.01138	-0.87	5.3835	-5.049	0	41	1032	1
2026-02-11	16:32:06.290	0	-0.175	-0.14	-0.009516	0.024156	1.007964	-0.87	5.385	-5.055	0	41	1032	1
2026-02-11	16:32:06.310	-0.035	-0.07	-0.14	-0.010004	0.0244	1.014064	-0.876	5.3865	-5.0625	0	41	1032	1
2026-02-11	16:32:06.330	-0.035	-0.105	-0.14	-0.013664	0.020496	1.014064	-0.885	5.3895	-5.073	0	41	1032	1
2026-02-11	16:32:06.350	0	-0.07	-0.175	-0.011956	0.0244	1.010892	-0.8925	5.394	-5.0775	0	41	1032	1
2026-02-11	16:32:06.370	-0.07	-0.175	-0.14	-0.00732	0.024644	1.012356	-0.9	5.385	-5.0835	0	41	1032	1
2026-02-11	16:32:06.390	-0.595	-0.385	-0.14	-0.001708	0.018788	1.009428	-0.909	5.3775	-5.0985	0	41	1032	1
2026-02-11	16:32:06.410	-0.07	-0.105	-0.07	-0.00732	0.022448	1.015284	-0.9075	5.382	-5.094	0	36	1033	1
2026-02-11	16:32:06.430	0.245	0.105	-0.07	-0.014396	0.019764	1.014796	-0.891	5.3865	-5.0745	0	36	1033	1
2026-02-11	16:32:06.450	-0.035	-0.21	-0.07	-0.0061	0.025864	1.009672	-0.882	5.3925	-5.064	0	36	1033	1
2026-02-11	16:32:06.470	-0.105	-0.105	-0.07	-0.014152	0.02562	1.0126	-0.882	5.3925	-5.064	0	36	1033	1
2026-02-11	16:32:06.490	-0.07	-0.21	-0.07	-0.013176	0.024644	1.015528	-0.9	5.3925	-5.067	0	36	1033	1
2026-02-11	16:32:06.510	0.035	-0.245	-0.105	-0.006832	0.021228	1.006988	-0.8955	5.394	-5.0685	0	36	1033	1
2026-02-11	16:32:06.530	-0.035	-0.175	-0.105	-0.009516	0.023912	1.011624	-0.9015	5.397	-5.0685	0	36	1033	1
2026-02-11	16:32:06.550	-0.175	-0.14	-0.105	-0.011712	0.025376	1.011868	-0.894	5.394	-5.0655	0	36	1033	1
2026-02-11	16:32:06.570	-0.105	-0.245	-0.105	-0.008784	0.024888	1.007476	-0.8955	5.3835	-5.091	0	36	1033	1
2026-02-11	16:32:06.590	-0.105	-0.175	-0.105	-0.009272	0.019764	1.011136	-0.9015	5.3805	-5.0895	0	36	1033	1
2026-02-11	16:32:06.610	-0.105	-0.21	-0.105	-0.00976	0.024156	1.014064	-0.906	5.379	-5.0925	0	31	1033	1
2026-02-11	16:32:06.630	-0.07	-0.21	-0.105	-0.00976	0.021716	1.008208	-0.9	5.3865	-5.079	0	31	1033	1
2026-02-11	16:32:06.650	-0.105	-0.21	-0.07	-0.010248	0.020252	1.008208	-0.8955	5.391	-5.064	0	31	1033	1
2026-02-11	16:32:06.670	-0.035	-0.14	-0.07	-0.008052	0.0244	1.012112	-0.891	5.3925	-5.0715	0	31	1033	1
2026-02-11	16:32:06.690	-0.035	-0.175	-0.07	-0.010492	0.022204	1.012112	-0.8955	5.3985	-5.0655	0	31	1033	1
2026-02-11	16:32:06.710	-0.035	-0.21	-0.07	-0.00976	0.024888	1.011136	-0.8925	5.3955	-5.073	0	31	1033	1
2026-02-11	16:32:06.730	-0.105	-0.175	-0.105	-0.008784	0.022204	1.0126	-0.888	5.3865	-5.073	0	31	1033	1
2026-02-11	16:32:06.750	-0.07	-0.14	-0.14	-0.00976	0.023424	1.013332	-0.8925	5.4045	-5.0715	0	31	1033	1
2026-02-11	16:32:06.770	0	-0.21	-0.14	-0.010492	0.02806	1.010892	-0.891	5.3925	-5.0745	0	31	1033	1
2026-02-11	16:32:06.790	-0.07	-0.175	-0.105	-0.00976	0.026596	1.009672	-0.882	5.3955	-5.0715	0	31	1033	1
2026-02-11	16:32:06.810	-0.07	-0.14	-0.07	-0.011468	0.021228	1.01504	-0.8895	5.394	-5.0745	0	27	1034	1
2026-02-11	16:32:06.830	-0.105	-0.175	-0.07	-0.00976	0.022692	1.011136	-0.8895	5.394	-5.0745	0	27	1034	1
2026-02-11	16:32:06.850	-0.07	-0.14	-0.105	-0.010004	0.02806	1.012112	-0.888	5.394	-5.073	0	27	1034	1
2026-02-11	16:32:06.870	0.035	-0.14	-0.105	-0.00976	0.023668	1.014308	-0.8895	5.3955	-5.0745	0	27	1034	1
2026-02-11	16:32:06.890	-0.175	-0.245	-0.105	-0.010736	0.020252	1.010404	-0.882	5.3925	-5.0745	0	27	1034	1
2026-02-11	16:32:06.910	-0.035	-0.21	-0.07	-0.011224	0.025864	1.011868	-0.8775	5.3925	-5.0685	0	27	1034	1
2026-02-11	16:32:06.930	-0.07	-0.28	-0.105	-0.009272	0.027084	1.009672	-0.882	5.391	-5.0655	0	27	1034	1
2026-02-11	16:32:06.950	-0.105	-0.21	-0.105	-0.011224	0.026108	1.013576	-0.885	5.3925	-5.0625	0	27	1034	1
2026-02-11	16:32:06.970	-0.105	-0.175	-0.105	-0.01098	0.021716	1.01016	-0.8895	5.3985	-5.0595	0	27	1034	1
2026-02-11	16:32:06.990	-0.105	-0.175	-0.105	-0.005124	0.025864	1.012112	-0.8865	5.394	-5.064	0	27	1034	1
2026-02-11	16:32:07.010	-0.07	-0.14	-0.105	-0.009516	0.024888	1.011624	-0.8835	5.3925	-5.0655	0	24	1034	1
2026-02-11	16:32:07.030	-0.07	-0.14	-0.14	-0.010492	0.024156	1.01138	-0.8925	5.3985	-5.064	0	24	1034	1
2026-02-11	16:32:07.050	-0.07	-0.105	-0.105	-0.009516	0.023668	1.011136	-0.8985	5.3985	-5.0715	0	24	1034	1
2026-02-11	16:32:07.070	0	-0.07	-0.105	-0.01098	0.026596	1.012844	-0.9075	5.379	-5.088	0	24	1034	1
2026-02-11	16:32:07.090	0	-0.07	-0.105	-0.010492	0.025132	1.009916	-0.903	5.379	-5.082	0	24	1034	1
2026-02-11	16:32:07.110	-0.07	-0.105	-0.105	-0.010492	0.023424	1.008208	-0.891	5.388	-5.073	0	24	1034	1
2026-02-11	16:32:07.130	-0.105	0.035	-0.07	-0.00976	0.026352	1.00894	-0.882	5.3925	-5.0685	0	24	1034	1
2026-02-11	16:32:07.150	-0.035	0.105	-0.035	-0.009028	0.020984	1.00894	-0.8865	5.391	-5.0685	0	24	1034	1
2026-02-11	16:32:07.170	0	0.105	-0.07	-0.006344	0.030256	0.998448	-0.891	5.3925	-5.064	0	24	1034	1
2026-02-11	16:32:07.190	-0.035	0	-0.07	-0.004392	0.012688	1.016016	-0.8865	5.3925	-5.061	0	24	1034	1
2026-02-11	16:32:05.210	-0.105	-0.14	-0.105	-0.011468	0.021228	1.011868	-0.891	5.406	-5.1315	0	87	1026	1
2026-02-11	16:32:05.230	-0.07	-0.175	-0.105	-0.009028	0.022448	1.012844	-0.894	5.4075	-5.1255	0	87	1026	1
2026-02-11	16:32:05.250	0	-0.245	-0.105	-0.010004	0.022936	1.010648	-0.9	5.3955	-5.1195	0	87	1026	1
2026-02-11	16:32:05.270	-0.07	-0.175	-0.105	-0.00732	0.024156	1.010404	-0.9015	5.3985	-5.1165	0	87	1026	1
2026-02-11	16:32:05.290	-0.07	-0.175	-0.105	-0.0122	0.027572	1.010648	-0.897	5.406	-5.1195	0	87	1026	1
2026-02-11	16:32:05.310	-0.07	-0.21	-0.105	-0.00976	0.020984	1.013576	-0.9	5.4045	-5.124	0	87	1026	1
2026-02-11	16:32:05.330	-0.035	-0.21	-0.105	-0.008784	0.02562	1.013088	-0.903	5.409	-5.127	0	87	1026	1
2026-02-11	16:32:05.350	-0.07	-0.175	-0.105	-0.00854	0.024644	1.011624	-0.9045	5.421	-5.13	0	87	1026	1
2026-02-11	16:32:05.370	-0.035	-0.21	-0.105	-0.007808	0.028304	1.011868	-0.9045	5.421	-5.13	0	87	1026	1
2026-02-11	16:32:05.390	-0.035	-0.21	-0.105	-0.010248	0.026596	1.010892	-0.876	5.4105	-5.1045	0	87	1026	1
2026-02-11	16:32:05.410	-0.035	-0.21	-0.105	-0.01098	0.023424	1.010648	-0.8625	5.424	-5.0745	0	74	1028	1
2026-02-11	16:32:05.430	-0.07	-0.175	-0.07	-0.007564	0.025376	1.011868	-0.861	5.4285	-5.0865	0	74	1028	1
2026-02-11	16:32:05.450	-0.035	-0.175	-0.105	-0.008784	0.02318	1.008696	-0.8715	5.415	-5.094	0	74	1028	1
2026-02-11	16:32:05.470	-0.035	-0.21	-0.105	-0.00976	0.026352	1.009672	-0.876	5.3895	-5.106	0	74	1028	1
2026-02-11	16:32:05.490	-0.105	-0.175	-0.105	-0.006832	0.022204	1.00894	-0.885	5.4	-5.109	0	74	1028	1
2026-02-11	16:32:05.510	-0.07	-0.175	-0.105	-0.007564	0.022692	1.01382	-0.885	5.3955	-5.0985	0	74	1028	1
2026-02-11	16:32:05.530	-0.035	-0.175	-0.105	-0.010004	0.0244	1.012112	-0.885	5.4	-5.103	0	74	1028	1
2026-02-11	16:32:05.550	-0.035	-0.175	-0.07	-0.011224	0.025864	1.0126	-0.8865	5.3985	-5.1045	0	74	1028	1
2026-02-11	16:32:05.570	-0.035	-0.175	-0.07	-0.005612	0.0244	1.01016	-0.885	5.4	-5.1075	0	74	1028	1
2026-02-11	16:32:05.590	-0.07	-0.245	-0.105	-0.009272	0.0244	1.008696	-0.8775	5.3985	-5.106	0	74	1028	1
2026-02-11	16:32:05.610	-0.14	-0.175	-0.105	-0.010492	0.025376	1.013332	-0.8715	5.397	-5.106	0	64	1029	1
2026-02-11	16:32:05.630	-0.07	-0.175	-0.14	-0.011468	0.026352	1.01138	-0.873	5.4015	-5.1075	0	64	1029	1
2026-02-11	16:32:05.650	-0.07	-0.21	-0.105	-0.010492	0.022692	1.009184	-0.8805	5.391	-5.1015	0	64	1029	1
2026-02-11	16:32:05.670	-0.07	-0.21	-0.14	-0.013664	0.024644	1.00894	-0.885	5.397	-5.115	0	64	1029	1
2026-02-11	16:32:05.690	-0.105	-0.21	-0.105	-0.00732	0.0244	1.009916	-0.8745	5.3925	-5.1045	0	64	1029	1
2026-02-11	16:32:05.710	-0.07	-0.175	-0.105	-0.010004	0.0244	1.011624	-0.876	5.3925	-5.109	0	64	1029	1
2026-02-11	16:32:05.730	-0.035	-0.175	-0.07	-0.01342	0.023668	1.012356	-0.876	5.3925	-5.109	0	64	1029	1
2026-02-11	16:32:05.750	-0.07	-0.21	-0.105	-0.012444	0.025376	1.013088	-0.8715	5.3895	-5.079	0	64	1029	1
2026-02-11	16:32:05.770	-0.105	-0.175	-0.105	-0.009516	0.027328	1.013576	-0.8655	5.388	-5.052	0	64	1029	1
2026-02-11	16:32:05.790	-0.07	-0.175	-0.105	-0.00976	0.02074	1.011136	-0.8685	5.388	-5.052	0	64	1029	1
2026-02-11	16:32:05.810	-0.07	-0.175	-0.105	-0.009028	0.025132	1.011136	-0.867	5.3895	-5.052	0	55	1030	1
2026-02-11	16:32:05.830	-0.07	-0.175	-0.07	-0.010004	0.024888	1.010892	-0.8715	5.382	-5.064	0	55	1030	1
2026-02-11	16:32:05.850	-0.07	-0.175	-0.105	-0.015372	0.023912	1.014308	-0.885	5.3745	-5.0745	0	55	1030	1
2026-02-11	16:32:05.870	-0.105	-0.175	-0.105	-0.010004	0.022692	1.021872	-0.885	5.3745	-5.0745	0	55	1030	1
2026-02-11	16:32:05.890	-0.035	-0.21	-0.14	-0.010248	0.026352	1.010892	-0.885	5.3715	-5.0745	0	55	1030	1
2026-02-11	16:32:05.910	-0.105	-0.175	-0.14	-0.0122	0.031476	1.012112	-0.888	5.37	-5.0745	0	55	1030	1
2026-02-11	16:32:05.930	-0.14	-0.175	-0.105	-0.00854	0.022448	1.01504	-0.8685	5.3925	-5.046	0	55	1030	1
2026-02-11	16:32:05.950	0	-0.21	-0.105	-0.007808	0.020496	1.01016	-0.8685	5.391	-5.0505	0	55	1030	1
2026-02-11	16:32:05.970	-0.035	-0.14	-0.105	-0.006344	0.022692	1.013088	-0.867	5.3895	-5.0505	0	55	1030	1
2026-02-11	16:32:05.990	-0.105	-0.175	-0.105	-0.012932	0.020008	1.01748	-0.855	5.3865	-5.046	0	55	1030	1
2026-02-11	16:32:06.010	-0.035	-0.21	-0.105	-0.00244	0.011468	1.007232	-0.855	5.3865	-5.046	0	47	1031	1
2026-02-11	16:32:06.030	-0.105	-0.14	-0.07	-0.012932	0.029036	1.008452	-0.87	5.391	-5.052	0	47	1031	1
2026-02-11	16:32:06.050	-0.07	-0.035	-0.105	-0.019764	0.029524	1.004304	-0.888	5.4	-5.0535	0	47	1031	1
2026-02-11	16:32:06.070	0.105	-0.175	-0.14	-0.005124	0.022692	1.007964	-0.87	5.3955	-5.049	0	47	1031	1
2026-02-11	16:32:06.090	-0.21	-0.105	-0.105	-0.010736	0.022204	1.008452	-0.8715	5.3895	-5.0505	0	47	1031	1
2026-02-11	16:32:06.110	-0.07	-0.175	-0.105	-0.004392	0.024888	1.016992	-0.8565	5.3835	-5.0505	0	47	1031	1
2026-02-11	16:32:06.130	-0.035	-0.245	-0.105	-0.005368	0.019764	1.0126	-0.8655	5.385	-5.0535	0	47	1031	1
2026-02-11	16:32:06.150	-0.07	-0.175	-0.035	-0.009516	0.024888	1.01382	-0.8595	5.391	-5.0445	0	47	1031	1
2026-02-11	16:32:06.170	-0.035	-0.245	-0.07	-0.00732	0.024888	1.00528	-0.8775	5.3955	-5.052	0	47	1031	1
2026-02-11	16:32:06.190	0	-0.245	-0.105	-0.00976	0.026596	1.009672	-0.8685	5.3895	-5.0565	0	47	1031	1
2026-02-11	16:32:06.210	-0.14	-0.28	-0.105	-0.012444	0.022692	1.013332	-0.8655	5.388	-5.0445	0	41	1032	1
2026-02-11	16:32:06.230	-0.105	-0.245	-0.105	-0.011956	0.024644	1.011136	-0.8655	5.3895	-5.0475	0	41	1032	1
2026-02-11	16:32:06.250	-0.21	-0.315	-0.07	-0.00732	0.020252	1.013332	-0.8625	5.391	-5.049	0	41	1032	1
2026-02-11	16:32:06.270	-0.035	-0.175	-0.105	-0.008296	0.02318	1.01138	-0.87	5.3835	-5.049	0	41	1032	1
2026-02-11	16:32:06.290	0	-0.175	-0.14	-0.009516	0.024156	1.007964	-0.87	5.385	-5.055	0	41	1032	1
2026-02-11	16:32:06.310	-0.035	-0.07	-0.14	-0.010004	0.0244	1.014064	-0.876	5.3865	-5.0625	0	41	1032	1
2026-02-11	16:32:06.330	-0.035	-0.105	-0.14	-0.013664	0.020496	1.014064	-0.885	5.3895	-5.073	0	41	1032	1
2026-02-11	16:32:06.350	0	-0.07	-0.175	-0.011956	0.0244	1.010892	-0.8925	5.394	-5.0775	0	41	1032	1
2026-02-11	16:32:06.370	-0.07	-0.175	-0.14	-0.00732	0.024644	1.012356	-0.9	5.385	-5.0835	0	41	1032	1
2026-02-11	16:32:06.390	-0.595	-0.385	-0.14	-0.001708	0.018788	1.009428	-0.909	5.3775	-5.0985	0	41	1032	1
2026-02-11	16:32:06.410	-0.07	-0.105	-0.07	-0.00732	0.022448	1.015284	-0.9075	5.382	-5.094	0	36	1033	1
2026-02-11	16:32:06.430	0.245	0.105	-0.07	-0.014396	0.019764	1.014796	-0.891	5.3865	-5.0745	0	36	1033	1
2026-02-11	16:32:06.450	-0.035	-0.21	-0.07	-0.0061	0.025864	1.009672	-0.882	5.3925	-5.064	0	36	1033	1
2026-02-11	16:32:06.470	-0.105	-0.105	-0.07	-0.014152	0.02562	1.0126	-0.882	5.3925	-5.064	0	36	1033	1
2026-02-11	16:32:06.490	-0.07	-0.21	-0.07	-0.013176	0.024644	1.015528	-0.9	5.3925	-5.067	0	36	1033	1
2026-02-11	16:32:06.510	0.035	-0.245	-0.105	-0.006832	0.021228	1.006988	-0.8955	5.394	-5.0685	0	36	1033	1
2026-02-11	16:32:06.530	-0.035	-0.175	-0.105	-0.009516	0.023912	1.011624	-0.9015	5.397	-5.0685	0	36	1033	1
2026-02-11	16:32:06.550	-0.175	-0.14	-0.105	-0.011712	0.025376	1.011868	-0.894	5.394	-5.0655	0	36	1033	1
2026-02-11	16:32:06.570	-0.105	-0.245	-0.105	-0.008784	0.024888	1.007476	-0.8955	5.3835	-5.091	0	36	1033	1
2026-02-11	16:32:06.590	-0.105	-0.175	-0.105	-0.009272	0.019764	1.011136	-0.9015	5.3805	-5.0895	0	36	1033	1
2026-02-11	16:32:06.610	-0.105	-0.21	-0.105	-0.00976	0.024156	1.014064	-0.906	5.379	-5.0925	0	31	1033	1
2026-02-11	16:32:06.630	-0.07	-0.21	-0.105	-0.00976	0.021716	1.008208	-0.9	5.3865	-5.079	0	31	1033	1
2026-02-11	16:32:06.650	-0.105	-0.21	-0.07	-0.010248	0.020252	1.008208	-0.8955	5.391	-5.064	0	31	1033	1
2026-02-11	16:32:06.670	-0.035	-0.14	-0.07	-0.008052	0.0244	1.012112	-0.891	5.3925	-5.0715	0	31	1033	1
