yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-11	16:06:11.410	1.26	-0.525	0.28	0.049776	0.051728	1.01016	0.0975	-0.3	0.114	0	44	91	2
2026-02-11	16:06:11.430	1.19	-0.56	0.245	0.052948	0.055144	1.0126	0.105	-0.3015	0.1155	0	44	91	2
2026-02-11	16:06:11.450	1.26	-0.525	0.245	0.05124	0.0549	1.013088	0.1035	-0.3015	0.1185	0	44	91	2
2026-02-11	16:06:11.470	1.225	-0.595	0.28	0.052216	0.05246	1.012356	0.0975	-0.2955	0.117	0	44	91	2
2026-02-11	16:06:11.490	10.57	-9.135	4.795	0.054656	0.054656	1.007964	0.105	-0.3	0.114	0	44	91	2
2026-02-11	16:06:11.510	2.17	-1.33	0.805	0.052704	0.053924	1.008208	0.1005	-0.3045	0.1155	0	44	91	2
2026-02-11	16:06:11.530	1.225	-0.49	0.245	0.054412	0.05246	1.009672	0.108	-0.2985	0.1215	0	44	91	2
2026-02-11	16:06:11.550	1.19	-0.525	0.245	0.053924	0.05124	1.008452	0.1035	-0.3015	0.1155	0	44	91	2
2026-02-11	16:06:11.570	1.19	-0.56	0.245	0.050264	0.050996	1.00894	0.1095	-0.306	0.114	0	44	91	2
2026-02-11	16:06:11.590	1.155	-0.525	0.315	0.05368	0.050996	1.007964	0.1065	-0.3045	0.1185	0	44	91	2
2026-02-11	16:06:11.610	1.26	-0.455	0.21	0.052704	0.053192	1.010892	0.105	-0.3	0.114	0	149	292	2
2026-02-11	16:06:11.630	1.225	-0.525	0.28	0.058072	0.05246	1.010648	0.102	-0.297	0.1125	0	149	292	2
2026-02-11	16:06:11.650	1.19	-0.56	0.28	0.052216	0.050264	1.009916	0.1065	-0.3015	0.1035	0	149	292	2
2026-02-11	16:06:11.670	1.26	-0.525	0.28	0.051484	0.052704	1.007232	0.108	-0.2955	0.111	0	149	292	2
2026-02-11	16:06:11.690	1.225	-0.525	0.28	0.056852	0.050264	1.006988	0.099	-0.303	0.1185	0	149	292	2
2026-02-11	16:06:11.710	1.26	-0.49	0.245	0.051484	0.05368	1.012112	0.1035	-0.3	0.1185	0	149	292	2
2026-02-11	16:06:11.730	1.26	-0.56	0.245	0.053436	0.055632	1.013088	0.099	-0.306	0.12	0	149	292	2
2026-02-11	16:06:11.750	1.225	-0.595	0.245	0.054168	0.052216	1.008452	0.111	-0.2985	0.105	0	149	292	2
2026-02-11	16:06:11.770	1.225	-0.525	0.245	0.052704	0.053924	1.010648	0.105	-0.297	0.1155	0	149	292	2
2026-02-11	16:06:11.790	1.225	-0.56	0.28	0.05246	0.053436	1.013088	0.102	-0.3075	0.1155	0	149	292	2
2026-02-11	16:06:11.810	1.225	-0.525	0.245	0.055876	0.05124	1.00894	0.1065	-0.3075	0.1095	0	261	491	1
2026-02-11	16:06:11.830	1.225	-0.525	0.245	0.050508	0.052216	1.01016	0.105	-0.3	0.111	0	261	491	1
