yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-11	16:06:07.410	-0.42	-0.105	-0.42	-0.00488	0.242048	0.97356	0.345	0.984	-0.783	0	76	990	1
2026-02-11	16:06:07.430	-0.35	-0.105	-0.42	-0.007808	0.246196	0.97112	0.3465	0.9825	-0.789	0	76	990	1
2026-02-11	16:06:07.450	-0.735	-0.14	-0.595	0.000488	0.246928	0.970632	0.342	0.9825	-0.7815	0	76	990	1
2026-02-11	16:06:07.470	-1.19	-0.14	-0.735	-0.003416	0.244488	0.973072	0.336	0.984	-0.777	0	76	990	1
2026-02-11	16:06:07.490	-0.945	-0.07	-0.7	-0.007076	0.23912	0.976244	0.3435	0.975	-0.7875	0	76	990	1
2026-02-11	16:06:07.510	-0.175	-0.035	-0.35	-0.006832	0.238388	0.972828	0.3435	0.978	-0.783	0	76	990	1
2026-02-11	16:06:07.530	0.35	0	-0.315	-0.007076	0.24888	0.972828	0.342	0.9795	-0.783	0	76	990	1
2026-02-11	16:06:07.550	-0.385	-0.14	-0.525	-0.010736	0.249368	0.975756	0.3405	0.981	-0.7785	0	76	990	1
2026-02-11	16:06:07.570	-0.945	-0.245	-0.56	-0.005612	0.241072	0.97356	0.339	0.981	-0.78	0	76	990	1
2026-02-11	16:06:07.590	-0.665	-0.21	-0.525	-0.0061	0.23668	0.974048	0.342	0.9825	-0.786	0	76	990	1
2026-02-11	16:06:07.610	-0.105	-0.105	-0.525	-0.008052	0.238632	0.976	0.345	0.984	-0.7845	0	66	991	1
2026-02-11	16:06:07.630	0	-0.105	-0.595	-0.002928	0.243512	0.97234	0.3465	0.9855	-0.786	0	66	991	1
2026-02-11	16:06:07.650	-0.245	-0.175	-0.595	-0.005368	0.244976	0.970632	0.3435	0.987	-0.789	0	66	991	1
2026-02-11	16:06:07.670	-0.42	-0.21	-0.665	-0.007808	0.23912	0.97112	0.3375	0.9855	-0.7875	0	66	991	1
2026-02-11	16:06:07.690	-0.28	0	-0.595	-0.005368	0.244244	0.973316	0.3345	0.984	-0.7875	0	66	991	1
2026-02-11	16:06:07.710	-0.42	0.07	-0.56	-0.00732	0.242048	0.970388	0.348	0.987	-0.792	0	66	991	1
2026-02-11	16:06:07.730	-0.77	0.105	-0.56	-0.007564	0.242536	0.97112	0.3435	0.996	-0.783	0	66	991	1
2026-02-11	16:06:07.750	-1.19	0.035	-0.525	-0.00488	0.244	0.971608	0.339	0.9885	-0.786	0	66	991	1
2026-02-11	16:06:07.770	-1.26	0.105	-0.595	-0.006344	0.238388	0.974536	0.345	0.984	-0.786	0	66	991	1
2026-02-11	16:06:07.790	-1.19	0.21	-0.455	-0.007076	0.239852	0.97722	0.3435	0.981	-0.789	0	66	991	1
2026-02-11	16:06:07.810	-1.4	0.175	-0.35	-0.007076	0.239364	0.973316	0.333	0.978	-0.7905	0	58	992	1
2026-02-11	16:06:07.830	-1.75	0.105	-0.35	-0.009028	0.243024	0.970144	0.3375	0.981	-0.786	0	58	992	1
2026-02-11	16:06:07.850	-2.135	-0.07	-0.49	-0.006588	0.23912	0.972584	0.3405	0.987	-0.7905	0	58	992	1
2026-02-11	16:06:07.870	-1.855	-0.14	-0.595	-0.010492	0.230824	0.97966	0.342	0.9885	-0.798	0	58	992	1
2026-02-11	16:06:07.890	-0.63	-0.105	-0.42	-0.00366	0.229116	0.976732	0.3405	0.9885	-0.795	0	58	992	1
2026-02-11	16:06:07.910	0.56	-0.035	-0.245	-0.006832	0.2379	0.973072	0.336	0.99	-0.792	0	58	992	1
2026-02-11	16:06:07.930	0.665	0.035	-0.42	-0.006588	0.248636	0.973804	0.3405	0.996	-0.7905	0	58	992	1
2026-02-11	16:06:07.950	-0.665	-0.28	-0.665	-0.006588	0.239608	0.971608	0.3435	0.984	-0.795	0	58	992	1
2026-02-11	16:06:07.970	-0.385	-0.28	-0.525	-0.005612	0.231556	0.976732	0.3375	0.9855	-0.795	0	58	992	1
2026-02-11	16:06:07.990	0.735	0	-0.385	-0.005368	0.234484	0.973804	0.336	0.9885	-0.7935	0	58	992	1
2026-02-11	16:06:08.010	1.19	0.14	-0.385	-0.00732	0.244976	0.974536	0.339	0.9915	-0.7875	0	50	993	1
2026-02-11	16:06:08.030	0.42	0	-0.525	-0.005856	0.249124	0.975024	0.339	0.993	-0.7875	0	50	993	1
2026-02-11	16:06:08.050	-0.525	-0.28	-0.595	-0.002196	0.237412	0.972096	0.339	0.9915	-0.789	0	50	993	1
2026-02-11	16:06:08.070	-0.07	-0.28	-0.525	-0.009516	0.232288	0.976	0.333	0.9885	-0.792	0	50	993	1
2026-02-11	16:06:08.090	0.945	0	-0.42	-0.007076	0.239852	0.97478	0.3375	0.9885	-0.789	0	50	993	1
2026-02-11	16:06:08.110	1.05	0.07	-0.525	-0.008296	0.248392	0.978196	0.345	0.99	-0.783	0	50	993	1
2026-02-11	16:06:08.130	0.07	-0.14	-0.56	-0.002928	0.246928	0.974536	0.336	0.978	-0.7905	0	50	993	1
2026-02-11	16:06:08.150	-0.875	-0.28	-0.525	-0.005124	0.238632	0.970876	0.342	0.9855	-0.786	0	50	993	1
2026-02-11	16:06:08.170	-0.42	-0.105	-0.56	-0.005124	0.2318	0.973316	0.342	0.9855	-0.786	0	50	993	1
2026-02-11	16:06:08.190	0.42	0.07	-0.49	-0.009516	0.23424	0.97722	0.336	0.9885	-0.789	0	50	993	1
2026-02-11	16:06:08.210	0.875	0.105	-0.28	-0.005368	0.243024	0.969656	0.336	0.99	-0.792	0	44	994	1
2026-02-11	16:06:08.230	0.28	0	-0.385	-0.002928	0.248148	0.9699	0.339	0.99	-0.7905	0	44	994	1
2026-02-11	16:06:08.250	-0.63	0.07	-0.56	-0.00488	0.242536	0.980392	0.339	0.987	-0.792	0	44	994	1
2026-02-11	16:06:08.270	-1.33	0.175	-0.525	-0.006344	0.239852	0.975756	0.3375	0.9855	-0.7935	0	44	994	1
2026-02-11	16:06:08.290	-1.54	0.175	-0.455	-0.010492	0.237168	0.978196	0.333	0.987	-0.7935	0	44	994	1
2026-02-11	16:06:08.310	-1.995	0.105	-0.49	-0.009028	0.231556	0.971608	0.3375	0.987	-0.7905	0	44	994	1
2026-02-11	16:06:08.330	-1.19	0.07	-0.63	-0.00854	0.228384	0.973072	0.342	0.99	-0.7875	0	44	994	1
2026-02-11	16:06:08.350	1.365	0.07	-0.91	-0.007076	0.226432	0.98088	0.339	0.993	-0.789	0	44	994	1
2026-02-11	16:06:08.370	2.73	-0.07	-1.12	-0.005368	0.236924	0.973804	0.336	0.9885	-0.789	0	44	994	1
2026-02-11	16:06:08.390	2.905	-0.315	-1.505	-0.001464	0.244	0.972096	0.339	0.9855	-0.789	0	44	994	1
2026-02-11	16:06:06.410	5.565	-0.77	-0.595	-0.012932	0.232044	0.967704	0.3315	0.9735	-0.789	0	157	981	1
2026-02-11	16:06:06.430	7.175	-0.455	-0.175	-0.00732	0.246196	0.979172	0.33	0.975	-0.7815	0	157	981	1
2026-02-11	16:06:06.450	5.355	-0.42	-0.175	-0.005368	0.272548	0.968924	0.342	0.969	-0.783	0	157	981	1
2026-02-11	16:06:06.470	1.995	-0.56	-0.98	-0.002684	0.270596	0.965264	0.342	0.966	-0.7785	0	157	981	1
2026-02-11	16:06:06.490	0.035	-1.26	-1.54	-0.002928	0.260104	0.966972	0.339	0.966	-0.777	0	157	981	1
2026-02-11	16:06:06.510	0.595	-1.015	-1.225	-0.004636	0.24522	0.97478	0.342	0.9675	-0.777	0	157	981	1
2026-02-11	16:06:06.530	0.77	0.245	-0.525	0.002196	0.24034	0.972096	0.3435	0.9645	-0.774	0	157	981	1
2026-02-11	16:06:06.550	0.91	-0.14	-0.21	-0.012688	0.265472	0.976	0.339	0.9675	-0.771	0	157	981	1
2026-02-11	16:06:06.570	-0.91	0.21	-0.385	-0.003904	0.283284	0.9638	0.3465	0.9705	-0.771	0	157	981	1
2026-02-11	16:06:06.590	-2.38	-0.175	-0.455	-0.009516	0.255468	0.972828	0.3525	0.9675	-0.7695	0	157	981	1
2026-02-11	16:06:06.610	-2.135	-0.105	-0.14	-0.006832	0.243512	0.970876	0.3435	0.966	-0.768	0	133	985	1
2026-02-11	16:06:06.630	-1.05	0.175	-0.105	-0.004148	0.248636	0.973072	0.339	0.9675	-0.7695	0	133	985	1
2026-02-11	16:06:06.650	-1.015	0.245	-0.385	-0.00732	0.263032	0.969412	0.3465	0.981	-0.7665	0	133	985	1
2026-02-11	16:06:06.670	-1.47	0.035	-0.455	-0.004392	0.246928	0.972828	0.3405	0.9675	-0.7815	0	133	985	1
2026-02-11	16:06:06.690	-0.77	0	-0.21	-0.006588	0.247904	0.974292	0.342	0.9735	-0.777	0	133	985	1
