yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-11	16:06:07.410	-0.14	0.105	-0.455	0.009516	-0.012688	1.009916	0.6075	0.036	0.009	0	54	1028	1
2026-02-11	16:06:07.430	-0.14	0.07	-0.455	0.011224	-0.00854	1.006256	0.6075	0.036	0.009	0	54	1028	1
2026-02-11	16:06:07.450	-0.175	0.105	-0.455	0.011468	-0.01098	1.006988	0.606	0.039	0.012	0	54	1028	1
2026-02-11	16:06:07.470	-0.175	0.14	-0.455	0.009516	-0.010736	1.010404	0.603	0.042	0.0105	0	54	1028	1
2026-02-11	16:06:07.490	-0.105	0.14	-0.42	0.014884	-0.01098	1.008452	0.6045	0.0435	0.009	0	54	1028	1
2026-02-11	16:06:07.510	-0.105	0.105	-0.455	0.007564	-0.008296	1.00528	0.6045	0.042	0.0105	0	54	1028	1
2026-02-11	16:06:07.530	-0.105	0.105	-0.455	0.012688	-0.009028	1.007964	0.603	0.042	0.012	0	54	1028	1
2026-02-11	16:06:07.550	-0.14	0.105	-0.455	0.010492	-0.01098	1.009672	0.609	0.039	0.0045	0	54	1028	1
2026-02-11	16:06:07.570	-0.14	0.105	-0.42	0.01342	-0.011468	1.005768	0.6015	0.0315	0.015	0	54	1028	1
2026-02-11	16:06:07.590	-0.14	0.105	-0.455	0.012688	-0.010248	1.01138	0.606	0.039	0.0105	0	54	1028	1
2026-02-11	16:06:07.610	-0.105	0.14	-0.455	0.0122	-0.010248	1.011868	0.606	0.0405	0.0195	0	46	1029	1
2026-02-11	16:06:07.630	-0.07	0.14	-0.455	0.011224	-0.01342	1.006256	0.6015	0.0435	0.006	0	46	1029	1
2026-02-11	16:06:07.650	-0.105	0.14	-0.455	0.006588	-0.006832	1.00772	0.5955	0.045	0.0195	0	46	1029	1
2026-02-11	16:06:07.670	-0.14	0.14	-0.385	0.00732	-0.00976	1.00772	0.6075	0.0435	0.0195	0	46	1029	1
2026-02-11	16:06:07.690	-0.14	0.105	-0.49	0.011224	-0.009272	1.011136	0.5985	0.027	0.0105	0	46	1029	1
2026-02-11	16:06:07.710	-0.14	0.14	-0.455	0.010004	-0.01098	1.008452	0.6	0.0375	0.012	0	46	1029	1
2026-02-11	16:06:07.730	-0.14	0.105	-0.42	0.006832	-0.008296	1.008696	0.6015	0.0435	0.012	0	46	1029	1
2026-02-11	16:06:07.750	-0.14	0.14	-0.455	0.006832	-0.008784	1.00772	0.603	0.039	0.009	0	46	1029	1
2026-02-11	16:06:07.770	-0.175	0.105	-0.455	0.009516	-0.013176	1.009428	0.6015	0.0405	0.0075	0	46	1029	1
2026-02-11	16:06:07.790	-0.105	0.14	-0.455	0.01098	-0.01098	1.008696	0.6	0.0405	0.0105	0	46	1029	1
2026-02-11	16:06:07.810	-0.14	0.14	-0.455	0.010736	-0.01342	1.010404	0.6	0.042	0.0105	0	40	1029	1
2026-02-11	16:06:07.830	-0.105	0.07	-0.455	0.01464	-0.00854	1.005524	0.597	0.045	0.0135	0	40	1029	1
2026-02-11	16:06:07.850	-0.14	0.105	-0.49	0.012932	-0.009028	1.0065	0.603	0.0435	0.012	0	40	1029	1
2026-02-11	16:06:07.870	-0.14	0.14	-0.455	0.009516	-0.010248	1.010404	0.603	0.039	0.0105	0	40	1029	1
2026-02-11	16:06:07.890	-0.07	0.14	-0.42	0.009028	-0.009272	1.008696	0.6	0.039	0.0135	0	40	1029	1
2026-02-11	16:06:07.910	-0.105	0.14	-0.455	0.010004	-0.010004	1.005524	0.606	0.042	0.0105	0	40	1029	1
2026-02-11	16:06:07.930	-0.105	0.14	-0.455	0.011468	-0.010492	1.00894	0.6	0.0435	0.0105	0	40	1029	1
2026-02-11	16:06:07.950	-0.14	0.14	-0.455	0.01342	-0.011956	1.009916	0.5925	0.0465	0.0135	0	40	1029	1
2026-02-11	16:06:07.970	-0.14	0.105	-0.42	0.011468	-0.01098	1.006744	0.5925	0.0465	0.0135	0	40	1029	1
2026-02-11	16:06:07.990	-0.14	0.105	-0.42	0.006832	-0.010736	1.010892	0.603	0.0375	0.009	0	40	1029	1
2026-02-11	16:06:08.010	-0.105	0.105	-0.42	0.008296	-0.01342	1.01016	0.609	0.039	0.0105	0	35	1030	1
2026-02-11	16:06:08.030	-0.105	0.14	-0.455	0.00854	-0.01098	1.010892	0.609	0.0375	0.015	0	35	1030	1
2026-02-11	16:06:08.050	-0.175	0.105	-0.455	0.011956	-0.010004	1.008696	0.603	0.039	0.0105	0	35	1030	1
