yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-11	16:06:07.410	-0.385	-0.21	0	-0.03416	0.025376	1.013088	-0.4275	0.552	0.0315	0	53	1027	1
2026-02-11	16:06:07.430	-0.28	-0.28	-0.07	-0.03172	0.027572	1.007476	-0.4395	0.5475	0.0345	0	53	1027	1
2026-02-11	16:06:07.450	-0.21	-0.245	-0.14	-0.031476	0.02562	1.010648	-0.432	0.552	0.024	0	53	1027	1
2026-02-11	16:06:07.470	-0.385	-0.245	-0.07	-0.030744	0.02562	1.005036	-0.4365	0.5505	0.0375	0	53	1027	1
2026-02-11	16:06:07.490	-0.42	-0.315	-0.14	-0.03294	0.026596	1.01138	-0.429	0.555	0.0285	0	53	1027	1
2026-02-11	16:06:07.510	-0.35	-0.315	-0.14	-0.031476	0.0244	1.001864	-0.429	0.5505	0.0285	0	53	1027	1
2026-02-11	16:06:07.530	-0.245	-0.35	-0.14	-0.030012	0.029524	1.009184	-0.4245	0.5535	0.0315	0	53	1027	1
2026-02-11	16:06:07.550	-0.455	-0.21	-0.07	-0.031476	0.02684	1.01138	-0.4245	0.546	0.033	0	53	1027	1
2026-02-11	16:06:07.570	-0.525	-0.245	-0.07	-0.033428	0.021228	1.0065	-0.435	0.5595	0.0255	0	53	1027	1
2026-02-11	16:06:07.590	-0.315	-0.245	-0.105	-0.03172	0.022692	1.007476	-0.4275	0.5475	0.0345	0	53	1027	1
2026-02-11	16:06:07.610	-0.175	-0.315	-0.035	-0.034404	0.028792	1.009672	-0.4335	0.549	0.03	0	46	1028	1
2026-02-11	16:06:07.630	-0.245	-0.28	-0.07	-0.030256	0.027816	1.005768	-0.432	0.543	0.0375	0	46	1028	1
2026-02-11	16:06:07.650	-0.525	-0.35	-0.035	-0.031964	0.02562	1.006256	-0.435	0.549	0.039	0	46	1028	1
2026-02-11	16:06:07.670	-0.525	-0.35	0	-0.03172	0.028792	1.0065	-0.4365	0.5445	0.033	0	46	1028	1
2026-02-11	16:06:07.690	-0.385	-0.35	0.07	-0.029524	0.027816	1.006988	-0.429	0.5565	0.036	0	46	1028	1
2026-02-11	16:06:07.710	-0.56	-0.245	0	-0.032452	0.026596	1.006988	-0.432	0.552	0.027	0	46	1028	1
2026-02-11	16:06:07.730	-0.56	-0.28	-0.07	-0.033916	0.024888	1.009916	-0.4215	0.543	0.033	0	46	1028	1
2026-02-11	16:06:07.750	-0.525	-0.35	-0.105	-0.028792	0.027328	1.0065	-0.4365	0.5415	0.0405	0	46	1028	1
2026-02-11	16:06:07.770	-0.385	-0.28	0	-0.031476	0.027572	1.006988	-0.4365	0.5415	0.0405	0	46	1028	1
2026-02-11	16:06:07.790	-0.42	-0.21	0.105	-0.030988	0.024888	1.00894	-0.4335	0.546	0.036	0	46	1028	1
2026-02-11	16:06:07.810	-0.595	-0.245	0.105	-0.036112	0.026596	1.01138	-0.4305	0.552	0.0315	0	40	1029	1
2026-02-11	16:06:07.830	-0.28	-0.21	0.105	-0.035136	0.019276	1.004304	-0.438	0.552	0.0375	0	40	1029	1
2026-02-11	16:06:07.850	-0.245	-0.455	0.175	-0.032208	0.0244	1.003572	-0.4305	0.549	0.0345	0	40	1029	1
2026-02-11	16:06:07.870	-0.56	-0.42	0.21	-0.030744	0.025864	1.011624	-0.4335	0.549	0.027	0	40	1029	1
2026-02-11	16:06:07.890	-0.63	-0.245	0.21	-0.030012	0.027328	1.005036	-0.4365	0.5475	0.036	0	40	1029	1
2026-02-11	16:06:07.910	-0.42	-0.28	0.07	-0.0305	0.030012	1.003816	-0.426	0.549	0.0375	0	40	1029	1
2026-02-11	16:06:07.930	-0.49	-0.455	0.105	-0.033184	0.026596	1.008696	-0.432	0.5475	0.0285	0	40	1029	1
2026-02-11	16:06:07.950	-0.56	-0.385	0.175	-0.032208	0.029524	1.008208	-0.4275	0.5475	0.0375	0	40	1029	1
2026-02-11	16:06:07.970	-0.735	-0.42	0.14	-0.027084	0.031476	1.005768	-0.4335	0.5415	0.0405	0	40	1029	1
