yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-11	16:06:07.410	-0.07	-0.105	-0.105	-0.006832	0.008052	1.01138	0.3255	0.1575	-0.486	0	46	1033	1
2026-02-11	16:06:07.430	-0.035	-0.14	-0.105	-0.003416	0.00976	1.00894	0.327	0.162	-0.48	0	46	1033	1
2026-02-11	16:06:07.450	-0.07	-0.105	-0.105	-0.002196	0.00854	1.00894	0.3315	0.1605	-0.4785	0	46	1033	1
2026-02-11	16:06:07.470	-0.07	-0.105	-0.07	-0.002684	0.010004	1.014064	0.3315	0.159	-0.4815	0	46	1033	1
2026-02-11	16:06:07.490	-0.035	-0.07	-0.07	-0.002196	0.007076	1.013576	0.33	0.159	-0.4845	0	46	1033	1
2026-02-11	16:06:07.510	0	-0.105	-0.07	-0.00488	0.010004	1.010404	0.3315	0.1575	-0.483	0	46	1033	1
2026-02-11	16:06:07.530	-0.035	-0.105	-0.105	-0.002196	0.00854	1.0126	0.3315	0.153	-0.4815	0	46	1033	1
2026-02-11	16:06:07.550	-0.07	-0.105	-0.07	-0.004392	0.007808	1.014064	0.333	0.156	-0.48	0	46	1033	1
2026-02-11	16:06:07.570	-0.07	-0.14	-0.105	-0.001708	0.00854	1.011136	0.333	0.159	-0.4815	0	46	1033	1
2026-02-11	16:06:07.590	-0.07	-0.105	-0.07	-0.003172	0.005856	1.018456	0.33	0.1575	-0.48	0	46	1033	1
2026-02-11	16:06:07.610	-0.07	-0.105	-0.07	-0.005856	0.00732	1.014552	0.3255	0.1575	-0.48	0	40	1034	1
2026-02-11	16:06:07.630	0	-0.105	-0.105	-0.003904	0.0061	1.014308	0.327	0.156	-0.4845	0	40	1034	1
2026-02-11	16:06:07.650	-0.035	-0.105	-0.07	-0.0061	0.00976	1.008452	0.3315	0.1545	-0.4845	0	40	1034	1
2026-02-11	16:06:07.670	-0.035	-0.105	-0.07	0.000244	0.010492	1.014552	0.33	0.159	-0.4845	0	40	1034	1
2026-02-11	16:06:07.690	-0.07	-0.14	-0.07	-0.005124	0.007564	1.01504	0.33	0.1635	-0.4845	0	40	1034	1
2026-02-11	16:06:07.710	-0.07	-0.14	-0.07	-0.004392	0.010004	1.014308	0.327	0.1575	-0.4875	0	40	1034	1
2026-02-11	16:06:07.730	-0.035	-0.14	-0.105	-0.001464	0.009272	1.016504	0.324	0.153	-0.48	0	40	1034	1
2026-02-11	16:06:07.750	-0.07	-0.14	-0.07	-0.00488	0.006588	1.010648	0.333	0.153	-0.486	0	40	1034	1
2026-02-11	16:06:07.770	-0.035	-0.105	-0.07	-0.00366	0.007076	1.010404	0.3315	0.1665	-0.4815	0	40	1034	1
