subject,activity,wrist,precision,recall,f1,accuracy
Hendrik,Laptop,right,0.0,0.0,0.0,1.0
Hendrik,Laptop,left,0.0,0.0,0.0,1.0
Tanya,Laptop,right,0.0,0.0,0.0,1.0
Tanya,Laptop,left,0.0,0.0,0.0,1.0
Hendrik,Stairs,right,1.0,1.0,1.0,1.0
Hendrik,Stairs,left,1.0,0.9916666666666667,0.99581589958159,0.9916666666666667
Tanya,Stairs,right,1.0,0.9907407407407407,0.9953488372093023,0.9907407407407407
Tanya,Stairs,left,1.0,1.0,1.0,1.0
Hendrik,Standing,right,0.0,0.0,0.0,0.8769230769230769
Hendrik,Standing,left,0.0,0.0,0.0,0.9302325581395349
Tanya,Standing,right,0.0,0.0,0.0,0.9619047619047619
Tanya,Standing,left,0.0,0.0,0.0,0.9090909090909091
Hendrik,Walking,right,1.0,1.0,1.0,1.0
Hendrik,Walking,left,1.0,1.0,1.0,1.0
Tanya,Walking,right,1.0,1.0,1.0,1.0
Tanya,Walking,left,1.0,1.0,1.0,1.0
