yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-11	16:27:49.610	33.775	-0.175	21.98	0.909876	0.28792	0.09638	0.1245	0.5745	0.1755	0	134	137	3
2026-02-11	16:27:49.630	32.55	-4.095	17.71	0.840824	0.30012	0.104676	0.1215	0.585	0.1725	0	134	137	3
2026-02-11	16:27:49.650	26.705	-8.75	12.565	0.824964	0.317688	0.127124	0.1245	0.585	0.183	0	134	137	3
2026-02-11	16:27:49.670	14.84	-12.67	7.525	0.847168	0.338672	0.143228	0.1215	0.5835	0.18	0	134	137	3
2026-02-11	16:27:49.690	-2.205	-15.225	3.71	0.8906	0.345016	0.160064	0.1215	0.582	0.1845	0	134	137	3
2026-02-11	16:27:49.710	-28.28	-15.995	1.645	0.97356	0.309148	0.17446	0.123	0.582	0.189	0	134	137	3
2026-02-11	16:27:49.730	-38.78	-15.155	0.945	1.024068	0.279136	0.194224	0.126	0.591	0.186	0	134	137	3
2026-02-11	16:27:49.750	-41.265	-12.67	-0.035	1.042612	0.219844	0.228872	0.126	0.5835	0.1875	0	134	137	3
2026-02-11	16:27:49.770	-31.5	-8.26	0.42	1.037244	0.111508	0.269132	0.1335	0.585	0.1935	0	134	137	3
2026-02-11	16:27:49.790	-13.335	-4.27	2.205	1.020896	0.084668	0.284992	0.1365	0.582	0.189	0	134	137	3
2026-02-11	16:27:49.810	-3.885	0.175	3.745	1.025044	0.061	0.31964	0.126	0.5835	0.1935	0	124	135	2
2026-02-11	16:27:49.830	-8.89	6.475	5.67	1.007232	0.001952	0.33306	0.1245	0.582	0.192	0	124	135	2
2026-02-11	16:27:49.850	-9.695	11.55	7.14	1.001132	-0.01586	0.314272	0.1275	0.5805	0.1965	0	124	135	2
2026-02-11	16:27:49.870	-4.795	12.635	5.67	0.9821	0.033184	0.255712	0.1185	0.5865	0.177	0	124	135	2
2026-02-11	16:27:49.890	2.8	10.36	1.925	0.992592	0.10614	0.214476	0.1215	0.585	0.1815	0	124	135	2
2026-02-11	16:27:49.910	-3.535	8.12	-3.395	0.996252	0.150304	0.183976	0.1245	0.585	0.186	0	124	135	2
2026-02-11	16:27:49.930	-14.315	7.07	-8.715	0.99552	0.164456	0.166652	0.1245	0.585	0.186	0	124	135	2
2026-02-11	16:27:49.950	-18.725	7.56	-11.515	0.992104	0.157624	0.165188	0.12	0.5805	0.1875	0	124	135	2
2026-02-11	16:27:49.970	-18.34	8.575	-12.985	0.986248	0.153232	0.163968	0.123	0.579	0.18	0	124	135	2
2026-02-11	16:27:49.990	-14.49	9.8	-13.685	0.981368	0.155916	0.157624	0.1305	0.5775	0.177	0	124	135	2
2026-02-11	16:27:50.010	-9.1	10.815	-14.175	0.976732	0.164212	0.157624	0.1215	0.5775	0.183	0	118	147	3
2026-02-11	16:27:50.030	-3.08	11.165	-14.63	0.966484	0.1769	0.144936	0.1215	0.5715	0.177	0	118	147	3
2026-02-11	16:27:50.050	3.08	10.605	-15.155	0.958188	0.1891	0.138836	0.123	0.5715	0.171	0	118	147	3
2026-02-11	16:27:50.070	7.63	9.345	-15.785	0.962336	0.205448	0.132492	0.1245	0.576	0.1725	0	118	147	3
2026-02-11	16:27:50.090	9.065	7.84	-16.03	0.9638	0.216428	0.128832	0.1245	0.5625	0.18	0	118	147	3
2026-02-11	16:27:50.110	7.07	6.23	-16.205	0.958188	0.229116	0.126636	0.1215	0.57	0.171	0	118	147	3
2026-02-11	16:27:50.130	0.105	3.465	-16.275	0.965996	0.222284	0.128344	0.1185	0.5775	0.1635	0	118	147	3
2026-02-11	16:27:50.150	-3.745	1.54	-16.31	0.96868	0.20618	0.134932	0.117	0.5655	0.171	0	118	147	3
