yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-11	16:02:12.010	-56.21	-56.525	30.415	0.915244	-0.080276	0.46848	0.189	0.633	0.0615	0	244	224	2
2026-02-11	16:02:12.030	-43.645	-55.02	31.465	0.901824	-0.077592	0.503372	0.192	0.6375	0.0765	0	244	224	2
2026-02-11	16:02:12.050	-31.92	-51.17	33.25	0.86986	-0.056364	0.49898	0.183	0.6435	0.081	0	244	224	2
2026-02-11	16:02:12.070	-24.57	-47.635	34.335	0.852292	-0.013908	0.477264	0.1905	0.6405	0.09	0	244	224	2
2026-02-11	16:02:12.090	-25.55	-44.975	31.99	0.842288	-0.001464	0.46238	0.186	0.651	0.0975	0	244	224	2
2026-02-11	16:02:12.110	-30.38	-42.98	30.59	0.851316	-0.010492	0.431148	0.1815	0.6555	0.0945	0	244	224	2
2026-02-11	16:02:12.130	-33.005	-40.845	30.94	0.8906	-0.016348	0.402356	0.18	0.6495	0.1035	0	244	224	2
2026-02-11	16:02:12.150	-30.03	-38.01	32.095	0.959408	0.001464	0.385276	0.189	0.6585	0.1065	0	244	224	2
2026-02-11	16:02:12.170	-27.51	-34.72	31.5	1.044808	0.018056	0.388692	0.1905	0.6615	0.1125	0	244	224	2
2026-02-11	16:02:12.190	-27.755	-27.65	28.14	1.1102	0.036112	0.391376	0.1785	0.6615	0.1155	0	244	224	2
2026-02-11	16:02:12.210	-25.9	-17.36	21.455	1.122888	0.041968	0.390888	0.1785	0.6615	0.1155	0	239	257	2
2026-02-11	16:02:12.230	-19.285	-7.84	13.02	1.082384	0.034404	0.349408	0.1935	0.6645	0.1155	0	239	257	2
2026-02-11	16:02:12.250	-8.435	0.875	2.1	1.041392	0.04026	0.288164	0.1905	0.6735	0.123	0	239	257	2
2026-02-11	16:02:12.270	0.42	6.65	-9.695	1.063352	0.061244	0.240828	0.1875	0.6765	0.126	0	239	257	2
2026-02-11	16:02:12.290	6.055	9.8	-20.3	1.104832	0.056852	0.224724	0.201	0.6795	0.1275	0	239	257	2
2026-02-11	16:02:12.310	11.55	12.145	-29.295	1.143872	0.071004	0.2257	0.207	0.6645	0.1305	0	239	257	2
2026-02-11	16:02:12.330	14.805	14	-37.065	1.16144	0.090524	0.233508	0.2025	0.675	0.1335	0	239	257	2
2026-02-11	16:02:12.350	14.91	16.135	-43.855	1.132648	0.110532	0.241316	0.198	0.672	0.1365	0	239	257	2
2026-02-11	16:02:12.370	11.305	17.605	-49.63	1.076772	0.135664	0.220332	0.1995	0.6645	0.135	0	239	257	2
2026-02-11	16:02:12.390	4.62	18.445	-54.565	1.020164	0.152744	0.20374	0.201	0.6645	0.144	0	239	257	2
2026-02-11	16:02:12.410	-9.24	18.725	-61.46	0.914268	0.1708	0.183	0.201	0.6645	0.144	0	233	283	3
2026-02-11	16:02:12.430	-24.465	17.99	-64.96	0.880352	0.18178	0.158844	0.201	0.6645	0.144	0	233	283	3
2026-02-11	16:02:12.450	-43.89	15.785	-67.27	0.891332	0.176168	0.13298	0.189	0.642	0.162	0	233	283	3
2026-02-11	16:02:12.470	-60.2	12.81	-67.76	0.935252	0.185196	0.122488	0.186	0.633	0.183	0	233	283	3
2026-02-11	16:02:12.490	-75.95	9.905	-66.045	1.017724	0.216184	0.134688	0.183	0.6135	0.1845	0	233	283	3
2026-02-11	16:02:12.510	-93.59	8.435	-62.405	1.139968	0.216184	0.143716	0.186	0.594	0.1995	0	233	283	3
2026-02-11	16:02:12.530	-107.205	11.305	-57.365	1.18828	0.200324	0.127368	0.1905	0.582	0.2145	0	233	283	3
2026-02-11	16:02:12.550	-112.105	16.065	-52.08	1.172176	0.18422	0.087596	0.183	0.549	0.2055	0	233	283	3
2026-02-11	16:02:12.570	-110.915	19.74	-47.495	1.153388	0.188368	0.054168	0.192	0.531	0.2085	0	233	283	3
2026-02-11	16:02:12.590	-109.095	23.555	-44.17	1.140456	0.199836	0.0366	0.189	0.504	0.1995	0	233	283	3
2026-02-11	16:02:12.610	-112.665	25.305	-41.405	1.086532	0.185196	0.022448	0.186	0.4935	0.1965	0	227	278	3
2026-02-11	16:02:12.630	-103.53	27.02	-42.14	1.02602	0.126392	0.01464	0.183	0.4845	0.195	0	227	278	3
2026-02-11	16:02:12.650	-86.45	27.615	-44.345	1.010404	0.124684	0.011224	0.1875	0.4425	0.171	0	227	278	3
