yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-11	16:36:27.010	6.3	-13.055	-33.635	0.700524	-0.13176	0.643672	0.1545	0.2505	0.036	0	160	698	4
2026-02-11	16:36:27.030	-8.505	-17.535	-21.105	0.698572	-0.10248	0.694912	0.1425	0.249	0.051	0	160	698	4
2026-02-11	16:36:27.050	-21.525	-17.92	-12.495	0.724924	-0.059048	0.715896	0.135	0.2445	0.0405	0	160	698	4
2026-02-11	16:36:27.070	-24.15	-16.38	-9.59	0.740052	-0.019764	0.740784	0.1365	0.2445	0.051	0	160	698	4
2026-02-11	16:36:27.090	-23.87	-15.47	-10.5	0.762012	0.000488	0.766648	0.138	0.249	0.0495	0	160	698	4
2026-02-11	16:36:27.110	-23.135	-13.72	-13.755	0.814228	0.0122	0.799832	0.1335	0.2565	0.057	0	160	698	4
2026-02-11	16:36:27.130	-22.295	-8.155	-17.465	0.855708	0.001952	0.806908	0.1335	0.2565	0.057	0	160	698	4
2026-02-11	16:36:27.150	-22.645	-1.05	-19.005	0.8784	-0.000976	0.787388	0.1335	0.2565	0.057	0	160	698	4
2026-02-11	16:36:27.170	-24.78	4.235	-18.69	0.851072	0.010004	0.781532	0.129	0.255	0.057	0	160	698	4
2026-02-11	16:36:27.190	-30.135	9.135	-18.795	0.837408	0.033184	0.749324	0.1275	0.252	0.06	0	160	698	4
2026-02-11	16:36:35.210	-7.49	-0.945	31.64	0.820572	0.013664	0.655628	0.105	0.273	0.0975	0	28	35	2
2026-02-11	16:36:35.230	-8.54	5.495	31.535	0.778604	0.083448	0.660264	0.111	0.2805	0.108	0	28	35	2
2026-02-11	16:36:35.250	-3.605	17.885	23.8	0.74786	0.118584	0.602192	0.111	0.2835	0.1065	0	28	35	2
2026-02-11	16:36:35.270	7	27.09	10.71	0.745908	0.102724	0.50752	0.111	0.2895	0.102	0	28	35	2
2026-02-11	16:36:35.290	1.995	19.635	7.98	0.790804	0.054656	0.549488	0.1095	0.282	0.1005	0	28	35	2
