yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-11	16:36:27.010	34.335	-6.055	100.31	1.00284	0.30866	0.206668	0.1455	0.324	-0.012	0	247	203	2
2026-02-11	16:36:27.030	47.67	-6.09	99.295	1.048468	0.29158	0.17446	0.1395	0.3255	-0.0135	0	247	203	2
2026-02-11	16:36:27.050	62.37	-8.05	99.925	1.122644	0.282064	0.162992	0.1365	0.3315	-0.012	0	247	203	2
2026-02-11	16:36:27.070	75.32	-10.15	99.75	1.131916	0.285968	0.20252	0.1275	0.3405	0	0	247	203	2
2026-02-11	16:36:27.090	83.86	-12.495	97.23	1.116056	0.298168	0.233508	0.111	0.3615	-0.0015	0	247	203	2
2026-02-11	16:36:27.110	86.765	-15.54	93.065	1.08214	0.320128	0.254492	0.1005	0.372	0.012	0	247	203	2
2026-02-11	16:36:27.130	83.3	-19.39	85.96	1.045052	0.343552	0.276452	0.0855	0.384	0.024	0	247	203	2
2026-02-11	16:36:27.150	63.875	-24.955	71.68	1.014796	0.355752	0.354776	0.081	0.396	0.027	0	247	203	2
2026-02-11	16:36:27.170	47.285	-25.83	60.585	1.00894	0.332328	0.387716	0.078	0.405	0.042	0	247	203	2
2026-02-11	16:36:27.190	35.105	-23.24	49.35	0.989176	0.31232	0.382592	0.072	0.42	0.0525	0	247	203	2
2026-02-11	16:36:27.210	27.335	-20.44	38.675	0.945256	0.29036	0.356972	0.0675	0.4245	0.0495	0	250	201	3
2026-02-11	16:36:27.230	23.975	-18.9	29.645	0.942084	0.2562	0.35014	0.0765	0.4305	0.0675	0	250	201	3
2026-02-11	16:36:27.250	23.59	-17.71	22.4	0.981124	0.236924	0.372344	0.0705	0.438	0.0675	0	250	201	3
2026-02-11	16:36:27.270	26.215	-14.63	15.75	0.99308	0.226432	0.377468	0.0645	0.4365	0.072	0	250	201	3
2026-02-11	16:36:27.290	31.465	-11.375	10.22	0.976488	0.223504	0.375272	0.075	0.441	0.0765	0	250	201	3
2026-02-11	16:36:27.310	36.47	-7.875	5.565	0.946232	0.2379	0.381128	0.06	0.438	0.072	0	250	201	3
