yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-11	16:36:27.010	3.815	-19.18	-21.35	-0.002196	0.00488	0.983564	-0.225	-1.2165	-2.787	0	130	1027	1
2026-02-11	16:36:27.030	1.645	-17.115	-23.065	-0.013176	0.009028	1.013332	-0.2355	-1.221	-2.7855	0	130	1027	1
2026-02-11	16:36:27.050	-1.19	-14.875	-24.43	0.006344	0.012688	1.037488	-0.231	-1.2195	-2.787	0	130	1027	1
2026-02-11	16:36:27.070	-3.92	-12.425	-25.13	0.010248	0.025132	1.047492	-0.234	-1.212	-2.7885	0	130	1027	1
2026-02-11	16:36:27.090	-5.11	-9.66	-25.83	-0.003904	0.032208	1.059204	-0.2385	-1.2105	-2.7885	0	130	1027	1
2026-02-11	16:36:27.110	-4.865	-6.545	-27.475	0.006344	0.018544	1.095316	-0.2385	-1.2075	-2.7945	0	130	1027	1
2026-02-11	16:36:27.130	-4.34	-2.31	-30.765	0.05734	0.001952	1.111664	-0.2385	-1.2105	-2.784	0	130	1027	1
2026-02-11	16:36:27.150	-2.625	-0.14	-33.005	0.073688	0.008052	1.086776	-0.234	-1.206	-2.7885	0	130	1027	1
2026-02-11	16:36:27.170	0.77	1.68	-35.315	0.057096	0.014396	1.06384	-0.2355	-1.2	-2.7945	0	130	1027	1
2026-02-11	16:36:27.190	4.515	1.785	-37.415	0.066612	0.01098	1.082872	-0.2415	-1.2	-2.79	0	130	1027	1
2026-02-11	16:36:27.210	6.44	0.35	-38.185	0.111752	0.00732	1.148508	-0.2415	-1.1985	-2.7855	0	126	1021	1
2026-02-11	16:36:27.230	6.09	-0.63	-37.345	0.131272	0.016592	1.160952	-0.246	-1.197	-2.784	0	126	1021	1
2026-02-11	16:36:27.250	5.81	-1.855	-36.05	0.149084	0.014152	1.148996	-0.246	-1.197	-2.7825	0	126	1021	1
2026-02-11	16:36:27.270	5.985	-4.235	-34.86	0.16836	0.011712	1.131916	-0.243	-1.1955	-2.7825	0	126	1021	1
