yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-11	16:36:27.010	39.725	-3.255	50.61	0.951356	-0.280112	0.22692	-0.6915	0.363	0.1935	0	352	371	2
2026-02-11	16:36:27.030	36.75	-5.775	47.285	1.00772	-0.297436	0.232288	-0.6915	0.363	0.1935	0	352	371	2
2026-02-11	16:36:27.050	34.265	-8.05	45.22	1.093364	-0.29158	0.244976	-0.681	0.363	0.1875	0	352	371	2
2026-02-11	16:36:27.070	29.925	-7.42	45.43	1.067012	-0.265228	0.241804	-0.6765	0.3645	0.186	0	352	371	2
2026-02-11	16:36:27.090	25.34	-8.575	47.565	1.014796	-0.2501	0.23302	-0.672	0.36	0.1845	0	352	371	2
2026-02-11	16:36:27.110	23.205	-12.285	50.785	0.978196	-0.257664	0.232288	-0.669	0.3735	0.189	0	352	371	2
2026-02-11	16:36:27.130	23.03	-16.87	54.74	0.976244	-0.260836	0.242048	-0.6645	0.3765	0.186	0	352	371	2
2026-02-11	16:36:27.150	24.5	-20.3	59.115	0.950624	-0.266692	0.22692	-0.66	0.3765	0.177	0	352	371	2
2026-02-11	16:36:27.170	29.61	-24.64	61.705	0.930616	-0.267668	0.226676	-0.669	0.3765	0.186	0	352	371	2
2026-02-11	16:36:27.190	36.855	-29.085	61.88	0.894016	-0.26596	0.236436	-0.6645	0.3885	0.171	0	352	371	2
2026-02-11	16:36:27.210	44.1	-33.565	60.375	0.8601	-0.259372	0.258884	-0.6525	0.378	0.1785	0	332	353	3
2026-02-11	16:36:27.230	49.875	-38.115	57.925	0.850828	-0.249612	0.287188	-0.648	0.3825	0.18	0	332	353	3
2026-02-11	16:36:27.250	54.005	-42.14	54.215	0.870592	-0.234484	0.307196	-0.639	0.384	0.1785	0	332	353	3
2026-02-11	16:36:27.270	56.945	-44.31	49.315	0.892552	-0.222284	0.315248	-0.648	0.381	0.18	0	332	353	3
2026-02-11	16:36:27.290	57.505	-44.625	43.47	0.878644	-0.211548	0.316956	-0.654	0.3825	0.177	0	332	353	3
2026-02-11	16:36:27.310	55.09	-45.08	37.1	0.874252	-0.208132	0.317932	-0.657	0.3765	0.1755	0	332	353	3
2026-02-11	16:36:27.330	48.475	-44.52	27.16	0.857172	-0.212524	0.33184	-0.657	0.3765	0.1755	0	332	353	3
2026-02-11	16:36:27.350	43.995	-44.135	21.245	0.860588	-0.214232	0.341356	-0.6585	0.3735	0.177	0	332	353	3
2026-02-11	16:36:27.370	39.445	-43.645	15.785	0.878888	-0.218624	0.35136	-0.6645	0.363	0.1725	0	332	353	3
2026-02-11	16:36:27.390	36.26	-43.295	10.465	0.914756	-0.223504	0.360144	-0.6675	0.3645	0.171	0	332	353	3
2026-02-11	16:36:27.410	34.055	-42.28	4.9	0.952576	-0.232044	0.37698	-0.6735	0.357	0.1785	0	311	332	3
2026-02-11	16:36:27.430	30.73	-39.97	-0.385	0.955748	-0.23302	0.376004	-0.678	0.363	0.18	0	311	332	3
2026-02-11	16:36:27.450	26.39	-37.8	-5.005	0.973804	-0.237168	0.378932	-0.687	0.354	0.1755	0	311	332	3
2026-02-11	16:36:27.470	22.61	-35.7	-9.1	0.988932	-0.24766	0.392596	-0.684	0.345	0.1785	0	311	332	3
2026-02-11	16:36:27.490	19.18	-33.355	-11.97	0.99796	-0.257664	0.409676	-0.693	0.354	0.18	0	311	332	3
2026-02-11	16:36:27.510	15.89	-30.03	-12.775	0.979416	-0.257908	0.414068	-0.69	0.3435	0.1785	0	311	332	3
2026-02-11	16:36:27.530	13.545	-27.65	-12.39	0.9638	-0.263276	0.408456	-0.6945	0.339	0.1845	0	311	332	3
2026-02-11	16:36:27.550	12.95	-25.445	-10.955	0.940376	-0.26352	0.397964	-0.7035	0.3435	0.1815	0	311	332	3
2026-02-11	16:36:27.570	14.385	-23.38	-9.275	0.925004	-0.270596	0.39528	-0.6975	0.339	0.189	0	311	332	3
2026-02-11	16:36:27.590	17.01	-21.455	-7.805	0.907192	-0.263032	0.394548	-0.711	0.333	0.1875	0	311	332	3
2026-02-11	16:36:27.610	20.195	-19.355	-7.56	0.905484	-0.273524	0.398696	-0.7035	0.33	0.183	0	288	328	3
2026-02-11	16:36:27.630	24.29	-16.17	-9.1	0.908168	-0.2623	0.40504	-0.7155	0.33	0.192	0	288	328	3
2026-02-11	16:36:27.650	23.485	-13.79	-11.235	0.931836	-0.265472	0.410652	-0.72	0.327	0.186	0	288	328	3
2026-02-11	16:36:27.670	19.845	-10.395	-13.685	0.976732	-0.243268	0.421388	-0.723	0.3195	0.177	0	288	328	3
2026-02-11	16:36:27.690	11.55	-6.195	-16.03	0.991616	-0.234484	0.420412	-0.7155	0.3165	0.189	0	288	328	3
2026-02-11	16:36:27.710	-1.4	-1.295	-17.64	0.975756	-0.227652	0.408944	-0.72	0.312	0.1845	0	288	328	3
2026-02-11	16:36:27.730	-15.89	2.695	-18.445	0.95526	-0.24644	0.39162	-0.7275	0.3165	0.183	0	288	328	3
2026-02-11	16:36:27.750	-26.88	5.425	-17.57	0.956236	-0.260348	0.390644	-0.7305	0.3075	0.1845	0	288	328	3
2026-02-11	16:36:27.770	-32.83	7.945	-15.61	0.947208	-0.279136	0.381372	-0.7215	0.3105	0.1875	0	288	328	3
2026-02-11	16:36:27.790	-34.895	9.135	-12.74	0.941596	-0.294508	0.3721	-0.717	0.3105	0.1815	0	288	328	3
2026-02-11	16:36:27.810	-32.48	9.975	-9.975	0.938912	-0.315248	0.364536	-0.729	0.3135	0.1845	0	263	339	3
