yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-11	16:36:27.010	-2.45	19.355	-20.3	0.014396	-0.0244	0.9943	1.1685	0.5145	-3.0405	0	137	1029	1
2026-02-11	16:36:27.030	-0.42	17.115	-22.19	0.021228	-0.026108	1.031144	1.17	0.5175	-3.045	0	137	1029	1
2026-02-11	16:36:27.050	2.345	14.595	-23.625	-0.00244	-0.026108	1.050176	1.1715	0.5205	-3.045	0	137	1029	1
2026-02-11	16:36:27.070	4.69	11.97	-24.395	-0.005368	-0.040748	1.049444	1.176	0.516	-3.048	0	137	1029	1
2026-02-11	16:36:27.090	5.355	9.205	-25.375	0.011712	-0.04636	1.062376	1.1775	0.5115	-3.0495	0	137	1029	1
2026-02-11	16:36:27.110	4.9	6.3	-27.195	-0.000244	-0.031964	1.09922	1.179	0.5085	-3.0495	0	137	1029	1
2026-02-11	16:36:27.130	4.48	3.465	-29.54	-0.035624	-0.020252	1.112152	1.1805	0.5115	-3.0495	0	137	1029	1
2026-02-11	16:36:27.150	2.66	0.77	-32.235	-0.059536	-0.020496	1.084824	1.1865	0.5115	-3.0465	0	137	1029	1
2026-02-11	16:36:27.170	-1.26	-1.12	-35.07	-0.049288	-0.0244	1.054568	1.191	0.5115	-3.048	0	137	1029	1
2026-02-11	16:36:27.190	-4.9	-0.735	-36.995	-0.062952	-0.027572	1.083848	1.182	0.501	-3.048	0	137	1029	1
2026-02-11	16:36:27.210	-6.58	0.805	-37.555	-0.112728	-0.017812	1.14924	1.1775	0.5115	-3.0435	0	134	1023	1
2026-02-11	16:36:27.230	-6.125	1.435	-36.715	-0.131028	-0.030256	1.162416	1.1655	0.5025	-3.036	0	134	1023	1
2026-02-11	16:36:27.250	-5.495	3.08	-35.385	-0.148352	-0.023424	1.149484	1.164	0.501	-3.0405	0	134	1023	1
2026-02-11	16:36:27.270	-5.495	5.53	-34.09	-0.16348	-0.021228	1.136796	1.167	0.501	-3.042	0	134	1023	1
2026-02-11	16:36:27.290	-5.495	8.61	-33.495	-0.185196	-0.011468	1.086532	1.173	0.501	-3.042	0	134	1023	1
2026-02-11	16:36:27.310	-7.49	9.485	-34.825	-0.167384	-0.00488	0.997228	1.1745	0.4995	-3.0465	0	134	1023	1
2026-02-11	16:36:27.330	-11.55	8.89	-38.5	-0.150304	-0.005368	0.901824	1.1745	0.501	-3.045	0	134	1023	1
2026-02-11	16:36:27.350	-19.04	9.065	-45.15	-0.156648	-0.016104	0.821304	1.1775	0.5025	-3.039	0	134	1023	1
2026-02-11	16:36:27.370	-23.45	9.065	-49	-0.19154	-0.025132	0.856684	1.2	0.507	-3.0435	0	134	1023	1
2026-02-11	16:36:27.390	-25.095	7.175	-51.45	-0.26596	-0.032208	0.947696	1.194	0.516	-3.0435	0	134	1023	1
2026-02-11	16:36:27.410	-22.295	5.46	-51.625	-0.305488	-0.039772	1.025044	1.194	0.513	-3.045	0	131	1028	1
2026-02-11	16:36:27.430	-15.435	5.425	-49.735	-0.299632	-0.050508	1.076772	1.203	0.513	-3.051	0	131	1028	1
2026-02-11	16:36:27.450	-5.635	6.965	-46.76	-0.28304	-0.044408	1.082872	1.2	0.4965	-3.051	0	131	1028	1
2026-02-11	16:36:27.470	4.095	8.75	-43.33	-0.27572	-0.041236	1.03334	1.209	0.507	-3.0435	0	131	1028	1
2026-02-11	16:36:27.490	10.465	11.025	-40.285	-0.235704	-0.037332	0.961604	1.2045	0.513	-3.045	0	131	1028	1
2026-02-11	16:36:27.510	12.845	14.525	-38.605	-0.199592	-0.035624	0.908656	1.215	0.5085	-3.0495	0	131	1028	1
2026-02-11	16:36:27.530	11.095	18.725	-38.465	-0.159576	-0.039528	0.8784	1.218	0.504	-3.048	0	131	1028	1
2026-02-11	16:36:27.550	7.77	18.41	-38.885	-0.139568	-0.048556	0.901336	1.218	0.4995	-3.048	0	131	1028	1
2026-02-11	16:36:27.570	6.335	18.13	-38.85	-0.147376	-0.04636	0.948672	1.221	0.4965	-3.0495	0	131	1028	1
2026-02-11	16:36:27.590	5.74	15.225	-37.87	-0.149572	-0.05246	0.973804	1.224	0.495	-3.0495	0	131	1028	1
2026-02-11	16:36:27.610	6.44	12.705	-35.91	-0.1708	-0.05612	0.992836	1.224	0.4905	-3.048	0	129	1030	1
2026-02-11	16:36:27.630	7.175	10.395	-33.04	-0.1708	-0.05734	0.997716	1.2255	0.486	-3.051	0	129	1030	1
2026-02-11	16:36:27.650	7.07	7.175	-29.855	-0.169336	-0.05246	1.0004	1.227	0.4845	-3.0525	0	129	1030	1
2026-02-11	16:36:27.670	6.72	3.64	-26.775	-0.1647	-0.04392	1.028704	1.23	0.4875	-3.0525	0	129	1030	1
2026-02-11	16:36:27.690	7.175	0	-23.345	-0.1769	-0.036356	1.044564	1.2315	0.4875	-3.0495	0	129	1030	1
2026-02-11	16:36:27.710	8.085	-5.355	-18.62	-0.173728	-0.039528	1.038464	1.233	0.486	-3.0465	0	129	1030	1
2026-02-11	16:36:27.730	8.12	-8.645	-14.175	-0.16592	-0.034648	1.048224	1.23	0.4875	-3.0525	0	129	1030	1
2026-02-11	16:36:27.750	7.735	-10.92	-11.515	-0.15372	-0.027572	1.080188	1.2255	0.4845	-3.0495	0	129	1030	1
2026-02-11	16:36:27.770	7.77	-14.105	-9.59	-0.152988	-0.018544	1.11752	1.224	0.4875	-3.0525	0	129	1030	1
2026-02-11	16:36:27.790	8.855	-17.71	-7.84	-0.142496	-0.019032	1.109468	1.224	0.4845	-3.0525	0	129	1030	1
2026-02-11	16:36:27.810	9.59	-19.495	-6.335	-0.132004	-0.027816	1.068964	1.218	0.4755	-3.048	0	127	1030	1
2026-02-11	16:36:27.830	8.785	-19.67	-5.635	-0.125172	-0.030012	1.051396	1.218	0.4755	-3.048	0	127	1030	1
2026-02-11	16:36:27.850	6.825	-19.46	-5.53	-0.118828	-0.017812	1.06384	1.215	0.474	-3.048	0	127	1030	1
2026-02-11	16:36:27.870	5.565	-19.67	-5.005	-0.138104	-0.009516	1.094096	1.2075	0.474	-3.048	0	127	1030	1
2026-02-11	16:36:27.890	6.055	-19.915	-2.275	-0.141032	0.010492	1.111176	1.209	0.4755	-3.045	0	127	1030	1
2026-02-11	16:36:27.910	7.455	-18.445	1.89	-0.131272	0.025132	1.105076	1.209	0.4755	-3.045	0	127	1030	1
2026-02-11	16:36:27.930	8.715	-15.12	5.6	-0.116144	0.03416	1.0797	1.191	0.471	-3.0345	0	127	1030	1
2026-02-11	16:36:27.950	9.17	-10.115	8.505	-0.1403	0.043676	1.070428	1.182	0.4695	-3.0435	0	127	1030	1
2026-02-11	16:36:27.970	8.54	-5.775	10.64	-0.172264	0.054168	1.057496	1.1835	0.4635	-3.0375	0	127	1030	1
2026-02-11	16:36:27.990	5.845	-4.935	11.795	-0.164456	0.052948	0.996984	1.1925	0.4725	-3.0405	0	127	1030	1
2026-02-11	16:36:26.010	-16.1	6.02	-64.155	-0.100772	-0.074908	0.828868	1.1715	0.612	-3.048	0	154	1029	1
2026-02-11	16:36:26.030	-20.51	6.93	-65.975	-0.10492	-0.076372	0.870592	1.167	0.615	-3.045	0	154	1029	1
2026-02-11	16:36:26.050	-21.28	8.505	-67.76	-0.141032	-0.089304	0.987956	1.1565	0.612	-3.0435	0	154	1029	1
2026-02-11	16:36:26.070	-14.84	8.365	-67.725	-0.16348	-0.101748	1.086532	1.149	0.6075	-3.0435	0	154	1029	1
2026-02-11	16:36:26.090	-5.495	7.21	-66.36	-0.165188	-0.104188	1.101172	1.1535	0.609	-3.045	0	154	1029	1
2026-02-11	16:36:26.110	3.85	6.16	-64.995	-0.141276	-0.112728	1.05042	1.161	0.6015	-3.051	0	154	1029	1
2026-02-11	16:36:26.130	10.57	6.615	-64.295	-0.107604	-0.110044	0.97844	1.1595	0.591	-3.0525	0	154	1029	1
2026-02-11	16:36:26.150	13.685	8.54	-64.12	-0.088572	-0.101016	0.902068	1.158	0.597	-3.0435	0	154	1029	1
2026-02-11	16:36:26.170	13.09	12.04	-64.155	-0.0793	-0.097112	0.857172	1.161	0.5895	-3.048	0	154	1029	1
2026-02-11	16:36:26.190	10.08	15.47	-64.015	-0.092476	-0.09467199	0.857416	1.158	0.5835	-3.051	0	154	1029	1
2026-02-11	16:36:26.210	6.475	17.15	-63.105	-0.102724	-0.095648	0.895236	1.1565	0.585	-3.051	0	151	1033	1
2026-02-11	16:36:26.230	3.395	16.345	-60.62	-0.092476	-0.088572	0.929396	1.1595	0.5745	-3.0555	0	151	1033	1
2026-02-11	16:36:26.250	1.645	14.595	-57.295	-0.077592	-0.10004	0.939644	1.1595	0.5745	-3.0555	0	151	1033	1
2026-02-11	16:36:26.270	0.735	13.23	-54.11	-0.076372	-0.109556	0.971852	1.1595	0.5745	-3.0555	0	151	1033	1
2026-02-11	16:36:26.290	0.77	11.235	-50.155	-0.089304	-0.10126	1.037976	1.1535	0.5685	-3.0465	0	151	1033	1
2026-02-11	16:36:26.310	2.31	7.455	-45.29	-0.104676	-0.095404	1.058228	1.1655	0.564	-3.0525	0	151	1033	1
2026-02-11	16:36:26.330	3.29	2.73	-40.145	-0.089548	-0.092232	1.03334	1.1625	0.564	-3.0465	0	151	1033	1
2026-02-11	16:36:26.350	2.45	-1.015	-35.525	-0.064416	-0.086376	1.023092	1.173	0.5565	-3.0495	0	151	1033	1
