yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-11	16:16:38.010	1.575	-0.595	0.21	0.074664	-0.236436	0.981856	1.395	-0.012	0.828	0	10	1001	1
2026-02-11	16:16:38.030	0.98	-0.56	0.245	0.074176	-0.238632	0.979416	1.395	-0.0135	0.8325	0	10	1001	1
2026-02-11	16:16:38.050	1.12	-0.56	0.245	0.068564	-0.233752	0.979416	1.395	-0.0135	0.8325	0	10	1001	1
2026-02-11	16:16:38.070	1.575	-0.56	0.21	0.071004	-0.234972	0.97966	1.395	-0.0135	0.8325	0	10	1001	1
2026-02-11	16:16:38.090	0.805	-0.525	0.28	0.072956	-0.23302	0.974292	1.395	-0.0135	0.8325	0	10	1001	1
2026-02-11	16:16:38.110	1.155	-0.56	0.28	0.075884	-0.24034	0.976244	1.395	-0.012	0.837	0	10	1001	1
2026-02-11	16:16:38.130	2.765	-0.63	0.14	0.072712	-0.23424	0.989908	1.3935	-0.0135	0.8325	0	10	1001	1
2026-02-11	16:16:38.150	-0.28	-0.49	0.35	0.067832	-0.236192	0.970144	1.3965	-0.006	0.8355	0	10	1001	1
2026-02-11	16:16:38.170	0.63	-0.49	0.35	0.072956	-0.23668	0.968192	1.395	-0.015	0.8235	0	10	1001	1
2026-02-11	16:16:38.190	3.78	-0.7	0.07	0.07124799	-0.233264	0.992348	1.401	-0.0165	0.822	0	10	1001	1
2026-02-11	16:16:38.210	-0.245	-0.525	0.35	0.071492	-0.234972	0.976732	1.398	-0.0195	0.8265	0	9	1001	1
2026-02-11	16:16:38.230	0.07	-0.49	0.385	0.072468	-0.240584	0.970144	1.3995	-0.012	0.8235	0	9	1001	1
2026-02-11	16:16:38.250	3.815	-0.7	0.07	0.074908	-0.234728	0.993324	1.395	-0.0135	0.828	0	9	1001	1
2026-02-11	16:16:38.270	0.035	-0.455	0.315	0.072956	-0.235948	0.977708	1.3995	-0.009	0.8295	0	9	1001	1
2026-02-11	16:16:38.290	0.14	-0.49	0.315	0.070272	-0.236924	0.966484	1.398	-0.018	0.834	0	9	1001	1
2026-02-11	16:16:38.310	3.395	-0.735	0.035	0.072712	-0.230824	0.987956	1.3995	-0.012	0.8295	0	9	1001	1
2026-02-11	16:16:38.330	-0.35	-0.455	0.35	0.071492	-0.2379	0.976244	1.398	-0.009	0.822	0	9	1001	1
2026-02-11	16:16:38.350	1.61	-0.56	0.245	0.073688	-0.238388	0.979416	1.395	-0.0105	0.825	0	9	1001	1
2026-02-11	16:16:38.370	2.45	-0.63	0.14	0.07124799	-0.229604	0.986492	1.3965	-0.009	0.8235	0	9	1001	1
2026-02-11	16:16:38.390	-1.12	-0.385	0.42	0.070272	-0.238388	0.9638	1.3965	-0.015	0.822	0	9	1001	1
2026-02-11	16:16:38.410	2.555	-0.63	0.175	0.07198	-0.234972	0.97966	1.4055	-0.021	0.816	0	8	1001	1
2026-02-11	16:16:38.430	2.485	-0.7	0.14	0.07564	-0.232044	0.9943	1.398	-0.0105	0.8175	0	8	1001	1
2026-02-11	16:16:38.450	-0.98	-0.385	0.42	0.072956	-0.23424	0.966972	1.392	-0.015	0.8235	0	8	1001	1
2026-02-11	16:16:38.470	1.995	-0.595	0.21	0.071736	-0.237168	0.975512	1.392	-0.015	0.8235	0	8	1001	1
2026-02-11	16:16:38.490	2.345	-0.63	0.14	0.073444	-0.235216	0.98942	1.3935	-0.0135	0.8265	0	8	1001	1
2026-02-11	16:16:38.510	-0.175	-0.49	0.385	0.0732	-0.23912	0.975024	1.3965	-0.012	0.8295	0	8	1001	1
2026-02-11	16:16:38.530	0.56	-0.49	0.28	0.072468	-0.237412	0.973316	1.3965	-0.012	0.8295	0	8	1001	1
2026-02-11	16:16:38.550	2.17	-0.595	0.175	0.071492	-0.235948	0.978928	1.3995	-0.012	0.8295	0	8	1001	1
2026-02-11	16:16:38.570	0.7	-0.525	0.28	0.070272	-0.234484	0.978684	1.4025	-0.015	0.825	0	8	1001	1
2026-02-11	16:16:38.590	1.47	-0.56	0.245	0.073444	-0.235216	0.983564	1.398	-0.0105	0.8235	0	8	1001	1
2026-02-11	16:16:38.610	1.26	-0.56	0.21	0.073932	-0.234728	0.979172	1.3965	-0.0045	0.822	0	8	1001	1
2026-02-11	16:16:38.630	0.595	-0.49	0.35	0.07686	-0.234972	0.975024	1.395	-0.015	0.819	0	8	1001	1
2026-02-11	16:16:38.650	2.45	-0.63	0.14	0.075396	-0.230336	0.986248	1.3965	-0.018	0.8235	0	8	1001	1
2026-02-11	16:16:38.670	0.49	-0.525	0.28	0.07124799	-0.235948	0.97722	1.3995	-0.012	0.8235	0	8	1001	1
2026-02-11	16:16:38.690	0.56	-0.525	0.28	0.072956	-0.235704	0.969656	1.3965	-0.009	0.8205	0	8	1001	1
2026-02-11	16:16:38.710	2.695	-0.63	0.14	0.073444	-0.233264	0.986248	1.3965	-0.009	0.8235	0	8	1001	1
2026-02-11	16:16:38.730	0.525	-0.49	0.28	0.0732	-0.23546	0.977708	1.3965	-0.009	0.8295	0	8	1001	1
2026-02-11	16:16:38.750	0.805	-0.56	0.245	0.068808	-0.2379	0.972828	1.3935	-0.009	0.8295	0	8	1001	1
2026-02-11	16:16:38.770	2.135	-0.63	0.175	0.074908	-0.232532	0.982344	1.3965	-0.0105	0.8235	0	8	1001	1
2026-02-11	16:16:38.790	0.595	-0.525	0.28	0.0732	-0.237412	0.976488	1.3995	-0.0135	0.8235	0	8	1001	1
2026-02-11	16:16:38.810	1.505	-0.56	0.21	0.072956	-0.234484	0.97966	1.395	-0.0105	0.828	0	8	1001	1
2026-02-11	16:16:38.830	1.26	-0.56	0.21	0.071492	-0.234728	0.980636	1.3965	-0.009	0.825	0	8	1001	1
2026-02-11	16:16:38.850	0.945	-0.525	0.28	0.071736	-0.23668	0.976976	1.3965	-0.012	0.8265	0	8	1001	1
2026-02-11	16:16:38.870	1.505	-0.595	0.21	0.071492	-0.235948	0.979416	1.392	-0.012	0.828	0	8	1001	1
2026-02-11	16:16:38.890	1.19	-0.56	0.21	0.07564	-0.234728	0.979416	1.392	-0.015	0.8265	0	8	1001	1
2026-02-11	16:16:38.910	1.085	-0.525	0.21	0.0732	-0.23912	0.980148	1.395	-0.015	0.825	0	8	1001	1
2026-02-11	16:16:38.930	1.82	-0.595	0.21	0.071492	-0.234728	0.98332	1.401	-0.012	0.8295	0	8	1001	1
2026-02-11	16:16:38.950	0.455	-0.49	0.28	0.07076	-0.233996	0.972828	1.4025	-0.012	0.8325	0	8	1001	1
2026-02-11	16:16:38.970	1.225	-0.56	0.28	0.071736	-0.239852	0.976732	1.392	-0.015	0.8295	0	8	1001	1
2026-02-11	16:16:38.990	2.45	-0.665	0.14	0.06954	-0.2318	0.99064	1.389	-0.021	0.828	0	8	1001	1
