yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-11	16:16:38.010	0.84	30.555	18.41	-0.765428	0.359168	0.21228	0.9285	0.561	-0.036	0	373	49	3
2026-02-11	16:16:38.030	-24.185	43.54	25.83	-0.668804	0.376004	0.168848	0.933	0.5625	-0.0285	0	373	49	3
2026-02-11	16:16:38.050	-55.335	57.365	35.945	-0.600972	0.349896	0.094184	0.9375	0.5625	-0.024	0	373	49	3
2026-02-11	16:16:38.070	-85.26	71.085	45.22	-0.588772	0.395524	0.05124	0.9405	0.5595	-0.018	0	373	49	3
2026-02-11	16:16:38.090	-117.775	85.225	57.26	-0.53558	0.483852	0.06734399	0.942	0.5505	-0.0075	0	373	49	3
2026-02-11	16:16:38.110	-142.31	103.635	69.825	-0.499712	0.395768	0.117364	0.9435	0.5475	-0.0045	0	373	49	3
2026-02-11	16:16:38.130	-114.59	127.26	78.365	-0.470676	0.353556	0.1769	0.9345	0.5505	0.012	0	373	49	3
2026-02-11	16:16:38.150	-37.45	162.225	97.44	-0.37454	0.268888	0.066856	0.9345	0.5505	0.012	0	373	49	3
2026-02-11	16:16:38.170	-11.935	184.275	115.045	-0.33916	0.366488	-0.05124	0.936	0.534	0.0345	0	373	49	3
2026-02-11	16:16:38.190	-19.495	206.08	127.295	-0.282308	0.416996	-0.084668	0.9375	0.513	0.0735	0	373	49	3
2026-02-11	16:16:38.210	-56.91	228.9	142.135	-0.201788	0.467748	-0.11224	0.933	0.501	0.102	0	353	49	3
2026-02-11	16:16:38.230	-105.91	250.705	159.145	-0.136884	0.468724	-0.323544	0.927	0.4845	0.1245	0	353	49	3
2026-02-11	16:16:38.250	-106.645	261.66	169.645	-0.117852	0.546804	-0.589504	0.9105	0.4605	0.1515	0	353	49	3
2026-02-11	16:16:38.270	-111.79	262.29	180.04	-0.15616	0.717116	-0.567056	0.8865	0.438	0.1815	0	353	49	3
2026-02-11	16:16:38.290	-163.87	261.45	198.275	-0.05124	0.651236	-0.38308	0.8655	0.414	0.2025	0	353	49	3
2026-02-11	16:16:38.310	-224.7	264.915	229.74	0.07515199	0.648064	-0.303292	0.8565	0.4035	0.21	0	353	49	3
2026-02-11	16:16:38.330	-276.325	267.645	264.25	0.227652	0.71858	-0.35746	0.819	0.369	0.2175	0	353	49	3
2026-02-11	16:16:38.350	-237.895	258.44	289.275	0.431636	0.760304	-0.432856	0.783	0.3345	0.222	0	353	49	3
2026-02-11	16:16:38.370	-146.44	256.97	304.185	0.626104	1.037732	-0.461892	0.732	0.306	0.216	0	353	49	3
2026-02-11	16:16:38.390	-171.29	253.365	321.755	0.671488	1.324188	-0.589016	0.6525	0.264	0.21	0	353	49	3
2026-02-11	16:16:38.410	-231.28	230.895	337.05	0.794708	1.343708	-0.400404	0.594	0.2445	0.1995	0	344	18	3
2026-02-11	16:16:38.430	-215.74	192.185	334.67	0.989664	1.455948	-0.300364	0.5355	0.234	0.1785	0	344	18	3
2026-02-11	16:16:38.450	-170.87	155.715	324.1	0.915244	1.328824	-0.104676	0.483	0.2295	0.15	0	344	18	3
2026-02-11	16:16:38.470	-128.205	119.98	314.755	0.91866	1.340292	0.056852	0.429	0.237	0.1275	0	344	18	3
2026-02-11	16:16:38.490	-88.48	90.265	297.71	1.004304	1.247328	0.052704	0.3825	0.249	0.114	0	344	18	3
2026-02-11	16:16:38.510	-14.595	63.7	279.055	0.96014	1.005524	-0.036112	0.3645	0.252	0.108	0	344	18	3
2026-02-11	16:16:38.530	92.26	38.57	251.23	0.966972	1.128744	-0.060268	0.33	0.27	0.096	0	344	18	3
2026-02-11	16:16:38.550	157.325	17.78	225.155	0.995276	1.078724	-0.117608	0.2805	0.297	0.105	0	344	18	3
2026-02-11	16:16:38.570	136.395	-8.225	202.37	1.033584	1.3237	-0.122976	0.258	0.3105	0.1245	0	344	18	3
2026-02-11	16:16:38.590	58.31	-24.08	186.585	1.01626	1.29686	-0.020496	0.234	0.3405	0.1425	0	344	18	3
2026-02-11	16:16:38.610	-24.395	-37.73	170.695	0.972096	1.121912	0.078812	0.21	0.3765	0.162	0	361	33	3
2026-02-11	16:16:38.630	-79.38	-45.99	155.89	0.973072	0.91988	0.157136	0.2025	0.396	0.1605	0	361	33	3
2026-02-11	16:16:38.650	-95.27	-48.545	138.985	0.956236	0.776652	0.175436	0.1905	0.4125	0.162	0	361	33	3
2026-02-11	16:16:38.670	-93.695	-47.11	125.72	0.966972	0.702964	0.157868	0.1785	0.4215	0.1605	0	361	33	3
2026-02-11	16:16:38.690	-92.61	-45.045	112.84	0.99552	0.666852	0.14396	0.171	0.429	0.1545	0	361	33	3
2026-02-11	16:16:38.710	-99.085	-43.82	100.905	0.971852	0.615856	0.121268	0.1725	0.441	0.1575	0	361	33	3
2026-02-11	16:16:38.730	-91.98	-43.155	88.55	0.94672	0.555832	0.111508	0.174	0.4515	0.1605	0	361	33	3
2026-02-11	16:16:38.750	-76.3	-41.335	74.025	0.948916	0.587308	0.176168	0.1695	0.4575	0.159	0	361	33	3
2026-02-11	16:16:38.770	-65.065	-34.125	57.19	0.983076	0.609024	0.3111	0.162	0.4635	0.1575	0	361	33	3
2026-02-11	16:16:38.790	-65.135	-10.885	31.255	0.977952	0.62464	0.283772	0.162	0.4635	0.1575	0	361	33	3
2026-02-11	16:16:38.810	-61.425	-3.5	15.785	0.960872	0.47458	0.225944	0.1575	0.4665	0.156	0	395	44	3
2026-02-11	16:16:38.830	-38.815	1.89	1.855	0.980148	0.472628	0.238876	0.153	0.471	0.1515	0	395	44	3
2026-02-11	16:16:38.850	-24.885	7.665	-11.165	0.991128	0.432856	0.292068	0.156	0.468	0.1515	0	395	44	3
2026-02-11	16:16:38.870	-11.655	16.87	-23.835	1.017236	0.416264	0.310856	0.1575	0.4665	0.1545	0	395	44	3
2026-02-11	16:16:38.890	3.92	23.94	-35.14	1.00162	0.317444	0.236436	0.156	0.4665	0.1515	0	395	44	3
2026-02-11	16:16:38.910	18.375	26.95	-44.275	0.98698	0.366244	0.20252	0.1605	0.4635	0.15	0	395	44	3
2026-02-11	16:16:38.930	15.19	26.635	-51.52	1.01992	0.359656	0.26596	0.165	0.4665	0.153	0	395	44	3
2026-02-11	16:16:38.950	6.335	29.295	-56.63	1.030168	0.36478	0.254736	0.153	0.45	0.1425	0	395	44	3
2026-02-11	16:16:38.970	-3.64	31.85	-60.095	1.00772	0.33916	0.211548	0.1605	0.441	0.1545	0	395	44	3
2026-02-11	16:16:38.990	-20.16	30.205	-61.705	1.0065	0.299632	0.17324	0.1515	0.438	0.141	0	395	44	3
2026-02-11	16:16:37.010	308.84	26.04	-39.865	-1.011136	0.42822	-0.064904	0.954	0.54	0.0615	0	451	260	3
2026-02-11	16:16:37.030	237.685	12.74	-36.05	-0.99674	0.370636	-0.179828	0.9495	0.537	0.0765	0	451	260	3
2026-02-11	16:16:37.050	169.575	1.995	-30.485	-0.935008	0.351116	-0.040748	0.9555	0.543	0.0795	0	451	260	3
2026-02-11	16:16:37.070	120.015	-2.275	-25.62	-0.939156	0.304268	-0.137372	0.963	0.552	0.075	0	451	260	3
2026-02-11	16:16:37.090	104.86	-6.44	-27.545	-0.933544	0.34526	-0.241316	0.9615	0.552	0.081	0	451	260	3
2026-02-11	16:16:37.110	85.96	-9.765	-29.015	-0.986004	0.339404	-0.18178	0.9615	0.5535	0.0885	0	451	260	3
2026-02-11	16:16:37.130	62.895	-17.36	-27.685	-0.966728	0.290116	-0.109556	0.963	0.558	0.0915	0	451	260	3
2026-02-11	16:16:37.150	73.85	-19.845	-31.64	-0.96136	0.337696	-0.027572	0.9645	0.5655	0.0915	0	451	260	3
2026-02-11	16:16:37.170	108.255	-17.745	-40.74	-0.981612	0.33184	0.040016	0.966	0.5715	0.0915	0	451	260	3
2026-02-11	16:16:37.190	139.965	-12.18	-50.575	-0.936716	0.396012	-0.04392	0.963	0.5715	0.0855	0	451	260	3
2026-02-11	16:16:37.210	142.485	-14	-53.865	-0.979172	0.36234	-0.170068	0.9615	0.5775	0.0825	0	436	247	3
2026-02-11	16:16:37.230	129.325	-24.15	-50.295	-0.97478	0.258152	-0.190564	0.9645	0.588	0.09	0	436	247	3
2026-02-11	16:16:37.250	136.115	-29.575	-44.59	-0.93208	0.280356	-0.131028	0.966	0.597	0.0885	0	436	247	3
2026-02-11	16:16:37.270	154.42	-30.03	-43.19	-0.939888	0.46116	-0.115656	0.9645	0.5985	0.0855	0	436	247	3
2026-02-11	16:16:37.290	153.72	-38.71	-41.23	-0.879864	0.430904	-0.136396	0.963	0.6075	0.084	0	436	247	3
2026-02-11	16:16:37.310	135.485	-40.53	-35.84	-0.943792	0.396012	-0.1342	0.966	0.6105	0.081	0	436	247	3
2026-02-11	16:16:37.330	129.99	-40.81	-34.72	-0.917684	0.399428	-0.056608	0.9645	0.6165	0.072	0	436	247	3
2026-02-11	16:16:37.350	138.985	-37.975	-32.515	-0.876692	0.420168	0.031232	0.963	0.621	0.063	0	436	247	3
2026-02-11	16:16:37.370	136.64	-33.46	-27.265	-0.930616	0.376248	-0.013664	0.9705	0.624	0.0585	0	436	247	3
2026-02-11	16:16:37.390	125.93	-34.825	-20.825	-0.987468	0.248148	-0.113948	0.969	0.633	0.0495	0	436	247	3
2026-02-11	16:16:37.410	151.62	-39.515	-15.155	-0.944768	0.220332	0.014884	0.966	0.633	0.0405	0	425	191	3
2026-02-11	16:16:37.430	202.79	-38.815	-8.225	-0.941108	0.296948	0.138348	0.966	0.63	0.042	0	425	191	3
2026-02-11	16:16:37.450	230.755	-31.92	-2.975	-0.970388	0.28304	0.112728	0.963	0.627	0.039	0	425	191	3
2026-02-11	16:16:37.470	224.56	-26.95	3.045	-1.044564	0.325984	-0.05856	0.9645	0.621	0.0315	0	425	191	3
2026-02-11	16:16:37.490	160.72	-26.67	9.555	-1.0492	0.461648	-0.13908	0.966	0.6225	0.03	0	425	191	3
2026-02-11	16:16:37.510	47.705	-25.795	11.865	-0.978928	0.291092	-0.153964	0.966	0.6225	0.03	0	425	191	3
2026-02-11	16:16:37.530	43.995	-26.67	7.35	-0.996008	0.149572	-0.209352	0.9645	0.615	0.027	0	425	191	3
2026-02-11	16:16:37.550	73.78	-35.28	4.83	-0.960872	0.222772	-0.236436	0.9585	0.606	0.024	0	425	191	3
2026-02-11	16:16:37.570	69.3	-45.115	5.985	-0.91988	0.270108	-0.269132	0.957	0.6015	0.021	0	425	191	3
2026-02-11	16:16:37.590	36.295	-54.285	4.41	-0.899384	0.310856	-0.33062	0.9585	0.6	0.012	0	425	191	3
2026-02-11	16:16:37.610	0.14	-61.005	0.42	-0.876204	0.374784	-0.193248	0.9525	0.6015	0.0015	0	411	123	3
2026-02-11	16:16:37.630	-13.16	-57.54	-7.14	-0.792268	0.194224	0.0061	0.954	0.6015	-0.009	0	411	123	3
2026-02-11	16:16:37.650	18.235	-51.975	-8.295	-0.766404	0.197884	0.054168	0.954	0.6015	-0.015	0	411	123	3
2026-02-11	16:16:37.670	39.375	-46.2	-6.93	-0.779092	0.260836	0.003904	0.9495	0.603	-0.021	0	411	123	3
2026-02-11	16:16:37.690	36.26	-39.13	-5.46	-0.790804	0.288652	0.027328	0.951	0.6015	-0.027	0	411	123	3
2026-02-11	16:16:37.710	29.715	-30.1	-0.455	-0.776408	0.263276	0.045384	0.954	0.5955	-0.033	0	411	123	3
2026-02-11	16:16:37.730	44.415	-21.385	2.485	-0.793488	0.268156	0.1281	0.948	0.591	-0.033	0	411	123	3
2026-02-11	16:16:37.750	49.035	-13.23	7.175	-0.819596	0.283284	0.14518	0.939	0.591	-0.0375	0	411	123	3
2026-02-11	16:16:37.770	45.71	-4.27	9.66	-0.8906	0.302316	0.123464	0.939	0.5985	-0.042	0	411	123	3
2026-02-11	16:16:37.790	39.235	0.455	9.38	-0.965996	0.342088	0.08052	0.9465	0.5955	-0.0435	0	411	123	3
2026-02-11	16:16:37.810	26.425	2.135	10.675	-0.976244	0.294508	0.054412	0.942	0.5865	-0.039	0	394	68	3
2026-02-11	16:16:37.830	22.925	1.89	10.15	-0.984296	0.26474	0.073932	0.933	0.585	-0.0405	0	394	68	3
2026-02-11	16:16:37.850	23.555	1.19	10.01	-0.979904	0.282796	0.115168	0.9315	0.5805	-0.0405	0	394	68	3
2026-02-11	16:16:37.870	22.05	1.365	11.725	-0.984296	0.24644	0.082472	0.9315	0.5775	-0.036	0	394	68	3
2026-02-11	16:16:37.890	20.44	-0.49	14.42	-0.995032	0.263764	0.022204	0.933	0.579	-0.036	0	394	68	3
2026-02-11	16:16:37.910	8.82	-3.045	16.1	-1.004548	0.274012	0.020984	0.9435	0.573	-0.0375	0	394	68	3
2026-02-11	16:16:37.930	6.02	-3.15	17.71	-0.917684	0.267668	0.08052	0.9315	0.5775	-0.036	0	394	68	3
2026-02-11	16:16:37.950	26.495	0.735	14.98	-0.861808	0.351848	0.144204	0.9315	0.5745	-0.036	0	394	68	3
2026-02-11	16:16:37.970	26.46	7.91	14.735	-0.834236	0.371368	0.18544	0.9345	0.5685	-0.033	0	394	68	3
2026-02-11	16:16:37.990	16.73	18.305	15.365	-0.811788	0.356484	0.208376	0.9315	0.564	-0.0345	0	394	68	3
2026-02-11	16:16:38.010	0.84	30.555	18.41	-0.765428	0.359168	0.21228	0.9285	0.561	-0.036	0	373	49	3
2026-02-11	16:16:38.030	-24.185	43.54	25.83	-0.668804	0.376004	0.168848	0.933	0.5625	-0.0285	0	373	49	3
2026-02-11	16:16:38.050	-55.335	57.365	35.945	-0.600972	0.349896	0.094184	0.9375	0.5625	-0.024	0	373	49	3
2026-02-11	16:16:38.070	-85.26	71.085	45.22	-0.588772	0.395524	0.05124	0.9405	0.5595	-0.018	0	373	49	3
2026-02-11	16:16:38.090	-117.775	85.225	57.26	-0.53558	0.483852	0.06734399	0.942	0.5505	-0.0075	0	373	49	3
2026-02-11	16:16:38.110	-142.31	103.635	69.825	-0.499712	0.395768	0.117364	0.9435	0.5475	-0.0045	0	373	49	3
2026-02-11	16:16:38.130	-114.59	127.26	78.365	-0.470676	0.353556	0.1769	0.9345	0.5505	0.012	0	373	49	3
2026-02-11	16:16:38.150	-37.45	162.225	97.44	-0.37454	0.268888	0.066856	0.9345	0.5505	0.012	0	373	49	3
2026-02-11	16:16:38.170	-11.935	184.275	115.045	-0.33916	0.366488	-0.05124	0.936	0.534	0.0345	0	373	49	3
2026-02-11	16:16:38.190	-19.495	206.08	127.295	-0.282308	0.416996	-0.084668	0.9375	0.513	0.0735	0	373	49	3
2026-02-11	16:16:38.210	-56.91	228.9	142.135	-0.201788	0.467748	-0.11224	0.933	0.501	0.102	0	353	49	3
