yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-11	16:16:38.010	-0.14	0.105	-0.455	0.00732	-0.011468	1.009184	1.4025	1.125	0.453	0	23	1030	1
2026-02-11	16:16:38.030	-0.105	0.14	-0.49	0.01098	-0.010492	1.010892	1.4055	1.131	0.4515	0	23	1030	1
2026-02-11	16:16:38.050	-0.105	0.14	-0.455	0.00854	-0.00976	1.006988	1.4055	1.1325	0.4485	0	23	1030	1
2026-02-11	16:16:38.070	-0.07	0.14	-0.455	0.009272	-0.010736	1.005036	1.4025	1.128	0.447	0	23	1030	1
2026-02-11	16:16:38.090	-0.105	0.105	-0.455	0.008784	-0.00976	1.006256	1.401	1.128	0.4515	0	23	1030	1
2026-02-11	16:16:38.110	-0.175	0.14	-0.49	0.011956	-0.013176	1.014308	1.4085	1.128	0.4485	0	23	1030	1
2026-02-11	16:16:38.130	-0.105	0.14	-0.455	0.009516	-0.011712	1.012844	1.4055	1.1295	0.4575	0	23	1030	1
2026-02-11	16:16:38.150	-0.07	0.105	-0.455	0.00976	-0.007808	1.00284	1.4025	1.1265	0.456	0	23	1030	1
2026-02-11	16:16:38.170	-0.14	0.14	-0.455	0.012932	-0.011468	1.006988	1.4085	1.1325	0.4545	0	23	1030	1
2026-02-11	16:16:38.190	-0.14	0.14	-0.455	0.012932	-0.007564	1.010404	1.4055	1.125	0.459	0	23	1030	1
2026-02-11	16:16:38.210	-0.105	0.105	-0.455	0.00854	-0.00854	1.002352	1.4025	1.1325	0.4515	0	20	1030	1
2026-02-11	16:16:38.230	-0.175	0.105	-0.49	0.011468	-0.011956	1.010892	1.4025	1.125	0.453	0	20	1030	1
2026-02-11	16:16:38.250	-0.14	0.175	-0.455	0.010248	-0.014396	1.012844	1.4055	1.1295	0.4545	0	20	1030	1
2026-02-11	16:16:38.270	-0.07	0.14	-0.455	0.01098	-0.00854	1.006744	1.401	1.134	0.459	0	20	1030	1
2026-02-11	16:16:38.290	-0.105	0.105	-0.455	0.011712	-0.008052	1.006744	1.401	1.134	0.456	0	20	1030	1
2026-02-11	16:16:38.310	-0.14	0.105	-0.455	0.01098	-0.00854	1.008452	1.4025	1.128	0.45	0	20	1030	1
2026-02-11	16:16:38.330	-0.14	0.14	-0.49	0.009516	-0.010736	1.010404	1.404	1.1235	0.4485	0	20	1030	1
2026-02-11	16:16:38.350	-0.105	0.105	-0.455	0.012932	-0.011712	1.013332	1.404	1.1235	0.4485	0	20	1030	1
2026-02-11	16:16:38.370	-0.07	0.105	-0.49	0.011712	-0.008784	1.005524	1.4055	1.1265	0.456	0	20	1030	1
2026-02-11	16:16:38.390	-0.105	0.14	-0.455	0.011468	-0.009516	1.003084	1.4055	1.128	0.4515	0	20	1030	1
2026-02-11	16:16:38.410	-0.14	0.105	-0.455	0.011468	-0.009028	1.01138	1.404	1.131	0.453	0	17	1030	1
2026-02-11	16:16:38.430	-0.105	0.105	-0.455	0.01098	-0.009516	1.01138	1.404	1.1235	0.4545	0	17	1030	1
2026-02-11	16:16:38.450	-0.105	0.14	-0.455	0.00732	-0.008296	1.005036	1.4055	1.1265	0.4545	0	17	1030	1
2026-02-11	16:16:38.470	-0.14	0.14	-0.49	0.013176	-0.010492	1.006744	1.41	1.125	0.4515	0	17	1030	1
2026-02-11	16:16:38.490	-0.14	0.105	-0.455	0.008052	-0.008052	1.009916	1.3995	1.1265	0.456	0	17	1030	1
2026-02-11	16:16:38.510	-0.14	0.07	-0.455	0.010248	-0.010004	1.01016	1.4085	1.1325	0.4515	0	17	1030	1
2026-02-11	16:16:38.530	-0.105	0.14	-0.455	0.012932	-0.009516	1.00894	1.3965	1.131	0.447	0	17	1030	1
2026-02-11	16:16:38.550	-0.14	0.14	-0.455	0.007564	-0.00976	1.00284	1.4025	1.1175	0.456	0	17	1030	1
2026-02-11	16:16:38.570	-0.105	0.14	-0.455	0.010248	-0.00854	1.0065	1.41	1.1385	0.45	0	17	1030	1
2026-02-11	16:16:38.590	-0.105	0.14	-0.455	0.007564	-0.009272	1.007476	1.404	1.131	0.456	0	17	1030	1
2026-02-11	16:16:38.610	-0.14	0.14	-0.42	0.01098	-0.011468	1.005768	1.404	1.131	0.456	0	15	1031	1
