yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-11	16:16:38.010	8.47	-4.375	-1.05	0.976976	-0.03294	0.34892	-0.741	0.033	0.363	0	52	332	3
2026-02-11	16:16:38.030	8.015	-3.29	-0.735	0.965996	-0.03416	0.334768	-0.7365	0.039	0.36	0	52	332	3
2026-02-11	16:16:38.050	6.51	-1.96	0	0.970388	-0.040748	0.319396	-0.7395	0.033	0.369	0	52	332	3
2026-02-11	16:16:38.070	8.05	-1.365	0.49	0.981612	-0.051972	0.321104	-0.735	0.039	0.363	0	52	332	3
2026-02-11	16:16:38.090	13.23	-1.05	0.56	0.989664	-0.040748	0.330132	-0.735	0.039	0.363	0	52	332	3
2026-02-11	16:16:38.110	14.945	-0.07	0.455	0.98088	-0.027328	0.317444	-0.735	0.042	0.369	0	52	332	3
2026-02-11	16:16:38.130	14.105	0.91	0.63	0.990884	-0.02684	0.304756	-0.741	0.0405	0.375	0	52	332	3
2026-02-11	16:16:38.150	13.79	1.96	0.735	0.994056	-0.032208	0.307684	-0.7425	0.036	0.375	0	52	332	3
2026-02-11	16:16:38.170	14.07	3.99	1.225	0.972096	-0.017324	0.312564	-0.7395	0.0345	0.3675	0	52	332	3
2026-02-11	16:16:38.190	12.39	5.705	2.31	0.949892	-0.003172	0.289628	-0.741	0.0345	0.363	0	52	332	3
2026-02-11	16:16:38.210	7.665	6.65	3.5	0.9516	0.011956	0.271572	-0.7395	0.036	0.3675	0	48	331	3
2026-02-11	16:16:38.230	1.365	6.86	4.655	0.954772	0.0061	0.27084	-0.738	0.039	0.369	0	48	331	3
2026-02-11	16:16:38.250	-3.465	6.44	4.97	0.949892	0.000976	0.270352	-0.744	0.0315	0.375	0	48	331	3
2026-02-11	16:16:38.270	-5.355	5.285	4.48	0.955992	0.000244	0.270108	-0.7395	0.0345	0.366	0	48	331	3
2026-02-11	16:16:38.290	-5.705	3.255	3.045	0.970632	-0.000244	0.270352	-0.738	0.033	0.3705	0	48	331	3
2026-02-11	16:16:38.310	-5.635	1.435	1.015	0.978684	0.004148	0.267668	-0.738	0.039	0.3675	0	48	331	3
