yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-11	16:16:38.010	-0.07	-0.14	-0.105	-0.003904	0.010004	1.017724	0.5175	0.468	-0.249	0	11	1036	1
2026-02-11	16:16:38.030	0	-0.105	-0.105	-0.002196	0.005368	1.013332	0.5205	0.471	-0.2505	0	11	1036	1
2026-02-11	16:16:38.050	-0.035	-0.14	-0.105	-0.000732	0.011956	1.014552	0.5175	0.4695	-0.252	0	11	1036	1
2026-02-11	16:16:38.070	-0.035	-0.105	-0.105	-0.001708	0.010248	1.010892	0.516	0.465	-0.2535	0	11	1036	1
2026-02-11	16:16:38.090	-0.07	-0.14	-0.07	-0.002684	0.009028	1.008696	0.516	0.4635	-0.246	0	11	1036	1
2026-02-11	16:16:38.110	-0.105	-0.105	-0.07	-0.00488	0.006588	1.014552	0.5145	0.4635	-0.2445	0	11	1036	1
2026-02-11	16:16:38.130	-0.035	-0.105	-0.105	-0.003172	0.006344	1.019432	0.5205	0.4635	-0.2505	0	11	1036	1
2026-02-11	16:16:38.150	0	-0.14	-0.07	0	0.005124	1.007476	0.5235	0.4635	-0.2475	0	11	1036	1
2026-02-11	16:16:38.170	-0.035	-0.105	-0.105	-0.001708	0.006344	1.01138	0.5205	0.462	-0.249	0	11	1036	1
2026-02-11	16:16:38.190	-0.07	-0.14	-0.105	-0.00488	0.006588	1.013576	0.5205	0.4635	-0.2535	0	11	1036	1
2026-02-11	16:16:38.210	-0.07	-0.14	-0.105	-0.000732	0.00854	1.009672	0.522	0.4665	-0.252	0	10	1036	1
2026-02-11	16:16:38.230	-0.07	-0.105	-0.105	-0.003904	0.003904	1.015772	0.519	0.4605	-0.2505	0	10	1036	1
2026-02-11	16:16:38.250	-0.07	-0.07	-0.105	-0.00366	0.008784	1.018456	0.513	0.4635	-0.2445	0	10	1036	1
2026-02-11	16:16:38.270	0	-0.105	-0.07	-0.00244	0.008784	1.010404	0.513	0.4665	-0.2505	0	10	1036	1
2026-02-11	16:16:38.290	0	-0.105	-0.07	-0.00122	0.012688	1.009428	0.5205	0.465	-0.2385	0	10	1036	1
2026-02-11	16:16:38.310	-0.105	-0.14	-0.07	-0.004636	0.00854	1.012844	0.519	0.4755	-0.2445	0	10	1036	1
2026-02-11	16:16:38.330	-0.105	-0.105	-0.07	-0.003904	0.003172	1.0126	0.519	0.4665	-0.243	0	10	1036	1
2026-02-11	16:16:38.350	-0.07	-0.105	-0.07	-0.005124	0.008052	1.014064	0.5235	0.4665	-0.2475	0	10	1036	1
2026-02-11	16:16:38.370	0	-0.14	-0.105	-0.003904	0.007076	1.007232	0.5235	0.4665	-0.2475	0	10	1036	1
2026-02-11	16:16:38.390	-0.07	-0.105	-0.105	-0.002684	0.011956	1.01016	0.519	0.4695	-0.249	0	10	1036	1
2026-02-11	16:16:38.410	-0.105	-0.105	-0.105	-0.004148	0.010248	1.015284	0.5145	0.468	-0.249	0	9	1036	1
2026-02-11	16:16:38.430	-0.07	-0.105	-0.07	-0.003904	0.004636	1.016016	0.5175	0.4665	-0.249	0	9	1036	1
2026-02-11	16:16:38.450	-0.035	-0.14	-0.105	-0.004636	0.0061	1.009428	0.5205	0.468	-0.2475	0	9	1036	1
2026-02-11	16:16:38.470	-0.035	-0.105	-0.07	-0.002684	0.012444	1.009428	0.5175	0.4665	-0.246	0	9	1036	1
2026-02-11	16:16:38.490	-0.07	-0.105	-0.07	-0.003904	0.008296	1.014308	0.519	0.465	-0.246	0	9	1036	1
2026-02-11	16:16:38.510	-0.07	-0.105	-0.105	-0.006344	0.009272	1.012356	0.5205	0.462	-0.246	0	9	1036	1
2026-02-11	16:16:38.530	-0.035	-0.14	-0.07	-0.00122	0.006588	1.012112	0.5175	0.465	-0.2445	0	9	1036	1
2026-02-11	16:16:38.550	-0.035	-0.105	-0.105	-0.00244	0.008052	1.013088	0.519	0.468	-0.2445	0	9	1036	1
2026-02-11	16:16:38.570	-0.07	-0.14	-0.035	-0.00366	0.010492	1.01626	0.5145	0.462	-0.243	0	9	1036	1
2026-02-11	16:16:38.590	-0.035	-0.14	-0.105	-0.009028	0.010248	1.010892	0.5115	0.465	-0.2445	0	9	1036	1
2026-02-11	16:16:38.610	-0.07	-0.14	-0.105	0.000732	0.006344	1.011868	0.5175	0.471	-0.252	0	8	1036	1
2026-02-11	16:16:38.630	-0.035	-0.105	-0.105	-0.008052	0.006344	1.018944	0.5175	0.471	-0.2475	0	8	1036	1
2026-02-11	16:16:38.650	0	-0.105	-0.105	-0.001952	0.010004	1.012112	0.516	0.4695	-0.246	0	8	1036	1
2026-02-11	16:16:38.670	-0.035	-0.105	-0.105	-0.008784	0.007076	1.010404	0.516	0.465	-0.243	0	8	1036	1
2026-02-11	16:16:38.690	-0.07	-0.105	-0.07	0.000488	0.006588	1.011868	0.5175	0.4635	-0.2415	0	8	1036	1
2026-02-11	16:16:38.710	-0.035	-0.105	-0.07	-0.002928	0.005368	1.014796	0.5175	0.4635	-0.243	0	8	1036	1
2026-02-11	16:16:38.730	-0.07	-0.14	-0.07	-0.003416	0.010492	1.013576	0.5175	0.459	-0.2445	0	8	1036	1
2026-02-11	16:16:38.750	-0.07	-0.105	-0.105	-0.00488	0.00976	1.012844	0.5205	0.4635	-0.246	0	8	1036	1
2026-02-11	16:16:38.770	-0.035	-0.105	-0.07	-0.00366	0.007808	1.01504	0.5115	0.4635	-0.246	0	8	1036	1
