yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-11	16:27:49.610	1.295	-0.56	0.245	0.066856	0.020008	1.011868	0.291	0.2445	0.522	0	39	1034	1
2026-02-11	16:27:49.630	1.295	-0.595	0.245	0.063196	0.020984	1.011868	0.291	0.2415	0.519	0	39	1034	1
2026-02-11	16:27:49.650	1.225	-0.56	0.245	0.063196	0.020496	1.013332	0.2925	0.24	0.519	0	39	1034	1
2026-02-11	16:27:49.670	1.26	-0.56	0.245	0.062708	0.02196	1.01382	0.2895	0.2385	0.522	0	39	1034	1
2026-02-11	16:27:49.690	1.295	-0.56	0.21	0.063684	0.02074	1.011868	0.288	0.2445	0.5205	0	39	1034	1
2026-02-11	16:27:49.710	1.26	-0.525	0.245	0.061976	0.021228	1.01382	0.2925	0.2475	0.5205	0	39	1034	1
2026-02-11	16:27:49.730	1.26	-0.56	0.245	0.064172	0.020496	1.011868	0.2895	0.2415	0.5205	0	39	1034	1
2026-02-11	16:27:49.750	1.26	-0.56	0.245	0.062708	0.022204	1.013576	0.2865	0.24	0.516	0	39	1034	1
2026-02-11	16:27:49.770	1.295	-0.63	0.245	0.065636	0.02196	1.011136	0.2925	0.2415	0.519	0	39	1034	1
2026-02-11	16:27:49.790	1.33	-0.56	0.28	0.063928	0.021716	1.015772	0.2925	0.2415	0.522	0	39	1034	1
2026-02-11	16:27:49.810	1.26	-0.56	0.28	0.063928	0.018788	1.011136	0.291	0.24	0.519	0	34	1034	1
2026-02-11	16:27:49.830	1.295	-0.56	0.245	0.061244	0.018056	1.009916	0.2925	0.2415	0.519	0	34	1034	1
2026-02-11	16:27:49.850	1.26	-0.56	0.245	0.068564	0.020252	1.013576	0.2895	0.24	0.525	0	34	1034	1
2026-02-11	16:27:49.870	1.26	-0.56	0.245	0.064904	0.020252	1.014308	0.288	0.24	0.5235	0	34	1034	1
2026-02-11	16:27:49.890	1.26	-0.56	0.245	0.061488	0.019276	1.010892	0.2925	0.24	0.522	0	34	1034	1
2026-02-11	16:27:49.910	1.26	-0.56	0.28	0.064904	0.024644	1.012356	0.2895	0.2385	0.5235	0	34	1034	1
2026-02-11	16:27:49.930	1.225	-0.525	0.245	0.062464	0.018544	1.012844	0.2865	0.243	0.5205	0	34	1034	1
2026-02-11	16:27:49.950	1.295	-0.56	0.28	0.063684	0.020252	1.011624	0.2865	0.246	0.5175	0	34	1034	1
2026-02-11	16:27:49.970	1.26	-0.49	0.21	0.064904	0.0183	1.01626	0.2895	0.24	0.5205	0	34	1034	1
2026-02-11	16:27:49.990	1.26	-0.525	0.245	0.061	0.01952	1.0126	0.294	0.24	0.522	0	34	1034	1
2026-02-11	16:27:50.010	1.26	-0.595	0.28	0.062708	0.02074	1.012844	0.291	0.2445	0.522	0	29	1035	1
2026-02-11	16:27:50.030	1.26	-0.56	0.245	0.065636	0.019032	1.011868	0.291	0.24	0.5235	0	29	1035	1
2026-02-11	16:27:50.050	1.26	-0.49	0.245	0.067832	0.02074	1.014064	0.294	0.237	0.519	0	29	1035	1
2026-02-11	16:27:50.070	1.225	-0.595	0.245	0.06222	0.021716	1.0126	0.291	0.24	0.5145	0	29	1035	1
2026-02-11	16:27:50.090	1.26	-0.56	0.245	0.060756	0.018544	1.012112	0.285	0.243	0.5205	0	29	1035	1
2026-02-11	16:27:50.110	1.26	-0.525	0.28	0.062464	0.021228	1.014552	0.288	0.24	0.525	0	29	1035	1
2026-02-11	16:27:50.130	1.295	-0.595	0.21	0.063928	0.018788	1.009428	0.294	0.2385	0.5235	0	29	1035	1
2026-02-11	16:27:50.150	1.225	-0.525	0.245	0.066612	0.020496	1.010648	0.2925	0.2415	0.5205	0	29	1035	1
2026-02-11	16:27:50.170	1.225	-0.525	0.28	0.064904	0.020496	1.01626	0.2925	0.243	0.516	0	29	1035	1
2026-02-11	16:27:50.190	1.26	-0.56	0.245	0.062708	0.020252	1.014552	0.291	0.2445	0.516	0	29	1035	1
2026-02-11	16:27:50.210	1.26	-0.56	0.21	0.065392	0.02318	1.01138	0.297	0.24	0.5205	0	25	1035	1
2026-02-11	16:27:50.230	1.225	-0.56	0.245	0.062708	0.02196	1.010892	0.297	0.24	0.5205	0	25	1035	1
2026-02-11	16:27:50.250	1.225	-0.525	0.28	0.060512	0.019276	1.013332	0.285	0.246	0.5145	0	25	1035	1
2026-02-11	16:27:50.270	1.26	-0.56	0.28	0.062464	0.02074	1.011624	0.2955	0.2445	0.528	0	25	1035	1
2026-02-11	16:27:50.290	1.295	-0.56	0.245	0.065148	0.02074	1.01382	0.2925	0.2415	0.5235	0	25	1035	1
2026-02-11	16:27:50.310	1.26	-0.525	0.28	0.061244	0.018788	1.01504	0.2925	0.237	0.5205	0	25	1035	1
2026-02-11	16:27:50.330	1.26	-0.56	0.245	0.063196	0.018056	1.009184	0.2925	0.2415	0.5235	0	25	1035	1
2026-02-11	16:27:50.350	1.295	-0.56	0.245	0.064172	0.022692	1.01138	0.291	0.2385	0.5175	0	25	1035	1
2026-02-11	16:27:50.370	1.295	-0.56	0.245	0.062952	0.017568	1.01382	0.291	0.2325	0.51	0	25	1035	1
2026-02-11	16:27:50.390	1.295	-0.525	0.245	0.066124	0.021228	1.014552	0.2865	0.24	0.5175	0	25	1035	1
