yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-11	16:27:49.610	-0.28	0.07	-0.49	0.038796	-0.00976	1.00772	-0.519	-1.419	-2.778	0	151	1009	1
2026-02-11	16:27:49.630	-0.315	0.035	-0.49	0.033428	-0.011224	1.00406	-0.5235	-1.41	-2.7795	0	151	1009	1
2026-02-11	16:27:49.650	-0.315	0.07	-0.49	0.035868	-0.009516	1.0065	-0.522	-1.413	-2.7825	0	151	1009	1
2026-02-11	16:27:49.670	-0.315	0.105	-0.49	0.03416	-0.008296	1.010404	-0.5175	-1.4145	-2.775	0	151	1009	1
2026-02-11	16:27:49.690	-0.28	0.07	-0.49	0.03172	-0.010248	1.009916	-0.5295	-1.413	-2.781	0	151	1009	1
2026-02-11	16:27:49.710	-0.315	0.07	-0.49	0.033916	-0.006832	1.009428	-0.519	-1.419	-2.7825	0	151	1009	1
2026-02-11	16:27:49.730	-0.28	0.07	-0.525	0.033184	-0.008296	1.009428	-0.5235	-1.41	-2.778	0	151	1009	1
2026-02-11	16:27:49.750	-0.315	0.035	-0.49	0.032208	-0.01098	1.0065	-0.5265	-1.4175	-2.781	0	151	1009	1
2026-02-11	16:27:49.770	-0.315	0.07	-0.49	0.037088	-0.010004	1.009916	-0.519	-1.413	-2.772	0	151	1009	1
2026-02-11	16:27:49.790	-0.315	0.07	-0.525	0.035868	-0.010004	1.006988	-0.5235	-1.419	-2.7825	0	151	1009	1
2026-02-11	16:27:49.810	-0.28	0.07	-0.49	0.033428	-0.008784	1.008208	-0.522	-1.4205	-2.784	0	126	1014	1
2026-02-11	16:27:49.830	-0.315	0.035	-0.525	0.037088	-0.010004	1.0065	-0.5175	-1.419	-2.7735	0	126	1014	1
2026-02-11	16:27:49.850	-0.315	0.07	-0.49	0.033184	-0.0122	1.00528	-0.5205	-1.419	-2.775	0	126	1014	1
2026-02-11	16:27:49.870	-0.315	0.07	-0.56	0.033916	-0.010492	1.008208	-0.522	-1.419	-2.7795	0	126	1014	1
2026-02-11	16:27:49.890	-0.315	0.07	-0.525	0.032696	-0.008296	1.006744	-0.5205	-1.419	-2.781	0	126	1014	1
2026-02-11	16:27:49.910	-0.315	0.035	-0.49	0.033184	-0.010248	1.0065	-0.5205	-1.419	-2.781	0	126	1014	1
2026-02-11	16:27:49.930	-0.315	0.07	-0.49	0.038308	-0.009272	1.008696	-0.5265	-1.4265	-2.781	0	126	1014	1
2026-02-11	16:27:49.950	-0.315	0.07	-0.525	0.032452	-0.00732	1.005036	-0.5235	-1.4205	-2.7735	0	126	1014	1
2026-02-11	16:27:49.970	-0.315	0.07	-0.525	0.032452	-0.009516	1.00406	-0.525	-1.4205	-2.7825	0	126	1014	1
2026-02-11	16:27:49.990	-0.315	0.105	-0.525	0.031476	-0.00976	1.006988	-0.519	-1.4205	-2.778	0	126	1014	1
2026-02-11	16:27:50.010	-0.28	0.07	-0.49	0.036112	-0.008784	1.003816	-0.5175	-1.4175	-2.778	0	106	1018	1
2026-02-11	16:27:50.030	-0.315	0.035	-0.49	0.034648	-0.00732	1.005768	-0.5205	-1.416	-2.7825	0	106	1018	1
2026-02-11	16:27:50.050	-0.28	0.07	-0.525	0.03904	-0.008784	1.007964	-0.519	-1.4175	-2.781	0	106	1018	1
2026-02-11	16:27:50.070	-0.315	0.07	-0.525	0.033916	-0.009272	1.009672	-0.5175	-1.4145	-2.7825	0	106	1018	1
2026-02-11	16:27:50.090	-0.315	0.07	-0.49	0.035136	-0.006344	1.007476	-0.5115	-1.4205	-2.781	0	106	1018	1
2026-02-11	16:27:50.110	-0.315	0.07	-0.49	0.03782	-0.010004	1.0065	-0.5205	-1.4145	-2.7795	0	106	1018	1
2026-02-11	16:27:50.130	-0.315	0.105	-0.49	0.033916	-0.01098	1.007476	-0.516	-1.419	-2.79	0	106	1018	1
2026-02-11	16:27:50.150	-0.315	0.07	-0.525	0.035624	-0.011712	1.005036	-0.5205	-1.4205	-2.769	0	106	1018	1
2026-02-11	16:27:50.170	-0.28	0.07	-0.525	0.035136	-0.007808	1.007476	-0.5265	-1.422	-2.7855	0	106	1018	1
2026-02-11	16:27:50.190	-0.315	0.105	-0.525	0.033428	-0.006344	1.008452	-0.522	-1.419	-2.778	0	106	1018	1
2026-02-11	16:27:50.210	-0.315	0.07	-0.525	0.035624	-0.010004	1.007232	-0.522	-1.416	-2.7795	0	90	1021	1
2026-02-11	16:27:50.230	-0.315	0.07	-0.525	0.036356	-0.011712	1.0065	-0.5205	-1.419	-2.775	0	90	1021	1
2026-02-11	16:27:50.250	-0.35	0.105	-0.525	0.036844	-0.010004	1.004548	-0.5175	-1.425	-2.775	0	90	1021	1
2026-02-11	16:27:50.270	-0.385	0.35	-0.525	0.03172	-0.009516	1.006744	-0.522	-1.4205	-2.7795	0	90	1021	1
2026-02-11	16:27:50.290	-0.315	0.14	-0.49	0.032696	-0.009516	1.009916	-0.5235	-1.4145	-2.775	0	90	1021	1
2026-02-11	16:27:50.310	-0.315	0.07	-0.49	0.037088	-0.009516	1.004304	-0.5205	-1.416	-2.772	0	90	1021	1
2026-02-11	16:27:50.330	-0.28	-0.07	-0.525	0.038308	-0.010736	1.007476	-0.5235	-1.422	-2.7765	0	90	1021	1
2026-02-11	16:27:50.350	-0.315	0	-0.49	0.035868	-0.010004	1.008208	-0.519	-1.4235	-2.7795	0	90	1021	1
2026-02-11	16:27:50.370	-0.28	0.07	-0.49	0.036112	-0.009028	1.008696	-0.5145	-1.422	-2.7795	0	90	1021	1
2026-02-11	16:27:50.390	-0.28	0.035	-0.49	0.034892	-0.011468	1.007476	-0.5205	-1.416	-2.778	0	90	1021	1
2026-02-11	16:27:50.410	-0.315	0	-0.56	0.037088	-0.009272	1.00894	-0.5205	-1.4265	-2.7765	0	76	1023	1
2026-02-11	16:27:50.430	-0.28	0.035	-0.49	0.03904	-0.008296	1.0065	-0.522	-1.419	-2.7855	0	76	1023	1
2026-02-11	16:27:50.450	-0.315	0.07	-0.455	0.035136	-0.009516	1.009184	-0.528	-1.4265	-2.7765	0	76	1023	1
2026-02-11	16:27:50.470	-0.315	0.07	-0.525	0.03172	-0.008052	1.005036	-0.522	-1.422	-2.7735	0	76	1023	1
2026-02-11	16:27:50.490	-0.35	0.105	-0.49	0.030744	-0.007564	1.007476	-0.5205	-1.4235	-2.7825	0	76	1023	1
2026-02-11	16:27:50.510	-0.315	0.07	-0.525	0.032208	-0.006588	1.009184	-0.522	-1.4235	-2.7795	0	76	1023	1
2026-02-11	16:27:50.530	-0.315	0	-0.525	0.032208	-0.011224	1.00772	-0.525	-1.4205	-2.7795	0	76	1023	1
2026-02-11	16:27:50.550	-0.35	0.07	-0.525	0.034648	-0.009516	1.007476	-0.5265	-1.4175	-2.7825	0	76	1023	1
2026-02-11	16:27:50.570	-0.315	0.07	-0.49	0.036844	-0.005368	1.007232	-0.5265	-1.4175	-2.7795	0	76	1023	1
2026-02-11	16:27:50.590	-0.315	0.105	-0.49	0.036356	-0.00732	1.004548	-0.5205	-1.416	-2.7735	0	76	1023	1
2026-02-11	16:27:48.610	-0.315	0	-0.49	0.03416	-0.009516	1.006988	-0.519	-1.4175	-2.7795	0	334	929	1
2026-02-11	16:27:48.630	-0.315	0.035	-0.56	0.035868	-0.011712	1.008208	-0.519	-1.4205	-2.781	0	334	929	1
2026-02-11	16:27:48.650	-0.28	0.035	-0.525	0.033428	-0.007564	1.007232	-0.5205	-1.425	-2.7825	0	334	929	1
2026-02-11	16:27:48.670	-0.315	0.035	-0.455	0.033672	-0.011224	1.006988	-0.525	-1.413	-2.7885	0	334	929	1
2026-02-11	16:27:48.690	-0.315	0.035	-0.525	0.034404	-0.011224	1.007964	-0.5205	-1.4235	-2.7825	0	334	929	1
2026-02-11	16:27:48.710	-0.28	0.07	-0.49	0.036356	-0.011224	1.005524	-0.5175	-1.4205	-2.7885	0	334	929	1
2026-02-11	16:27:48.730	-0.28	0.105	-0.525	0.033428	-0.007564	1.005524	-0.513	-1.4265	-2.7735	0	334	929	1
2026-02-11	16:27:48.750	-0.315	0.105	-0.49	0.032208	-0.010248	1.007964	-0.5265	-1.419	-2.7765	0	334	929	1
2026-02-11	16:27:48.770	-0.28	0.07	-0.49	0.034892	-0.009028	1.007476	-0.5175	-1.4175	-2.784	0	334	929	1
2026-02-11	16:27:48.790	-0.315	0.07	-0.49	0.03782	-0.010004	1.008452	-0.5175	-1.4175	-2.784	0	334	929	1
2026-02-11	16:27:48.810	-0.28	0.035	-0.525	0.035136	-0.008052	1.007964	-0.5205	-1.4175	-2.778	0	294	956	1
2026-02-11	16:27:48.830	-0.315	0.035	-0.525	0.037576	-0.008296	1.006256	-0.525	-1.4175	-2.7735	0	294	956	1
2026-02-11	16:27:48.850	-0.315	0.07	-0.525	0.036356	-0.009028	1.008696	-0.522	-1.4265	-2.7765	0	294	956	1
2026-02-11	16:27:48.870	-0.28	0.035	-0.525	0.038064	-0.009516	1.008452	-0.5205	-1.4145	-2.778	0	294	956	1
2026-02-11	16:27:48.890	-0.315	0.105	-0.49	0.031476	-0.013664	1.00894	-0.5235	-1.422	-2.7765	0	294	956	1
2026-02-11	16:27:48.910	-0.315	0.105	-0.49	0.033184	-0.011224	1.008208	-0.525	-1.4205	-2.778	0	294	956	1
2026-02-11	16:27:48.930	-0.315	0.105	-0.49	0.033428	-0.00854	1.008452	-0.519	-1.4205	-2.781	0	294	956	1
2026-02-11	16:27:48.950	-0.315	0.105	-0.525	0.03172	-0.010004	1.007964	-0.5145	-1.4175	-2.778	0	294	956	1
2026-02-11	16:27:48.970	-0.315	0.07	-0.525	0.03538	-0.010492	1.009184	-0.516	-1.422	-2.781	0	294	956	1
2026-02-11	16:27:48.990	-0.315	0.07	-0.525	0.030744	-0.007564	1.007964	-0.5235	-1.4265	-2.7765	0	294	956	1
2026-02-11	16:27:49.010	-0.315	0.035	-0.525	0.034892	-0.01464	1.003816	-0.5205	-1.4235	-2.7795	0	254	976	1
2026-02-11	16:27:49.030	-0.28	0.035	-0.525	0.03538	-0.010248	1.0065	-0.522	-1.422	-2.781	0	254	976	1
2026-02-11	16:27:49.050	-0.315	0.07	-0.56	0.03904	-0.013908	1.009672	-0.522	-1.4205	-2.7795	0	254	976	1
2026-02-11	16:27:49.070	-0.315	0.035	-0.49	0.03172	-0.008784	1.006744	-0.5235	-1.4175	-2.7825	0	254	976	1
2026-02-11	16:27:49.090	-0.28	0.07	-0.49	0.037576	-0.014396	1.004792	-0.525	-1.4175	-2.7825	0	254	976	1
2026-02-11	16:27:49.110	-0.28	0.07	-0.525	0.035868	-0.007564	1.008208	-0.522	-1.422	-2.781	0	254	976	1
2026-02-11	16:27:49.130	-0.315	0.07	-0.525	0.033672	-0.00976	1.00772	-0.522	-1.4235	-2.781	0	254	976	1
2026-02-11	16:27:49.150	-0.315	0.07	-0.525	0.03294	-0.009028	1.004304	-0.5205	-1.4205	-2.778	0	254	976	1
2026-02-11	16:27:49.170	-0.245	0.07	-0.49	0.03538	-0.00732	1.009184	-0.519	-1.4205	-2.7765	0	254	976	1
2026-02-11	16:27:49.190	-0.28	0	-0.525	0.032208	-0.010736	1.006744	-0.519	-1.4205	-2.7795	0	254	976	1
2026-02-11	16:27:49.210	-0.315	0	-0.525	0.03416	-0.012444	1.008208	-0.5175	-1.4175	-2.7825	0	215	991	1
2026-02-11	16:27:49.230	-0.28	0.035	-0.49	0.036112	-0.005856	1.007476	-0.5145	-1.419	-2.781	0	215	991	1
2026-02-11	16:27:49.250	-0.315	0.07	-0.49	0.030988	-0.007808	1.00772	-0.513	-1.4175	-2.781	0	215	991	1
2026-02-11	16:27:49.270	-0.35	0.035	-0.525	0.03294	-0.011224	1.006988	-0.5205	-1.419	-2.781	0	215	991	1
2026-02-11	16:27:49.290	-0.315	0.07	-0.49	0.0366	-0.011956	1.007232	-0.525	-1.4235	-2.778	0	215	991	1
2026-02-11	16:27:49.310	-0.28	0.07	-0.525	0.034404	-0.008784	1.00528	-0.5205	-1.4205	-2.7795	0	215	991	1
