yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-11	16:27:49.610	-0.07	-0.14	-0.105	-0.014884	0.032452	1.013332	-0.8685	5.4675	-5.1	0	110	1021	1
2026-02-11	16:27:49.630	-0.035	-0.175	-0.105	-0.010492	0.032452	1.011868	-0.8655	5.4645	-5.1015	0	110	1021	1
2026-02-11	16:27:49.650	-0.105	-0.175	-0.105	-0.011956	0.030012	1.014064	-0.8625	5.4645	-5.1	0	110	1021	1
2026-02-11	16:27:49.670	-0.035	-0.14	-0.105	-0.014884	0.031232	1.012112	-0.8655	5.457	-5.097	0	110	1021	1
2026-02-11	16:27:49.690	-0.07	-0.14	-0.105	-0.013908	0.031232	1.010648	-0.87	5.4525	-5.106	0	110	1021	1
2026-02-11	16:27:49.710	-0.07	-0.175	-0.105	-0.00976	0.031476	1.008208	-0.8715	5.4555	-5.109	0	110	1021	1
2026-02-11	16:27:49.730	-0.035	-0.14	-0.07	-0.01098	0.030988	1.009672	-0.87	5.451	-5.1	0	110	1021	1
2026-02-11	16:27:49.750	-0.07	-0.175	-0.105	-0.009516	0.029524	1.012112	-0.8655	5.448	-5.0955	0	110	1021	1
2026-02-11	16:27:49.770	-0.07	-0.175	-0.105	-0.010492	0.02928	1.012844	-0.8685	5.4525	-5.0955	0	110	1021	1
2026-02-11	16:27:49.790	-0.105	-0.175	-0.07	-0.00976	0.030744	1.010404	-0.8685	5.451	-5.1015	0	110	1021	1
2026-02-11	16:27:49.810	-0.035	-0.175	-0.105	-0.008296	0.030012	1.010404	-0.8505	5.4795	-5.0925	0	93	1025	1
2026-02-11	16:27:49.830	-0.035	-0.175	-0.105	-0.013664	0.029768	1.009672	-0.8565	5.4885	-5.094	0	93	1025	1
2026-02-11	16:27:49.850	-0.105	-0.175	-0.105	-0.009272	0.030744	1.011624	-0.849	5.4795	-5.0835	0	93	1025	1
2026-02-11	16:27:49.870	-0.105	-0.175	-0.105	-0.012444	0.031476	1.01504	-0.8415	5.4795	-5.0865	0	93	1025	1
2026-02-11	16:27:49.890	-0.035	-0.175	-0.105	-0.011468	0.02928	1.012112	-0.8595	5.478	-5.0895	0	93	1025	1
2026-02-11	16:27:49.910	0	-0.14	-0.07	-0.00732	0.033184	1.009428	-0.8595	5.487	-5.082	0	93	1025	1
2026-02-11	16:27:49.930	-0.07	-0.175	-0.07	-0.010492	0.028548	1.011136	-0.8595	5.487	-5.082	0	93	1025	1
2026-02-11	16:27:49.950	-0.035	-0.14	-0.105	-0.013176	0.033916	1.010648	-0.8535	5.4855	-5.082	0	93	1025	1
2026-02-11	16:27:49.970	-0.07	-0.21	-0.105	-0.009516	0.031232	1.010892	-0.8475	5.484	-5.0835	0	93	1025	1
2026-02-11	16:27:49.990	-0.035	-0.175	-0.105	-0.009272	0.03172	1.013576	-0.8445	5.4795	-5.082	0	93	1025	1
2026-02-11	16:27:50.010	-0.035	-0.175	-0.105	-0.011468	0.033916	1.008452	-0.84	5.4825	-5.0895	0	79	1027	1
2026-02-11	16:27:50.030	-0.07	-0.175	-0.105	-0.009272	0.03416	1.011868	-0.852	5.4795	-5.0805	0	79	1027	1
2026-02-11	16:27:50.050	-0.07	-0.175	-0.105	-0.009516	0.030744	1.014308	-0.858	5.478	-5.0895	0	79	1027	1
2026-02-11	16:27:50.070	-0.07	-0.175	-0.07	-0.012444	0.029524	1.009428	-0.87	5.46	-5.109	0	79	1027	1
2026-02-11	16:27:50.090	-0.035	-0.14	-0.07	-0.010248	0.030744	1.011868	-0.8565	5.4645	-5.106	0	79	1027	1
2026-02-11	16:27:50.110	-0.105	-0.175	-0.105	-0.013176	0.034404	1.012844	-0.8685	5.4765	-5.097	0	79	1027	1
2026-02-11	16:27:50.130	-0.07	-0.175	-0.105	-0.012932	0.034648	1.014796	-0.8595	5.4765	-5.0925	0	79	1027	1
2026-02-11	16:27:50.150	-0.07	-0.175	-0.07	-0.0122	0.03172	1.010404	-0.846	5.478	-5.0835	0	79	1027	1
2026-02-11	16:27:50.170	-0.07	-0.175	-0.07	-0.010004	0.027084	1.011624	-0.8475	5.478	-5.0925	0	79	1027	1
2026-02-11	16:27:50.190	-0.105	-0.175	-0.035	-0.0122	0.033916	1.012844	-0.8565	5.4705	-5.1075	0	79	1027	1
2026-02-11	16:27:50.210	-0.035	-0.175	-0.105	-0.014396	0.029036	1.01138	-0.8625	5.4675	-5.112	0	67	1029	1
2026-02-11	16:27:50.230	-0.07	-0.175	-0.07	-0.010736	0.033916	1.013332	-0.8565	5.4705	-5.109	0	67	1029	1
2026-02-11	16:27:50.250	-0.105	-0.175	-0.105	-0.015372	0.032696	1.0126	-0.855	5.4615	-5.1045	0	67	1029	1
2026-02-11	16:27:50.270	-0.35	-0.28	-0.07	-0.012932	0.02562	1.010892	-0.8625	5.454	-5.1045	0	67	1029	1
2026-02-11	16:27:50.290	-0.035	-0.14	-0.07	-0.01586	0.029036	1.018944	-0.864	5.454	-5.106	0	67	1029	1
2026-02-11	16:27:50.310	0.035	-0.14	-0.07	-0.018788	0.032208	1.015284	-0.873	5.4525	-5.0955	0	67	1029	1
2026-02-11	16:27:50.330	0	-0.21	-0.105	-0.011712	0.031476	1.006744	-0.8625	5.457	-5.097	0	67	1029	1
