yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-11	16:02:12.010	1.225	-0.56	0.28	0.057096	0.04148	1.011136	0.09	-0.285	0.1065	0	3	1035	1
2026-02-11	16:02:12.030	1.26	-0.525	0.28	0.056608	0.043188	1.012112	0.093	-0.2895	0.108	0	3	1035	1
2026-02-11	16:02:12.050	1.26	-0.56	0.245	0.054168	0.041724	1.012356	0.096	-0.288	0.1125	0	3	1035	1
2026-02-11	16:02:12.070	1.295	-0.56	0.21	0.056852	0.044408	1.012112	0.102	-0.2835	0.108	0	3	1035	1
2026-02-11	16:02:12.090	1.26	-0.56	0.28	0.0549	0.043432	1.013332	0.0945	-0.2775	0.1125	0	3	1035	1
2026-02-11	16:02:12.110	1.26	-0.56	0.28	0.056608	0.041968	1.012844	0.096	-0.285	0.1155	0	3	1035	1
2026-02-11	16:02:12.130	1.26	-0.56	0.245	0.056852	0.040016	1.013332	0.096	-0.294	0.1155	0	3	1035	1
2026-02-11	16:02:12.150	1.26	-0.56	0.28	0.056608	0.041236	1.0126	0.0885	-0.2805	0.114	0	3	1035	1
2026-02-11	16:02:12.170	1.225	-0.595	0.28	0.058804	0.042944	1.01138	0.093	-0.291	0.117	0	3	1035	1
2026-02-11	16:02:12.190	1.26	-0.56	0.28	0.0549	0.044408	1.010648	0.093	-0.291	0.1125	0	3	1035	1
2026-02-11	16:02:12.210	1.225	-0.56	0.28	0.055632	0.042456	1.013088	0.0915	-0.2835	0.117	0	3	1035	1
2026-02-11	16:02:12.230	1.295	-0.56	0.28	0.056852	0.040748	1.012112	0.0945	-0.2895	0.114	0	3	1035	1
2026-02-11	16:02:12.250	1.26	-0.56	0.28	0.059048	0.0366	1.012844	0.096	-0.285	0.114	0	3	1035	1
2026-02-11	16:02:12.270	1.225	-0.595	0.245	0.059536	0.04392	1.010648	0.105	-0.2895	0.1095	0	3	1035	1
2026-02-11	16:02:12.290	1.295	-0.525	0.245	0.05734	0.041968	1.0126	0.0975	-0.285	0.117	0	3	1035	1
2026-02-11	16:02:12.310	1.225	-0.525	0.245	0.055144	0.04148	1.013088	0.099	-0.2925	0.111	0	3	1035	1
2026-02-11	16:02:12.330	1.225	-0.56	0.28	0.059292	0.045384	1.010404	0.0975	-0.288	0.114	0	3	1035	1
2026-02-11	16:02:12.350	1.26	-0.56	0.28	0.05734	0.042944	1.01138	0.099	-0.288	0.1125	0	3	1035	1
2026-02-11	16:02:12.370	1.295	-0.56	0.28	0.054656	0.041968	1.013332	0.09	-0.294	0.1065	0	3	1035	1
2026-02-11	16:02:12.390	1.225	-0.595	0.28	0.063196	0.043432	1.0126	0.096	-0.2895	0.114	0	3	1035	1
2026-02-11	16:02:12.410	1.26	-0.525	0.245	0.054656	0.041968	1.0126	0.099	-0.2955	0.1095	0	3	1035	1
2026-02-11	16:02:12.430	1.225	-0.56	0.245	0.055632	0.0427	1.01138	0.099	-0.285	0.1185	0	3	1035	1
2026-02-11	16:02:12.450	1.19	-0.56	0.245	0.055876	0.041724	1.011136	0.0945	-0.2895	0.1155	0	3	1035	1
2026-02-11	16:02:12.470	1.295	-0.525	0.245	0.056852	0.04148	1.014064	0.0915	-0.2865	0.1125	0	3	1035	1
2026-02-11	16:02:12.490	1.225	-0.595	0.28	0.05368	0.043188	1.012356	0.099	-0.279	0.1065	0	3	1035	1
2026-02-11	16:02:12.510	1.225	-0.56	0.28	0.058316	0.044164	1.012356	0.0975	-0.285	0.108	0	3	1035	1
2026-02-11	16:02:12.530	1.26	-0.56	0.28	0.055388	0.045384	1.0126	0.0915	-0.2895	0.117	0	3	1035	1
2026-02-11	16:02:12.550	1.26	-0.525	0.28	0.057584	0.040016	1.013576	0.0945	-0.285	0.1095	0	3	1035	1
2026-02-11	16:02:12.570	1.26	-0.56	0.28	0.056608	0.038796	1.01138	0.0975	-0.2835	0.1095	0	3	1035	1
2026-02-11	16:02:12.590	1.295	-0.56	0.245	0.057096	0.042212	1.01138	0.09	-0.2835	0.1125	0	3	1035	1
2026-02-11	16:02:22.610	11.48	-10.08	5.355	0.055388	0.040748	1.009428	0.0975	-0.2895	0.1095	0	76	153	2
2026-02-11	16:02:22.630	1.26	-0.525	0.245	0.057828	0.039772	1.012356	0.0945	-0.2865	0.1125	0	76	153	2
2026-02-11	16:02:22.650	1.225	-0.595	0.28	0.056364	0.04148	1.008696	0.0945	-0.2865	0.1095	0	76	153	2
