yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-11	16:02:12.010	-34.44	15.19	15.575	0.909632	-0.066368	0.234972	-0.768	0.201	0.3735	0	233	335	3
2026-02-11	16:02:12.030	-30.73	10.92	10.01	0.896944	-0.063684	0.264496	-0.7635	0.2055	0.3705	0	233	335	3
2026-02-11	16:02:12.050	-25.305	6.93	3.08	0.884256	-0.038552	0.297436	-0.7605	0.201	0.3705	0	233	335	3
2026-02-11	16:02:12.070	-22.085	2.695	-5.18	0.890112	-0.024888	0.323056	-0.75	0.204	0.375	0	233	335	3
2026-02-11	16:02:12.090	-21.28	-0.98	-14.56	0.88938	-0.030256	0.323788	-0.762	0.1965	0.3645	0	233	335	3
2026-02-11	16:02:12.110	-22.96	-6.195	-24.78	0.928176	-0.036112	0.305	-0.747	0.204	0.372	0	233	335	3
2026-02-11	16:02:12.130	-24.78	-12.985	-36.19	0.992592	-0.056364	0.30012	-0.753	0.207	0.3705	0	233	335	3
2026-02-11	16:02:12.150	-23.695	-20.055	-48.3	1.06018	-0.066124	0.320616	-0.756	0.201	0.372	0	233	335	3
2026-02-11	16:02:12.170	-21.28	-26.25	-60.095	1.099708	-0.066368	0.330864	-0.7635	0.1875	0.3765	0	233	335	3
2026-02-11	16:02:12.190	-20.65	-31.745	-70.525	1.111176	-0.067832	0.334036	-0.7545	0.1785	0.3735	0	233	335	3
2026-02-11	16:02:12.210	-18.9	-39.97	-83.93	1.141188	-0.083448	0.359656	-0.7545	0.1785	0.3735	0	227	324	3
2026-02-11	16:02:12.230	-15.575	-43.015	-90.545	1.1346	-0.078812	0.381128	-0.7545	0.1785	0.3735	0	227	324	3
2026-02-11	16:02:12.250	-15.575	-44.31	-93.87	1.161196	-0.068808	0.365024	-0.7635	0.153	0.3855	0	227	324	3
2026-02-11	16:02:12.270	-20.895	-45.99	-95.41	1.218048	-0.077348	0.333304	-0.771	0.144	0.396	0	227	324	3
2026-02-11	16:02:12.290	-24.325	-47.25	-95.235	1.245864	-0.109312	0.324276	-0.762	0.141	0.393	0	227	324	3
2026-02-11	16:02:12.310	-20.37	-47.53	-91.91	1.258064	-0.131272	0.348188	-0.78	0.1245	0.3945	0	227	324	3
2026-02-11	16:02:12.330	-11.13	-43.75	-86.1	1.215852	-0.122244	0.392352	-0.7755	0.1065	0.396	0	227	324	3
2026-02-11	16:02:12.350	-4.13	-35.105	-77.175	1.116056	-0.099308	0.40992	-0.777	0.1005	0.402	0	227	324	3
2026-02-11	16:02:12.370	-4.585	-22.925	-66.115	1.0065	-0.049288	0.406748	-0.78	0.099	0.4095	0	227	324	3
2026-02-11	16:02:12.390	-15.19	-8.19	-54.6	0.88206	-0.02074	0.381616	-0.777	0.075	0.408	0	227	324	3
2026-02-11	16:02:12.410	-32.27	5.845	-42.84	0.78324	0.00976	0.31476	-0.774	0.0795	0.4095	0	218	320	3
2026-02-11	16:02:12.430	-54.25	15.54	-31.185	0.766648	-0.007076	0.246928	-0.771	0.0645	0.405	0	218	320	3
2026-02-11	16:02:12.450	-67.585	21.595	-22.05	0.831064	-0.0366	0.207156	-0.7755	0.0585	0.4035	0	218	320	3
2026-02-11	16:02:12.470	-73.08	28.63	-11.62	0.937204	-0.060756	0.22692	-0.7755	0.06	0.3975	0	218	320	3
2026-02-11	16:02:12.490	-73.185	34.265	-5.46	0.966728	-0.062708	0.243024	-0.7755	0.06	0.3975	0	218	320	3
2026-02-11	16:02:12.510	-72.345	38.535	-0.28	0.990396	-0.056852	0.26352	-0.7725	0.0525	0.3855	0	218	320	3
