yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-11	16:02:12.010	-0.035	-0.14	-0.105	-0.004392	0.005612	1.009672	0.33	0.159	-0.483	0	4	1035	1
2026-02-11	16:02:12.030	-0.07	-0.105	-0.105	-0.00366	0.009028	1.01382	0.3315	0.159	-0.4815	0	4	1035	1
2026-02-11	16:02:12.050	-0.035	-0.105	-0.07	-0.005124	0.008784	1.014064	0.333	0.159	-0.477	0	4	1035	1
2026-02-11	16:02:12.070	-0.035	-0.105	-0.105	-0.000488	0.009272	1.013576	0.3315	0.159	-0.4755	0	4	1035	1
2026-02-11	16:02:12.090	-0.035	-0.105	-0.07	-0.003172	0.009516	1.010892	0.33	0.162	-0.4785	0	4	1035	1
2026-02-11	16:02:12.110	-0.07	-0.14	-0.07	-0.001952	0.005856	1.012844	0.33	0.162	-0.4785	0	4	1035	1
2026-02-11	16:02:12.130	-0.07	-0.105	-0.07	-0.003416	0.005124	1.015528	0.3225	0.162	-0.486	0	4	1035	1
2026-02-11	16:02:12.150	0	-0.105	-0.07	-0.003904	0.009272	1.013088	0.3255	0.1605	-0.483	0	4	1035	1
2026-02-11	16:02:12.170	-0.035	-0.105	-0.07	-0.005612	0.009272	1.011624	0.3255	0.1545	-0.486	0	4	1035	1
2026-02-11	16:02:12.190	-0.035	-0.105	-0.07	-0.001708	0.008784	1.013088	0.324	0.1605	-0.4815	0	4	1035	1
2026-02-11	16:02:12.210	-0.035	-0.105	-0.07	-0.000976	0.009272	1.013332	0.3195	0.1665	-0.483	0	4	1035	1
2026-02-11	16:02:12.230	-0.07	-0.105	-0.07	-0.00366	0.00732	1.01504	0.3285	0.1605	-0.483	0	4	1035	1
2026-02-11	16:02:12.250	-0.07	-0.14	-0.105	-0.001464	0.00732	1.01626	0.3285	0.159	-0.474	0	4	1035	1
2026-02-11	16:02:12.270	-0.07	-0.105	-0.105	-0.002684	0.009516	1.013332	0.3285	0.159	-0.4725	0	4	1035	1
2026-02-11	16:02:12.290	-0.07	-0.105	-0.035	-0.004636	0.003904	1.012112	0.3285	0.1605	-0.471	0	4	1035	1
2026-02-11	16:02:12.310	-0.07	-0.14	-0.105	-0.005368	0.006832	1.014064	0.3315	0.159	-0.48	0	4	1035	1
2026-02-11	16:02:12.330	-0.035	-0.14	-0.07	-0.002928	0.007564	1.012112	0.33	0.1575	-0.471	0	4	1035	1
2026-02-11	16:02:12.350	-0.035	-0.105	-0.07	-0.001952	0.010248	1.011624	0.3315	0.153	-0.486	0	4	1035	1
2026-02-11	16:02:12.370	-0.07	-0.14	-0.105	-0.001952	0.011224	1.014064	0.3285	0.1665	-0.4815	0	4	1035	1
2026-02-11	16:02:12.390	-0.035	-0.14	-0.105	-0.00366	0.00854	1.014064	0.3315	0.1605	-0.4785	0	4	1035	1
2026-02-11	16:02:12.410	-0.035	-0.14	-0.07	-0.00366	0.008296	1.011868	0.336	0.1605	-0.477	0	4	1035	1
2026-02-11	16:02:12.430	-0.035	-0.105	-0.105	-0.001708	0.0061	1.011868	0.3315	0.165	-0.486	0	4	1035	1
2026-02-11	16:02:12.450	-0.035	-0.14	-0.105	-0.003172	0.007076	1.014796	0.327	0.159	-0.4845	0	4	1035	1
2026-02-11	16:02:12.470	-0.035	-0.105	-0.07	-0.005124	0.008052	1.009428	0.327	0.1605	-0.48	0	4	1035	1
2026-02-11	16:02:12.490	-0.07	-0.07	-0.07	-0.005612	0.005612	1.012844	0.33	0.162	-0.4785	0	4	1035	1
2026-02-11	16:02:12.510	-0.035	-0.14	-0.105	-0.003904	0.011468	1.01382	0.3315	0.162	-0.4815	0	4	1035	1
2026-02-11	16:02:12.530	-0.07	-0.105	-0.105	-0.003904	0.008784	1.013576	0.3285	0.162	-0.4815	0	4	1035	1
2026-02-11	16:02:12.550	-0.07	-0.105	-0.07	-0.002928	0.0061	1.01382	0.3285	0.1605	-0.48	0	4	1035	1
2026-02-11	16:02:12.570	-0.035	-0.105	-0.105	0	0.011956	1.011868	0.3285	0.162	-0.4845	0	4	1035	1
2026-02-11	16:02:12.590	-0.035	-0.105	-0.105	-0.005368	0.009272	1.01626	0.3285	0.1635	-0.4875	0	4	1035	1
2026-02-11	16:02:12.610	0	-0.105	-0.07	-0.000732	0.008784	1.013576	0.327	0.1605	-0.4845	0	4	1035	1
2026-02-11	16:02:12.630	-0.035	-0.105	-0.105	-0.002684	0.007076	1.016992	0.3285	0.162	-0.4845	0	4	1035	1
2026-02-11	16:02:12.650	-0.035	-0.105	-0.07	0	0.003904	1.010404	0.3315	0.165	-0.486	0	4	1035	1
2026-02-11	16:02:12.670	-0.035	-0.14	-0.105	-0.000732	0.006832	1.012356	0.3285	0.1635	-0.4785	0	4	1035	1
2026-02-11	16:02:12.690	-0.07	-0.105	-0.105	-0.005368	0.007564	1.014064	0.3285	0.162	-0.4815	0	4	1035	1
2026-02-11	16:02:12.710	-0.035	-0.105	-0.07	0.000244	0.008296	1.010648	0.321	0.165	-0.4785	0	4	1035	1
2026-02-11	16:02:12.730	-0.035	-0.07	-0.07	0.00122	0.007808	1.013088	0.333	0.162	-0.474	0	4	1035	1
2026-02-11	16:02:12.750	-0.07	-0.07	-0.07	-0.00244	0.007076	1.010648	0.327	0.168	-0.4815	0	4	1035	1
2026-02-11	16:02:12.770	-0.07	-0.14	-0.105	-0.002928	0.006344	1.01138	0.336	0.162	-0.4815	0	4	1035	1
2026-02-11	16:02:12.790	-0.035	-0.14	-0.07	-0.004148	0.007808	1.015284	0.333	0.1485	-0.4815	0	4	1035	1
2026-02-11	16:02:12.810	-0.07	-0.105	-0.105	-0.003904	0.007076	1.013088	0.3375	0.1605	-0.4815	0	4	1036	1
2026-02-11	16:02:12.830	-0.035	-0.105	-0.07	-0.004148	0.0061	1.013332	0.3375	0.1605	-0.4815	0	4	1036	1
2026-02-11	16:02:12.850	-0.035	-0.105	-0.105	-0.00244	0.013908	1.010648	0.333	0.1605	-0.483	0	4	1036	1
2026-02-11	16:02:12.870	-0.07	-0.105	-0.105	-0.003904	0.010492	1.010648	0.3285	0.1605	-0.4815	0	4	1036	1
2026-02-11	16:02:12.890	-0.07	-0.07	-0.07	-0.00488	0.011712	1.013332	0.33	0.159	-0.48	0	4	1036	1
2026-02-11	16:02:12.910	-0.035	-0.105	-0.07	0.000488	0.009272	1.0126	0.33	0.156	-0.4815	0	4	1036	1
