yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-11	16:23:55.410	1.365	-0.77	0.245	0.178608	0.02562	0.996008	-0.2895	0.747	0.9525	0	4	1020	1
2026-02-11	16:23:55.430	1.295	-0.945	0.245	0.181536	0.024888	0.992104	-0.291	0.7485	0.9525	0	4	1020	1
2026-02-11	16:23:55.450	1.26	-0.105	0.28	0.183732	0.019764	1.002108	-0.2925	0.7515	0.9555	0	4	1020	1
2026-02-11	16:23:55.470	1.295	-0.385	0.28	0.180072	0.022692	0.999668	-0.2895	0.753	0.954	0	4	1020	1
2026-02-11	16:23:55.490	1.365	-1.295	0.28	0.18056	0.020984	0.993324	-0.288	0.753	0.9495	0	4	1020	1
2026-02-11	16:23:55.510	1.26	-0.175	0.245	0.178608	0.024644	0.993812	-0.285	0.75	0.957	0	4	1020	1
2026-02-11	16:23:55.530	1.225	-0.42	0.245	0.184708	0.02318	0.999668	-0.285	0.7515	0.9585	0	4	1020	1
2026-02-11	16:23:55.550	1.26	-0.665	0.21	0.18056	0.022692	0.997228	-0.282	0.7545	0.951	0	4	1020	1
2026-02-11	16:23:55.570	1.26	-0.63	0.245	0.18056	0.024644	0.996496	-0.2805	0.75	0.951	0	4	1020	1
2026-02-11	16:23:55.590	1.295	-0.42	0.245	0.183	0.021228	0.996252	-0.285	0.7485	0.9525	0	4	1020	1
2026-02-11	16:23:55.610	1.295	-0.595	0.245	0.183	0.02318	0.996984	-0.288	0.7485	0.9525	0	5	1020	1
2026-02-11	16:23:55.630	1.26	-0.7	0.245	0.179096	0.023912	0.996008	-0.291	0.75	0.9555	0	5	1020	1
2026-02-11	16:23:55.650	1.295	-0.49	0.245	0.183	0.022692	0.997228	-0.288	0.753	0.9495	0	5	1020	1
2026-02-11	16:23:55.670	1.295	-0.455	0.245	0.17934	0.020252	1.000156	-0.2835	0.7485	0.951	0	5	1020	1
2026-02-11	16:23:55.690	1.295	-0.7	0.245	0.178852	0.022692	0.995276	-0.2835	0.7485	0.954	0	5	1020	1
2026-02-11	16:23:55.710	1.295	-0.63	0.245	0.182756	0.02074	0.993324	-0.285	0.7515	0.9495	0	5	1020	1
2026-02-11	16:23:55.730	1.295	-0.49	0.245	0.181536	0.018544	0.994788	-0.2865	0.7515	0.951	0	5	1020	1
2026-02-11	16:23:55.750	1.295	-0.56	0.28	0.18056	0.02196	0.998204	-0.2865	0.747	0.954	0	5	1020	1
2026-02-11	16:23:55.770	1.33	-0.595	0.245	0.181536	0.022692	0.99918	-0.285	0.7455	0.948	0	5	1020	1
2026-02-11	16:23:55.790	1.295	-0.525	0.28	0.180804	0.018544	0.999912	-0.285	0.747	0.948	0	5	1020	1
