yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-11	16:23:55.410	-2.415	-1.715	2.87	0.97234	0.273768	0.171044	0.141	0.6255	0.1215	0	268	158	2
2026-02-11	16:23:55.430	-2.17	-1.05	1.68	0.971852	0.277184	0.171044	0.141	0.6225	0.1275	0	268	158	2
2026-02-11	16:23:55.450	-2.625	-0.455	0.455	0.97478	0.280112	0.164456	0.141	0.624	0.1245	0	268	158	2
2026-02-11	16:23:55.470	-3.255	-0.105	-0.77	0.965996	0.27694	0.162504	0.147	0.6225	0.117	0	268	158	2
2026-02-11	16:23:55.490	-3.535	0.245	-1.925	0.971608	0.272792	0.157136	0.1455	0.624	0.1185	0	268	158	2
2026-02-11	16:23:55.510	-3.01	0.77	-3.185	0.983076	0.268888	0.157136	0.1455	0.6255	0.1245	0	268	158	2
2026-02-11	16:23:55.530	-1.61	1.505	-4.41	0.981124	0.265716	0.149816	0.144	0.6225	0.123	0	268	158	2
2026-02-11	16:23:55.550	0.595	2.45	-5.74	0.971852	0.263032	0.14884	0.1425	0.624	0.12	0	268	158	2
2026-02-11	16:23:55.570	2.66	3.185	-7	0.978196	0.258152	0.146644	0.147	0.624	0.12	0	268	158	2
2026-02-11	16:23:55.590	4.095	3.605	-7.805	0.97966	0.254736	0.142984	0.147	0.624	0.117	0	268	158	2
2026-02-11	16:23:55.610	5.11	3.745	-8.295	0.9699	0.252296	0.13786	0.1485	0.621	0.117	0	232	160	2
2026-02-11	16:23:55.630	5.565	3.5	-8.47	0.97112	0.254248	0.141032	0.144	0.6165	0.12	0	232	160	2
2026-02-11	16:23:55.650	5.53	3.22	-8.47	0.966972	0.253028	0.138592	0.138	0.6195	0.1155	0	232	160	2
2026-02-11	16:23:55.670	5.32	2.8	-8.26	0.965264	0.249612	0.138104	0.141	0.618	0.1125	0	232	160	2
2026-02-11	16:23:55.690	5.075	2.345	-7.84	0.965752	0.246684	0.141032	0.141	0.6195	0.114	0	232	160	2
2026-02-11	16:23:55.710	5.32	1.995	-7.105	0.965508	0.244244	0.13664	0.1425	0.6195	0.1155	0	232	160	2
2026-02-11	16:23:55.730	5.845	1.68	-6.23	0.959164	0.243268	0.135664	0.1425	0.612	0.1155	0	232	160	2
2026-02-11	16:23:55.750	6.23	1.19	-5.11	0.9577	0.241316	0.135176	0.138	0.6075	0.12	0	232	160	2
2026-02-11	16:23:55.770	6.335	0.42	-3.43	0.954284	0.244488	0.141276	0.141	0.606	0.12	0	232	160	2
2026-02-11	16:23:55.790	6.335	-0.245	-1.715	0.954284	0.244244	0.144204	0.144	0.609	0.1155	0	232	160	2
2026-02-11	16:23:55.810	6.65	-0.665	-0.455	0.952088	0.250344	0.141032	0.1425	0.615	0.114	0	201	160	2
2026-02-11	16:23:55.830	6.72	-1.225	0.735	0.951844	0.254492	0.147132	0.141	0.615	0.117	0	201	160	2
2026-02-11	16:23:55.850	6.58	-1.645	1.785	0.95648	0.257664	0.151768	0.1425	0.612	0.12	0	201	160	2
2026-02-11	16:23:55.870	6.44	-1.925	2.8	0.957212	0.262544	0.15494	0.1455	0.6105	0.117	0	201	160	2
2026-02-11	16:23:55.890	6.51	-2.1	3.535	0.955992	0.261324	0.15372	0.15	0.612	0.1125	0	201	160	2
2026-02-11	16:23:55.910	6.895	-2.345	4.095	0.964288	0.269132	0.156892	0.1515	0.6135	0.1125	0	201	160	2
2026-02-11	16:23:55.930	7.245	-2.485	4.235	0.963068	0.273036	0.160064	0.1455	0.6195	0.114	0	201	160	2
2026-02-11	16:23:55.950	7.105	-2.66	3.885	0.956236	0.276452	0.166164	0.144	0.6225	0.117	0	201	160	2
