yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-11	16:23:55.410	-0.245	0.105	-0.49	0.031964	-0.006588	1.012356	-0.828	-1.401	-3.156	0	4	1030	1
2026-02-11	16:23:55.430	-0.245	0.07	-0.49	0.032696	-0.010736	1.008696	-0.8295	-1.404	-3.159	0	4	1030	1
2026-02-11	16:23:55.450	-0.28	0.105	-0.49	0.03172	-0.009272	1.00894	-0.828	-1.407	-3.1605	0	4	1030	1
2026-02-11	16:23:55.470	-0.28	0	-0.525	0.030256	-0.006588	1.006256	-0.825	-1.407	-3.159	0	4	1030	1
2026-02-11	16:23:55.490	-0.315	-0.035	-0.455	0.03416	-0.009028	1.007476	-0.8295	-1.4025	-3.168	0	4	1030	1
2026-02-11	16:23:55.510	-0.28	0.035	-0.49	0.034648	-0.007564	1.0065	-0.8415	-1.3935	-3.165	0	4	1030	1
2026-02-11	16:23:55.530	-0.245	0.07	-0.525	0.0305	-0.01098	1.013332	-0.822	-1.4025	-3.156	0	4	1030	1
2026-02-11	16:23:55.550	-0.28	0.105	-0.49	0.029768	-0.010736	1.008452	-0.8325	-1.401	-3.1605	0	4	1030	1
2026-02-11	16:23:55.570	-0.28	0.175	-0.49	0.030012	-0.0061	1.003572	-0.8355	-1.398	-3.1545	0	4	1030	1
2026-02-11	16:23:55.590	-0.28	0.105	-0.49	0.034892	-0.011224	1.008208	-0.8325	-1.3995	-3.1605	0	4	1030	1
2026-02-11	16:23:55.610	-0.28	0.105	-0.49	0.030256	-0.007564	1.007476	-0.8265	-1.3995	-3.1515	0	4	1030	1
2026-02-11	16:23:55.630	-0.315	0.07	-0.525	0.030744	-0.00488	1.004792	-0.8325	-1.404	-3.156	0	4	1030	1
2026-02-11	16:23:55.650	-0.315	0.07	-0.49	0.032208	-0.007808	1.007232	-0.8295	-1.4055	-3.162	0	4	1030	1
2026-02-11	16:23:55.670	-0.315	0.07	-0.525	0.028304	-0.011712	1.008208	-0.8325	-1.4025	-3.159	0	4	1030	1
2026-02-11	16:23:55.690	-0.28	0.07	-0.525	0.030744	-0.004636	1.008208	-0.8325	-1.4025	-3.159	0	4	1030	1
2026-02-11	16:23:55.710	-0.28	0.14	-0.49	0.033672	-0.010736	1.006988	-0.8265	-1.4025	-3.159	0	4	1030	1
2026-02-11	16:23:55.730	-0.315	0.21	-0.49	0.03538	-0.008052	1.006256	-0.8265	-1.401	-3.156	0	4	1030	1
2026-02-11	16:23:55.750	-0.28	0.245	-0.49	0.033184	-0.006588	1.008208	-0.8295	-1.3995	-3.1545	0	4	1030	1
2026-02-11	16:23:55.770	-0.315	0.28	-0.49	0.031964	-0.008784	1.005524	-0.828	-1.3995	-3.1605	0	4	1030	1
2026-02-11	16:23:55.790	-0.28	0.175	-0.455	0.03172	-0.009028	1.00528	-0.8295	-1.401	-3.1635	0	4	1030	1
2026-02-11	16:23:55.810	-0.28	0.035	-0.525	0.033428	-0.00976	1.007964	-0.8295	-1.401	-3.162	0	4	1030	1
2026-02-11	16:23:55.830	-0.315	0.07	-0.49	0.032696	-0.0061	1.007964	-0.8325	-1.3995	-3.1665	0	4	1030	1
2026-02-11	16:23:55.850	-0.28	0	-0.49	0.030256	-0.007808	1.009672	-0.831	-1.3995	-3.165	0	4	1030	1
2026-02-11	16:23:55.870	-0.28	-0.035	-0.49	0.031964	-0.007076	1.008452	-0.8265	-1.3995	-3.1575	0	4	1030	1
2026-02-11	16:23:55.890	-0.28	-0.175	-0.525	0.033672	-0.006344	1.00528	-0.8295	-1.401	-3.1575	0	4	1030	1
2026-02-11	16:23:55.910	-0.28	-0.14	-0.49	0.031232	-0.00854	1.01016	-0.831	-1.404	-3.159	0	4	1030	1
2026-02-11	16:23:55.930	-0.315	-0.105	-0.525	0.032696	-0.008296	1.010404	-0.8325	-1.4025	-3.159	0	4	1030	1
2026-02-11	16:23:55.950	-0.315	0.035	-0.525	0.02928	-0.007076	1.006988	-0.834	-1.3995	-3.1575	0	4	1030	1
2026-02-11	16:23:55.970	-0.28	0.07	-0.49	0.032452	-0.010004	1.004304	-0.834	-1.3995	-3.1575	0	4	1030	1
2026-02-11	16:23:55.990	-0.28	0.07	-0.525	0.033184	-0.00976	1.00528	-0.8295	-1.401	-3.1635	0	4	1030	1
2026-02-11	16:23:56.010	-0.28	0.105	-0.49	0.031232	-0.007076	1.0065	-0.831	-1.4025	-3.159	0	4	1030	1
2026-02-11	16:23:56.030	-0.28	0.07	-0.49	0.033428	-0.006588	1.007964	-0.8295	-1.401	-3.159	0	4	1030	1
2026-02-11	16:23:56.050	-0.28	0.105	-0.49	0.028792	-0.010248	1.009672	-0.8295	-1.3965	-3.162	0	4	1030	1
2026-02-11	16:23:56.070	-0.28	0.14	-0.49	0.034404	-0.007564	1.00528	-0.834	-1.395	-3.1605	0	4	1030	1
2026-02-11	16:23:56.090	-0.315	0.665	-0.49	0.029036	-0.00976	1.023336	-0.837	-1.3995	-3.156	0	4	1030	1
2026-02-11	16:23:56.110	-0.245	-0.14	-0.525	0.037576	-0.0061	1.010892	-0.8355	-1.398	-3.1545	0	4	1030	1
2026-02-11	16:23:56.130	-0.35	-0.105	-0.49	0.032208	-0.007564	0.99918	-0.831	-1.3965	-3.156	0	4	1030	1
2026-02-11	16:23:56.150	-0.245	-0.14	-0.49	0.03538	-0.00976	1.009672	-0.828	-1.398	-3.1605	0	4	1030	1
2026-02-11	16:23:56.170	-0.28	0.07	-0.49	0.030744	-0.01098	1.005036	-0.831	-1.401	-3.1605	0	4	1030	1
2026-02-11	16:23:56.190	-0.28	0	-0.49	0.033184	-0.010736	1.008208	-0.8325	-1.3995	-3.1605	0	4	1030	1
2026-02-11	16:23:56.210	-0.28	0	-0.49	0.032452	-0.010004	1.00894	-0.8325	-1.401	-3.1635	0	4	1030	1
2026-02-11	16:23:56.230	-0.28	0	-0.455	0.031232	-0.008296	1.0065	-0.8325	-1.4085	-3.1635	0	4	1030	1
2026-02-11	16:23:56.250	-0.245	0.035	-0.49	0.032208	-0.007808	1.008696	-0.825	-1.3965	-3.1575	0	4	1030	1
2026-02-11	16:23:56.270	-0.28	0.07	-0.455	0.031964	-0.007564	1.00772	-0.831	-1.401	-3.1575	0	4	1030	1
2026-02-11	16:23:56.290	-0.28	0.035	-0.49	0.033916	-0.009516	1.006012	-0.8235	-1.404	-3.162	0	4	1030	1
2026-02-11	16:23:56.310	-0.245	0.175	-0.49	0.03416	-0.008784	1.006012	-0.8295	-1.407	-3.159	0	4	1030	1
2026-02-11	16:23:56.330	-0.28	0.175	-0.49	0.03172	-0.008296	1.006744	-0.8325	-1.4025	-3.1605	0	4	1030	1
2026-02-11	16:23:56.350	-0.315	0.14	-0.455	0.035624	-0.010004	1.0065	-0.834	-1.4025	-3.1725	0	4	1030	1
2026-02-11	16:23:56.370	-0.315	0.035	-0.49	0.032696	-0.010248	1.006256	-0.828	-1.404	-3.162	0	4	1030	1
2026-02-11	16:23:56.390	-0.315	0	-0.49	0.026352	-0.010248	1.006988	-0.8295	-1.3965	-3.168	0	4	1030	1
2026-02-11	16:23:54.410	-0.28	0.14	-0.49	0.02806	-0.007564	1.01016	-0.8325	-1.407	-3.159	0	3	1030	1
2026-02-11	16:23:54.430	-0.315	0.07	-0.49	0.03172	-0.009272	1.003572	-0.822	-1.401	-3.162	0	3	1030	1
2026-02-11	16:23:54.450	-0.245	0.035	-0.49	0.033428	-0.010004	1.004548	-0.8295	-1.404	-3.159	0	3	1030	1
2026-02-11	16:23:54.470	-0.28	0.07	-0.455	0.03538	-0.012444	1.009428	-0.828	-1.3995	-3.156	0	3	1030	1
2026-02-11	16:23:54.490	-0.315	0.105	-0.455	0.0305	-0.009516	1.005524	-0.834	-1.3965	-3.1605	0	3	1030	1
2026-02-11	16:23:54.510	-0.315	0.105	-0.455	0.029036	-0.01342	1.0065	-0.834	-1.395	-3.165	0	3	1030	1
