yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-11	16:23:55.410	-17.745	25.025	28.56	0.969412	-0.28548	0.219844	-0.8145	0.1095	0.486	0	267	451	3
2026-02-11	16:23:55.430	-16.065	22.855	33.145	0.964532	-0.294508	0.218136	-0.8175	0.111	0.4815	0	267	451	3
2026-02-11	16:23:55.450	-13.125	20.23	37.03	0.962824	-0.282796	0.212768	-0.813	0.12	0.477	0	267	451	3
2026-02-11	16:23:55.470	-10.885	17.29	39.935	0.953064	-0.28426	0.208864	-0.81	0.1215	0.471	0	267	451	3
2026-02-11	16:23:55.490	-8.12	14.07	42.7	0.945744	-0.281576	0.204716	-0.813	0.1305	0.4755	0	267	451	3
2026-02-11	16:23:55.510	-4.83	10.605	44.03	0.9516	-0.27328	0.205204	-0.813	0.1395	0.474	0	267	451	3
2026-02-11	16:23:55.530	-1.61	7.245	45.255	0.942572	-0.273524	0.215696	-0.813	0.126	0.4725	0	267	451	3
2026-02-11	16:23:55.550	1.96	3.57	45.605	0.938424	-0.258884	0.223504	-0.8145	0.147	0.468	0	267	451	3
2026-02-11	16:23:55.570	4.76	0.315	45.08	0.927932	-0.2562	0.2257	-0.807	0.1455	0.4605	0	267	451	3
2026-02-11	16:23:55.590	7.735	-3.01	43.715	0.91866	-0.24522	0.236436	-0.8085	0.1545	0.462	0	267	451	3
2026-02-11	16:23:55.610	11.48	-7.49	40.425	0.918172	-0.251564	0.244244	-0.816	0.1545	0.462	0	271	431	3
2026-02-11	16:23:55.630	14.455	-10.08	37.485	0.915732	-0.235216	0.255956	-0.8145	0.1605	0.462	0	271	431	3
2026-02-11	16:23:55.650	16.485	-12.6	34.09	0.906948	-0.227896	0.270596	-0.8115	0.1665	0.465	0	271	431	3
2026-02-11	16:23:55.670	17.92	-14.525	29.75	0.906216	-0.238876	0.28182	-0.8085	0.1665	0.4665	0	271	431	3
2026-02-11	16:23:55.690	20.44	-16.415	26.005	0.91012	-0.21838	0.291824	-0.813	0.183	0.4635	0	271	431	3
2026-02-11	16:23:55.710	21.245	-17.43	21.455	0.906948	-0.206668	0.306464	-0.8055	0.1815	0.4635	0	271	431	3
2026-02-11	16:23:55.730	19.95	-18.095	16.415	0.917684	-0.212768	0.319152	-0.813	0.1815	0.4755	0	271	431	3
2026-02-11	16:23:55.750	18.165	-17.885	11.095	0.917684	-0.205448	0.332084	-0.8145	0.186	0.474	0	271	431	3
2026-02-11	16:23:55.770	15.225	-16.87	6.265	0.914268	-0.213988	0.331596	-0.8115	0.1815	0.4695	0	271	431	3
2026-02-11	16:23:55.790	12.425	-15.715	1.26	0.907924	-0.2196	0.339648	-0.8115	0.1875	0.471	0	271	431	3
2026-02-11	16:23:55.810	9.73	-14.035	-3.395	0.915976	-0.223016	0.35014	-0.813	0.1845	0.471	0	269	395	3
2026-02-11	16:23:55.830	6.37	-11.48	-7.98	0.941596	-0.235948	0.374784	-0.819	0.186	0.48	0	269	395	3
2026-02-11	16:23:55.850	3.675	-8.155	-11.725	0.934032	-0.2562	0.371368	-0.816	0.186	0.474	0	269	395	3
2026-02-11	16:23:55.870	1.855	-5.39	-14.525	0.94062	-0.250832	0.371368	-0.81	0.1785	0.4725	0	269	395	3
2026-02-11	16:23:55.890	-2.135	-0.98	-16.835	0.94916	-0.296216	0.36722	-0.813	0.18	0.4815	0	269	395	3
2026-02-11	16:23:55.910	-1.225	1.505	-17.29	0.96136	-0.287432	0.359412	-0.8115	0.1785	0.4815	0	269	395	3
2026-02-11	16:23:55.930	-1.505	3.675	-17.01	0.964532	-0.318908	0.343308	-0.807	0.174	0.4785	0	269	395	3
2026-02-11	16:23:55.950	2.94	5.355	-16.59	0.956968	-0.299876	0.328912	-0.8085	0.168	0.477	0	269	395	3
2026-02-11	16:23:55.970	6.055	5.635	-15.505	0.941108	-0.296948	0.311832	-0.813	0.1665	0.4785	0	269	395	3
2026-02-11	16:23:55.990	6.965	5.25	-14.63	0.938668	-0.282552	0.302316	-0.822	0.165	0.48	0	269	395	3
