yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-11	16:23:55.410	-0.21	-0.245	-0.07	-0.009272	0.013176	1.011136	0.375	4.5285	-4.869	0	4	1036	1
2026-02-11	16:23:55.430	-0.07	-0.14	-0.07	-0.008296	0.022204	1.011868	0.387	4.524	-4.8615	0	4	1036	1
2026-02-11	16:23:55.450	-0.105	-0.175	-0.07	-0.00854	0.017324	1.012112	0.387	4.524	-4.8615	0	4	1036	1
2026-02-11	16:23:55.470	0.035	-0.14	-0.105	-0.008784	0.020984	1.009916	0.3855	4.5285	-4.866	0	4	1036	1
2026-02-11	16:23:55.490	0.035	-0.14	-0.105	-0.0061	0.022936	1.012356	0.3825	4.5315	-4.872	0	4	1036	1
2026-02-11	16:23:55.510	-0.035	-0.175	-0.07	-0.010736	0.023912	1.00772	0.3765	4.5285	-4.872	0	4	1036	1
2026-02-11	16:23:55.530	-0.07	-0.14	-0.035	-0.011468	0.022204	1.014064	0.3735	4.527	-4.86	0	4	1036	1
2026-02-11	16:23:55.550	-0.105	-0.14	-0.07	-0.00854	0.019764	1.01016	0.387	4.5405	-4.854	0	4	1036	1
2026-02-11	16:23:55.570	-0.14	-0.175	-0.105	-0.006588	0.0183	1.011624	0.396	4.554	-4.8615	0	4	1036	1
2026-02-11	16:23:55.590	-0.14	-0.14	-0.07	-0.0061	0.021472	1.011624	0.3795	4.551	-4.872	0	4	1036	1
2026-02-11	16:23:55.610	-0.105	-0.175	-0.105	-0.007808	0.022936	1.010892	0.369	4.542	-4.884	0	4	1035	1
2026-02-11	16:23:55.630	-0.105	-0.14	-0.105	-0.007808	0.02318	1.008696	0.375	4.536	-4.8855	0	4	1035	1
2026-02-11	16:23:55.650	-0.07	-0.175	-0.07	-0.006832	0.018544	1.010648	0.375	4.5495	-4.878	0	4	1035	1
2026-02-11	16:23:55.670	0	-0.175	-0.07	-0.007808	0.022204	1.01382	0.3645	4.5315	-4.8765	0	4	1035	1
2026-02-11	16:23:55.690	-0.07	-0.21	-0.105	-0.006588	0.020984	1.011136	0.369	4.5285	-4.884	0	4	1035	1
2026-02-11	16:23:55.710	-0.14	-0.175	-0.07	-0.007076	0.02196	1.00772	0.369	4.53	-4.872	0	4	1035	1
2026-02-11	16:23:55.730	-0.21	-0.14	-0.07	-0.006832	0.024156	1.012844	0.3705	4.5285	-4.8735	0	4	1035	1
2026-02-11	16:23:55.750	-0.245	-0.175	-0.07	-0.008784	0.02196	1.009672	0.378	4.527	-4.8765	0	4	1035	1
2026-02-11	16:23:55.770	-0.28	-0.175	-0.07	-0.00854	0.023424	1.012112	0.381	4.524	-4.872	0	4	1035	1
2026-02-11	16:23:55.790	-0.175	-0.175	-0.105	-0.007808	0.020008	1.00894	0.3855	4.53	-4.875	0	4	1035	1
2026-02-11	16:23:55.810	-0.035	-0.14	-0.07	-0.008784	0.020008	1.01016	0.3705	4.53	-4.878	0	5	1035	1
2026-02-11	16:23:55.830	-0.07	-0.21	-0.07	-0.009272	0.021716	1.010648	0.3765	4.533	-4.875	0	5	1035	1
2026-02-11	16:23:55.850	0	-0.14	-0.105	-0.00976	0.017568	1.009428	0.369	4.5345	-4.8645	0	5	1035	1
2026-02-11	16:23:55.870	0.07	-0.14	-0.07	-0.009028	0.020008	1.008452	0.378	4.5225	-4.869	0	5	1035	1
2026-02-11	16:23:55.890	0.14	-0.175	-0.07	-0.004636	0.023424	1.014064	0.375	4.53	-4.872	0	5	1035	1
2026-02-11	16:23:55.910	0.105	-0.14	-0.105	-0.006344	0.022692	1.01016	0.3705	4.53	-4.872	0	5	1035	1
2026-02-11	16:23:55.930	0.07	-0.14	-0.07	-0.00488	0.0244	1.012844	0.378	4.53	-4.869	0	5	1035	1
2026-02-11	16:23:55.950	-0.035	-0.14	-0.105	-0.010492	0.021228	1.01138	0.3705	4.527	-4.884	0	5	1035	1
2026-02-11	16:23:55.970	-0.07	-0.21	-0.07	-0.002684	0.023912	1.009184	0.369	4.533	-4.8765	0	5	1035	1
2026-02-11	16:23:55.990	-0.035	-0.21	-0.07	-0.006832	0.02074	1.009672	0.384	4.5285	-4.881	0	5	1035	1
2026-02-11	16:23:56.010	-0.07	-0.175	-0.07	-0.00366	0.023912	1.01138	0.378	4.53	-4.8765	0	5	1034	1
2026-02-11	16:23:56.030	-0.105	-0.175	-0.07	-0.00366	0.021716	1.01016	0.3795	4.53	-4.8735	0	5	1034	1
2026-02-11	16:23:56.050	-0.105	-0.175	-0.07	-0.00976	0.021716	1.010892	0.381	4.5255	-4.8705	0	5	1034	1
2026-02-11	16:23:56.070	-0.14	-0.14	-0.07	-0.00488	0.02196	1.0126	0.3765	4.5255	-4.872	0	5	1034	1
2026-02-11	16:23:56.090	-0.665	-0.105	-0.07	-0.014396	0.010004	1.069208	0.3795	4.527	-4.8765	0	5	1034	1
2026-02-11	16:23:56.110	0.14	-0.14	-0.07	0.00366	0.011224	0.986248	0.381	4.5255	-4.875	0	5	1034	1
2026-02-11	16:23:56.130	0.07	-0.245	-0.105	-0.00244	0.01952	1.006744	0.3855	4.527	-4.8705	0	5	1034	1
2026-02-11	16:23:56.150	0.175	-0.14	-0.07	-0.006344	0.02196	1.013576	0.384	4.53	-4.8675	0	5	1034	1
2026-02-11	16:23:56.170	0	-0.14	-0.07	-0.006832	0.020008	1.012356	0.375	4.5315	-4.8705	0	5	1034	1
2026-02-11	16:23:56.190	0	-0.175	-0.105	-0.006832	0.018056	1.01016	0.3705	4.5315	-4.875	0	5	1034	1
2026-02-11	16:23:56.210	0	-0.14	-0.07	-0.005368	0.022936	1.011868	0.375	4.533	-4.869	0	5	1034	1
2026-02-11	16:23:56.230	0.035	-0.14	-0.07	-0.003904	0.022204	1.014796	0.375	4.518	-4.8645	0	5	1034	1
2026-02-11	16:23:56.250	-0.035	-0.175	-0.105	-0.007808	0.02074	1.014064	0.381	4.5285	-4.866	0	5	1034	1
2026-02-11	16:23:56.270	-0.07	-0.14	-0.105	-0.006588	0.025132	1.012844	0.372	4.5315	-4.869	0	5	1034	1
2026-02-11	16:23:56.290	-0.035	-0.175	-0.07	-0.00732	0.020252	1.01016	0.3765	4.527	-4.878	0	5	1034	1
2026-02-11	16:23:56.310	-0.175	-0.14	-0.07	-0.008784	0.01952	1.009916	0.3735	4.533	-4.8795	0	5	1034	1
2026-02-11	16:23:56.330	-0.21	-0.14	-0.07	-0.007564	0.022692	1.016016	0.3645	4.533	-4.881	0	5	1034	1
2026-02-11	16:23:56.350	-0.14	-0.21	-0.07	-0.00732	0.021716	1.009672	0.3705	4.533	-4.8795	0	5	1034	1
2026-02-11	16:23:56.370	-0.035	-0.175	-0.105	-0.006588	0.02196	1.010892	0.3705	4.533	-4.8795	0	5	1034	1
2026-02-11	16:23:56.390	0	-0.175	-0.105	-0.005856	0.022936	1.01138	0.381	4.53	-4.8765	0	5	1034	1
2026-02-11	16:23:54.410	-0.105	-0.14	-0.07	-0.003904	0.02318	1.016504	0.3765	4.5285	-4.8795	0	3	1034	1
2026-02-11	16:23:54.430	-0.035	-0.175	-0.07	-0.004392	0.016592	1.01016	0.3765	4.527	-4.878	0	3	1034	1
2026-02-11	16:23:54.450	-0.035	-0.14	-0.07	-0.003416	0.023912	1.011868	0.3735	4.5285	-4.875	0	3	1034	1
2026-02-11	16:23:54.470	-0.07	-0.175	-0.07	-0.005856	0.021716	1.014308	0.375	4.527	-4.8765	0	3	1034	1
2026-02-11	16:23:54.490	-0.105	-0.14	-0.07	-0.006588	0.020984	1.008696	0.3765	4.5285	-4.875	0	3	1034	1
2026-02-11	16:23:54.510	-0.105	-0.14	-0.105	-0.007564	0.019276	1.011868	0.3795	4.53	-4.8735	0	3	1034	1
2026-02-11	16:23:54.530	-0.07	-0.105	-0.105	-0.005612	0.023912	1.013332	0.381	4.53	-4.8735	0	3	1034	1
2026-02-11	16:23:54.550	-0.07	-0.175	-0.07	-0.006344	0.023912	1.009428	0.3765	4.5285	-4.881	0	3	1034	1
2026-02-11	16:23:54.570	-0.14	-0.14	-0.07	-0.005368	0.022692	1.010648	0.3675	4.5285	-4.875	0	3	1034	1
2026-02-11	16:23:54.590	-0.14	-0.175	-0.07	-0.006832	0.023668	1.006988	0.3735	4.53	-4.878	0	3	1034	1
2026-02-11	16:23:54.610	-0.175	-0.105	-0.07	-0.00244	0.027572	0.992592	0.357	4.5315	-4.8825	0	3	1034	1
2026-02-11	16:23:54.630	-0.63	0.07	-0.035	-0.008296	0.01952	1.036024	0.3765	4.5345	-4.878	0	3	1034	1
2026-02-11	16:23:54.650	-0.21	-0.14	-0.07	-0.005368	0.018544	1.024068	0.378	4.5285	-4.869	0	3	1034	1
2026-02-11	16:23:54.670	0.175	-0.28	-0.105	-0.00854	0.018788	1.0065	0.378	4.5315	-4.875	0	3	1034	1
2026-02-11	16:23:54.690	0.035	-0.21	-0.07	-0.007076	0.021228	1.003816	0.378	4.5315	-4.869	0	3	1034	1
2026-02-11	16:23:54.710	-0.105	-0.175	-0.105	-0.006832	0.02684	1.005036	0.372	4.5225	-4.8765	0	3	1034	1
2026-02-11	16:23:54.730	-0.175	-0.105	-0.07	-0.00976	0.027328	1.008452	0.3735	4.524	-4.872	0	3	1034	1
2026-02-11	16:23:54.750	-0.28	-0.105	-0.07	-0.007808	0.018788	1.01626	0.375	4.527	-4.869	0	3	1034	1
2026-02-11	16:23:54.770	-0.175	-0.14	-0.07	-0.00488	0.018056	1.016504	0.3795	4.5255	-4.86	0	3	1034	1
2026-02-11	16:23:54.790	-0.07	-0.14	-0.07	-0.005368	0.021472	1.009184	0.3795	4.5225	-4.8735	0	3	1034	1
2026-02-11	16:23:54.810	-0.175	-0.07	-0.105	-0.006588	0.02928	1.00894	0.3855	4.5285	-4.872	0	3	1034	1
