yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-11	15:57:48.010	1.295	-0.525	0.28	0.054656	0.022692	1.012844	-0.0555	-0.2715	0.0915	0	8	1035	1
2026-02-11	15:57:48.030	1.225	-0.595	0.28	0.051728	0.022448	1.014552	-0.048	-0.267	0.093	0	8	1035	1
2026-02-11	15:57:48.050	1.295	-0.56	0.28	0.055632	0.020252	1.009184	-0.054	-0.2655	0.0915	0	8	1035	1
2026-02-11	15:57:48.070	1.26	-0.56	0.245	0.058804	0.021228	1.014064	-0.0555	-0.267	0.09	0	8	1035	1
2026-02-11	15:57:48.090	1.225	-0.56	0.245	0.05612	0.02196	1.01138	-0.048	-0.261	0.0945	0	8	1035	1
2026-02-11	15:57:48.110	1.225	-0.525	0.245	0.056852	0.022448	1.012844	-0.0555	-0.276	0.0885	0	8	1035	1
2026-02-11	15:57:48.130	1.26	-0.56	0.28	0.055632	0.022692	1.013088	-0.0555	-0.27	0.093	0	8	1035	1
2026-02-11	15:57:48.150	1.225	-0.56	0.28	0.054656	0.02196	1.010892	-0.0585	-0.27	0.0945	0	8	1035	1
2026-02-11	15:57:48.170	1.26	-0.56	0.245	0.060268	0.019764	1.012112	-0.0585	-0.27	0.0945	0	8	1035	1
2026-02-11	15:57:48.190	1.26	-0.56	0.245	0.059048	0.021472	1.013088	-0.0585	-0.27	0.0945	0	8	1035	1
2026-02-11	15:57:48.210	1.26	-0.56	0.28	0.059536	0.021716	1.011868	-0.0585	-0.27	0.0945	0	7	1035	1
2026-02-11	15:57:48.230	1.295	-0.56	0.245	0.05612	0.026108	1.012112	-0.0525	-0.267	0.096	0	7	1035	1
2026-02-11	15:57:48.250	1.26	-0.56	0.28	0.056608	0.022448	1.014552	-0.0585	-0.2685	0.0915	0	7	1035	1
2026-02-11	15:57:48.270	1.295	-0.595	0.28	0.058316	0.01952	1.009672	-0.054	-0.2715	0.099	0	7	1035	1
2026-02-11	15:57:48.290	1.295	-0.56	0.28	0.05612	0.021472	1.012844	-0.051	-0.267	0.0855	0	7	1035	1
2026-02-11	15:57:48.310	1.295	-0.56	0.245	0.056852	0.024156	1.013088	-0.051	-0.273	0.084	0	7	1035	1
2026-02-11	15:57:48.330	1.26	-0.525	0.28	0.054412	0.019276	1.012844	-0.0525	-0.261	0.093	0	7	1035	1
2026-02-11	15:57:48.350	1.295	-0.56	0.21	0.059048	0.02318	1.013576	-0.0525	-0.267	0.0975	0	7	1035	1
2026-02-11	15:57:48.370	1.26	-0.56	0.245	0.055388	0.02074	1.01382	-0.057	-0.258	0.0915	0	7	1035	1
2026-02-11	15:57:48.390	1.26	-0.56	0.245	0.053924	0.021472	1.010892	-0.057	-0.2565	0.0945	0	7	1035	1
2026-02-11	15:57:52.410	1.225	-0.56	0.28	0.05856	0.018788	1.011868	-0.0405	-0.2685	0.093	0	44	91	2
2026-02-11	15:57:52.430	1.26	-0.56	0.28	0.055388	0.020008	1.010892	-0.054	-0.2655	0.09	0	44	91	2
2026-02-11	15:57:52.450	1.26	-0.56	0.245	0.055876	0.020252	1.014064	-0.0585	-0.258	0.0885	0	44	91	2
2026-02-11	15:57:52.470	1.26	-0.56	0.28	0.059536	0.019276	1.01382	-0.0615	-0.2625	0.0885	0	44	91	2
2026-02-11	15:57:52.490	10.57	-9.24	4.76	0.058072	0.0183	1.008452	-0.054	-0.261	0.09	0	44	91	2
2026-02-11	15:57:52.510	2.205	-1.435	0.84	0.057828	0.021228	1.0126	-0.063	-0.2715	0.0855	0	44	91	2
2026-02-11	15:57:52.530	1.26	-0.56	0.28	0.053192	0.02562	1.010892	-0.0495	-0.261	0.084	0	44	91	2
2026-02-11	15:57:52.550	1.225	-0.56	0.28	0.054656	0.022936	1.01016	-0.063	-0.267	0.09	0	44	91	2
2026-02-11	15:57:52.570	1.26	-0.525	0.28	0.058804	0.019764	1.012356	-0.057	-0.267	0.0885	0	44	91	2
2026-02-11	15:57:52.590	1.26	-0.595	0.315	0.058804	0.022692	1.005036	-0.0615	-0.27	0.093	0	44	91	2
2026-02-11	15:57:52.610	1.26	-0.49	0.245	0.051728	0.02196	1.01138	-0.0585	-0.27	0.084	0	150	292	2
2026-02-11	15:57:52.630	1.26	-0.56	0.245	0.053436	0.02074	1.011136	-0.0585	-0.2745	0.093	0	150	292	2
2026-02-11	15:57:52.650	1.26	-0.595	0.28	0.05856	0.024156	1.007476	-0.0495	-0.276	0.093	0	150	292	2
2026-02-11	15:57:52.670	1.26	-0.56	0.21	0.058804	0.020984	1.013088	-0.042	-0.27	0.0945	0	150	292	2
2026-02-11	15:57:52.690	1.225	-0.595	0.28	0.055388	0.01952	1.011868	-0.051	-0.2715	0.0945	0	150	292	2
2026-02-11	15:57:52.710	1.295	-0.56	0.21	0.057096	0.02318	1.00772	-0.0555	-0.27	0.09	0	150	292	2
2026-02-11	15:57:52.730	1.225	-0.525	0.28	0.05612	0.022204	1.014308	-0.051	-0.27	0.09	0	150	292	2
2026-02-11	15:57:52.750	1.19	-0.56	0.245	0.054168	0.026108	1.011624	-0.057	-0.276	0.087	0	150	292	2
2026-02-11	15:57:52.770	1.225	-0.56	0.28	0.059048	0.023668	1.009428	-0.054	-0.2775	0.0915	0	150	292	2
2026-02-11	15:57:52.790	1.19	-0.525	0.245	0.058316	0.018788	1.01138	-0.0615	-0.2685	0.0975	0	150	292	2
2026-02-11	15:57:52.810	1.26	-0.56	0.245	0.057584	0.02196	1.00894	-0.0555	-0.2685	0.084	0	261	492	3
2026-02-11	15:57:52.830	1.225	-0.525	0.245	0.055144	0.017568	1.009428	-0.0525	-0.267	0.0855	0	261	492	3
2026-02-11	15:57:52.850	1.26	-0.525	0.28	0.054168	0.0244	1.01138	-0.048	-0.2745	0.0885	0	261	492	3
2026-02-11	15:57:52.870	1.26	-0.56	0.245	0.056852	0.021716	1.008452	-0.048	-0.2745	0.0885	0	261	492	3
2026-02-11	15:57:52.890	1.295	-0.525	0.245	0.057584	0.02562	1.010404	-0.0495	-0.2685	0.0885	0	261	492	3
2026-02-11	15:57:52.910	1.26	-0.56	0.245	0.061976	0.024156	1.012844	-0.0525	-0.2625	0.09	0	261	492	3
2026-02-11	15:57:52.930	1.26	-0.56	0.28	0.056364	0.019764	1.01138	-0.051	-0.2655	0.0915	0	261	492	3
2026-02-11	15:57:52.950	1.26	-0.525	0.28	0.057096	0.020008	1.013088	-0.0495	-0.2715	0.09	0	261	492	3
2026-02-11	15:57:52.970	1.26	-0.56	0.28	0.058072	0.023424	1.012112	-0.048	-0.273	0.09	0	261	492	3
2026-02-11	15:57:52.990	1.26	-0.56	0.245	0.05368	0.02196	1.010404	-0.0465	-0.27	0.093	0	261	492	3
2026-02-11	15:57:53.010	1.295	-0.56	0.28	0.060024	0.021716	1.011624	-0.0525	-0.2655	0.0915	0	339	638	1
2026-02-11	15:57:53.030	1.26	-0.56	0.315	0.056852	0.022204	1.010648	-0.057	-0.2625	0.084	0	339	638	1
2026-02-11	15:57:53.050	1.26	-0.56	0.28	0.054412	0.020252	1.011624	-0.0525	-0.2685	0.0825	0	339	638	1
2026-02-11	15:57:53.070	1.26	-0.56	0.28	0.060512	0.022692	1.011624	-0.0525	-0.2745	0.0855	0	339	638	1
2026-02-11	15:57:53.090	1.295	-0.56	0.28	0.057096	0.0244	1.01138	-0.0495	-0.2715	0.09	0	339	638	1
2026-02-11	15:57:53.110	1.225	-0.595	0.28	0.05978	0.022448	1.009672	-0.051	-0.2655	0.0915	0	339	638	1
2026-02-11	15:57:53.130	1.225	-0.56	0.28	0.057584	0.018788	1.012112	-0.057	-0.267	0.0915	0	339	638	1
2026-02-11	15:57:53.150	1.26	-0.525	0.28	0.058316	0.021472	1.011136	-0.054	-0.27	0.0975	0	339	638	1
2026-02-11	15:57:53.170	1.26	-0.595	0.28	0.053436	0.020984	1.007232	-0.051	-0.2685	0.0975	0	339	638	1
2026-02-11	15:57:53.190	1.225	-0.525	0.28	0.056364	0.021228	1.013576	-0.051	-0.2685	0.093	0	339	638	1
2026-02-11	15:57:53.210	1.19	-0.56	0.245	0.05856	0.01952	1.010892	-0.0525	-0.2655	0.087	0	381	745	1
2026-02-11	15:57:53.230	1.295	-0.525	0.28	0.054168	0.021716	1.010648	-0.054	-0.2655	0.0855	0	381	745	1
2026-02-11	15:57:53.250	1.26	-0.49	0.245	0.057828	0.02074	1.014308	-0.0525	-0.267	0.093	0	381	745	1
2026-02-11	15:57:53.270	1.225	-0.56	0.245	0.055876	0.022692	1.010404	-0.054	-0.2685	0.096	0	381	745	1
2026-02-11	15:57:53.290	1.26	-0.525	0.28	0.055876	0.023912	1.012844	-0.054	-0.2715	0.0945	0	381	745	1
2026-02-11	15:57:53.310	1.26	-0.595	0.245	0.05734	0.019764	1.010648	-0.0525	-0.2685	0.0915	0	381	745	1
2026-02-11	15:57:53.330	1.225	-0.525	0.245	0.055632	0.02074	1.008696	-0.054	-0.2655	0.0885	0	381	745	1
2026-02-11	15:57:53.350	1.225	-0.525	0.245	0.056608	0.0244	1.013332	-0.054	-0.267	0.0885	0	381	745	1
2026-02-11	15:57:53.370	1.26	-0.595	0.28	0.055144	0.018788	1.011136	-0.0555	-0.2685	0.0915	0	381	745	1
2026-02-11	15:57:53.390	1.225	-0.56	0.245	0.05612	0.020496	1.010892	-0.0555	-0.27	0.09	0	381	745	1
2026-02-11	15:57:53.410	1.225	-0.525	0.245	0.053192	0.022448	1.012356	-0.0555	-0.2715	0.09	0	392	823	1
2026-02-11	15:57:53.430	1.225	-0.56	0.28	0.056364	0.022448	1.013088	-0.051	-0.2715	0.09	0	392	823	1
