yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-11	15:57:48.010	-201.46	11.97	78.19	0.97356	0.248636	0.05002	0.0885	0.5955	0.1905	0	183	185	3
2026-02-11	15:57:48.030	-205.03	3.395	84.84	0.976244	0.180804	0.066612	0.087	0.594	0.183	0	183	185	3
2026-02-11	15:57:48.050	-187.95	-1.925	87.185	1.010892	0.202764	0.099796	0.081	0.5955	0.183	0	183	185	3
2026-02-11	15:57:48.070	-171.29	-5.53	87.78	1.024068	0.191296	0.110776	0.081	0.6015	0.183	0	183	185	3
2026-02-11	15:57:48.090	-155.365	-8.54	87.115	1.02724	0.18666	0.107604	0.087	0.6165	0.1815	0	183	185	3
2026-02-11	15:57:48.110	-137.795	-11.97	85.785	1.050908	0.176412	0.100284	0.084	0.6225	0.183	0	183	185	3
2026-02-11	15:57:48.130	-118.405	-15.295	84.42	1.07482	0.172996	0.101504	0.0855	0.6225	0.183	0	183	185	3
2026-02-11	15:57:48.150	-98.105	-18.34	82.775	1.106052	0.187636	0.101992	0.0825	0.6375	0.186	0	183	185	3
2026-02-11	15:57:48.170	-82.145	-21.315	81.06	1.137528	0.196176	0.10858	0.084	0.645	0.192	0	183	185	3
2026-02-11	15:57:48.190	-71.47	-23.345	78.995	1.151192	0.203984	0.125172	0.093	0.654	0.1935	0	183	185	3
2026-02-11	15:57:48.210	-65.94	-23.905	75.915	1.14802	0.2074	0.15616	0.096	0.6615	0.198	0	187	191	3
2026-02-11	15:57:48.230	-63.315	-22.19	71.855	1.109224	0.211548	0.176412	0.096	0.6615	0.204	0	187	191	3
2026-02-11	15:57:48.250	-64.68	-18.305	63.7	1.051152	0.23546	0.204228	0.096	0.6615	0.204	0	187	191	3
2026-02-11	15:57:48.270	-72.975	-15.295	57.4	1.068964	0.256444	0.241316	0.096	0.672	0.21	0	187	191	3
2026-02-11	15:57:48.290	-87.955	-9.345	50.435	1.062376	0.253028	0.264984	0.1035	0.687	0.2145	0	187	191	3
2026-02-11	15:57:48.310	-98.91	-1.505	42.245	1.020164	0.225212	0.24156	0.111	0.693	0.219	0	187	191	3
2026-02-11	15:57:48.330	-100.31	5.075	32.865	0.978928	0.193492	0.195444	0.108	0.693	0.2235	0	187	191	3
2026-02-11	15:57:48.350	-93.275	10.465	23.59	0.973316	0.177632	0.185928	0.1035	0.69	0.222	0	187	191	3
2026-02-11	15:57:48.370	-87.395	15.505	14.315	1.018212	0.16836	0.203008	0.105	0.69	0.222	0	187	191	3
2026-02-11	15:57:48.390	-84.875	22.54	5.215	1.042368	0.115412	0.221796	0.1095	0.6825	0.222	0	187	191	3
2026-02-11	15:57:48.410	-67.83	31.01	-4.865	0.973804	0.078568	0.209108	0.114	0.675	0.2205	0	188	190	3
2026-02-11	15:57:48.430	-44.24	37.695	-16.275	0.932812	0.065392	0.192516	0.1155	0.6765	0.219	0	188	190	3
2026-02-11	15:57:48.450	-21.665	45.535	-30.52	0.953552	0.032696	0.236192	0.1095	0.672	0.222	0	188	190	3
2026-02-11	15:57:48.470	-4.69	55.79	-46.305	0.960384	0.060024	0.290116	0.108	0.6705	0.216	0	188	190	3
2026-02-11	15:57:48.490	-14.385	65.73	-62.79	1.056032	0.02684	0.43432	0.102	0.663	0.204	0	188	190	3
2026-02-11	15:57:48.510	-40.985	81.305	-75.46	1.131428	-0.077348	0.47092	0.0975	0.657	0.192	0	188	190	3
2026-02-11	15:57:48.530	-49.7	94.955	-84.735	1.18218	-0.13176	0.444568	0.0945	0.651	0.1875	0	188	190	3
2026-02-11	15:57:48.550	-47.88	105.42	-90.37	1.185596	-0.162016	0.41114	0.0885	0.633	0.18	0	188	190	3
2026-02-11	15:57:48.570	-42.49	111.615	-93.45	1.167296	-0.156648	0.365268	0.0855	0.609	0.1665	0	188	190	3
2026-02-11	15:57:48.590	-38.325	115.43	-94.36	1.130208	-0.13786	0.318664	0.084	0.594	0.1485	0	188	190	3
2026-02-11	15:57:48.610	-44.345	115.605	-93.765	1.089216	-0.106384	0.274256	0.087	0.582	0.129	0	189	200	3
2026-02-11	15:57:48.630	-48.72	114.485	-91.84	1.022116	-0.146156	0.277428	0.0885	0.5715	0.111	0	189	200	3
2026-02-11	15:57:48.650	-48.09	110.985	-84.175	0.974292	-0.156648	0.257664	0.0855	0.5685	0.1005	0	189	200	3
2026-02-11	15:57:48.670	-44.485	98.77	-72.905	0.894992	-0.152012	0.220088	0.081	0.5625	0.09	0	189	200	3
2026-02-11	15:57:48.690	-33.67	87.465	-63.42	0.839848	-0.139568	0.209352	0.0855	0.5505	0.075	0	189	200	3
2026-02-11	15:57:48.710	-14.77	74.27	-54.25	0.807152	-0.112972	0.217404	0.0915	0.534	0.0495	0	189	200	3
2026-02-11	15:57:48.730	3.605	60.2	-47.11	0.76494	-0.083936	0.233508	0.096	0.525	0.036	0	189	200	3
2026-02-11	15:57:48.750	21.455	48.23	-39.41	0.727608	-0.046848	0.23424	0.099	0.516	0.03	0	189	200	3
2026-02-11	15:57:48.770	37.065	37.135	-31.605	0.704672	0.004392	0.218136	0.105	0.5115	0.0255	0	189	200	3
2026-02-11	15:57:48.790	47.565	25.13	-24.465	0.690032	0.043676	0.213744	0.1065	0.507	0.021	0	189	200	3
2026-02-11	15:57:46.810	-241.85	32.69	16.66	1.158024	0.213744	0.125416	0.1425	0.7875	-0.0555	0	198	265	3
2026-02-11	15:57:46.830	-243.46	33.53	30.73	1.180472	0.223504	0.120536	0.147	0.8025	-0.045	0	198	265	3
2026-02-11	15:57:46.850	-240.135	35.315	43.96	1.184864	0.230336	0.113216	0.147	0.819	-0.0345	0	198	265	3
2026-02-11	15:57:46.870	-232.365	37.73	55.615	1.186328	0.22814	0.100284	0.1515	0.831	-0.021	0	198	265	3
2026-02-11	15:57:46.890	-218.47	40.775	64.295	1.177788	0.24522	0.103944	0.159	0.8415	-0.0075	0	198	265	3
2026-02-11	15:57:46.910	-203.875	45.22	69.72	1.154608	0.234728	0.106872	0.1665	0.8535	0.0045	0	198	265	3
2026-02-11	15:57:46.930	-185.465	50.085	71.82	1.135088	0.221796	0.100528	0.171	0.861	0.009	0	198	265	3
2026-02-11	15:57:46.950	-153.3	56.14	69.825	1.1041	0.200812	0.092232	0.183	0.8835	0.0315	0	198	265	3
2026-02-11	15:57:46.970	-113.68	62.055	64.12	1.106052	0.189344	0.09272	0.183	0.8835	0.0315	0	198	265	3
2026-02-11	15:57:46.990	-81.27	67.165	57.015	1.086044	0.198616	0.10004	0.1905	0.894	0.0375	0	198	265	3
2026-02-11	15:57:47.010	-51.275	72.52	47.215	1.06384	0.2135	0.104432	0.201	0.909	0.0465	0	192	243	3
2026-02-11	15:57:47.030	-25.305	78.015	34.965	1.081896	0.224968	0.097356	0.2115	0.9195	0.0435	0	192	243	3
2026-02-11	15:57:47.050	-2.625	83.825	21.07	1.092388	0.241804	0.083936	0.216	0.9225	0.0405	0	192	243	3
2026-02-11	15:57:47.070	12.88	87.85	6.23	1.164368	0.220576	0.067832	0.213	0.9225	0.036	0	192	243	3
2026-02-11	15:57:47.090	30.87	91.49	-9.94	1.199504	0.215208	0.04514	0.2115	0.918	0.0195	0	192	243	3
2026-02-11	15:57:47.110	49.105	92.575	-27.65	1.26392	0.215208	-0.000976	0.2175	0.915	0.006	0	192	243	3
2026-02-11	15:57:47.130	68.215	90.125	-46.935	1.33468	0.20984	-0.048068	0.219	0.918	-0.0045	0	192	243	3
2026-02-11	15:57:47.150	92.19	84.49	-69.09	1.286612	0.19886	-0.07198	0.216	0.918	-0.015	0	192	243	3
2026-02-11	15:57:47.170	116.305	72.59	-100.555	1.100196	0.202032	-0.042212	0.2115	0.9075	-0.03	0	192	243	3
2026-02-11	15:57:47.190	108.92	57.26	-129.815	0.93574	0.221064	0.054168	0.2055	0.8925	-0.051	0	192	243	3
2026-02-11	15:57:47.210	75.775	44.17	-150.57	0.867664	0.219356	0.155672	0.198	0.8655	-0.078	0	187	206	3
2026-02-11	15:57:47.230	36.995	33.88	-169.54	0.915244	0.185928	0.232532	0.1875	0.8385	-0.0885	0	187	206	3
2026-02-11	15:57:47.250	-4.515	31.57	-185.605	1.016504	0.181536	0.301828	0.171	0.8175	-0.0975	0	187	206	3
2026-02-11	15:57:47.270	-48.895	33.04	-195.58	1.118496	0.137372	0.259372	0.1515	0.8025	-0.102	0	187	206	3
2026-02-11	15:57:47.290	-78.085	32.97	-200.27	1.2139	0.099308	0.189832	0.1425	0.777	-0.105	0	187	206	3
2026-02-11	15:57:47.310	-90.23	31.185	-199.85	1.244888	0.088572	0.110288	0.1395	0.753	-0.1035	0	187	206	3
2026-02-11	15:57:47.330	-92.155	24.325	-196.91	1.256844	0.118828	0.075396	0.135	0.7335	-0.105	0	187	206	3
2026-02-11	15:57:47.350	-100.555	13.72	-190.855	1.260992	0.115412	0.081252	0.1275	0.7155	-0.1095	0	187	206	3
2026-02-11	15:57:47.370	-111.895	2.835	-181.895	1.242692	0.074664	0.089304	0.123	0.708	-0.1095	0	187	206	3
2026-02-11	15:57:47.390	-113.295	-13.44	-165.235	1.1285	0.001464	0.124684	0.12	0.69	-0.1005	0	187	206	3
2026-02-11	15:57:47.410	-100.975	-24.92	-154.175	1.025776	-0.035136	0.170556	0.12	0.669	-0.1005	0	183	176	3
2026-02-11	15:57:47.430	-82.53	-34.685	-143.745	0.91744	-0.033184	0.208132	0.1155	0.648	-0.099	0	183	176	3
2026-02-11	15:57:47.450	-60.97	-44.31	-134.61	0.811788	-0.015128	0.2074	0.1125	0.633	-0.0945	0	183	176	3
2026-02-11	15:57:47.470	-40.46	-53.095	-125.72	0.7503	0.03172	0.182024	0.111	0.615	-0.087	0	183	176	3
2026-02-11	15:57:47.490	-25.83	-64.33	-118.37	0.748836	0.090524	0.156648	0.108	0.603	-0.081	0	183	176	3
2026-02-11	15:57:47.510	-27.16	-78.155	-113.61	0.790804	0.127856	0.182268	0.1065	0.591	-0.0705	0	183	176	3
2026-02-11	15:57:47.530	-41.58	-89.53	-110.915	0.811544	0.128344	0.23302	0.0975	0.5805	-0.0615	0	183	176	3
2026-02-11	15:57:47.550	-53.725	-96.355	-110.775	0.843996	0.088328	0.23058	0.093	0.5625	-0.0525	0	183	176	3
2026-02-11	15:57:47.570	-55.825	-98.665	-106.505	0.884012	0.09638	0.210084	0.0945	0.549	-0.042	0	183	176	3
2026-02-11	15:57:47.590	-55.755	-100.625	-97.685	0.93086	0.139568	0.171776	0.0945	0.5445	-0.039	0	183	176	3
2026-02-11	15:57:47.610	-59.22	-105.525	-76.23	1.015772	0.188368	0.139568	0.0945	0.5445	-0.039	0	182	163	2
2026-02-11	15:57:47.630	-54.635	-109.48	-58.94	1.043832	0.17934	0.147376	0.093	0.5295	-0.0195	0	182	163	2
2026-02-11	15:57:47.650	-42.665	-112.735	-40.845	1.044808	0.176168	0.16592	0.093	0.513	0.0075	0	182	163	2
2026-02-11	15:57:47.670	-28.28	-115.92	-20.86	1.062864	0.189832	0.17202	0.093	0.5085	0.0255	0	182	163	2
2026-02-11	15:57:47.690	-5.985	-118.055	-0.84	1.098732	0.226676	0.204472	0.0915	0.501	0.0435	0	182	163	2
2026-02-11	15:57:47.710	16.87	-117.18	17.955	1.092876	0.283284	0.239852	0.0945	0.4995	0.0585	0	182	163	2
2026-02-11	15:57:47.730	27.755	-116.83	34.265	1.085068	0.29768	0.26962	0.093	0.504	0.0705	0	182	163	2
2026-02-11	15:57:47.750	30.415	-114.485	48.475	1.041636	0.350384	0.285724	0.0855	0.507	0.0885	0	182	163	2
2026-02-11	15:57:47.770	20.93	-111.545	58.52	0.994788	0.353312	0.312076	0.084	0.513	0.111	0	182	163	2
2026-02-11	15:57:47.790	4.235	-105.455	63.49	0.925736	0.42212	0.340136	0.087	0.516	0.1215	0	182	163	2
2026-02-11	15:57:47.810	-30.135	-94.605	66.115	0.89426	0.346236	0.321104	0.081	0.531	0.1275	0	182	167	3
2026-02-11	15:57:47.830	-5.11	-84.7	57.26	0.9211	0.264008	0.220088	0.0855	0.543	0.144	0	182	167	3
2026-02-11	15:57:47.850	68.32	-73.955	46.375	0.975024	0.445544	0.332816	0.084	0.558	0.1605	0	182	167	3
2026-02-11	15:57:47.870	114.1	-54.67	32.2	1.067988	0.816668	0.445788	0.0825	0.5595	0.174	0	182	167	3
2026-02-11	15:57:47.890	70.56	-35.49	21.035	1.065304	0.691008	0.324764	0.093	0.567	0.1905	0	182	167	3
2026-02-11	15:57:47.910	69.125	-17.36	17.57	1.08946	0.539484	0.2989	0.0945	0.5775	0.195	0	182	167	3
2026-02-11	15:57:47.930	37.275	-1.995	24.255	1.092632	0.762012	0.274744	0.09	0.5805	0.198	0	182	167	3
2026-02-11	15:57:47.950	-65.695	8.435	36.61	1.06018	0.50264	0.196908	0.087	0.588	0.2025	0	182	167	3
2026-02-11	15:57:47.970	-131.285	14.84	51.625	1.016504	0.38552	0.131028	0.0855	0.591	0.198	0	182	167	3
2026-02-11	15:57:47.990	-169.785	16.73	65.45	0.9882	0.311588	0.084424	0.087	0.5925	0.192	0	182	167	3
2026-02-11	15:57:48.010	-201.46	11.97	78.19	0.97356	0.248636	0.05002	0.0885	0.5955	0.1905	0	183	185	3
2026-02-11	15:57:48.030	-205.03	3.395	84.84	0.976244	0.180804	0.066612	0.087	0.594	0.183	0	183	185	3
2026-02-11	15:57:48.050	-187.95	-1.925	87.185	1.010892	0.202764	0.099796	0.081	0.5955	0.183	0	183	185	3
2026-02-11	15:57:48.070	-171.29	-5.53	87.78	1.024068	0.191296	0.110776	0.081	0.6015	0.183	0	183	185	3
2026-02-11	15:57:48.090	-155.365	-8.54	87.115	1.02724	0.18666	0.107604	0.087	0.6165	0.1815	0	183	185	3
2026-02-11	15:57:48.110	-137.795	-11.97	85.785	1.050908	0.176412	0.100284	0.084	0.6225	0.183	0	183	185	3
2026-02-11	15:57:48.130	-118.405	-15.295	84.42	1.07482	0.172996	0.101504	0.0855	0.6225	0.183	0	183	185	3
2026-02-11	15:57:48.150	-98.105	-18.34	82.775	1.106052	0.187636	0.101992	0.0825	0.6375	0.186	0	183	185	3
2026-02-11	15:57:48.170	-82.145	-21.315	81.06	1.137528	0.196176	0.10858	0.084	0.645	0.192	0	183	185	3
2026-02-11	15:57:48.190	-71.47	-23.345	78.995	1.151192	0.203984	0.125172	0.093	0.654	0.1935	0	183	185	3
2026-02-11	15:57:48.210	-65.94	-23.905	75.915	1.14802	0.2074	0.15616	0.096	0.6615	0.198	0	187	191	3
2026-02-11	15:57:48.230	-63.315	-22.19	71.855	1.109224	0.211548	0.176412	0.096	0.6615	0.204	0	187	191	3
2026-02-11	15:57:48.250	-64.68	-18.305	63.7	1.051152	0.23546	0.204228	0.096	0.6615	0.204	0	187	191	3
2026-02-11	15:57:48.270	-72.975	-15.295	57.4	1.068964	0.256444	0.241316	0.096	0.672	0.21	0	187	191	3
2026-02-11	15:57:48.290	-87.955	-9.345	50.435	1.062376	0.253028	0.264984	0.1035	0.687	0.2145	0	187	191	3
2026-02-11	15:57:48.310	-98.91	-1.505	42.245	1.020164	0.225212	0.24156	0.111	0.693	0.219	0	187	191	3
2026-02-11	15:57:48.330	-100.31	5.075	32.865	0.978928	0.193492	0.195444	0.108	0.693	0.2235	0	187	191	3
2026-02-11	15:57:48.350	-93.275	10.465	23.59	0.973316	0.177632	0.185928	0.1035	0.69	0.222	0	187	191	3
2026-02-11	15:57:48.370	-87.395	15.505	14.315	1.018212	0.16836	0.203008	0.105	0.69	0.222	0	187	191	3
2026-02-11	15:57:48.390	-84.875	22.54	5.215	1.042368	0.115412	0.221796	0.1095	0.6825	0.222	0	187	191	3
2026-02-11	15:57:48.410	-67.83	31.01	-4.865	0.973804	0.078568	0.209108	0.114	0.675	0.2205	0	188	190	3
2026-02-11	15:57:48.430	-44.24	37.695	-16.275	0.932812	0.065392	0.192516	0.1155	0.6765	0.219	0	188	190	3
2026-02-11	15:57:48.450	-21.665	45.535	-30.52	0.953552	0.032696	0.236192	0.1095	0.672	0.222	0	188	190	3
2026-02-11	15:57:48.470	-4.69	55.79	-46.305	0.960384	0.060024	0.290116	0.108	0.6705	0.216	0	188	190	3
2026-02-11	15:57:48.490	-14.385	65.73	-62.79	1.056032	0.02684	0.43432	0.102	0.663	0.204	0	188	190	3
2026-02-11	15:57:48.510	-40.985	81.305	-75.46	1.131428	-0.077348	0.47092	0.0975	0.657	0.192	0	188	190	3
2026-02-11	15:57:48.530	-49.7	94.955	-84.735	1.18218	-0.13176	0.444568	0.0945	0.651	0.1875	0	188	190	3
