yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-11	15:57:48.010	-0.14	0.14	-0.455	0.015128	-0.01098	1.003572	0.6165	0.0375	0.0075	0	10	1031	1
2026-02-11	15:57:48.030	-0.105	0.14	-0.455	0.011712	-0.009028	1.009672	0.6165	0.0375	0.0075	0	10	1031	1
2026-02-11	15:57:48.050	-0.105	0.105	-0.42	0.011468	-0.010004	1.007476	0.6135	0.0405	0.0075	0	10	1031	1
2026-02-11	15:57:48.070	-0.105	0.14	-0.42	0.011712	-0.009028	1.01016	0.615	0.048	0.006	0	10	1031	1
2026-02-11	15:57:48.090	-0.105	0.105	-0.49	0.00854	-0.00854	1.00772	0.615	0.045	0.006	0	10	1031	1
2026-02-11	15:57:48.110	-0.14	0.105	-0.42	0.01098	-0.0122	1.009672	0.6105	0.045	0.006	0	10	1031	1
2026-02-11	15:57:48.130	-0.105	0.105	-0.455	0.008296	-0.00854	1.006012	0.612	0.042	0.0075	0	10	1031	1
2026-02-11	15:57:48.150	-0.105	0.14	-0.455	0.00854	-0.010004	1.007476	0.6165	0.042	0.0075	0	10	1031	1
2026-02-11	15:57:48.170	-0.105	0.14	-0.455	0.00854	-0.011712	1.008696	0.618	0.045	0.0075	0	10	1031	1
2026-02-11	15:57:48.190	-0.105	0.14	-0.455	0.011224	-0.011224	1.007232	0.618	0.0405	0.0045	0	10	1031	1
2026-02-11	15:57:48.210	-0.14	0.14	-0.455	0.009272	-0.007564	1.00894	0.615	0.0405	0.0045	0	9	1031	1
2026-02-11	15:57:48.230	-0.14	0.14	-0.455	0.011468	-0.013176	1.006744	0.6105	0.0375	0.009	0	9	1031	1
2026-02-11	15:57:48.250	-0.14	0.105	-0.455	0.011468	-0.008296	1.012356	0.612	0.036	0.006	0	9	1031	1
2026-02-11	15:57:48.270	-0.105	0.14	-0.42	0.01098	-0.011956	1.00772	0.612	0.0405	0.009	0	9	1031	1
2026-02-11	15:57:48.290	-0.105	0.105	-0.455	0.0122	-0.0122	1.006988	0.6135	0.045	0.0135	0	9	1031	1
