yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-11	15:57:48.010	-0.105	-0.105	-0.105	-0.001952	0.008784	1.018456	0.3285	0.156	-0.483	0	9	1036	1
2026-02-11	15:57:48.030	-0.035	-0.105	-0.105	-0.001708	0.007808	1.0126	0.33	0.1575	-0.4845	0	9	1036	1
2026-02-11	15:57:48.050	-0.07	-0.105	-0.07	-0.00244	0.008296	1.009916	0.3345	0.1575	-0.4815	0	9	1036	1
2026-02-11	15:57:48.070	-0.035	-0.105	-0.07	-0.0061	0.010248	1.012844	0.336	0.156	-0.4815	0	9	1036	1
2026-02-11	15:57:48.090	-0.035	-0.105	-0.07	-0.00366	0.00732	1.01138	0.333	0.156	-0.483	0	9	1036	1
2026-02-11	15:57:48.110	-0.07	-0.07	-0.105	-0.004636	0.007076	1.010648	0.333	0.159	-0.4815	0	9	1036	1
2026-02-11	15:57:48.130	-0.035	-0.105	-0.07	-0.005124	0.008052	1.013576	0.3315	0.1635	-0.48	0	9	1036	1
2026-02-11	15:57:48.150	-0.035	-0.105	-0.07	-0.004148	0.00732	1.011868	0.3285	0.1665	-0.48	0	9	1036	1
2026-02-11	15:57:48.170	-0.035	-0.105	-0.105	-0.006344	0.00976	1.01626	0.3285	0.1665	-0.48	0	9	1036	1
2026-02-11	15:57:48.190	-0.07	-0.105	-0.105	-0.003904	0.011224	1.011868	0.3315	0.159	-0.4815	0	9	1036	1
2026-02-11	15:57:48.210	-0.07	-0.14	-0.07	-0.003904	0.009516	1.013332	0.3405	0.1545	-0.483	0	8	1036	1
2026-02-11	15:57:48.230	-0.035	-0.07	-0.07	-0.00122	0.010736	1.011624	0.3375	0.1575	-0.4815	0	8	1036	1
2026-02-11	15:57:48.250	-0.07	-0.14	-0.07	-0.004392	0.006588	1.015284	0.339	0.156	-0.483	0	8	1036	1
2026-02-11	15:57:48.270	-0.035	-0.105	-0.07	-0.00122	0.007076	1.012356	0.3345	0.1605	-0.483	0	8	1036	1
2026-02-11	15:57:48.290	0	-0.07	-0.105	-0.000976	0.007808	1.013332	0.333	0.1605	-0.483	0	8	1036	1
2026-02-11	15:57:48.310	-0.035	-0.105	-0.07	-0.002684	0.005856	1.012356	0.3375	0.159	-0.4875	0	8	1036	1
2026-02-11	15:57:48.330	-0.035	-0.105	-0.07	-0.00366	0.007564	1.01138	0.342	0.1575	-0.4905	0	8	1036	1
2026-02-11	15:57:48.350	-0.035	-0.105	-0.07	-0.000488	0.009028	1.012356	0.342	0.1575	-0.4905	0	8	1036	1
2026-02-11	15:57:48.370	-0.035	-0.14	-0.07	-0.00488	0.00854	1.011624	0.3345	0.1605	-0.486	0	8	1036	1
2026-02-11	15:57:48.390	-0.07	-0.07	-0.07	-0.004148	0.00854	1.010404	0.3345	0.1605	-0.489	0	8	1036	1
2026-02-11	15:57:48.410	-0.035	-0.105	-0.07	-0.00366	0.006832	1.013332	0.33	0.159	-0.4905	0	8	1036	1
2026-02-11	15:57:48.430	-0.07	-0.07	-0.07	-0.003416	0.008296	1.012844	0.3285	0.156	-0.4815	0	8	1036	1
2026-02-11	15:57:48.450	-0.035	-0.07	-0.07	-0.004636	0.011468	1.014064	0.336	0.1545	-0.4725	0	8	1036	1
2026-02-11	15:57:48.470	-0.035	-0.105	-0.07	-0.00488	0.006832	1.016992	0.327	0.153	-0.4875	0	8	1036	1
2026-02-11	15:57:48.490	-0.07	-0.105	-0.07	-0.004636	0.00976	1.016748	0.3405	0.1545	-0.4815	0	8	1036	1
2026-02-11	15:57:48.510	-0.035	-0.105	-0.07	-0.002196	0.00732	1.011868	0.3315	0.1575	-0.48	0	8	1036	1
2026-02-11	15:57:48.530	-0.035	-0.07	-0.105	-0.002928	0.006832	1.016748	0.3285	0.1545	-0.48	0	8	1036	1
2026-02-11	15:57:48.550	-0.07	-0.105	-0.07	-0.001952	0.010004	1.009428	0.3285	0.159	-0.483	0	8	1036	1
2026-02-11	15:57:48.570	-0.07	-0.105	-0.105	-0.00366	0.0061	1.015528	0.3315	0.1605	-0.4845	0	8	1036	1
2026-02-11	15:57:48.590	-0.07	-0.105	-0.105	-0.000732	0.00854	1.012356	0.336	0.1605	-0.4845	0	8	1036	1
2026-02-11	15:57:48.610	-0.07	-0.105	-0.105	-0.005124	0.009028	1.013576	0.3375	0.165	-0.4845	0	7	1036	1
2026-02-11	15:57:48.630	-0.035	-0.14	-0.07	0.001464	0.006344	1.014064	0.3375	0.159	-0.4845	0	7	1036	1
2026-02-11	15:57:48.650	-0.035	-0.105	-0.07	-0.001708	0.009028	1.00772	0.333	0.153	-0.4845	0	7	1036	1
2026-02-11	15:57:48.670	-0.07	-0.14	-0.105	-0.001708	0.008296	1.01504	0.3285	0.1575	-0.477	0	7	1036	1
2026-02-11	15:57:48.690	-0.035	-0.105	-0.07	0	0.007808	1.008208	0.33	0.1635	-0.477	0	7	1036	1
2026-02-11	15:57:48.710	-0.07	-0.105	-0.07	-0.00366	0.009028	1.0126	0.3285	0.162	-0.486	0	7	1036	1
2026-02-11	15:57:48.730	-0.07	-0.105	-0.07	-0.003172	0.008784	1.015772	0.333	0.165	-0.4875	0	7	1036	1
2026-02-11	15:57:48.750	-0.035	-0.105	-0.105	-0.001464	0.005124	1.015772	0.3375	0.1605	-0.4845	0	7	1036	1
2026-02-11	15:57:48.770	-0.035	-0.105	-0.07	-0.001952	0.00488	1.009184	0.3345	0.1545	-0.4905	0	7	1036	1
2026-02-11	15:57:48.790	-0.035	-0.14	-0.105	-0.003416	0.008052	1.012844	0.339	0.1515	-0.4905	0	7	1036	1
2026-02-11	15:57:48.810	0	-0.105	-0.105	-0.00488	0.010248	1.0126	0.33	0.156	-0.4755	0	6	1036	1
2026-02-11	15:57:48.830	-0.035	-0.105	-0.07	-0.00488	0.005856	1.012844	0.327	0.1575	-0.4815	0	6	1036	1
2026-02-11	15:57:48.850	-0.07	-0.105	-0.07	-0.000732	0.006344	1.011624	0.333	0.1605	-0.48	0	6	1036	1
2026-02-11	15:57:48.870	-0.035	-0.105	-0.105	-0.002928	0.00854	1.014796	0.3285	0.1635	-0.483	0	6	1036	1
2026-02-11	15:57:48.890	-0.07	-0.07	-0.07	-0.0061	0.009272	1.009916	0.3285	0.1635	-0.483	0	6	1036	1
2026-02-11	15:57:48.910	-0.07	-0.105	-0.07	-0.005368	0.006832	1.01138	0.3315	0.1605	-0.4815	0	6	1036	1
2026-02-11	15:57:48.930	-0.035	-0.105	-0.07	-0.003416	0.010004	1.01382	0.33	0.1545	-0.48	0	6	1036	1
2026-02-11	15:57:48.950	-0.035	-0.105	-0.105	-0.00244	0.005856	1.013332	0.3255	0.1515	-0.48	0	6	1036	1
2026-02-11	15:57:48.970	-0.035	-0.105	-0.105	-0.001708	0.009028	1.01016	0.3345	0.1575	-0.4815	0	6	1036	1
2026-02-11	15:57:48.990	-0.035	-0.105	-0.07	-0.003172	0.006832	1.014552	0.3375	0.156	-0.477	0	6	1036	1
2026-02-11	15:57:47.010	-0.07	-0.105	-0.07	-0.00366	0.008784	1.016748	0.3285	0.1545	-0.4815	0	18	1035	1
2026-02-11	15:57:47.030	-0.035	-0.105	-0.07	-0.00122	0.00976	1.009184	0.336	0.1575	-0.486	0	18	1035	1
2026-02-11	15:57:47.050	-0.035	-0.07	-0.105	-0.0061	0.00732	1.01382	0.33	0.159	-0.48	0	18	1035	1
2026-02-11	15:57:47.070	-0.035	-0.105	-0.105	0	0.006588	1.014552	0.3345	0.162	-0.483	0	18	1035	1
2026-02-11	15:57:47.090	-0.035	-0.14	-0.105	-0.00366	0.009028	1.010404	0.336	0.1635	-0.4845	0	18	1035	1
2026-02-11	15:57:47.110	-0.07	-0.175	-0.07	-0.001708	0.005124	1.011136	0.33	0.162	-0.4845	0	18	1035	1
2026-02-11	15:57:47.130	-0.07	-0.105	-0.07	-0.00244	0.005612	1.0126	0.33	0.1605	-0.483	0	18	1035	1
2026-02-11	15:57:47.150	-0.07	-0.105	-0.07	-0.00244	0.013176	1.014308	0.3345	0.1605	-0.483	0	18	1035	1
2026-02-11	15:57:47.170	-0.035	-0.07	-0.07	-0.003904	0.00732	1.009916	0.336	0.1635	-0.489	0	18	1035	1
2026-02-11	15:57:47.190	-0.035	-0.105	-0.07	-0.003416	0.005612	1.015284	0.333	0.1635	-0.4905	0	18	1035	1
2026-02-11	15:57:47.210	-0.035	-0.105	-0.105	-0.00366	0.009028	1.013576	0.33	0.162	-0.483	0	16	1035	1
2026-02-11	15:57:47.230	-0.035	-0.105	-0.105	-0.006832	0.00854	1.014796	0.3315	0.156	-0.4845	0	16	1035	1
2026-02-11	15:57:47.250	-0.035	-0.105	-0.105	-0.000244	0.008784	1.014796	0.333	0.153	-0.492	0	16	1035	1
2026-02-11	15:57:47.270	0	-0.105	-0.105	-0.005856	0.00854	1.010404	0.3345	0.162	-0.4845	0	16	1035	1
2026-02-11	15:57:47.290	-0.035	-0.07	-0.105	-0.002684	0.008296	1.012356	0.3345	0.1545	-0.48	0	16	1035	1
