activity,wrist,precision,recall,f1,accuracy,num_windows
Laptop_Hendrik,right,0.0,0.0,0.0,0.8507462686567164,134
Laptop_Hendrik,left,0.0,0.0,0.0,0.4925373134328358,134
Laptop_tanya,right,0.0,0.0,0.0,0.7653631284916201,179
Laptop_tanya,left,0.0,0.0,0.0,0.39664804469273746,179
Stairs_Hendrik,right,1.0,0.9782608695652174,0.989010989010989,0.9782608695652174,138
Stairs_Hendrik,left,1.0,0.9565217391304348,0.9777777777777777,0.9565217391304348,138
Stairs_tanya,right,1.0,0.7900552486187845,0.8827160493827161,0.7900552486187845,181
Stairs_tanya,left,1.0,0.9116022099447514,0.953757225433526,0.9116022099447514,181
Standing_Hendrik,right,0.0,0.0,0.0,0.7045454545454546,132
Standing_Hendrik,left,0.0,0.0,0.0,0.5075757575757576,132
Standing_tanya,right,0.0,0.0,0.0,0.34545454545454546,110
Standing_tanya,left,0.0,0.0,0.0,0.3090909090909091,110
Walking_Hendrik,right,1.0,1.0,1.0,1.0,85
Walking_Hendrik,left,1.0,0.9529411764705882,0.9759036144578314,0.9529411764705882,85
Walking_Tanya,right,1.0,0.8256880733944955,0.9045226130653267,0.8256880733944955,109
Walking_Tanya,left,1.0,0.3853211009174312,0.5562913907284768,0.3853211009174312,109
