activity,wrist,precision,recall,accuracy,f1,num_windows,Notes
Free_Hendrik,right,0.00,0.00,0.00,0.66,8476,
Free_Hendrik,left,0.00,0.00,0.00,0.73,8476,
Free_Tanya,right,0.00,0.00,0.00,0.22,7001,
Free_Tanya,left,0.00,0.00,0.00,0.51,7001,
Stairs_pockets_Hendrik,right,1.00,0.98,0.99,0.98,125,
Stairs_pockets_Hendrik,left,1.00,0.92,0.96,0.92,125,
Stairs_pockets_Tanya,right,1.00,1.00,1.00,1.00,115,
Stairs_pockets_Tanya,left,1.00,0.99,1.00,0.99,115,
Stairs_railL_Hendrik,right,1.00,1.00,1.00,1.00,115,
Stairs_railL_Hendrik,left,1.00,0.13,0.23,0.13,115,
Stairs_railL_Tanya,right,1.00,0.88,0.93,0.88,161,
Stairs_railL_Tanya,left,1.00,0.11,0.20,0.11,161,
Stairs_railR_Hendrik,right,1.00,0.24,0.39,0.24,119,
Stairs_railR_Hendrik,left,1.00,1.00,1.00,1.00,119,
Stairs_railR_Tanya,right,1.00,0.11,0.20,0.11,150,
Stairs_railR_Tanya,left,1.00,0.88,0.94,0.88,150,
Walking_armfixedL_Hendrik,right,1.00,0.96,0.98,0.96,136,
Walking_armfixedL_Hendrik,left,1.00,0.95,0.97,0.95,136,
Walking_armfixedL_Tanya,right,1.00,0.67,0.80,0.67,150,
Walking_armfixedL_Tanya,left,1.00,0.95,0.98,0.95,150,
Walking_armfixedR_Hendrik,right,1.00,0.83,0.91,0.83,129,
Walking_armfixedR_Hendrik,left,1.00,1.00,1.00,1.00,129,
Walking_armfixedR_Tanya,right,1.00,0.85,0.92,0.85,155,
Walking_armfixedR_Tanya,left,1.00,0.70,0.83,0.70,155,
Walking_limpL_Hendrik,right,1.00,0.99,1.00,0.99,133,
Walking_limpL_Hendrik,left,1.00,1.00,1.00,1.00,133,
Walking_limpL_Tanya,right,1.00,0.93,0.96,0.93,160,
Walking_limpL_Tanya,left,1.00,0.99,1.00,0.99,160,
Walking_limpR_Hendrik,right,1.00,1.00,1.00,1.00,136,
Walking_limpR_Hendrik,left,1.00,1.00,1.00,1.00,136,
Walking_limpR_Tanya,right,1.00,1.00,1.00,1.00,151,
Walking_limpR_Tanya,left,1.00,0.42,0.60,0.42,151,
Walking_phoneB_Hendrik,right,1.00,0.99,1.00,0.99,111,
Walking_phoneB_Hendrik,left,1.00,0.96,0.98,0.96,111,
Walking_phoneB_Tanya,right,1.00,0.98,0.99,0.98,101,
Walking_phoneB_Tanya,left,1.00,1.00,1.00,1.00,101,
Walking_phoneL_Hendrik,right,1.00,1.00,1.00,1.00,115,
Walking_phoneL_Hendrik,left,1.00,0.97,0.98,0.97,115,
Walking_phoneL_Tanya,right,1.00,1.00,1.00,1.00,107,
Walking_phoneL_Tanya,left,1.00,0.99,1.00,0.99,107,
Walking_phoneR_Hendrik,right,1.00,1.00,1.00,1.00,125,
Walking_phoneR_Hendrik,left,1.00,1.00,1.00,1.00,125,
Walking_phoneR_Tanya,right,1.00,0.77,0.87,0.77,109,
Walking_phoneR_Tanya,left,1.00,0.90,0.95,0.90,109,
Walking_pockets_Hendrik,right,1.00,0.98,0.99,0.98,128,
Walking_pockets_Hendrik,left,1.00,1.00,1.00,1.00,128,
Walking_pockets_Tanya,right,1.00,1.00,1.00,1.00,104,
Walking_pockets_Tanya,left,1.00,0.99,1.00,0.99,104,
Laptop_Hendrik,right,0.00,0.00,0.85,0.00,134,
Laptop_Hendrik,left,0.00,0.00,0.49,0.00,134,
Laptop_tanya,right,0.00,0.00,0.77,0.00,179,
Laptop_tanya,left,0.00,0.00,0.40,0.00,179,
Stairs_Hendrik,right,1.00,0.98,0.98,0.99,138,
Stairs_Hendrik,left,1.00,0.96,0.96,0.98,138,
Stairs_tanya,right,1.00,0.79,0.79,0.88,181,Sensor Disconnected
Stairs_tanya,left,1.00,0.91,0.91,0.95,181,Sensor Disconnected
Standing_Hendrik,right,0.00,0.00,0.70,0.00,132,
Standing_Hendrik,left,0.00,0.00,0.51,0.00,132,
Standing_tanya,right,0.00,0.00,0.35,0.00,110,
Standing_tanya,left,0.00,0.00,0.31,0.00,110,
Walking_Hendrik,right,1.00,1.00,1.00,1.00,85,
Walking_Hendrik,left,1.00,0.95,0.95,0.98,85,
Walking_Tanya,right,1.00,0.83,0.83,0.90,109,Sensor Disconnected
Walking_Tanya,left,1.00,0.39,0.39,0.56,109,Sensor Disconnected
,,,,,,,
 OVERALL SUMMARY ,,,,,,,
wrist,  precision           ,recall  ,accuracy, f1,,,
left        ,0.81,0.71,0.80,0.73,,,
right        ,0.81,0.72,0.83,0.75,,,
