subject,activity,wrist,precision,recall,f1,accuracy
Hendrik,Free,right,0.0,0.0,0.0,0.8506969052681314
Hendrik,Free,left,0.0,0.0,0.0,0.893574297188755
Hendrik,Stairs_pockets,right,1.0,1.0,1.0,1.0
Hendrik,Stairs_pockets,left,1.0,1.0,1.0,1.0
Tanya,Stairs_pockets,right,1.0,1.0,1.0,1.0
Tanya,Stairs_pockets,left,1.0,1.0,1.0,1.0
Hendrik,Stairs_railL,right,1.0,1.0,1.0,1.0
Hendrik,Stairs_railL,left,1.0,1.0,1.0,1.0
Tanya,Stairs_railL,right,1.0,1.0,1.0,1.0
Tanya,Stairs_railL,left,1.0,1.0,1.0,1.0
Hendrik,Stairs_railR,right,1.0,0.8807339449541285,0.9365853658536586,0.8807339449541285
Hendrik,Stairs_railR,left,1.0,1.0,1.0,1.0
Tanya,Stairs_railR,right,1.0,1.0,1.0,1.0
Tanya,Stairs_railR,left,1.0,1.0,1.0,1.0
Hendrik,Walking_armfixedL,right,1.0,1.0,1.0,1.0
Hendrik,Walking_armfixedL,left,1.0,1.0,1.0,1.0
Tanya,Walking_armfixedL,right,1.0,1.0,1.0,1.0
Tanya,Walking_armfixedL,left,1.0,1.0,1.0,1.0
Hendrik,Walking_armfixedR,right,1.0,1.0,1.0,1.0
Hendrik,Walking_armfixedR,left,1.0,1.0,1.0,1.0
Tanya,Walking_armfixedR,right,1.0,0.993103448275862,0.9965397923875432,0.993103448275862
Tanya,Walking_armfixedR,left,1.0,1.0,1.0,1.0
Tanya,Walking_caneL,right,1.0,0.7653061224489796,0.8670520231213873,0.7653061224489796
Tanya,Walking_caneL,left,1.0,0.826530612244898,0.9050279329608939,0.826530612244898
Hendrik,Walking_caneR,right,1.0,0.7619047619047619,0.8648648648648649,0.7619047619047619
Hendrik,Walking_caneR,left,1.0,1.0,1.0,1.0
Tanya,Walking_caneR,right,1.0,0.4044943820224719,0.576,0.4044943820224719
Tanya,Walking_caneR,left,1.0,0.9550561797752809,0.9770114942528736,0.9550561797752809
Hendrik,Walking_crutches,right,1.0,0.9156626506024096,0.9559748427672956,0.9156626506024096
Hendrik,Walking_crutches,left,1.0,1.0,1.0,1.0
Tanya,Walking_crutches,right,1.0,1.0,1.0,1.0
Tanya,Walking_crutches,left,1.0,1.0,1.0,1.0
Hendrik,Walking_limpL,right,1.0,1.0,1.0,1.0
Hendrik,Walking_limpL,left,1.0,1.0,1.0,1.0
Tanya,Walking_limpL,right,1.0,1.0,1.0,1.0
Tanya,Walking_limpL,left,1.0,1.0,1.0,1.0
Hendrik,Walking_limpR,right,1.0,1.0,1.0,1.0
Hendrik,Walking_limpR,left,1.0,1.0,1.0,1.0
Tanya,Walking_limpR,right,1.0,1.0,1.0,1.0
Tanya,Walking_limpR,left,1.0,0.900709219858156,0.9477611940298507,0.900709219858156
Hendrik,Walking_phoneB,right,1.0,1.0,1.0,1.0
Hendrik,Walking_phoneB,left,1.0,1.0,1.0,1.0
Tanya,Walking_phoneB,right,1.0,1.0,1.0,1.0
Tanya,Walking_phoneB,left,1.0,1.0,1.0,1.0
Hendrik,Walking_phoneL,right,1.0,1.0,1.0,1.0
Hendrik,Walking_phoneL,left,1.0,1.0,1.0,1.0
Tanya,Walking_phoneL,right,1.0,1.0,1.0,1.0
Tanya,Walking_phoneL,left,1.0,1.0,1.0,1.0
Hendrik,Walking_phoneR,right,1.0,1.0,1.0,1.0
Hendrik,Walking_phoneR,left,1.0,1.0,1.0,1.0
Tanya,Walking_phoneR,right,1.0,1.0,1.0,1.0
Tanya,Walking_phoneR,left,1.0,1.0,1.0,1.0
Tanya,Walking_pockets,right,1.0,1.0,1.0,1.0
Tanya,Walking_pockets,left,1.0,1.0,1.0,1.0
Hendrik,Walking_walker,right,0.0,0.0,0.0,0.0
Hendrik,Walking_walker,left,0.0,0.0,0.0,0.0
Tanya,Walking_walker,right,0.0,0.0,0.0,0.0
Tanya,Walking_walker,left,0.0,0.0,0.0,0.0
