subject,activity,wrist,precision,recall,f1,accuracy
Hendrik,Free,right,0.0,0.0,0.0,1.0
Hendrik,Free,left,0.0,0.0,0.0,0.9938672013209104
Tanya,Free,right,0.0,0.0,0.0,1.0
Tanya,Free,left,0.0,0.0,0.0,1.0
Hendrik,Stairs_pockets,right,1.0,1.0,1.0,1.0
Hendrik,Stairs_pockets,left,1.0,1.0,1.0,1.0
Tanya,Stairs_pockets,right,1.0,1.0,1.0,1.0
Tanya,Stairs_pockets,left,1.0,1.0,1.0,1.0
Hendrik,Stairs_railL,right,1.0,1.0,1.0,1.0
Hendrik,Stairs_railL,left,1.0,1.0,1.0,1.0
Tanya,Stairs_railL,right,1.0,1.0,1.0,1.0
Tanya,Stairs_railL,left,1.0,0.8848484848484849,0.9389067524115756,0.8848484848484849
Hendrik,Stairs_railR,right,1.0,1.0,1.0,1.0
Hendrik,Stairs_railR,left,1.0,0.9919354838709677,0.9959514170040485,0.9919354838709677
Tanya,Stairs_railR,right,1.0,1.0,1.0,1.0
Tanya,Stairs_railR,left,1.0,1.0,1.0,1.0
Tanya,Vacuuming,right,0.0,0.0,0.0,1.0
Tanya,Vacuuming,left,0.0,0.0,0.0,1.0
Hendrik,Walking_armfixedL,right,1.0,1.0,1.0,1.0
Hendrik,Walking_armfixedL,left,1.0,1.0,1.0,1.0
Tanya,Walking_armfixedL,right,1.0,1.0,1.0,1.0
Tanya,Walking_armfixedL,left,1.0,1.0,1.0,1.0
Hendrik,Walking_armfixedR,right,1.0,1.0,1.0,1.0
Hendrik,Walking_armfixedR,left,1.0,1.0,1.0,1.0
Tanya,Walking_armfixedR,right,1.0,1.0,1.0,1.0
Tanya,Walking_armfixedR,left,1.0,1.0,1.0,1.0
Hendrik,Walking_caneL,right,1.0,1.0,1.0,1.0
Hendrik,Walking_caneL,left,1.0,1.0,1.0,1.0
Tanya,Walking_caneL,right,1.0,1.0,1.0,1.0
Tanya,Walking_caneL,left,1.0,1.0,1.0,1.0
Hendrik,Walking_caneR,right,1.0,0.9658119658119658,0.9826086956521739,0.9658119658119658
Hendrik,Walking_caneR,left,1.0,0.847457627118644,0.9174311926605505,0.847457627118644
Tanya,Walking_caneR,right,1.0,0.9504950495049505,0.9746192893401016,0.9504950495049505
Tanya,Walking_caneR,left,1.0,1.0,1.0,1.0
Hendrik,Walking_crutches,right,1.0,1.0,1.0,1.0
Hendrik,Walking_crutches,left,1.0,1.0,1.0,1.0
Tanya,Walking_crutches,right,1.0,1.0,1.0,1.0
Tanya,Walking_crutches,left,1.0,1.0,1.0,1.0
Hendrik,Walking_limpL,right,1.0,1.0,1.0,1.0
Hendrik,Walking_limpL,left,1.0,1.0,1.0,1.0
Tanya,Walking_limpL,right,1.0,1.0,1.0,1.0
Tanya,Walking_limpL,left,1.0,1.0,1.0,1.0
Hendrik,Walking_limpR,right,1.0,1.0,1.0,1.0
Hendrik,Walking_limpR,left,1.0,1.0,1.0,1.0
Tanya,Walking_limpR,right,1.0,1.0,1.0,1.0
Tanya,Walking_limpR,left,1.0,0.9930555555555556,0.9965156794425087,0.9930555555555556
Hendrik,Walking_phoneB,right,1.0,1.0,1.0,1.0
Hendrik,Walking_phoneB,left,1.0,1.0,1.0,1.0
Tanya,Walking_phoneB,right,1.0,1.0,1.0,1.0
Tanya,Walking_phoneB,left,1.0,1.0,1.0,1.0
Hendrik,Walking_phoneL,right,1.0,1.0,1.0,1.0
Hendrik,Walking_phoneL,left,1.0,1.0,1.0,1.0
Tanya,Walking_phoneL,right,1.0,1.0,1.0,1.0
Tanya,Walking_phoneL,left,1.0,1.0,1.0,1.0
Hendrik,Walking_phoneR,right,1.0,1.0,1.0,1.0
Hendrik,Walking_phoneR,left,1.0,1.0,1.0,1.0
Tanya,Walking_phoneR,right,1.0,1.0,1.0,1.0
Tanya,Walking_phoneR,left,1.0,1.0,1.0,1.0
Hendrik,Walking_pockets,right,1.0,1.0,1.0,1.0
Hendrik,Walking_pockets,left,1.0,1.0,1.0,1.0
Tanya,Walking_pockets,right,1.0,1.0,1.0,1.0
Tanya,Walking_pockets,left,1.0,1.0,1.0,1.0
Hendrik,Walking_walker,right,1.0,1.0,1.0,1.0
Hendrik,Walking_walker,left,1.0,1.0,1.0,1.0
Tanya,Walking_walker,right,1.0,1.0,1.0,1.0
Tanya,Walking_walker,left,1.0,1.0,1.0,1.0
