yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-12	16:02:08.810	2.975	-2.52	-2.38	0.076372	0.089792	0.983564	0.366	-0.7695	-0.1125	0	38	1031	1
2026-02-12	16:02:08.830	3.29	-4.97	-1.75	0.070028	0.080032	1.000156	0.363	-0.7695	-0.1125	0	38	1031	1
2026-02-12	16:02:08.850	0.735	-5.845	-1.05	0.058316	0.082472	1.016992	0.3645	-0.7605	-0.1065	0	38	1031	1
2026-02-12	16:02:08.870	0.245	-4.795	-1.05	0.048556	0.083204	1.023824	0.3675	-0.7605	-0.099	0	38	1031	1
2026-02-12	16:02:08.890	2.765	-2.73	-1.54	0.04026	0.071736	1.020652	0.3735	-0.759	-0.099	0	38	1031	1
2026-02-12	16:02:08.910	2.695	-1.89	-0.105	0.042944	0.064416	1.016748	0.378	-0.75	-0.102	0	38	1031	1
2026-02-12	16:02:08.930	3.465	-1.4	1.155	0.040748	0.062708	1.014308	0.3735	-0.7455	-0.099	0	38	1031	1
2026-02-12	16:02:08.950	2.17	-1.05	2.975	0.050752	0.06734399	1.00894	0.369	-0.735	-0.0915	0	38	1031	1
2026-02-12	16:02:08.970	0.42	-1.12	5.145	0.064904	0.083448	1.0065	0.3705	-0.7275	-0.09	0	38	1031	1
2026-02-12	16:02:08.990	1.47	-1.4	6.265	0.06734399	0.109556	1.001376	0.3735	-0.72	-0.0885	0	38	1031	1
2026-02-12	16:02:09.010	3.29	-1.855	4.34	0.078812	0.110288	0.997472	0.369	-0.717	-0.0825	0	40	1031	1
2026-02-12	16:02:09.030	2.8	-2.555	2.065	0.06734399	0.10492	0.996984	0.3645	-0.711	-0.081	0	40	1031	1
2026-02-12	16:02:09.050	-0.42	-3.92	0.77	0.065148	0.106628	1.018212	0.3615	-0.699	-0.0795	0	40	1031	1
2026-02-12	16:02:09.070	-2.87	-3.255	0.105	0.07124799	0.111264	1.03212	0.36	-0.6945	-0.0795	0	40	1031	1
2026-02-12	16:02:09.090	-1.47	-1.26	-0.455	0.077836	0.111264	1.015772	0.36	-0.6945	-0.081	0	40	1031	1
2026-02-12	16:02:09.110	1.82	-0.455	-0.84	0.083692	0.096868	1.017236	0.3645	-0.693	-0.0825	0	40	1031	1
2026-02-12	16:02:09.130	4.515	-0.245	-0.945	0.08662	0.103944	1.015284	0.3645	-0.693	-0.0825	0	40	1031	1
2026-02-12	16:02:09.150	3.955	-0.14	-1.925	0.078568	0.12078	1.00406	0.3645	-0.693	-0.0825	0	40	1031	1
2026-02-12	16:02:09.170	3.815	-0.595	-4.55	0.074908	0.094428	0.99918	0.369	-0.6855	-0.078	0	40	1031	1
2026-02-12	16:02:09.190	4.235	-2.065	-5.005	0.070028	0.06734399	1.007232	0.3675	-0.6915	-0.0795	0	40	1031	1
2026-02-12	16:02:09.210	6.02	-2.485	-3.045	0.061732	0.068564	1.002352	0.3735	-0.69	-0.072	0	41	1031	1
2026-02-12	16:02:09.230	6.895	-3.115	-1.225	0.0549	0.072956	1.001376	0.3765	-0.687	-0.072	0	41	1031	1
2026-02-12	16:02:09.250	5.46	-3.675	-1.785	0.044164	0.053924	1.006744	0.381	-0.6945	-0.081	0	41	1031	1
2026-02-12	16:02:09.270	3.5	-4.13	0.42	0.031964	0.042456	1.025532	0.3825	-0.6885	-0.0705	0	41	1031	1
2026-02-12	16:02:09.290	2.59	-2.94	3.675	0.02806	0.044408	1.036756	0.3975	-0.69	-0.0795	0	41	1031	1
2026-02-12	16:02:09.310	4.235	-0.84	6.72	0.02562	0.05368	1.031632	0.3885	-0.6825	-0.0765	0	41	1031	1
2026-02-12	16:02:09.330	5.635	0.665	9.8	0.034892	0.061976	1.024312	0.39	-0.678	-0.0705	0	41	1031	1
