yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-12	16:02:08.810	-5.915	17.01	-15.435	0.891332	-0.6161	0.137128	0.1875	0.8685	-0.201	0	32	122	2
2026-02-12	16:02:08.830	-7.42	18.97	-16.345	0.89304	-0.598288	0.139568	0.1815	0.87	-0.1995	0	32	122	2
2026-02-12	16:02:08.850	-11.305	21.735	-16.835	0.869128	-0.595116	0.148352	0.1815	0.8715	-0.2025	0	32	122	2
2026-02-12	16:02:08.870	-13.545	23.765	-15.75	0.848876	-0.609512	0.162992	0.1875	0.8625	-0.1995	0	32	122	2
2026-02-12	16:02:08.890	-14.07	25.585	-13.93	0.83936	-0.621956	0.17934	0.183	0.8625	-0.2055	0	32	122	2
2026-02-12	16:02:08.910	-13.79	27.825	-12.425	0.831308	-0.638792	0.18666	0.1845	0.864	-0.207	0	32	122	2
2026-02-12	16:02:08.930	-14	30.205	-10.92	0.80032	-0.622932	0.190808	0.1815	0.858	-0.2025	0	32	122	2
2026-02-12	16:02:08.950	-16.87	32.55	-9.905	0.74664	-0.608048	0.172264	0.186	0.8595	-0.216	0	32	122	2
2026-02-12	16:02:08.970	-22.12	33.915	-8.855	0.693204	-0.589748	0.168116	0.1815	0.864	-0.207	0	32	122	2
2026-02-12	16:02:08.990	-30.03	34.125	-7.28	0.654164	-0.591456	0.178364	0.186	0.8655	-0.2175	0	32	122	2
2026-02-12	16:02:09.010	-37.905	34.3	-4.9	0.621468	-0.650748	0.205692	0.1965	0.87	-0.2055	0	32	125	3
2026-02-12	16:02:09.030	-36.19	34.02	-1.75	0.602192	-0.695156	0.209352	0.1935	0.867	-0.213	0	32	125	3
2026-02-12	16:02:09.050	-28.035	32.935	2.24	0.60634	-0.666608	0.222772	0.204	0.8715	-0.2115	0	32	125	3
2026-02-12	16:02:09.070	-27.265	31.185	5.565	0.616344	-0.630984	0.2501	0.204	0.8715	-0.2115	0	32	125	3
2026-02-12	16:02:09.090	-30.135	28.63	7.42	0.635376	-0.612928	0.241072	0.207	0.867	-0.204	0	32	125	3
2026-02-12	16:02:09.110	-33.32	26.005	8.365	0.653432	-0.592676	0.23912	0.1995	0.8835	-0.2085	0	32	125	3
2026-02-12	16:02:09.130	-37.52	23.275	8.54	0.673684	-0.57828	0.231312	0.21	0.888	-0.2085	0	32	125	3
2026-02-12	16:02:09.150	-39.27	19.915	7.315	0.675392	-0.562664	0.206668	0.2115	0.8835	-0.2085	0	32	125	3
2026-02-12	16:02:09.170	-41.265	15.575	4.655	0.666852	-0.539972	0.205448	0.2145	0.891	-0.2025	0	32	125	3
2026-02-12	16:02:09.190	-44.485	11.2	1.925	0.666364	-0.5368	0.232044	0.2235	0.894	-0.198	0	32	125	3
2026-02-12	16:02:09.210	-47.18	7.945	-0.245	0.692228	-0.5612	0.26596	0.219	0.8985	-0.1905	0	35	138	3
2026-02-12	16:02:09.230	-49.245	5.985	-1.89	0.722972	-0.583892	0.27084	0.216	0.903	-0.1905	0	35	138	3
2026-02-12	16:02:09.250	-50.505	4.9	-3.22	0.760548	-0.619272	0.247416	0.222	0.9135	-0.1785	0	35	138	3
