yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-12	16:02:08.810	-14.49	-38.36	2.17	0.732488	0.736392	-0.043676	-0.0795	-0.399	0.2895	0	27	41	2
2026-02-12	16:02:08.830	-16.065	-41.265	1.715	0.733952	0.734684	-0.058804	-0.0795	-0.3975	0.288	0	27	41	2
2026-02-12	16:02:08.850	-17.045	-44.065	1.19	0.713944	0.733708	-0.069784	-0.078	-0.3915	0.2865	0	27	41	2
2026-02-12	16:02:08.870	-18.515	-46.9	1.015	0.700768	0.739564	-0.061732	-0.0855	-0.3885	0.2805	0	27	41	2
2026-02-12	16:02:08.890	-20.685	-48.965	0.735	0.687836	0.745176	-0.05002	-0.0885	-0.393	0.2775	0	27	41	2
2026-02-12	16:02:08.910	-22.4	-50.82	0.245	0.678808	0.755668	-0.040016	-0.0825	-0.3975	0.2805	0	27	41	2
2026-02-12	16:02:08.930	-23.065	-52.08	-0.63	0.672708	0.760792	-0.026352	-0.0825	-0.4005	0.2835	0	27	41	2
2026-02-12	16:02:08.950	-24.5	-52.745	-1.505	0.659532	0.752252	-0.010736	-0.087	-0.399	0.2835	0	27	41	2
2026-02-12	16:02:08.970	-27.895	-51.835	-1.4	0.667828	0.743468	0.008784	-0.0885	-0.3945	0.2805	0	27	41	2
2026-02-12	16:02:08.990	-30.73	-50.4	-0.735	0.693936	0.726632	0.012688	-0.0885	-0.3945	0.2805	0	27	41	2
2026-02-12	16:02:09.010	-33.32	-48.09	0.735	0.708088	0.717848	-0.00854	-0.084	-0.399	0.279	0	26	29	3
2026-02-12	16:02:09.030	-35.245	-45.675	2.695	0.729804	0.723216	-0.044652	-0.084	-0.387	0.2835	0	26	29	3
2026-02-12	16:02:09.050	-36.4	-44.135	5.53	0.759572	0.712236	-0.061244	-0.0825	-0.3915	0.279	0	26	29	3
2026-02-12	16:02:09.070	-35.35	-41.825	8.435	0.778848	0.70272	-0.064904	-0.0825	-0.3915	0.2745	0	26	29	3
2026-02-12	16:02:09.090	-32.655	-38.045	10.78	0.780312	0.715408	-0.073444	-0.0855	-0.39	0.2715	0	26	29	3
2026-02-12	16:02:09.110	-29.96	-33.145	12.285	0.75152	0.737612	-0.077104	-0.0945	-0.393	0.2655	0	26	29	3
2026-02-12	16:02:09.130	-28.77	-28.56	13.055	0.72468	0.7381	-0.080764	-0.0945	-0.393	0.2655	0	26	29	3
2026-02-12	16:02:09.150	-28.14	-23.8	13.685	0.700768	0.743956	-0.07564	-0.0915	-0.393	0.267	0	26	29	3
2026-02-12	16:02:09.170	-27.16	-18.69	13.86	0.681736	0.74054	-0.079544	-0.093	-0.3915	0.2655	0	26	29	3
2026-02-12	16:02:09.190	-26.635	-13.37	13.405	0.659288	0.74176	-0.083204	-0.093	-0.39	0.2655	0	26	29	3
2026-02-12	16:02:09.210	-26.635	-8.645	12.46	0.651236	0.752496	-0.07808	-0.1005	-0.387	0.264	0	27	11	3
2026-02-12	16:02:09.230	-27.09	-4.935	11.41	0.653188	0.75274	-0.08662	-0.099	-0.381	0.2595	0	27	11	3
2026-02-12	16:02:09.250	-26.04	-2.38	10.43	0.663436	0.75152	-0.110288	-0.099	-0.3825	0.2535	0	27	11	3
2026-02-12	16:02:09.270	-23.8	-0.945	9.765	0.696864	0.747372	-0.13786	-0.108	-0.381	0.249	0	27	11	3
2026-02-12	16:02:09.290	-23.345	-1.05	9.24	0.712236	0.740296	-0.152744	-0.1095	-0.3795	0.246	0	27	11	3
2026-02-12	16:02:09.310	-23.275	-1.96	7.735	0.709308	0.7381	-0.156892	-0.1095	-0.3795	0.246	0	27	11	3
2026-02-12	16:02:09.330	-22.015	-3.605	5.74	0.706624	0.727608	-0.157624	-0.108	-0.3795	0.231	0	27	11	3
2026-02-12	16:02:09.350	-22.995	-6.86	5.495	0.726144	0.701988	-0.133224	-0.1155	-0.3765	0.231	0	27	11	3
2026-02-12	16:02:09.370	-24.01	-9.835	7	0.758352	0.697352	-0.10614	-0.123	-0.3735	0.2295	0	27	11	3
2026-02-12	16:02:09.390	-24.675	-12.18	10.08	0.793732	0.65514	-0.07198	-0.114	-0.3705	0.225	0	27	11	3
2026-02-12	16:02:09.410	-22.96	-11.655	11.27	0.76128	0.659776	-0.038308	-0.123	-0.3735	0.2325	0	29	11	3
2026-02-12	16:02:09.430	-23.905	-11.375	10.78	0.736636	0.639036	-0.005856	-0.12	-0.366	0.228	0	29	11	3
2026-02-12	16:02:09.450	-26.705	-11.83	9.205	0.708088	0.589748	0.007808	-0.123	-0.369	0.2205	0	29	11	3
2026-02-12	16:02:09.470	-29.12	-13.125	9.065	0.688568	0.554856	0.015616	-0.1185	-0.375	0.2205	0	29	11	3
2026-02-12	16:02:09.490	-29.855	-15.505	10.08	0.705892	0.584624	0.034648	-0.126	-0.366	0.225	0	29	11	3
2026-02-12	16:02:09.510	-33.425	-17.99	11.9	0.743224	0.615612	0.050264	-0.1305	-0.3585	0.213	0	29	11	3
2026-02-12	16:02:09.530	-37.87	-20.825	14.07	0.811544	0.646844	0.04026	-0.1275	-0.3675	0.2115	0	29	11	3
2026-02-12	16:02:09.550	-45.78	-21.91	15.96	0.882304	0.636108	0.005612	-0.129	-0.36	0.2115	0	29	11	3
2026-02-12	16:02:09.570	-53.095	-21.56	17.185	0.910608	0.589504	-0.031964	-0.129	-0.36	0.2115	0	29	11	3
2026-02-12	16:02:09.590	-53.9	-19.425	16.905	0.8845	0.573156	-0.033428	-0.1305	-0.3525	0.1995	0	29	11	3
2026-02-12	16:02:09.610	-57.19	-17.78	15.785	0.832772	0.585356	-0.013908	-0.132	-0.3465	0.1875	0	35	26	3
2026-02-12	16:02:09.630	-67.55	-17.5	14.455	0.788364	0.610976	0.004148	-0.1335	-0.3495	0.1845	0	35	26	3
2026-02-12	16:02:09.650	-73.22	-18.62	11.305	0.74542	0.519964	0.026108	-0.1365	-0.3465	0.1785	0	35	26	3
2026-02-12	16:02:09.670	-62.405	-21.805	10.36	0.750788	0.5551	-0.007564	-0.156	-0.348	0.168	0	35	26	3
2026-02-12	16:02:09.690	-52.22	-27.615	7.84	0.785924	0.543144	0.012932	-0.1395	-0.342	0.1695	0	35	26	3
2026-02-12	16:02:09.710	-47.565	-30.31	8.085	0.835944	0.528016	0.1403	-0.147	-0.336	0.1665	0	35	26	3
2026-02-12	16:02:09.730	-45.08	-23.73	7.42	0.849608	0.535824	0.200568	-0.1485	-0.333	0.1635	0	35	26	3
2026-02-12	16:02:09.750	-44.87	-16.205	7.035	0.838872	0.567544	0.119804	-0.156	-0.3285	0.1635	0	35	26	3
2026-02-12	16:02:09.770	-39.375	-11.97	6.965	0.818864	0.520208	0.057584	-0.1605	-0.3285	0.156	0	35	26	3
2026-02-12	16:02:09.790	-25.76	-10.465	8.365	0.804468	0.534116	0.086132	-0.1605	-0.3255	0.1485	0	35	26	3
2026-02-12	16:02:07.810	-2.66	-2.835	-0.14	0.701744	0.718336	0.04758	-0.0705	-0.399	0.279	0	51	45	2
2026-02-12	16:02:07.830	-2.59	-2.835	-0.175	0.702964	0.715896	0.047824	-0.0735	-0.3975	0.279	0	51	45	2
2026-02-12	16:02:07.850	-2.695	-2.835	-0.14	0.70638	0.715652	0.046116	-0.0735	-0.396	0.279	0	51	45	2
2026-02-12	16:02:07.870	-2.45	-2.8	-0.175	0.708576	0.7137	0.044164	-0.0735	-0.396	0.2805	0	51	45	2
2026-02-12	16:02:07.890	-2.345	-2.695	-0.245	0.707844	0.7137	0.049288	-0.0735	-0.396	0.2805	0	51	45	2
2026-02-12	16:02:07.910	-2.31	-2.555	-0.315	0.708332	0.71492	0.046116	-0.075	-0.3945	0.2805	0	51	45	2
2026-02-12	16:02:07.930	-2.24	-2.45	-0.42	0.705404	0.71614	0.04636	-0.075	-0.3975	0.279	0	51	45	2
2026-02-12	16:02:07.950	-2.17	-2.345	-0.525	0.701744	0.718092	0.04514	-0.0735	-0.4005	0.279	0	51	45	2
2026-02-12	16:02:07.970	-2.065	-2.17	-0.56	0.702476	0.716872	0.04514	-0.0735	-0.402	0.279	0	51	45	2
2026-02-12	16:02:07.990	-2.135	-2.065	-0.56	0.709796	0.715408	0.045628	-0.0735	-0.4035	0.2775	0	51	45	2
2026-02-12	16:02:08.010	-1.96	-1.715	-0.63	0.711748	0.711504	0.044652	-0.0735	-0.405	0.2775	0	45	46	2
2026-02-12	16:02:08.030	-1.785	-1.505	-0.63	0.7137	0.712968	0.039772	-0.0705	-0.4035	0.276	0	45	46	2
2026-02-12	16:02:08.050	-1.54	-1.155	-0.665	0.71248	0.712968	0.044896	-0.069	-0.4005	0.273	0	45	46	2
2026-02-12	16:02:08.070	-1.19	-0.98	-0.665	0.708088	0.713944	0.045628	-0.075	-0.399	0.2745	0	45	46	2
2026-02-12	16:02:08.090	-1.05	-0.56	-0.7	0.701988	0.7137	0.047092	-0.0795	-0.4005	0.2775	0	45	46	2
2026-02-12	16:02:08.110	-0.84	-0.245	-0.91	0.700768	0.715408	0.05002	-0.072	-0.393	0.282	0	45	46	2
2026-02-12	16:02:08.130	-0.875	-0.035	-1.33	0.699304	0.72468	0.047336	-0.0765	-0.396	0.273	0	45	46	2
2026-02-12	16:02:08.150	-1.4	-0.07	-1.75	0.701988	0.720532	0.046848	-0.072	-0.39	0.279	0	45	46	2
2026-02-12	16:02:08.170	-1.47	0.07	-1.89	0.698816	0.720288	0.045384	-0.0705	-0.3945	0.2745	0	45	46	2
2026-02-12	16:02:08.190	-1.33	0.245	-1.785	0.69784	0.717848	0.04758	-0.072	-0.402	0.273	0	45	46	2
2026-02-12	16:02:08.210	-0.805	0.63	-1.645	0.702964	0.716628	0.043432	-0.066	-0.396	0.2805	0	39	46	2
2026-02-12	16:02:08.230	-0.63	0.805	-1.54	0.703208	0.718092	0.045628	-0.066	-0.4035	0.2745	0	39	46	2
2026-02-12	16:02:08.250	-0.84	0.805	-1.505	0.703452	0.716628	0.04636	-0.0795	-0.402	0.276	0	39	46	2
2026-02-12	16:02:08.270	-1.015	0.735	-1.365	0.701744	0.71492	0.049044	-0.0705	-0.3975	0.273	0	39	46	2
2026-02-12	16:02:08.290	-1.015	0.63	-1.33	0.70394	0.713944	0.048068	-0.0735	-0.3975	0.276	0	39	46	2
2026-02-12	16:02:08.310	-0.945	0.385	-1.26	0.707356	0.717604	0.043188	-0.075	-0.4065	0.2835	0	39	46	2
2026-02-12	16:02:08.330	-1.085	0.21	-1.26	0.7076	0.717116	0.047092	-0.0675	-0.393	0.2745	0	39	46	2
2026-02-12	16:02:08.350	-1.225	0.07	-1.26	0.7076	0.717604	0.049532	-0.072	-0.4035	0.2775	0	39	46	2
2026-02-12	16:02:08.370	-1.05	0.035	-1.33	0.700524	0.719068	0.05246	-0.0735	-0.4005	0.273	0	39	46	2
2026-02-12	16:02:08.390	-1.33	-0.14	-1.505	0.69784	0.72102	0.047092	-0.0735	-0.4005	0.273	0	39	46	2
2026-02-12	16:02:08.410	-1.54	-0.28	-1.575	0.696864	0.724192	0.048556	-0.075	-0.402	0.2715	0	34	46	2
2026-02-12	16:02:08.430	-1.715	-0.245	-1.785	0.698084	0.723704	0.051484	-0.0705	-0.4005	0.2745	0	34	46	2
2026-02-12	16:02:08.450	-1.785	-0.105	-2.1	0.692716	0.721508	0.047336	-0.0675	-0.3975	0.2805	0	34	46	2
2026-02-12	16:02:08.470	-1.82	0.035	-2.345	0.695156	0.715896	0.044164	-0.069	-0.396	0.2805	0	34	46	2
2026-02-12	16:02:08.490	-1.54	0.14	-2.31	0.689056	0.711748	0.047092	-0.0735	-0.396	0.273	0	34	46	2
2026-02-12	16:02:08.510	-1.085	0.14	-1.995	0.690764	0.704916	0.0488	-0.0645	-0.3945	0.279	0	34	46	2
2026-02-12	16:02:08.530	-0.455	-0.035	-1.61	0.691252	0.703696	0.039284	-0.075	-0.399	0.2745	0	34	46	2
2026-02-12	16:02:08.550	0.28	-0.595	-0.84	0.691984	0.701744	0.03172	-0.066	-0.3915	0.2775	0	34	46	2
2026-02-12	16:02:08.570	0.665	-1.505	0.42	0.694912	0.7015	0.033428	-0.0765	-0.4065	0.2715	0	34	46	2
2026-02-12	16:02:08.590	1.435	-2.275	1.82	0.692716	0.697596	0.034404	-0.0735	-0.399	0.2745	0	34	46	2
2026-02-12	16:02:08.610	2.66	-3.5	3.535	0.682468	0.701256	0.02318	-0.078	-0.3975	0.2745	0	30	45	2
2026-02-12	16:02:08.630	3.85	-5.46	5.04	0.674172	0.70394	0.020252	-0.0645	-0.399	0.276	0	30	45	2
2026-02-12	16:02:08.650	3.78	-8.33	6.3	0.671488	0.704184	0.01342	-0.063	-0.4005	0.2745	0	30	45	2
2026-02-12	16:02:08.670	2.59	-12.39	7.105	0.678076	0.715896	0.013176	-0.072	-0.399	0.282	0	30	45	2
2026-02-12	16:02:08.690	-0.07	-16.625	7.105	0.689788	0.728096	0.00732	-0.072	-0.399	0.282	0	30	45	2
2026-02-12	16:02:08.710	-2.66	-20.02	6.475	0.691984	0.727852	0.005368	-0.072	-0.4005	0.2805	0	30	45	2
2026-02-12	16:02:08.730	-5.04	-23.38	5.67	0.685884	0.721264	0.002196	-0.075	-0.4005	0.2835	0	30	45	2
2026-02-12	16:02:08.750	-7	-26.915	4.655	0.6893	0.72346	-0.011712	-0.078	-0.399	0.291	0	30	45	2
2026-02-12	16:02:08.770	-9.625	-30.835	3.605	0.698328	0.722972	-0.022692	-0.078	-0.3945	0.2895	0	30	45	2
2026-02-12	16:02:08.790	-12.18	-34.72	2.73	0.711504	0.731512	-0.037088	-0.0765	-0.393	0.2895	0	30	45	2
2026-02-12	16:02:08.810	-14.49	-38.36	2.17	0.732488	0.736392	-0.043676	-0.0795	-0.399	0.2895	0	27	41	2
2026-02-12	16:02:08.830	-16.065	-41.265	1.715	0.733952	0.734684	-0.058804	-0.0795	-0.3975	0.288	0	27	41	2
2026-02-12	16:02:08.850	-17.045	-44.065	1.19	0.713944	0.733708	-0.069784	-0.078	-0.3915	0.2865	0	27	41	2
2026-02-12	16:02:08.870	-18.515	-46.9	1.015	0.700768	0.739564	-0.061732	-0.0855	-0.3885	0.2805	0	27	41	2
2026-02-12	16:02:08.890	-20.685	-48.965	0.735	0.687836	0.745176	-0.05002	-0.0885	-0.393	0.2775	0	27	41	2
2026-02-12	16:02:08.910	-22.4	-50.82	0.245	0.678808	0.755668	-0.040016	-0.0825	-0.3975	0.2805	0	27	41	2
2026-02-12	16:02:08.930	-23.065	-52.08	-0.63	0.672708	0.760792	-0.026352	-0.0825	-0.4005	0.2835	0	27	41	2
2026-02-12	16:02:08.950	-24.5	-52.745	-1.505	0.659532	0.752252	-0.010736	-0.087	-0.399	0.2835	0	27	41	2
2026-02-12	16:02:08.970	-27.895	-51.835	-1.4	0.667828	0.743468	0.008784	-0.0885	-0.3945	0.2805	0	27	41	2
2026-02-12	16:02:08.990	-30.73	-50.4	-0.735	0.693936	0.726632	0.012688	-0.0885	-0.3945	0.2805	0	27	41	2
2026-02-12	16:02:09.010	-33.32	-48.09	0.735	0.708088	0.717848	-0.00854	-0.084	-0.399	0.279	0	26	29	3
2026-02-12	16:02:09.030	-35.245	-45.675	2.695	0.729804	0.723216	-0.044652	-0.084	-0.387	0.2835	0	26	29	3
2026-02-12	16:02:09.050	-36.4	-44.135	5.53	0.759572	0.712236	-0.061244	-0.0825	-0.3915	0.279	0	26	29	3
2026-02-12	16:02:09.070	-35.35	-41.825	8.435	0.778848	0.70272	-0.064904	-0.0825	-0.3915	0.2745	0	26	29	3
2026-02-12	16:02:09.090	-32.655	-38.045	10.78	0.780312	0.715408	-0.073444	-0.0855	-0.39	0.2715	0	26	29	3
2026-02-12	16:02:09.110	-29.96	-33.145	12.285	0.75152	0.737612	-0.077104	-0.0945	-0.393	0.2655	0	26	29	3
2026-02-12	16:02:09.130	-28.77	-28.56	13.055	0.72468	0.7381	-0.080764	-0.0945	-0.393	0.2655	0	26	29	3
2026-02-12	16:02:09.150	-28.14	-23.8	13.685	0.700768	0.743956	-0.07564	-0.0915	-0.393	0.267	0	26	29	3
2026-02-12	16:02:09.170	-27.16	-18.69	13.86	0.681736	0.74054	-0.079544	-0.093	-0.3915	0.2655	0	26	29	3
2026-02-12	16:02:09.190	-26.635	-13.37	13.405	0.659288	0.74176	-0.083204	-0.093	-0.39	0.2655	0	26	29	3
2026-02-12	16:02:09.210	-26.635	-8.645	12.46	0.651236	0.752496	-0.07808	-0.1005	-0.387	0.264	0	27	11	3
2026-02-12	16:02:09.230	-27.09	-4.935	11.41	0.653188	0.75274	-0.08662	-0.099	-0.381	0.2595	0	27	11	3
2026-02-12	16:02:09.250	-26.04	-2.38	10.43	0.663436	0.75152	-0.110288	-0.099	-0.3825	0.2535	0	27	11	3
2026-02-12	16:02:09.270	-23.8	-0.945	9.765	0.696864	0.747372	-0.13786	-0.108	-0.381	0.249	0	27	11	3
2026-02-12	16:02:09.290	-23.345	-1.05	9.24	0.712236	0.740296	-0.152744	-0.1095	-0.3795	0.246	0	27	11	3
