yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-12	14:38:08.410	1.54	-0.525	0.21	0.009272	0.032208	1.057252	0.258	0.249	-0.507	0	19	40	2
2026-02-12	14:38:08.430	0.28	-0.7	0.35	0.00732	0.018544	1.059692	0.249	0.2505	-0.5235	0	19	40	2
2026-02-12	14:38:08.450	-0.77	-0.595	0.28	0.010248	0.042944	0.99674	0.249	0.2565	-0.5445	0	19	40	2
2026-02-12	14:38:08.470	-0.735	-0.595	0.315	0.012688	0.036844	1.011624	0.255	0.2655	-0.5565	0	19	40	2
2026-02-12	14:38:08.490	1.19	-0.56	0.315	0.01342	0.005856	1.012112	0.2625	0.2535	-0.483	0	19	40	2
2026-02-12	14:38:08.510	1.295	-0.56	0.28	0.0183	0.006588	1.006988	0.252	0.249	-0.477	0	19	40	2
2026-02-12	14:38:08.530	1.575	-0.63	0.21	0.017812	0.00122	1.011136	0.261	0.2505	-0.4905	0	19	40	2
2026-02-12	14:38:08.550	1.855	-0.595	0.28	0.022692	0.004392	1.008452	0.261	0.2535	-0.501	0	19	40	2
2026-02-12	14:38:08.570	17.5	2.205	20.86	0.10614	-0.001464	1.049932	0.2625	0.2655	-0.555	0	19	40	2
2026-02-12	14:38:08.590	6.44	11.55	16.695	0.099796	-0.00122	1.041636	0.579	0.2085	0.1335	0	19	40	2
2026-02-12	14:38:08.610	8.33	8.015	16.31	0.127612	0.016348	1.026508	0.5745	0.2055	0.1515	0	108	214	2
2026-02-12	14:38:08.630	12.95	-0.49	16.31	0.13908	0.037576	1.013088	0.5805	0.2175	0.1005	0	108	214	2
2026-02-12	14:38:08.650	16.03	-7.455	16.695	0.11956	0.043432	1.009916	0.5805	0.201	0.111	0	108	214	2
2026-02-12	14:38:08.670	15.26	-9.73	17.5	0.097356	0.030256	0.976976	0.576	0.2085	0.087	0	108	214	2
2026-02-12	14:38:08.690	13.51	-9.345	18.725	0.081984	0.008784	0.951112	0.582	0.198	-0.024	0	108	214	2
2026-02-12	14:38:08.710	13.23	-6.37	19.775	0.079544	-0.01464	0.930128	0.579	0.204	0.1995	0	108	214	2
2026-02-12	14:38:08.730	13.125	-3.64	20.615	0.088328	-0.021472	0.946476	0.5775	0.2025	0.2115	0	108	214	2
2026-02-12	14:38:08.750	11.095	-0.49	21	0.110532	-0.01708	0.977464	0.5745	0.2025	0.2115	0	108	214	2
2026-02-12	14:38:08.770	7.805	1.575	21.14	0.137128	-0.00366	1.007232	0.582	0.204	0.099	0	108	214	2
2026-02-12	14:38:08.790	6.475	-0.84	21.07	0.14884	-0.012688	0.999912	0.5835	0.201	0.048	0	108	214	2
2026-02-12	14:38:08.810	8.715	-7.805	20.58	0.136884	-0.025864	0.994544	0.5835	0.201	0.048	0	235	441	1
2026-02-12	14:38:08.830	11.725	-13.685	19.67	0.11102	-0.032208	0.990396	0.5835	0.201	0.048	0	235	441	1
2026-02-12	14:38:08.850	12.18	-17.57	18.34	0.091988	-0.04026	0.979172	0.582	0.204	0.1215	0	235	441	1
2026-02-12	14:38:08.870	10.29	-17.535	16.31	0.07442	-0.061732	0.955748	0.5835	0.2115	0.1425	0	235	441	1
2026-02-12	14:38:08.890	8.575	-16.59	13.93	0.046116	-0.09272	0.920368	0.582	0.2085	0.0795	0	235	441	1
2026-02-12	14:38:08.910	8.68	-14.175	11.06	0.04392	-0.092476	0.920856	0.5805	0.2025	0.063	0	235	441	1
2026-02-12	14:38:08.930	9.31	-8.575	7.805	0.055388	-0.075396	0.963556	0.6	0.2025	0.0315	0	235	441	1
2026-02-12	14:38:08.950	8.085	-5.46	5.775	0.0732	-0.061488	0.970632	0.6075	0.2055	0.003	0	235	441	1
2026-02-12	14:38:08.970	5.635	-1.855	3.99	0.09638	-0.051728	0.977464	0.5865	0.207	-0.0075	0	235	441	1
2026-02-12	14:38:08.990	4.69	-0.175	2.94	0.1098	-0.060268	0.971608	0.573	0.1815	-0.0405	0	235	441	1
2026-02-12	14:38:09.010	6.615	-1.155	2.24	0.138104	-0.062708	0.982588	0.642	0.15	-0.0435	0	327	597	1
2026-02-12	14:38:09.030	9.59	-3.64	1.68	0.153964	-0.050752	1.013576	0.75	0.12	0.0135	0	327	597	1
2026-02-12	14:38:09.050	10.57	-6.405	1.505	0.155428	-0.057096	1.0309	0.6975	0.096	0.0435	0	327	597	1
2026-02-12	14:38:09.070	8.645	-6.825	1.33	0.131272	-0.082228	1.022848	0.648	0.135	-0.0285	0	327	597	1
2026-02-12	14:38:09.090	6.16	-3.78	0.875	0.103212	-0.112728	1.006988	0.6435	0.177	-0.087	0	327	597	1
2026-02-12	14:38:09.110	5.32	0.28	0.245	0.095892	-0.113704	1.009672	0.5775	0.1785	-0.069	0	327	597	1
2026-02-12	14:38:09.130	5.74	5.04	-0.525	0.110776	-0.09394	1.040904	0.6975	0.147	-0.018	0	327	597	1
2026-02-12	14:38:09.150	5.11	8.54	-1.715	0.153232	-0.056852	1.080432	0.7035	0.1605	0.087	0	327	597	1
2026-02-12	14:38:09.170	2.415	9.625	-3.255	0.190808	-0.02684	1.083848	0.567	0.1995	0.1155	0	327	597	1
2026-02-12	14:38:09.190	-0.7	8.26	-4.865	0.184464	-0.022448	1.059204	0.5655	0.1935	0.117	0	327	597	1
2026-02-12	14:38:09.210	-0.42	7.63	-6.23	0.172508	-0.011224	1.036756	0.5655	0.1965	0.126	0	382	710	1
2026-02-12	14:38:09.230	3.71	6.195	-6.23	0.160064	0.022936	1.038464	0.573	0.201	0.126	0	382	710	1
2026-02-12	14:38:09.250	7.84	6.37	-4.795	0.1586	0.082716	1.076772	0.5745	0.201	0.1725	0	382	710	1
2026-02-12	14:38:09.270	8.33	8.925	-2.03	0.141032	0.103456	1.064084	0.5685	0.195	0.1665	0	382	710	1
2026-02-12	14:38:09.290	8.015	9.1	1.225	0.137128	0.102724	1.025044	0.567	0.1875	0.168	0	382	710	1
2026-02-12	14:38:09.310	11.165	8.505	2.8	0.136152	0.0976	0.986248	0.57	0.1875	0.189	0	382	710	1
2026-02-12	14:38:09.330	16.135	6.125	2.485	0.131516	0.108824	0.996252	0.579	0.1905	0.138	0	382	710	1
2026-02-12	14:38:09.350	17.92	4.865	0.56	0.141032	0.131516	1.014552	0.5775	0.189	0.096	0	382	710	1
2026-02-12	14:38:09.370	15.82	3.64	-2.45	0.15006	0.150304	1.024312	0.5745	0.1905	0.0945	0	382	710	1
2026-02-12	14:38:09.390	-2.24	3.29	-3.325	0.193736	0.164944	1.069696	0.5775	0.1995	0.093	0	382	710	1
2026-02-12	14:38:09.410	-50.75	-13.93	12.635	0.1037	0.001708	0.736148	0.5805	0.201	0.081	0	405	796	1
2026-02-12	14:38:09.430	-24.955	-47.915	16.415	0.132004	0.03538	0.728096	0.5775	0.192	0.036	0	405	796	1
2026-02-12	14:38:09.450	1.855	-53.2	9.31	0.197152	0.17568	0.879132	0.5685	0.1965	0.0555	0	405	796	1
2026-02-12	14:38:09.470	-2.03	-36.365	6.23	0.189588	0.259128	1.226832	0.5715	0.1935	0.1185	0	405	796	1
2026-02-12	14:38:09.490	-20.685	-35.875	10.955	0.188124	0.24888	1.144116	0.5655	0.168	0.1185	0	405	796	1
2026-02-12	14:38:09.510	-24.5	-33.565	8.61	0.192272	0.059292	0.878888	0.5535	0.1575	0.1035	0	405	796	1
2026-02-12	14:38:09.530	2.485	-26.985	8.015	0.152256	0.007808	0.75884	0.5535	0.1575	0.1035	0	405	796	1
2026-02-12	14:38:09.550	34.965	-17.815	0.35	0.166164	0.071736	0.913292	0.567	0.174	0.0825	0	405	796	1
