yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-12	14:38:00.410	5.285	0.105	4.2	0.96258	-0.308904	-0.040748	0.0315	0.648	0.0045	0	411	65	2
2026-02-12	14:38:00.430	5.635	0.665	4.585	0.959652	-0.305244	-0.032696	0.033	0.651	0.0075	0	411	65	2
2026-02-12	14:38:00.450	6.545	0.455	5.075	0.964776	-0.295484	-0.020984	0.042	0.66	0.009	0	411	65	2
2026-02-12	14:38:00.470	5.495	-0.63	6.055	0.961604	-0.300852	-0.030744	0.0285	0.657	0.009	0	411	65	2
2026-02-12	14:38:00.490	5.32	-1.505	7.49	0.961116	-0.299388	-0.033184	0.027	0.6525	0	0	411	65	2
2026-02-12	14:38:00.510	6.02	-3.045	8.715	0.958432	-0.312808	-0.028792	0.027	0.6525	0	0	411	65	2
2026-02-12	14:38:00.530	7.945	-5.11	9.17	0.957212	-0.314028	-0.025376	0.036	0.6495	0.0045	0	411	65	2
2026-02-12	14:38:00.550	8.68	-7.315	10.15	0.958676	-0.305244	-0.021716	0.0345	0.651	0.006	0	411	65	2
2026-02-12	14:38:00.570	13.16	-10.325	11.2	0.962336	-0.331108	-0.024644	0.0345	0.654	0.0075	0	411	65	2
2026-02-12	14:38:00.590	18.13	-12.6	10.465	0.958188	-0.327692	-0.019032	0.039	0.66	0.015	0	411	65	2
2026-02-12	14:38:00.610	21.84	-14.56	9.8	0.955016	-0.338184	-0.028792	0.03	0.6585	0.018	0	355	55	2
2026-02-12	14:38:00.630	23.52	-16.975	10.29	0.959408	-0.325252	-0.029036	0.0315	0.657	0.0165	0	355	55	2
2026-02-12	14:38:00.650	24.325	-20.79	11.515	0.971608	-0.312076	0.00244	0.03	0.663	0.018	0	355	55	2
2026-02-12	14:38:00.670	34.65	-24.99	10.745	0.986004	-0.304268	-0.033916	0.0345	0.666	0.0345	0	355	55	2
2026-02-12	14:38:00.690	41.65	-29.505	8.19	0.98088	-0.328912	-0.015128	0.0285	0.669	0.0315	0	355	55	2
2026-02-12	14:38:00.710	46.025	-36.505	3.255	1.01992	-0.318664	-0.011956	0.0195	0.66	0.042	0	355	55	2
2026-02-12	14:38:00.730	48.44	-40.53	-0.805	1.113128	-0.293776	0.012444	0.0195	0.66	0.042	0	355	55	2
2026-02-12	14:38:00.750	59.045	-37.205	-6.055	1.197308	-0.244732	0.1342	0.0225	0.657	0.051	0	355	55	2
2026-02-12	14:38:00.770	92.75	-24.605	-19.145	1.284172	-0.180072	0.213012	0.024	0.666	0.063	0	355	55	2
2026-02-12	14:38:00.790	131.18	-6.055	-23.24	1.346148	-0.426268	0.077104	0.0165	0.6615	0.0705	0	355	55	2
2026-02-12	14:38:00.810	148.12	10.01	-17.745	1.347124	-0.424072	0.047092	0.009	0.6585	0.0675	0	306	45	3
2026-02-12	14:38:00.830	146.3	19.705	-10.36	1.307352	-0.36112	0.00366	0.009	0.651	0.081	0	306	45	3
2026-02-12	14:38:00.850	136.675	24.99	-4.725	1.239764	-0.293288	-0.066368	0.0165	0.651	0.09	0	306	45	3
2026-02-12	14:38:00.870	108.395	20.475	6.16	1.017236	-0.321348	-0.22814	0.0045	0.654	0.0855	0	306	45	3
2026-02-12	14:38:00.890	109.165	9.66	7.315	0.964532	-0.368684	-0.295484	0.003	0.66	0.0915	0	306	45	3
2026-02-12	14:38:00.910	126.7	-3.29	7	0.913536	-0.376248	-0.324276	0.003	0.663	0.1005	0	306	45	3
2026-02-12	14:38:00.930	150.36	-16.835	6.755	0.860344	-0.370392	-0.315736	0	0.6615	0.1035	0	306	45	3
2026-02-12	14:38:00.950	176.295	-28.77	6.405	0.817888	-0.34648	-0.284504	-0.0045	0.6645	0.105	0	306	45	3
2026-02-12	14:38:00.970	203.21	-38.185	6.09	0.784948	-0.353312	-0.238632	-0.0075	0.6615	0.102	0	306	45	3
2026-02-12	14:38:00.990	236.04	-46.55	5.81	0.770308	-0.368196	-0.23424	-0.0075	0.666	0.114	0	306	45	3
2026-02-12	14:38:01.010	280.77	-52.885	4.025	0.775676	-0.352092	-0.222528	-0.0075	0.6645	0.1305	0	271	47	3
2026-02-12	14:38:01.030	317.975	-57.33	1.295	0.764696	-0.293532	-0.20008	-0.012	0.666	0.141	0	271	47	3
2026-02-12	14:38:01.050	330.295	-60.025	-3.045	0.758596	-0.23668	-0.169336	-0.0165	0.672	0.162	0	271	47	3
2026-02-12	14:38:01.070	330.89	-60.06	-8.015	0.753716	-0.233996	-0.127124	-0.0165	0.678	0.174	0	271	47	3
2026-02-12	14:38:01.090	326.62	-62.615	-13.37	0.778604	-0.22326	-0.080032	-0.015	0.6855	0.18	0	271	47	3
2026-02-12	14:38:01.110	318.57	-65.135	-19.25	0.798124	-0.247904	-0.023424	-0.0135	0.693	0.189	0	271	47	3
2026-02-12	14:38:01.130	312.2	-67.795	-23.205	0.848632	-0.260592	0.033916	-0.006	0.696	0.1965	0	271	47	3
2026-02-12	14:38:01.150	310.87	-69.93	-26.215	0.935008	-0.284016	0.081252	-0.003	0.705	0.2025	0	271	47	3
2026-02-12	14:38:01.170	317.1	-70.42	-28.84	1.019676	-0.335744	0.145668	-0.0075	0.711	0.2085	0	271	47	3
2026-02-12	14:38:01.190	333.48	-67.095	-26.95	1.04676	-0.40504	0.212768	0	0.7065	0.2175	0	271	47	3
2026-02-12	14:38:01.210	366.73	-62.02	-18.865	1.086776	-0.47214	0.291824	0	0.723	0.228	0	248	56	3
2026-02-12	14:38:01.230	421.47	-52.99	-3.36	1.122156	-0.50996	0.37332	0.006	0.729	0.2265	0	248	56	3
2026-02-12	14:38:01.250	489.895	-29.68	35.21	1.114592	-0.315492	0.354044	0.006	0.729	0.2265	0	248	56	3
2026-02-12	14:38:01.270	533.82	-1.75	50.225	1.092388	-0.197884	0.209352	0.0075	0.7515	0.216	0	248	56	3
2026-02-12	14:38:01.290	547.05	25.235	37.695	1.039196	0.880596	0.406016	0.0135	0.7875	0.195	0	248	56	3
2026-02-12	14:38:01.310	357.175	51.485	34.72	1.064328	0.868396	0.465308	0.0165	0.798	0.1665	0	248	56	3
2026-02-12	14:38:01.330	156.73	66.045	49.175	1.034804	0.43188	0.278648	0.0165	0.8025	0.144	0	248	56	3
2026-02-12	14:38:01.350	54.985	67.445	50.68	1.026264	0.300852	0.18666	0.018	0.8145	0.1305	0	248	56	3
2026-02-12	14:38:01.370	-15.12	67.865	47.81	0.960628	0.170556	0.180316	0.0165	0.8205	0.1215	0	248	56	3
2026-02-12	14:38:01.390	-64.645	63.245	44.275	0.901824	0.043188	0.218624	0.0315	0.8385	0.1065	0	248	56	3
2026-02-12	14:37:59.410	-56.245	17.255	-3.99	0.929396	-0.311344	-0.227408	0.027	0.663	0.0555	0	757	85	3
2026-02-12	14:37:59.430	-44.485	20.335	-7.875	0.922564	-0.360632	-0.194712	0.03	0.6645	0.054	0	757	85	3
2026-02-12	14:37:59.450	-42.175	22.645	-5.845	0.95892	-0.301828	-0.092232	0.027	0.666	0.051	0	757	85	3
2026-02-12	14:37:59.470	-63.385	24.92	-1.015	0.962092	-0.2684	-0.108092	0.0255	0.6645	0.0495	0	757	85	3
2026-02-12	14:37:59.490	-47.32	22.435	-3.395	0.940132	-0.35014	-0.1403	0.0285	0.666	0.0465	0	757	85	3
2026-02-12	14:37:59.510	-25.55	22.085	-6.09	0.948428	-0.343308	-0.08686399	0.024	0.666	0.0405	0	757	85	3
2026-02-12	14:37:59.530	-19.145	22.085	-4.655	0.977952	-0.2684	-0.094916	0.0225	0.6675	0.0345	0	757	85	3
