yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-12	14:38:00.410	1.015	-14.105	2.38	1.00284	0.12566	-0.047336	-0.261	0.012	0.2385	0	384	42	2
2026-02-12	14:38:00.430	1.82	-15.365	2.45	0.998204	0.12322	-0.054656	-0.2685	0.0135	0.246	0	384	42	2
2026-02-12	14:38:00.450	1.26	-17.325	2.135	1.003084	0.131516	-0.040504	-0.2685	0.012	0.2475	0	384	42	2
2026-02-12	14:38:00.470	-1.085	-20.195	2.03	1.000644	0.132004	-0.05368	-0.2745	0.0105	0.252	0	384	42	2
2026-02-12	14:38:00.490	-2.52	-22.295	1.855	0.998204	0.128588	-0.077104	-0.273	0.015	0.252	0	384	42	2
2026-02-12	14:38:00.510	-1.645	-24.115	1.645	0.998204	0.126148	-0.073444	-0.267	0.0195	0.255	0	384	42	2
2026-02-12	14:38:00.530	-1.365	-26.46	1.75	0.99552	0.126392	-0.067588	-0.2775	0.0165	0.2595	0	384	42	2
2026-02-12	14:38:00.550	-2.59	-31.22	1.085	0.999668	0.131272	-0.083692	-0.282	0.018	0.2595	0	384	42	2
2026-02-12	14:38:00.570	-6.895	-36.19	1.61	0.995276	0.124684	-0.09467199	-0.2775	0.0165	0.27	0	384	42	2
2026-02-12	14:38:00.590	-14.35	-40.95	2.73	0.998448	0.130296	-0.081252	-0.276	0.018	0.2775	0	384	42	2
2026-02-12	14:38:00.610	-23.625	-47.145	5.53	0.994788	0.15494	-0.098332	-0.2775	0.018	0.282	0	332	40	2
2026-02-12	14:38:00.630	-28.455	-50.33	7.98	0.99674	0.138348	-0.151768	-0.276	0.018	0.288	0	332	40	2
2026-02-12	14:38:00.650	-23.555	-50.855	9.485	0.993812	0.127368	-0.163236	-0.282	0.024	0.291	0	332	40	2
2026-02-12	14:38:00.670	-18.48	-52.15	11.795	0.998204	0.136884	-0.143716	-0.2865	0.0255	0.303	0	332	40	2
2026-02-12	14:38:00.690	-24.01	-56.175	15.61	0.992592	0.15372	-0.154696	-0.2865	0.0255	0.312	0	332	40	2
2026-02-12	14:38:00.710	-35.98	-61.285	18.06	0.989908	0.150792	-0.167384	-0.294	0.0285	0.324	0	332	40	2
2026-02-12	14:38:00.730	-36.435	-64.925	16.345	1.00528	0.123708	-0.183	-0.2955	0.036	0.333	0	332	40	2
2026-02-12	14:38:00.750	-31.29	-68.285	14.35	1.029436	0.091744	-0.150548	-0.291	0.039	0.342	0	332	40	2
