yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-12	15:58:00.810	3.5	-2.695	2.555	0.975756	0.19642	-0.055388	-0.0375	-0.0585	0.252	0	15	65	2
2026-02-12	15:58:00.830	2.625	-2.415	2.03	0.968924	0.200324	-0.055632	-0.0375	-0.06	0.255	0	15	65	2
2026-02-12	15:58:00.850	1.925	-2.03	0.945	0.976244	0.206424	-0.053436	-0.0405	-0.063	0.2535	0	15	65	2
2026-02-12	15:58:00.870	1.645	-1.085	-0.21	0.979904	0.199592	-0.052704	-0.0405	-0.063	0.2535	0	15	65	2
2026-02-12	15:58:00.890	-0.49	-0.56	-0.98	0.978684	0.1952	-0.052704	-0.0405	-0.063	0.2535	0	15	65	2
2026-02-12	15:58:00.910	-2.17	0.035	-1.155	0.98332	0.190808	-0.055876	-0.042	-0.0675	0.2505	0	15	65	2
2026-02-12	15:58:00.930	0.07	0.56	-0.56	0.97112	0.191052	-0.059048	-0.045	-0.06	0.249	0	15	65	2
2026-02-12	15:58:00.950	3.01	1.155	-0.245	0.977708	0.190076	-0.055876	-0.039	-0.0675	0.258	0	15	65	2
2026-02-12	15:58:00.970	2.275	1.645	0.42	0.974048	0.198128	-0.054656	-0.042	-0.051	0.2565	0	15	65	2
2026-02-12	15:58:00.990	0.63	2.24	0.315	0.981856	0.193492	-0.057828	-0.0405	-0.0645	0.2505	0	15	65	2
2026-02-12	15:58:01.010	1.19	2.275	0.14	0.98088	0.19886	-0.058804	-0.0375	-0.0645	0.2535	0	16	64	2
2026-02-12	15:58:01.030	1.925	2.975	-0.385	0.975756	0.200568	-0.058804	-0.0435	-0.063	0.2445	0	16	64	2
2026-02-12	15:58:01.050	-1.505	3.325	-1.015	0.975024	0.201544	-0.059048	-0.042	-0.0585	0.2475	0	16	64	2
2026-02-12	15:58:01.070	-4.76	3.255	-1.12	0.973072	0.193736	-0.066856	-0.0405	-0.054	0.252	0	16	64	2
2026-02-12	15:58:01.090	-4.935	3.08	-1.19	0.97722	0.193248	-0.07808	-0.042	-0.0585	0.2475	0	16	64	2
2026-02-12	15:58:01.110	-1.155	1.085	-0.805	0.978196	0.189588	-0.078324	-0.045	-0.0645	0.2415	0	16	64	2
2026-02-12	15:58:01.130	4.34	-1.295	-0.35	0.976732	0.199104	-0.07198	-0.0435	-0.063	0.249	0	16	64	2
2026-02-12	15:58:01.150	7.21	-2.625	-0.42	0.974048	0.197396	-0.067832	-0.042	-0.0615	0.252	0	16	64	2
