yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-12	15:58:00.810	-4.69	2.205	-27.055	0.949404	-0.365268	0.22936	0.102	0.7545	-0.2145	0	420	205	2
2026-02-12	15:58:00.830	-1.925	1.785	-25.97	0.945744	-0.371124	0.211304	0.096	0.7425	-0.219	0	420	205	2
2026-02-12	15:58:00.850	0.84	2.03	-24.64	0.942328	-0.364292	0.200568	0.099	0.741	-0.213	0	420	205	2
2026-02-12	15:58:00.870	2.625	1.785	-22.96	0.93696	-0.350628	0.196176	0.0945	0.7395	-0.2235	0	420	205	2
2026-02-12	15:58:00.890	3.605	2.03	-21.875	0.936472	-0.340868	0.191784	0.099	0.7425	-0.2205	0	420	205	2
2026-02-12	15:58:00.910	4.235	1.54	-20.51	0.938668	-0.329644	0.18178	0.0945	0.7335	-0.2175	0	420	205	2
2026-02-12	15:58:00.930	4.865	1.05	-19.425	0.934764	-0.31842	0.168604	0.09	0.726	-0.213	0	420	205	2
2026-02-12	15:58:00.950	4.69	0.035	-18.55	0.94062	-0.317688	0.16592	0.0915	0.726	-0.2145	0	420	205	2
2026-02-12	15:58:00.970	4.935	-0.875	-16.905	0.948916	-0.311588	0.159088	0.093	0.7245	-0.2175	0	420	205	2
2026-02-12	15:58:00.990	4.515	-0.98	-14.665	0.952576	-0.306952	0.156892	0.093	0.7245	-0.2175	0	420	205	2
2026-02-12	15:58:01.010	3.43	-1.4	-12.355	0.953552	-0.30744	0.155428	0.0915	0.717	-0.2175	0	388	205	2
2026-02-12	15:58:01.030	2.905	-1.785	-9.8	0.954772	-0.305732	0.15982	0.087	0.726	-0.2145	0	388	205	2
2026-02-12	15:58:01.050	2.52	-2.205	-6.79	0.958676	-0.310856	0.167872	0.0855	0.714	-0.219	0	388	205	2
2026-02-12	15:58:01.070	2.52	-2.555	-3.92	0.95892	-0.311588	0.176168	0.0885	0.72	-0.213	0	388	205	2
2026-02-12	15:58:01.090	3.465	-2.8	-1.12	0.963312	-0.319884	0.183732	0.0885	0.7155	-0.219	0	388	205	2
2026-02-12	15:58:01.110	6.23	-2.905	1.26	0.96014	-0.302072	0.188368	0.096	0.708	-0.2145	0	388	205	2
2026-02-12	15:58:01.130	8.54	-2.8	3.185	0.961848	-0.292312	0.197152	0.0885	0.711	-0.2145	0	388	205	2
2026-02-12	15:58:01.150	10.325	-2.905	4.69	0.96502	-0.279136	0.199592	0.081	0.714	-0.2175	0	388	205	2
2026-02-12	15:58:01.170	12.565	-2.625	5.705	0.962336	-0.259616	0.2013	0.0855	0.714	-0.219	0	388	205	2
2026-02-12	15:58:01.190	14.035	-2.17	6.16	0.961116	-0.244732	0.210572	0.0915	0.7155	-0.219	0	388	205	2
