yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-12	15:58:00.810	1.645	-4.69	21.98	0.975024	0.303536	0.115168	-0.294	-0.2325	0.3135	0	403	136	2
2026-02-12	15:58:00.830	0.945	-5.67	19.705	0.973804	0.307196	0.123708	-0.303	-0.228	0.3165	0	403	136	2
2026-02-12	15:58:00.850	-0.56	-6.65	15.89	0.966728	0.304024	0.13176	-0.3075	-0.2265	0.3165	0	403	136	2
2026-02-12	15:58:00.870	-1.33	-7	13.37	0.97112	0.305976	0.133956	-0.2985	-0.2265	0.318	0	403	136	2
2026-02-12	15:58:00.890	-1.505	-6.58	10.675	0.96868	0.303048	0.134688	-0.297	-0.222	0.321	0	403	136	2
2026-02-12	15:58:00.910	-1.19	-6.16	8.05	0.974292	0.297436	0.14152	-0.3	-0.2235	0.318	0	403	136	2
2026-02-12	15:58:00.930	0.105	-5.32	5.39	0.979416	0.294752	0.141764	-0.306	-0.2235	0.3195	0	403	136	2
2026-02-12	15:58:00.950	2.17	-4.375	2.66	0.97966	0.290848	0.144692	-0.3015	-0.2235	0.324	0	403	136	2
2026-02-12	15:58:00.970	4.06	-3.64	-0.035	0.98332	0.289384	0.146888	-0.3	-0.222	0.321	0	403	136	2
2026-02-12	15:58:00.990	4.935	-2.975	-2.555	0.97722	0.293532	0.150304	-0.303	-0.2175	0.324	0	403	136	2
2026-02-12	15:58:01.010	4.62	-2.485	-5.04	0.98088	0.292556	0.147864	-0.303	-0.216	0.327	0	364	130	2
2026-02-12	15:58:01.030	3.64	-2.065	-7.315	0.983076	0.28792	0.148596	-0.3015	-0.2205	0.3255	0	364	130	2
2026-02-12	15:58:01.050	2.45	-1.505	-9.555	0.980636	0.2806	0.147864	-0.3015	-0.222	0.327	0	364	130	2
