yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-12	15:02:38.410	1.12	-0.455	0.14	0.08295999	0.041968	1.011868	-29.136	-0.78	0.4185	0	14	1026	1
2026-02-12	15:02:38.430	1.61	0.595	0.385	0.082472	0.040748	1.01138	-29.1255	-0.7785	0.4185	0	14	1026	1
2026-02-12	15:02:38.450	1.54	-0.525	0.455	0.083448	0.043676	1.011136	-29.118	-0.7815	0.414	0	14	1026	1
2026-02-12	15:02:38.470	1.085	-0.84	0.21	0.079788	0.044896	1.011868	-29.118	-0.7815	0.4125	0	14	1026	1
2026-02-12	15:02:38.490	1.295	-0.28	0.245	0.081984	0.044652	1.011624	-29.1255	-0.7785	0.411	0	14	1026	1
2026-02-12	15:02:38.510	1.435	-0.56	0.315	0.081496	0.043432	1.01382	-29.133	-0.78	0.411	0	14	1026	1
2026-02-12	15:02:38.530	1.575	-0.315	0.455	0.083204	0.042456	1.013332	-29.1285	-0.777	0.4125	0	14	1026	1
2026-02-12	15:02:38.550	1.54	0.735	0.42	0.078812	0.04514	1.009672	-29.1225	-0.7785	0.4095	0	14	1026	1
2026-02-12	15:02:38.570	1.05	-0.7	0.14	0.078812	0.043188	1.010404	-29.121	-0.7815	0.411	0	14	1026	1
2026-02-12	15:02:38.590	0.98	-1.05	0.07	0.082716	0.044408	1.012112	-29.1225	-0.7755	0.414	0	14	1026	1
2026-02-12	15:02:38.610	1.295	-0.56	0.105	0.077592	0.042456	1.012844	-29.13	-0.774	0.414	0	16	1028	1
2026-02-12	15:02:38.630	1.4	-0.84	0.28	0.08295999	0.042456	1.010648	-29.127	-0.7785	0.4155	0	16	1028	1
2026-02-12	15:02:38.650	1.435	-1.015	0.35	0.083448	0.046848	1.013332	-29.115	-0.7785	0.4185	0	16	1028	1
2026-02-12	15:02:38.670	1.295	-0.315	0.28	0.079788	0.040748	1.010892	-29.1165	-0.777	0.4185	0	16	1028	1
2026-02-12	15:02:38.690	1.085	-1.015	0.21	0.080032	0.044164	1.012844	-29.127	-0.7785	0.4185	0	16	1028	1
2026-02-12	15:02:38.710	0.98	-1.12	0.175	0.084668	0.041236	1.01382	-29.1345	-0.777	0.42	0	16	1028	1
2026-02-12	15:02:38.730	0.98	-0.175	-0.07	0.083936	0.043188	1.011136	-29.1375	-0.7755	0.423	0	16	1028	1
2026-02-12	15:02:38.750	1.155	-0.315	0	0.07808	0.041968	1.008696	-29.1375	-0.7755	0.423	0	16	1028	1
2026-02-12	15:02:38.770	1.4	-0.595	0.28	0.081984	0.04514	1.009916	-29.121	-0.774	0.4155	0	16	1028	1
2026-02-12	15:02:38.790	1.26	-0.595	0.28	0.082716	0.042944	1.011136	-29.1045	-0.774	0.408	0	16	1028	1
2026-02-12	15:02:38.810	1.365	-0.735	0.315	0.087108	0.04026	1.009916	-29.109	-0.777	0.411	0	17	1029	1
2026-02-12	15:02:38.830	1.47	-0.98	0.35	0.084668	0.03904	1.009672	-29.115	-0.7815	0.414	0	17	1029	1
2026-02-12	15:02:38.850	1.54	-1.05	0.525	0.08295999	0.044896	1.013088	-29.1135	-0.78	0.4155	0	17	1029	1
2026-02-12	15:02:38.870	1.295	-0.875	0.35	0.081252	0.044408	1.009672	-29.1195	-0.78	0.417	0	17	1029	1
2026-02-12	15:02:38.890	1.4	-0.49	0.455	0.081984	0.044896	1.009916	-29.127	-0.7785	0.417	0	17	1029	1
2026-02-12	15:02:38.910	1.33	-1.19	0.42	0.078568	0.042212	1.010648	-29.13	-0.78	0.4185	0	17	1029	1
2026-02-12	15:02:38.930	1.295	-1.155	0.42	0.083936	0.043432	1.012844	-29.1405	-0.78	0.417	0	17	1029	1
2026-02-12	15:02:38.950	1.19	-0.35	0.28	0.082716	0.042212	1.013332	-29.1375	-0.7815	0.4185	0	17	1029	1
2026-02-12	15:02:38.970	1.225	-0.28	0.245	0.084668	0.045628	1.01016	-29.1315	-0.78	0.4215	0	17	1029	1
2026-02-12	15:02:38.990	1.26	-0.525	0.28	0.083692	0.042944	1.010648	-29.178	-6.0195	-3.3045	0	17	1029	1
2026-02-12	15:02:39.010	1.225	-0.735	0.245	0.084424	0.044652	1.01138	-29.2275	-11.259	-7.035	0	17	1031	1
2026-02-12	15:02:39.030	1.33	-0.63	0.28	0.081008	0.04392	1.012844	-29.2305	-11.2575	-7.032	0	17	1031	1
2026-02-12	15:02:39.050	1.33	-0.56	0.28	0.079788	0.043188	1.011624	-29.217	-11.262	-7.0275	0	17	1031	1
2026-02-12	15:02:39.070	1.33	-1.05	0.35	0.082228	0.046116	1.012356	-29.214	-11.265	-7.0305	0	17	1031	1
2026-02-12	15:02:39.090	1.4	-0.945	0.525	0.083692	0.04636	1.011624	-29.226	-11.2635	-7.032	0	17	1031	1
2026-02-12	15:02:39.110	1.435	-0.63	0.595	0.084912	0.041968	1.010892	-29.2365	-11.2665	-7.0335	0	17	1031	1
2026-02-12	15:02:39.130	1.295	-0.84	0.42	0.0854	0.04392	1.012356	-29.244	-11.2665	-7.0305	0	17	1031	1
2026-02-12	15:02:39.150	1.225	-0.49	0.28	0.081984	0.04514	1.010648	-29.253	-11.262	-7.0305	0	17	1031	1
2026-02-12	15:02:39.170	1.225	0.385	0.245	0.082472	0.04392	1.01138	-29.25	-11.262	-7.0395	0	17	1031	1
2026-02-12	15:02:39.190	1.225	0.35	0.175	0.084668	0.038552	1.008452	-29.244	-11.2545	-7.0455	0	17	1031	1
2026-02-12	15:02:39.210	1.155	0.385	0.035	0.07905599	0.041724	1.010404	-29.2365	-11.244	-7.0455	0	16	1032	1
2026-02-12	15:02:39.230	0.91	0.315	-0.455	0.085156	0.0427	1.013576	-29.2245	-11.226	-7.0425	0	16	1032	1
2026-02-12	15:02:39.250	0.7	1.785	-0.77	0.077836	0.045872	1.013088	-29.205	-11.211	-7.038	0	16	1032	1
2026-02-12	15:02:39.270	0.56	2.345	-1.47	0.07905599	0.039528	1.030656	-29.157	-11.226	-7.0395	0	16	1032	1
2026-02-12	15:02:39.290	0.7	1.05	-1.575	0.097112	0.07515199	1.07238	-29.0925	-11.2455	-7.029	0	16	1032	1
2026-02-12	15:02:39.310	1.295	-1.365	-2.695	0.044652	0.00854	1.020652	-28.8825	-11.2305	-6.9435	0	16	1032	1
2026-02-12	15:02:39.330	1.33	1.715	-0.14	0.080764	0.044408	1.009916	-28.4775	-11.142	-6.795	0	16	1032	1
