yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-12	15:02:38.410	3.99	-2.17	-1.925	0.109312	-1.003084	0.290848	0.369	1.14	0.1215	0	147	366	2
2026-02-12	15:02:38.430	15.505	-3.045	-3.57	0.116632	-0.953796	0.327692	0.369	1.146	0.12	0	147	366	2
2026-02-12	15:02:38.450	18.97	-3.5	-3.115	0.12566	-0.9211	0.359412	0.363	1.146	0.111	0	147	366	2
2026-02-12	15:02:38.470	17.395	-2.94	-2.835	0.11834	-0.899628	0.37088	0.3675	1.1445	0.111	0	147	366	2
2026-02-12	15:02:38.490	15.505	-3.185	-3.605	0.12932	-0.93818	0.360876	0.3735	1.143	0.1035	0	147	366	2
2026-02-12	15:02:38.510	15.435	-2.17	-3.745	0.138348	-0.903044	0.392108	0.3735	1.143	0.1035	0	147	366	2
2026-02-12	15:02:38.530	10.01	-0.84	-2.905	0.128588	-0.914756	0.391132	0.3675	1.143	0.1005	0	147	366	2
2026-02-12	15:02:38.550	5.6	-0.105	-2.8	0.118096	-0.911584	0.382348	0.3675	1.1415	0.099	0	147	366	2
2026-02-12	15:02:38.570	2.94	0.28	-3.5	0.12322	-0.908168	0.390156	0.3705	1.143	0.1005	0	147	366	2
2026-02-12	15:02:38.590	-1.26	0.91	-3.955	0.127612	-0.905484	0.385764	0.3675	1.146	0.102	0	147	366	2
2026-02-12	15:02:38.610	-2.765	0.035	-3.885	0.1281	-0.940132	0.35624	0.3705	1.137	0.102	0	136	362	2
2026-02-12	15:02:38.630	0.21	-0.28	-3.325	0.130296	-0.944524	0.3599	0.372	1.146	0.108	0	136	362	2
2026-02-12	15:02:38.650	2.17	0.035	-2.625	0.141032	-0.907924	0.397476	0.357	1.143	0.1035	0	136	362	2
2026-02-12	15:02:38.670	-2.1	1.19	-1.155	0.132004	-0.911584	0.385764	0.3705	1.146	0.0975	0	136	362	2
2026-02-12	15:02:38.690	-3.78	1.05	-0.56	0.12322	-0.939156	0.35624	0.363	1.1385	0.0975	0	136	362	2
2026-02-12	15:02:38.710	1.225	-0.07	-1.05	0.122	-0.946232	0.355264	0.366	1.146	0.1125	0	136	362	2
2026-02-12	15:02:38.730	6.09	-0.525	-0.77	0.12566	-0.919392	0.37454	0.366	1.143	0.1095	0	136	362	2
2026-02-12	15:02:38.750	3.92	-0.14	-0.805	0.129564	-0.879864	0.404308	0.3675	1.1385	0.105	0	136	362	2
2026-02-12	15:02:38.770	-2.24	0.455	-1.225	0.138348	-0.904508	0.395524	0.363	1.137	0.099	0	136	362	2
